value,label,count
Q467,woman,72
Q302,Jesus,68
Q8441,man,58
Q345,Virgin Mary,39
Q942467,Child Jesus,30
Q3010,boy,22
Q10884,tree,18
Q235113,angel,17
Q63070,Mary Magdalene,17
Q33923,Peter,14
Q527,sky,12
Q40662,John the Baptist,12
Q107425,landscape,11
Q1144593,sitting,9
Q571,book,8
Q144,dog,8
Q154326,Annunciation,7
Q4991371,soldier,7
Q6460735,meals,7
Q726,horse,7
Q7569,child,7
Q14130,waist-length hair,7
Q14748,table,7
Q51636,Crucifixion of Jesus,7
Q200539,dress,6
Q7560,mother,6
Q8074,cloud,6
Q9077,Moses,6
Q165,sea,6
Q133507,Elijah,5
Q161775,Stephen,5
Q199657,reading,5
Q642420,Christ,5
Q998,baby,5
Q4022,river,5
Q148993,broad-leaved tree,4
Q328804,John the Evangelist,4
Q488841,Adoration of the Magi,4
Q676555,Francis of Assisi,4
Q691810,Visitation,4
Q808132,barefoot,4
Q1986098,standing,4
Q12888135,candle,4
Q525,Sun,4
Q3031,girl,4
Q3947,house,4
Q9181,Abraham,4
Q15026,chair,4
Q35473,window,4
Q42177,bed,4
Q51671,biblical Magi,4
Q54050,hill,4
Q80228,bottle,3
Q164294,Saint Anne,3
Q175185,rural area,3
Q201097,basket,3
Q202466,blond hair,3
Q217048,Baptism of Jesus,3
Q219160,couple,3
Q374192,aureola,3
Q625140,Marriage at Cana,3
Q660281,contre-jour,3
Q732413,Esther,3
Q838811,peasant,3
Q1146001,light source,3
Q2002752,headscarf,3
Q2367101,brown hair,3
Q2467856,Agony in the Garden,3
Q3305213,painting,3
Q3314483,fruit,3
Q5004679,path,3
Q6818501,the Lord appears to Abraham by the oaks of Mamre,3
Q16334295,group of humans,3
Q28532552,Judith,3
Q7925,rain,3
Q5,human,3
Q35856,baptism,3
Q42948,wall,3
Q43600,Matthew the Apostle,3
Q44015,John the Apostle,3
Q48422,cadaver,3
Q76768,shirt,2
Q80151,hat,2
Q81054,storm,2
Q81989,Gabriel,2
Q109607,ruins,2
Q116887,décolletage,2
Q128267,Joseph,2
Q128538,Luke the Evangelist,2
Q130768,smoke,2
Q132397,pitcher,2
Q132821,murder,2
Q152357,red hair,2
Q154425,toe,2
Q159862,Elizabeth of Hungary,2
Q170984,crown,2
Q174876,breastfeeding,2
Q179962,Job,2
Q188869,field,2
Q189233,throne,2
Q191163,landscape art,2
Q193777,stoning,2
Q193897,paintbrush,2
Q210723,chalice,2
Q214617,Hagar,2
Q235155,white people,2
