value,label,count
P409,Libraries Australia ID,1
P412,voice type,1
P463,member of,1
P462,color,1
P481,Palissy ID,1
P559,terminus,1
P575,time of discovery or invention,1
P577,publication date,1
P580,start time,1
P613,OS grid reference,1
P649,NRHP reference number,1
P651,Biografisch Portaal van Nederland ID,1
P669,located on street,1
P672,MeSH tree code,1
P747,has edition or translation,1
P757,World Heritage Site ID,1
P800,notable work,1
P802,student,1
P808,Bien de Interés Cultural (BIC) code,1
P814,IUCN protected areas category,1
P825,dedicated to,1
P839,IMSLP ID,1
P920,LEM ID,1
P941,inspired by,1
P989,spoken text audio,1
P1005,Portuguese National Library ID,1
P1015,BIBSYS ID,1
P1017,Vatican Library ID (former scheme),1
P1036,Dewey Decimal Classification,1
P1038,relative,1
P1066,student of,1
P1151,topic's main Wikimedia portal,1
P1215,apparent magnitude,1
P1216,National Heritage List for England number,1
P1225,U.S. National Archives Identifier,1
P1248,KulturNav-ID,1
P1273,CANTIC ID,1
P1274,ISFDB title ID,1
P1299,depicted by,1
P1303,instrument,1
P1367,Art UK artist ID,1
P1424,topic's main template,1
P1427,start point,1
P1444,destination point,1
P1448,official name,1
P1457,absolute magnitude,1
P1463,Post-Reformation Digital Library author ID,1
P1566,GeoNames ID,1
P1574,exemplar of,1
P1621,detail map,1
P1736,Information Center for Israeli Art artist ID,1
P1741,GTAA ID,1
P1795,Smithsonian American Art Museum person/institution ID,1
P1807,Great Aragonese Encyclopedia ID,1
P1819,genealogics.org person ID,1
P1902,Spotify artist ID,1
P1953,Discogs artist ID,1
P1988,Le Delarge ID,1
P2013,Facebook ID,1
P2041,National Gallery of Victoria artist ID,1
P2042,Artsy artist ID,1
P2120,radius,1
P2174,Museum of Modern Art artist ID,1
P2215,proper motion,1
P2216,radial velocity,1
P2227,metallicity,1
P2252,National Gallery of Art artist ID,1
P2283,uses,1
P2282,Groeningemuseum work PID,1
P2467,Global Geoparks Network ID,1
P2533,WomenWriters ID,1
P2539,Nationalmuseum Sweden artwork ID,1
P2538,Nationalmuseum Sweden artist ID,1
P2578,studies,1
P2583,distance from Earth,1
P2600,Geni.com profile ID,1
P2605,ČSFD person ID,1
P2614,World Heritage criteria,1
P2635,number of parts of this work,1
P2669,discontinued date,1
P2741,Tate artist ID,1
P2750,Photographers' Identities Catalog ID,1
P2789,connects with,1
P2799,BVMC person ID,1
P2843,Benezit ID,1
P2910,icon,1
P2949,WikiTree person ID,1
P2951,Cultural heritage database in Austria ObjektID,1
P2950,Nomisma ID,1
P2969,Goodreads version/edition ID,1
P3065,RERO ID,1
P3083,SIMBAD ID,1
P3208,New General Catalogue ID,1
P3221,New York Times topic ID,1
P3269,Fotografen.nl ID,1
P3348,National Library of Greece ID,1
P3478,Songkick artist ID,1
P3576,TLG author ID,1
P3716,social classification,1
P3888,Boijmans artist ID,1
P3893,public domain date,1
P3916,UNESCO Thesaurus ID,1
P3964,BDCYL authority ID,1
P3997,Bait La Zemer Ha-Ivri artist ID,1
P4104,Carnegie Hall agent ID,1
P4144,Athenaeum artwork ID,1
P4159,WeRelate person ID,1
P4177,Finnish National Gallery artist ID,1
P4208,Billboard artist ID,1
P4212,PACTOLS thesaurus ID,1
P4359,gravsted.dk ID,1
P4399,Itaú Cultural ID,1
P4439,MNCARS artist ID,1
P4459,Spanish Biographical Dictionary ID,1
P4553,RA Collections ID,1
P4610,ARTIC artwork ID,1
P4638,The Peerage person ID,1
P4663,DACS ID,1
P4673,"Museum of Fine Arts, Houston object ID",1
P4684,National Gallery of Victoria artwork ID,1
P4739,Musée des Augustins artwork ID,1
P4761,Images d'Art artwork ID,1
P4765,Commons compatible image available at URL,1
P4808,Royal Academy new identifier,1
P4823,American National Biography ID,1
P4936,SFMOMA artist ID,1
P5115,Directory of Open Access Journals ID,1
P5125,Wikimedia outline,1
P5273,Nelson-Atkins Museum of Art person ID,1
P5331,OCLC work ID,1
P5361,BNB person ID,1
