qid,label_en,instance_of_uuid,instance_of
Q107275816,Saintly Animals: The Shifting Moral and Ecological Landscapes of North India,EA2B394E-283E-491F-872F-6F17CE5C34FC,Q13442814
Q107275817,"Book Review: Ruth Vanita, Gender, Sex, and the City: Urdu Rekhti Poetry in India, 1780–1870",57CE6B56-F5B8-408B-9086-DA7AB9016966,Q637866
Q107275817,"Book Review: Ruth Vanita, Gender, Sex, and the City: Urdu Rekhti Poetry in India, 1780–1870",D96D6927-E4B7-4AB7-B249-A1AF0049A117,Q3331189
Q107275818,Saintly Visions: Other Histories and History's Others in the Medieval Ruins of Delhi,DB0E0420-3913-4657-9A7D-4661A906C1E5,Q3331189
Q107275818,Saintly Visions: Other Histories and History's Others in the Medieval Ruins of Delhi,FAF36C81-82DF-4DB4-AFC6-46941F01815E,Q13442814
Q107275819,Pirate Modernity: Delhi's Media Urbanism,4158BCC9-649A-4F41-8066-11A804251317,Q3331189
Q107275819,Pirate Modernity: Delhi's Media Urbanism,DFD92B13-FF3C-4D6F-910C-97A2018929C5,Q637866
Q107275821,Bombay Cinema: An Archive of the City,99C0E53F-0AF3-4989-92AD-D2908B53DA0E,Q3331189
Q107275821,Bombay Cinema: An Archive of the City,B59BEE6F-D325-438B-8DC3-0B455169E590,Q637866
Q107275822,"Village Cosmopolitans: Or, I See Kabul from Lado Sarai",21A64DD4-4676-4D30-B8D0-6C1352EEDA56,Q3331189
Q107275822,"Village Cosmopolitans: Or, I See Kabul from Lado Sarai",EE618B2F-718D-43A1-B011-48B99BC75445,Q21481766
Q107275824,"History and Heritage Woven in the New Urban Fabric: The Changing Landscapes of Delhi's ‘First City’. Or, Who Can Tell the Histories of Lado Sarai?",8011EDEF-9ABE-411C-B6D5-5555D64A0C4D,Q21481766
Q107275824,"History and Heritage Woven in the New Urban Fabric: The Changing Landscapes of Delhi's ‘First City’. Or, Who Can Tell the Histories of Lado Sarai?",EE2D439D-BF7F-406F-AB98-0BF99DE43472,Q3331189
Q107275826,Begum Samru and the Security Guard,73803E7C-7F50-4845-871B-F0E6B319E49F,Q3331189
Q107275826,Begum Samru and the Security Guard,B25F9DD9-3F97-43BD-953E-D16EC3B87FAB,Q21481766
Q107275828,Synchronicities: Baghdad/Delhi,37323809-7D86-4202-A8E9-7A5B5ECCAA65,Q21481766
Q107275828,Synchronicities: Baghdad/Delhi,C50C1916-AD82-4645-BB6C-A186041328CF,Q3331189
Q107275829,"Lost in La Mancha: Terry Gilliam, Holy Fools, Pirates and the Mulla",59ED76CA-F009-423B-9CAD-365480F3FF10,Q3331189
Q107275829,"Lost in La Mancha: Terry Gilliam, Holy Fools, Pirates and the Mulla",66F743B5-C7E5-4DFC-9BBE-1C320CBB332B,Q21481766
Q107275830,"Culture of Encounters: Sanskrit at the Mughal Court, by Audrey Truschke",5F50247F-8E3D-4929-97A5-9A6240473169,Q637866
Q107275830,"Culture of Encounters: Sanskrit at the Mughal Court, by Audrey Truschke",E0EE95CE-181D-4217-95A2-478855B1EAFA,Q3331189
Q107275831,‘Veins of Silver’,28246C8D-1194-4B38-AE89-E2008E679878,Q637866
Q107275831,‘Veins of Silver’,A2D45211-FE26-4848-A0D6-05E65BCE9133,Q3331189
Q107275832,How New Delhi Was Founded,04AC1E56-3267-4EFC-B372-4BADCE806AAF,Q637866
Q107275832,How New Delhi Was Founded,38163A75-491E-4B17-A426-237ED5922BD2,Q3331189
Q107275833,Stereotyping the Muslim in Bombay Cinema,0C84CF77-7773-4A3B-A53F-022E4E07EBB3,Q3331189
Q107275833,Stereotyping the Muslim in Bombay Cinema,85716010-2FCC-494B-BD0D-C9A1EF3E71EE,Q637866
Q107275834,A City Without Time,1D1ABE97-FBEA-4704-9E9C-7B01D982B583,Q3331189
Q107275834,A City Without Time,A8061EE6-671F-41E2-BC79-01D9A48DF1D9,Q30070590
Q107275835,Muslimness in Hindi Cinema,3FF87357-79EA-4E8F-B711-BE877325299E,Q13442814
Q107275835,Muslimness in Hindi Cinema,E8E25741-C39E-42CD-B0E2-F82F0D730BE6,Q3331189
Q107276607,"Introduction: Animals, Ethics, and Enchantment in South Asia and the Middle East",5237B673-D6C1-4D51-A7AE-089E4B00DC81,Q3331189
Q107276607,"Introduction: Animals, Ethics, and Enchantment in South Asia and the Middle East",CE8F3150-2F48-40B1-8849-0DA4FA176B8D,Q13442814
Q107276609,[The Myth of Archaeology and the Archaeology of Myth: Purana Qila],0183FF5E-DBC4-4C76-9F7F-3C8AE513349D,Q21481766
Q107276609,[The Myth of Archaeology and the Archaeology of Myth: Purana Qila],5874E11D-676E-43DF-8D62-FA10434CAF60,Q3331189
Q107276783,"Between Collective Memory & History, The Jinn Lives On",25d735fa-424e-d5c0-6d78-442d2c2ec488,Q5707594
Q107276897,"Nature, History, and the Sacred in the Medieval Ruins of Delhi",cb2e76b0-42e2-e35a-1556-741768df0965,Q187685
