qid,label_en,description_en,exhibition_history_uuid,exhibition_history,exhibition_history_start_time_nodeId,exhibition_history_start_time_val,exhibition_history_start_time_prec,exhibition_history_end_time_nodeId,exhibition_history_end_time_val,exhibition_history_end_time_prec,exhibition_history_ref1_hash,exhibition_history_ref1_referenceUrl,exhibition_history_ref1_retrieved_nodeId,exhibition_history_ref1_retrieved_val,exhibition_history_ref1_retrieved_prec
Q106568561,Geomancer's compass,compass by Artist Unknown,750A7D2C-EF66-49C5-943C-D5DBE1C00BA8,Q109133749,34fd0b78-edeb-43b6-bbf2-8647ffd4e067,2021-08-26T00:00:00Z,11,cc304a31-0373-460c-a95e-1c39ae3baa24,2022-01-30T00:00:00Z,11,856c7673b3bff149efafd7c5fabcff9af07260a9,https://exhibitions.library.vanderbilt.edu/sympathetic-magic/item/geomancers-compass/,2d9a2e67-3de0-4f48-985b-02e021387b0b,2021-10-23T00:00:00Z,11
Q103307969,Sculpture of a head,sculpture by Artist Unknown,C535AEA1-69CF-4631-8C41-278718FB428D,Q109133749,2c02f01f-f2a7-4ec7-9d03-fc8723ddeb79,2021-08-26T00:00:00Z,11,572aed78-2d57-44eb-a56c-9bb3df83f8f0,2022-01-30T00:00:00Z,11,fba0649516979fde2a5bb76a891630b9e16f5f52,https://exhibitions.library.vanderbilt.edu/sympathetic-magic/item/gle-gle-household-fetish-head/,89685a7c-396c-4e57-8d70-73f6ecf75b34,2021-10-23T00:00:00Z,11
Q102966045,Head in Profile,painting by Artist Unknown,56421E53-4F2C-4B84-AD06-D7ABCE722CB9,Q109133749,4d5fbbd2-11a2-406a-9aee-2d1d04289e07,2021-08-26T00:00:00Z,11,9d07226d-7167-4631-9b0a-51859b2a59c1,2022-01-30T00:00:00Z,11,872a3df6a92e08b0071d255179015cc9e4f3055e,https://exhibitions.library.vanderbilt.edu/sympathetic-magic/item/head-in-profile/,9db4a61c-21e8-49eb-b5c7-3723238732e3,2021-10-23T00:00:00Z,11
Q103300976,Head of a boy,sculpture by Artist Unknown,6C0D89BB-27E5-46ED-A598-9394CD1E065C,Q109133749,077cdbcd-d753-4019-bdde-5fe4acdc1bf5,2021-08-26T00:00:00Z,11,108abb46-6315-4c07-9fd3-c345711938b5,2022-01-30T00:00:00Z,11,11ba02e9dde187b904a775407da2240329038f27,https://exhibitions.library.vanderbilt.edu/sympathetic-magic/item/head-of-a-boy-funerary/,88d9eaeb-10f9-492b-9c22-da2ec65c912d,2021-10-23T00:00:00Z,11
Q103300516,Gilded head of a Buddha,sculpture by Artist Unknown,322B9EDF-20A6-472B-A0CB-8FED3344022A,Q109133749,bba50bd1-ae75-4ab1-b378-1d4025a47108,2021-08-26T00:00:00Z,11,db99b955-8804-4263-8645-83e81918bf3c,2022-01-30T00:00:00Z,11,58f8e5907a7154022693c7d8d9bbe76210ef3057,https://exhibitions.library.vanderbilt.edu/sympathetic-magic/item/head-of-a-buddha/,edc619c0-6698-4606-bf61-dda5524a5207,2021-10-23T00:00:00Z,11
Q103301277,Horse Groom,sculpture by Artist Unknown,DBCA497D-DB5B-4F36-BE54-2FB0614737A6,Q109133749,2039315b-837a-4bc0-869a-6ae820165a14,2021-08-26T00:00:00Z,11,6bf03446-b93f-4583-ae05-49f94219e44f,2022-01-30T00:00:00Z,11,508eddee5c01de2c3e6ec7d4bbeb79b061fd137d,https://exhibitions.library.vanderbilt.edu/sympathetic-magic/item/horse-groom/,7d082315-3320-437b-946a-a315987743f3,2021-10-23T00:00:00Z,11
Q104032089,Horse,sculpture by Artist Unknown 2000.107,8430BC9A-ED61-4B90-A1E5-2FAE1810B26D,Q109133749,34216853-d876-4c06-9685-2f1effe87115,2021-08-26T00:00:00Z,11,9ec934e6-f046-4a6a-b201-96b89a69f6c0,2022-01-30T00:00:00Z,11,d2026aeba2907bfb25b62938eb8bd3e057766e17,https://exhibitions.library.vanderbilt.edu/sympathetic-magic/item/horse/,726a3600-2c51-4e89-8713-63712ee6087f,2021-10-23T00:00:00Z,11
Q103301380,"Ibeji twin Figure, one of a pair of twin figures, female",sculpture by Artist Unknown,F9C0EA2F-8CEC-4A68-8FAD-AD7C841BAA1C,Q109133749,fdf32853-208f-46bb-b31e-3040e6435d0d,2021-08-26T00:00:00Z,11,6ad2540c-22a2-4c56-948c-c3831912e602,2022-01-30T00:00:00Z,11,4f638c0a3945971636675a2c9e5dbde141bd28f4,https://exhibitions.library.vanderbilt.edu/sympathetic-magic/item/ibeji-twin-figures-male-and-female-2/,332ee037-5974-49ef-ac8d-a44bb75f5511,2021-10-23T00:00:00Z,11
Q103301386,"Ibeji twin figure, one of a pair of twin figures, male",sculpture by Artist Unknown,7A9FDD5C-2B0D-4A7C-8F7E-0650D2948D28,Q109133749,5ea0f167-6ccb-4f38-9e70-96c96242fae5,2021-08-26T00:00:00Z,11,8ea5c4b4-7588-4e49-a585-60ef22f32072,2022-01-30T00:00:00Z,11,18e8403c3152f1ca12802b9a0219f0eb5a0d98e8,https://exhibitions.library.vanderbilt.edu/sympathetic-magic/item/ibeji-twin-figures-male-and-female/,c6e00dbe-0bf5-4590-bbc3-d3540df14cb4,2021-10-23T00:00:00Z,11
Q103301740,Jade Cong,sculpture by Artist Unknown,AFE941B3-15FF-4E19-9981-F24C244F0A8F,Q109133749,4e3031eb-fb53-4a67-b7af-506945680cf4,2021-08-26T00:00:00Z,11,e38ee248-8d95-44f1-8665-077e24b2782e,2022-01-30T00:00:00Z,11,97e3ca5360e435f47ad6290ff546496cabbee34d,https://exhibitions.library.vanderbilt.edu/sympathetic-magic/item/jade-cong/,1ce72f2c-d1c7-4376-820d-3e3a3543f938,2021-10-23T00:00:00Z,11
Q103301794,Jar with incised spiral designs,ceramics by Artist Unknown,CBA22EAF-B823-4EF9-A02C-C83EF3AC0196,Q109133749,d7f7f28d-4dfd-47c9-b59d-3e6c166778a2,2021-08-26T00:00:00Z,11,3a65d8ac-0bfd-4158-99cf-8d234dcdd343,2022-01-30T00:00:00Z,11,24105980196a53cff4a371b7980919ab0c958366,https://exhibitions.library.vanderbilt.edu/sympathetic-magic/item/jar-with-incised-spiral-design/,6edb5976-5a26-4840-88e7-cd4813f0075c,2021-10-23T00:00:00Z,11
Q103302120,Kneeling female figure,sculpture by Artist Unknown,0A50A6EB-AB87-4D36-AEDE-3553CBC59365,Q109133749,160ca17d-5b4b-4eea-ae07-91220f9c92fd,2021-08-26T00:00:00Z,11,d2c0a19f-20c2-4408-85ff-83468045e220,2022-01-30T00:00:00Z,11,b05fc39ef94f3a24d78b5273a15b16bc943c5506,https://exhibitions.library.vanderbilt.edu/sympathetic-magic/item/kneeling-female-figure/,23911842-1802-424b-85d8-06057dfff0f5,2021-10-23T00:00:00Z,11
Q103302142,Kneeling female human effigy,ceramics by Artist Unknown,CCD702FF-4A52-4A7B-8B87-E1DEC727C93D,Q109133749,80cb85fa-643b-4a53-8367-dde5f503c157,2021-08-26T00:00:00Z,11,8d743668-df44-4acc-bb46-00f0e81988bf,2022-01-30T00:00:00Z,11,4dc66ab7de2ed750aee34a5541bb9b5868e318d2,https://exhibitions.library.vanderbilt.edu/sympathetic-magic/item/kneeling-female-human-effigy/,de66d9ce-cf56-42e2-b730-7120ba15b796,2021-10-23T00:00:00Z,11
