accession_number,mid,description,score,topicality
1957.012,/m/0bp7w,Printmaking,0.6523375,0.6523375
1957.012,/m/0hwky,Pattern,0.644748,0.644748
1957.012,/m/012f08,Motor vehicle,0.63260907,0.63260907
1957.014,/m/025kyy,Forehead,0.9846564,0.9846564
1957.014,/m/0k0pj,Nose,0.98358303,0.98358303
1957.014,/m/037p5b,Cheek,0.97923374,0.97923374
1957.014,/m/0f9swq,Chin,0.96707857,0.96707857
1957.014,/m/027n3_,Eyebrow,0.95136195,0.95136195
1957.014,/m/0ds4x,Hairstyle,0.9509009,0.9509009
1957.014,/m/01k9lj,Jaw,0.8827898,0.8827898
1957.014,/m/0jjw,Art,0.85994065,0.85994065
1957.014,/m/05qdh,Painting,0.79517144,0.79517144
1957.014,/m/02q_bfg,Tints and shades,0.76282877,0.76282877
1957.016,/m/015p6,Bird,0.96943766,0.96943766
1957.016,/m/0838f,Water,0.908465,0.908465
1957.016,/m/01c4rd,Beak,0.8703335,0.8703335
1957.016,/m/05qdh,Painting,0.8467018,0.8467018
1957.016,/m/0jjw,Art,0.8323314,0.8323314
1957.016,/m/03r_vp,Adaptation,0.7926271,0.7926271
1957.016,/m/012shk,Seabird,0.7462135,0.7462135
1957.016,/m/03qqnt,Flightless bird,0.74181855,0.74181855
1957.016,/m/01kr8f,Illustration,0.72880864,0.72880864
1957.016,/m/02csf,Drawing,0.7187118,0.7187118
1957.017,/m/05s2s,Plant,0.9170384,0.9170384
1957.017,/m/0c9ph5,Flower,0.9028425,0.9028425
1957.017,/m/016q19,Petal,0.9002614,0.9002614
1957.017,/m/0jjw,Art,0.843766,0.843766
1957.017,/m/05qdh,Painting,0.74144554,0.74144554
1957.017,/m/04sjm,Flowering plant,0.7362949,0.7362949
1957.017,/m/0fbflw,Terrestrial plant,0.7330676,0.7330676
1957.017,/m/06dmh,Rose family,0.7185358,0.7185358
1957.017,/m/01kr8f,Illustration,0.7120973,0.7120973
1957.017,/m/0p9xx,Visual arts,0.66699576,0.66699576
1957.018,/m/0jjw,Art,0.830593,0.830593
1957.018,/m/03r_vp,Adaptation,0.79260623,0.79260623
1957.018,/m/05qdh,Painting,0.77258635,0.77258635
1957.018,/m/01kr8f,Illustration,0.72026885,0.72026885
1957.018,/m/02csf,Drawing,0.71504575,0.71504575
1957.018,/m/0p9xx,Visual arts,0.66905296,0.66905296
1957.018,/m/037hz,Golf,0.6250619,0.6250619
1957.018,/m/07glzq,Sketch,0.6001859,0.6001859
1957.018,/m/0dgsmq8,Artwork,0.5867866,0.5867866
1957.018,/m/0919rx,Line art,0.56570727,0.56570727
1957.019,/m/03k3r,Horse,0.9249566,0.9249566
1957.019,/m/07_gml,Working animal,0.86992556,0.86992556
1957.019,/m/0jjw,Art,0.8146015,0.8146015
1957.019,/m/05qdh,Painting,0.78892606,0.78892606
1957.019,/m/01kr8f,Illustration,0.70259607,0.70259607
1957.019,/m/0p9xx,Visual arts,0.6926146,0.6926146
1957.019,/m/02csf,Drawing,0.67451054,0.67451054
1957.019,/m/0j62f,Rectangle,0.6683822,0.6683822
1957.019,/m/0464z4,Pack animal,0.667755,0.667755
1957.019,/m/0bp7w,Printmaking,0.6650627,0.6650627
1957.020,/m/0jjw,Art,0.80861014,0.80861014
1957.020,/m/05qdh,Painting,0.7850559,0.7850559
1957.020,/m/083vt,Wood,0.77764297,0.77764297
1957.020,/m/03gq5hm,Font,0.77093047,0.77093047
1957.020,/m/01kr8f,Illustration,0.70432776,0.70432776
1957.020,/m/0j62f,Rectangle,0.6939271,0.6939271
1957.020,/m/02csf,Drawing,0.69187367,0.69187367
1957.020,/m/0p9xx,Visual arts,0.68096185,0.68096185
1957.020,/m/0hwky,Pattern,0.6727604,0.6727604
1957.020,/m/0ckc5,Magenta,0.6448642,0.6448642
1957.034,/m/04hgtk,Head,0.97217304,0.97217304
1957.034,/m/014sv8,Eye,0.9349476,0.9349476
1957.034,/m/02p0tk3,Human body,0.88360894,0.88360894
1957.034,/m/0jjw,Art,0.82908386,0.82908386
1957.034,/m/03gq5hm,Font,0.7914041,0.7914041
1957.034,/m/05qdh,Painting,0.7839442,0.7839442
1957.034,/m/02q_bfg,Tints and shades,0.7729811,0.7729811
1957.034,/m/07j7r,Tree,0.7638779,0.7638779
1957.034,/m/0gkxy13,Handwriting,0.73726565,0.73726565
1957.034,/m/02csf,Drawing,0.7153107,0.7153107
1957.035,/m/01k9lj,Jaw,0.8805389,0.8805389
1957.035,/m/0244x1,Gesture,0.85260487,0.85260487
1957.035,/m/05qdh,Painting,0.8139481,0.8139481
1957.035,/m/0jjw,Art,0.7923273,0.7923273
1957.035,/m/0ds5b,Facial hair,0.74954915,0.74954915
1957.035,/m/02csf,Drawing,0.7089525,0.7089525
1957.035,/m/01kr8f,Illustration,0.7029981,0.7029981
1957.035,/m/0p9xx,Visual arts,0.67910695,0.67910695
1957.035,/m/0266180,Self-portrait,0.6781473,0.6781473
1957.035,/m/0bp7w,Printmaking,0.6511404,0.6511404
1957.043,/m/0jjw,Art,0.7988546,0.7988546
1957.043,/m/05qdh,Painting,0.6934948,0.6934948
1957.043,/m/02csf,Drawing,0.66998833,0.66998833
1957.043,/m/0p9xx,Visual arts,0.66935736,0.66935736
1957.043,/m/01kr8f,Illustration,0.6437602,0.6437602
1957.043,/m/0bp7w,Printmaking,0.6357642,0.6357642
1957.043,/m/03g3w,History,0.58923703,0.58923703
1957.043,/m/0h8p59j,Paper product,0.5885041,0.5885041
1957.043,/m/0dgsmq8,Artwork,0.5866923,0.5866923
1957.043,/m/03gq5hm,Font,0.57912695,0.57912695
1957.044,/m/062581,Sleeve,0.8722079,0.8722079
1957.044,/m/0244x1,Gesture,0.85260487,0.85260487
1957.044,/m/09cx8,Finger,0.82046103,0.82046103
1957.044,/m/03gq5hm,Font,0.793855,0.793855
1957.044,/m/01vm1p,Elbow,0.7909593,0.7909593
1957.044,/m/01j48b,Wrist,0.7857955,0.7857955
1957.044,/m/012f08,Motor vehicle,0.7318306,0.7318306
1957.044,/m/019swr,Knee,0.7147247,0.7147247
1957.044,/m/0jjw,Art,0.70679605,0.70679605
1957.044,/m/01mwkf,Monochrome,0.6653765,0.6653765
1957.046,/m/02dl1y,Hat,0.8653339,0.8653339
1957.046,/m/0jjw,Art,0.8280135,0.8280135
1957.046,/m/05qdh,Painting,0.78005844,0.78005844
1957.046,/m/08v4gh,Vintage clothing,0.6937829,0.6937829
1957.046,/m/02csf,Drawing,0.67654395,0.67654395
1957.046,/m/01xyhv,Suit,0.6563301,0.6563301
1957.046,/m/01kr8f,Illustration,0.6485581,0.6485581
1957.046,/m/02w3_2,Formal wear,0.6473237,0.6473237
1957.046,/m/036jvk,Stock photography,0.6397292,0.6397292
1957.046,/m/0p9xx,Visual arts,0.63700235,0.63700235
1964.001,/m/05s2s,Plant,0.87385565,0.87385565
1964.001,/m/09nm_,World,0.87157565,0.87157565
1964.001,/m/07j7r,Tree,0.8350372,0.8350372
1964.001,/m/0jjw,Art,0.8032309,0.8032309
1964.001,/m/0cgh4,Building,0.7941579,0.7941579
1964.001,/m/05_5t0l,Landmark,0.7778263,0.7778263
