accession_number,height,width,max_height,max_width
2000.110,480,640,480,640
2000.111,999,1434,1297,1861
2000.112,1000,1074,1957,2102
2000.113,287,432,287,432
2000.114,1028,999,1463,1422
2000.115,1500,1000,5184,3456
2000.116,1504,1000,3008,2000
2000.117,1000,1504,2000,3008
2000.119,2440,1000,6823,2796
2001.001,1000,1500,3456,5184
2001.002,369,492,369,492
2001.004,324,432,324,432
2001.005,1420,1000,1639,1154
2001.161,360,353,360,353
2001.162,1504,1000,3008,2000
"2001.163a,b",1000,1500,3456,5184
2001.165,1504,1000,3008,2000
2002.006,1448,1000,2173,1500
2002.007,2101,726,2101,726
2002.009,1396,1000,3192,2286
2002.011,1247,1000,2934,2352
2002.012,1210,999,2826,2334
2002.017,956,759,759,956
2002.018,956,759,759,956
2002.019,956,740,740,956
2002.020,984,768,768,984
2002.021,993,796,796,993
2002.022,956,759,759,956
2002.027,504,318,504,318
2002.028,360,451,360,451
2002.029,360,479,360,479
2002.030,451,432,451,432
2002.031,360,489,360,489
2002.032,360,494,360,494
2002.033,1191,1000,2338,1963
2002.034,1000,1504,2000,3008
2002.037,1000,1177,1442,1698
2002.038,1084,999,3455,3185
2002.039,1007,999,1410,1399
2002.040,1000,1623,1125,1826
2003.019,354,289,354,289
2003.022,364,321,364,321
2003.024,1000,1157,3040,3519
2003.025,408,264,408,264
2003.026,418,338,418,338
2003.030,449,356,449,356
2003.031,1649,1000,2025,1228
2003.033,405,256,405,256
2003.036,999,1336,1143,1528
2003.037,368,279,368,279
2003.038,319,323,319,323
2003.040,420,318,420,318
2003.041,315,376,315,376
2003.044,384,289,384,289
2003.045,394,294,394,294
2003.046,1000,1146,3409,3907
2003.050,1000,1604,1833,2941
2003.071,1000,1500,3456,5184
2003.072,1000,1504,2000,3008
2004.004,600,491,600,491
2004.005,1297,999,2768,2133
2004.006,600,419,600,419
2004.008,1369,1000,2161,1578
2004.009,600,426,600,426
2004.011,1302,963,1302,963
2004.012,1431,1000,2087,1458
2004.013,1459,1000,1869,1281
2004.020,1354,1000,4443,3281
2004.023,1345,1000,1500,1115
2004.024,1231,1000,2793,2268
2004.025,1447,999,2606,1800
2004.028,378,504,378,504
2004.029,1000,1551,1497,2323
2004.030,1000,1539,1511,2326
2004.031,1500,1000,5184,3456
2004.039,1000,1000,3543,3543
2004.045,504,413,504,413
2004.046,504,414,504,414
2004.089,1000,1504,2000,3008
2004.090,999,1272,1892,2408
2004.091,1504,1000,3008,2000
2005.032,1188,1000,1872,1575
2005.033,1500,1000,5184,3456
2005.034,1000,1827,1585,2896
2005.035,1504,1000,3008,2000
2006.007,1434,937,1434,937
2006.009,1000,1500,3456,5184
2006.010,1000,1500,3456,5184
2006.011,360,485,360,485
2006.012,455,468,455,468
2006.013,360,544,360,544
2006.014,1000,1500,3456,5184
2006.015,1314,999,1312,1725
2007.004,366,504,366,504
2007.005,364,504,364,504
2007.006,386,504,386,504
2007.007,511,360,511,360
2007.008,498,360,498,360
2007.009,365,432,365,432
2007.010,357,504,357,504
