accession_number,mid,description,score,topicality
2000.110,/m/083vt,Wood,0.8663178,0.8663178
2000.110,/m/02skpt,Artifact,0.71239394,0.71239394
2000.110,/m/01yc83,Hand tool,0.71140814,0.71140814
2000.110,/m/020g49,Hardwood,0.7010093,0.7010093
2000.110,/m/04t7l,Metal,0.69128644,0.69128644
2000.110,/m/09ddf,Symbol,0.66699916,0.66699916
2000.110,/m/05t06b,Wood stain,0.62562793,0.62562793
2000.110,/m/022ch,Cross,0.6150153,0.6150153
2000.110,/m/03jvk,Household hardware,0.60345477,0.60345477
2000.110,/m/0h8p5l_,Religious item,0.59811366,0.59811366
2000.111,/m/083vt,Wood,0.8440661,0.8440661
2000.111,/m/0jjw,Art,0.821477,0.821477
2000.111,/m/02skpt,Artifact,0.7990814,0.7990814
2000.111,/m/022ch,Cross,0.79668814,0.79668814
2000.111,/m/09ddf,Symbol,0.74062234,0.74062234
2000.111,/m/04t7l,Metal,0.69952506,0.69952506
2000.111,/m/0h8p5l_,Religious item,0.67738974,0.67738974
2000.111,/m/03gs8b2,Balance,0.6492031,0.6492031
2000.111,/m/06msq,Sculpture,0.6137383,0.6137383
2000.111,/m/027_ny3,Still life photography,0.59408885,0.59408885
2000.112,/m/04brg2,Tableware,0.96777344,0.96777344
2000.112,/m/0h8n22v,Serveware,0.86463743,0.86463743
2000.112,/m/02skpt,Artifact,0.8400671,0.8400671
2000.112,/m/064rk,Pottery,0.8380821,0.8380821
2000.112,/m/0h8nvk9,Dishware,0.8353016,0.8353016
2000.112,/m/02s195,Vase,0.821286,0.821286
2000.112,/m/0jjw,Art,0.80439717,0.80439717
2000.112,/m/03q7p08,earthenware,0.7921268,0.7921268
2000.112,/m/037xy,Gas,0.7788771,0.7788771
2000.112,/m/0h8kxbv,Body jewelry,0.75327164,0.75327164
2000.113,/m/04brg2,Tableware,0.94365066,0.94365066
2000.113,/m/050h26,Drinkware,0.923341,0.923341
2000.113,/m/0h8nvk9,Dishware,0.9160322,0.9160322
2000.113,/m/03hj559,Mixing bowl,0.8989179,0.8989179
2000.113,/m/0h8n22v,Serveware,0.8704774,0.8704774
2000.113,/m/064rk,Pottery,0.845032,0.845032
2000.113,/m/016f4d,Porcelain,0.84341204,0.84341204
2000.113,/m/02skpt,Artifact,0.83709997,0.83709997
2000.113,/m/0dw9f6,Creative arts,0.83666486,0.83666486
2000.113,/m/0jjw,Art,0.82458144,0.82458144
2000.114,/m/07sx2n,Natural material,0.79404294,0.79404294
2000.114,/m/02skpt,Artifact,0.78916323,0.78916323
2000.114,/m/037xy,Gas,0.7751231,0.7751231
2000.114,/m/04t7l,Metal,0.72244626,0.72244626
2000.114,/m/0jjw,Art,0.6681689,0.6681689
2000.114,/m/0h8n22v,Serveware,0.6336796,0.6336796
2000.114,/m/081pkj,Event,0.62679666,0.62679666
2000.114,/m/01ys2s,Antique,0.6181142,0.6181142
2000.114,/m/0ggr_,Collectable,0.61238235,0.61238235
2000.114,/m/06msq,Sculpture,0.608457,0.608457
2000.115,/m/013_1c,Statue,0.89552355,0.89552355
2000.115,/m/06msq,Sculpture,0.8784077,0.8784077
2000.115,/m/02skpt,Artifact,0.84608585,0.84608585
2000.115,/m/0jjw,Art,0.8454955,0.8454955
2000.115,/m/0dw9f6,Creative arts,0.81556875,0.81556875
2000.115,/m/083vt,Wood,0.74093187,0.74093187
2000.115,/m/01x5q,Ceramic,0.7393355,0.7393355
2000.115,/m/0jwzhtg,Carving,0.7023704,0.7023704
2000.115,/m/04t7l,Metal,0.6985443,0.6985443
2000.115,/m/0ggr_,Collectable,0.68863946,0.68863946
2000.116,/m/04bcr3,Table,0.9412893,0.9412893
2000.116,/m/06msq,Sculpture,0.8942886,0.8942886
2000.116,/m/0h8n22v,Serveware,0.8720673,0.8720673
2000.116,/m/02skpt,Artifact,0.8460471,0.8460471
