accession_number,description,score,rel_left_x,rel_right_x,rel_top_y,rel_bottom_y,abs_left_x,abs_right_x,abs_top_y,abs_bottom_y
1992.313,Person,0.6233073,0.1368964,0.2053095,0.43649295,0.7087643,216,323,436,709
1992.314,Person,0.5570308,0.06050689,0.16332038,0.7528114,0.9411804,95,257,752,940
1992.314,Person,0.5519677,0.32095996,0.39403114,0.68122023,0.90579563,504,619,681,905
1992.314,Person,0.5471949,0.6943926,0.7518746,0.5311533,0.6933951,1091,1181,531,693
1992.314,Person,0.5384504,0.8249499,0.87676954,0.53472465,0.7318681,1296,1377,534,731
1992.314,Person,0.5294442,0.5418799,0.59621656,0.5567498,0.7242553,851,937,556,724
1992.314,Person,0.51808935,0.23698251,0.3144625,0.6416641,0.9009776,372,494,641,900
1992.314,Person,0.51241785,0.19392474,0.25689015,0.69629043,0.91580766,305,404,696,915
1992.314,Person,0.5113542,0.77705127,0.8361513,0.5726247,0.74794817,1221,1314,572,747
1992.315,Animal,0.6129316,0.35302922,0.5209893,0.8177399,0.9535077,562,829,817,953
1992.316,Person,0.7454892,0.6515377,0.74845237,0.6195669,0.9425699,1037,1191,619,942
1992.316,Person,0.7048627,0.28241852,0.3677634,0.5239685,0.6779456,449,585,523,677
1992.316,Person,0.6873913,0.36893713,0.42440382,0.43657264,0.63560826,587,675,436,635
1992.316,Person,0.68566656,0.13950737,0.21823643,0.5163223,0.7694667,222,347,516,769
1992.316,Person,0.6683543,0.02951098,0.12421764,0.65440637,0.8125806,47,198,654,812
1992.316,Clothing,0.5175389,0.65829283,0.7374306,0.6655729,0.9233432,1047,1173,665,922
1992.317,Person,0.5833974,0.5624972,0.6404948,0.36623737,0.53628135,675,769,287,420
1992.317,Furniture,0.5042944,0.20365746,0.3798331,0.7694045,0.91007453,244,456,603,713
1992.318,Person,0.62662226,0.7331659,0.81474113,0.5371012,0.74709916,1142,1269,537,747
1992.318,Animal,0.6146121,0.79987425,0.91237205,0.745472,0.86465716,1246,1421,745,865
1992.318,Animal,0.59300244,0.67363405,0.77400213,0.7102271,0.89011174,1050,1206,710,890
1992.318,Person,0.50810707,0.42488325,0.5506142,0.6001114,0.904588,662,858,600,905
1992.320,Person,0.5138573,0.70593005,0.9039435,0.509809,0.7882612,1116,1429,509,787
1992.325,Person,0.67081386,0.5495122,0.7125392,0.46293986,0.8677385,852,1105,463,868
1992.325,Person,0.56510633,0.2820187,0.44422194,0.5189945,0.85146004,437,689,519,851
1992.326,Animal,0.5945983,0.21370484,0.39410236,0.4435847,0.919168,331,610,444,919
1992.326,Animal,0.57841337,0.2826775,0.9853941,0.5860373,0.9564059,438,1525,586,956
1992.326,Person,0.5155221,0.39950955,0.57518554,0.4828243,0.94776076,618,890,483,948
1992.327,Person,0.70895904,0.12888686,0.2733038,0.35276794,0.80144215,182,385,352,801
1992.327,Packaged goods,0.6662756,0.039746013,0.92046577,0.06212765,0.84965235,56,1297,62,849
1992.328,Person,0.56520563,0.56199574,0.687355,0.46070552,0.8472225,792,968,460,846
1992.328,Person,0.5157811,0.38601622,0.5231125,0.5515724,0.86120385,544,737,551,860
1992.333,Person,0.6475043,0.059637953,0.42792812,0.30556932,0.8707156,60,428,364,1036
1992.333,Animal,0.64003515,0.05293784,0.44255972,0.2762753,0.87097836,53,443,329,1036
1992.333,Animal,0.5924284,0.5538632,0.9417563,0.20106207,0.8268972,554,942,239,984
1992.333,Scarf,0.5106417,0.058636244,0.95088476,0.062418148,0.89158463,59,951,74,1061
1992.333,Hat,0.5066278,0.081917234,0.9653275,0.0737781,0.8754191,82,965,88,1042
1992.334,Chair,0.9747719,0.22816487,0.87745386,0.11598583,0.9539938,228,877,170,1398
1992.335,Person,0.7512028,0.14227939,0.75755453,0.25510174,0.9084399,142,758,340,1211
1992.335,Clothing,0.57523865,0.19608222,0.74221593,0.44166026,0.90316135,196,742,589,1204
1992.335,Picture frame,0.5134737,0.03697692,0.95259243,0.022565812,0.95955706,37,953,30,1279
1992.336,Clothing,0.7026532,0.18197642,0.83856994,0.542072,0.9122924,182,839,723,1216
1992.336,Picture frame,0.62702197,0.014215041,0.9818427,0.016556516,0.9895251,14,982,22,1319
1992.336,Person,0.5358254,0.21440805,0.8262961,0.27372557,0.8862749,214,826,365,1181
1992.337a,Mirror,0.8400394,0.2221799,0.78937745,0.3014532,0.83585703,222,789,401,1112
1992.337b,Mirror,0.8857014,0.22529723,0.7897566,0.29989442,0.8267659,225,790,396,1091
1992.366,Vase,0.83619314,0.10266321,0.86364084,0.21104632,0.67490464,49,415,135,432
1992.384,Sculpture,0.648604,0.11293506,0.8956947,0.11191636,0.926071,144,1146,112,926
1992.401,Painting,0.91974634,0.023398163,0.9703582,0.03211455,0.95961064,13,533,11,338
1992.403,Person,0.63651717,0.025186142,0.27063963,0.15907629,0.49706835,25,271,234,730
1992.405,Person,0.63815814,0.23053086,0.80522746,0.24383248,0.84666604,192,672,295,1023
1992.405,Hat,0.5452775,0.3590128,0.5427987,0.14561017,0.22705168,299,453,176,274
1992.480,Lighting,0.58940357,0.06923444,0.92705846,0.07281285,0.92517763,69,927,87,1099
1992.483,Lighting,0.5929332,0.15768485,0.8303561,0.1708905,0.7902871,158,830,225,1042
1992.485,Vase,0.8026773,0.10117849,0.9591699,0.11560354,0.91958046,139,1318,116,920
1992.489,Lighting,0.66016734,0.045624908,0.9673443,0.15966436,0.8879992,82,1733,160,888
1992.496,Coffee table,0.64967835,0.06077161,0.9389741,0.3357863,0.79622555,61,939,448,1061
1992.550,Person,0.6424671,0.7315226,0.8795636,0.4646821,0.89768976,1067,1283,464,897
1992.550,Person,0.60678536,0.05889592,0.4874787,0.48250905,0.9549575,86,711,482,954
1992.550,Person,0.57400966,0.68317395,0.87405604,0.26258126,0.6467977,997,1275,262,646
1992.550,Person,0.5572412,0.5209828,0.69583505,0.46395242,0.9423849,760,1015,463,941
1992.550,Pillow,0.5138129,0.05078033,0.8973188,0.04205842,0.9721574,74,1309,42,971
