accession_number,height,width,max_height,max_width
1992.313,1000,1575,2850,4490
1992.314,999,1571,2833,4453
1992.315,999,1591,2803,4462
1992.316,999,1591,2803,4462
1992.317,784,1200,784,1200
1992.318,1000,1558,2821,4396
1992.319,1000,1625,2803,4556
1992.320,999,1581,2803,4434
1992.321,999,1591,2850,4537
1992.322,999,1567,2796,4384
1992.325,1000,1551,2840,4406
1992.326,1000,1548,2785,4312
1992.327,999,1409,3659,5159
1992.328,999,1409,3659,5159
1992.329,999,1409,3659,5159
1992.333,1190,1000,3425,2876
1992.334,1465,999,5778,3942
1992.335,1333,1000,2448,3264
1992.336,1333,1000,2448,3264
1992.337a,1330,1000,4126,3101
1992.337b,1319,1000,4236,3210
1992.366,640,480,480,640
1992.384,1000,1279,3456,4422
1992.401,352,549,352,549
1992.403,1469,1000,4146,2821
1992.405,1208,834,1208,834
1992.448,1000,1734,1772,3074
1992.452A&B,1000,1310,2171,2845
1992.480,1188,1000,1206,1015
1992.483,1319,999,1577,1195
1992.485,1000,1374,2677,3679
1992.489,1000,1791,2890,5177
1992.496,1333,1000,3024,4032
1992.550,999,1459,3423,4996
1993.002,494,396,494,396
1993.004,685,1327,1327,685
1993.009,1000,1504,2000,3008
1993.010,1000,1504,2000,3008
1993.015,1000,1500,3456,5184
1993.021,1000,1500,3456,5184
1993.065,999,1054,3217,3392
1993.108,1471,1000,5075,3448
1993.112,1000,1320,2618,3456
1993.170,1070,1000,2499,2335
1993.178,1333,1000,3024,4032
1993.185,1000,1649,2177,3591
1993.191,1265,1000,4372,3456
1993.210,999,1048,3153,3306
1993.213,1012,1000,3281,3242
1993.215a,1000,3275,3178,10409
1993.218,1492,999,3692,2473
1993.219,1249,1000,3009,2409
1993.221,1000,2508,1730,4340
1993.222,999,1056,3659,3866
1994.007,1000,1500,3456,5184
1994.008,1000,1500,3456,5184
1994.010,1000,1500,3456,5184
1994.011,1000,1500,3456,5184
1994.012,1000,1500,3456,5184
1994.013,1000,1500,3456,5184
1994.014,1000,1500,3456,5184
1994.016,1000,1500,3456,5184
1994.017,1000,1500,3456,5184
1994.019,1000,1500,3456,5184
1994.020,1000,1500,3456,5184
1994.022,1000,1500,3456,5184
1994.023,1000,1500,3456,5184
1994.024,1000,1500,3456,5184
1994.025,1000,1500,3456,5184
1994.026,1000,1500,3456,5184
1994.027,1000,1500,3456,5184
1994.028,1000,1500,3456,5184
1994.029,1000,1500,3456,5184
1994.030,1013,999,2996,2955
1994.031,1000,1500,3456,5184
1994.034,1000,1500,3456,5184
1994.042,1000,1500,3456,5184
1994.049,1000,1500,3456,5184
1994.106,1296,1000,4286,3306
1994.122,999,1066,3239,3456
1994.131,1333,1000,2448,3264
1994.152,1333,1000,3024,4032
1994.173,1333,1000,3024,4032
1994.174,1333,1000,3024,4032
1994.175,1333,1000,3024,4032
1994.178,999,1027,3196,3285
1994.180,1333,1000,3024,4032
1994.201,1796,1000,4714,2624
1994.206,1079,1000,3730,3456
1994.207,1255,1000,4094,3262
1994.218,1122,999,2525,2249
1994.219,1333,1000,3024,4032
1994.226,1172,1000,4051,3456
1994.332,1000,1947,2373,4622
1994.336,999,1120,2568,2878
1994.352,441,360,441,360
1994.354,640,480,480,640
1994.362,1500,1000,5184,3456
1994.364,1936,968,1936,968
1994.365,1741,1000,3124,1794
