qid,artistLabel,birthdate,deathdate,sexgender,ulan,birthplace,birthLabel,citizenship,citizenLabel
Q950316,Utagawa Toyokuni I,1769-01-01T00:00:00Z,1825-01-01T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500081100,http://www.wikidata.org/entity/Q215646,Edo,http://www.wikidata.org/entity/Q17,Japan
Q947896,Kikukawa Eizan,1787-01-01T00:00:00Z,1867-01-01T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500121367,,,http://www.wikidata.org/entity/Q17,Japan
Q590523,Minamoto no Yorimitsu,0948-01-01T00:00:00Z,1021-09-04T00:00:00Z,http://www.wikidata.org/entity/Q6581097,,,,http://www.wikidata.org/entity/Q17,Japan
Q938347,Santō Kyōden,1761-09-13T00:00:00Z,1816-10-27T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500121368,http://www.wikidata.org/entity/Q11518258,Kiba,http://www.wikidata.org/entity/Q17,Japan
Q950316,Utagawa Toyokuni I,1769-01-01T00:00:00Z,1825-01-01T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500081100,http://www.wikidata.org/entity/Q2631862,Shiba,http://www.wikidata.org/entity/Q17,Japan
Q950316,Utagawa Toyokuni I,1769-01-01T00:00:00Z,1825-02-24T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500081100,http://www.wikidata.org/entity/Q215646,Edo,http://www.wikidata.org/entity/Q17,Japan
Q590523,Minamoto no Yorimitsu,0954-08-30T00:00:00Z,1021-09-04T00:00:00Z,http://www.wikidata.org/entity/Q6581097,,,,http://www.wikidata.org/entity/Q17,Japan
Q950316,Utagawa Toyokuni I,1769-01-01T00:00:00Z,1825-02-24T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500081100,http://www.wikidata.org/entity/Q2631862,Shiba,http://www.wikidata.org/entity/Q17,Japan
Q590523,Minamoto no Yorimitsu,0944-01-01T00:00:00Z,1021-09-04T00:00:00Z,http://www.wikidata.org/entity/Q6581097,,,,http://www.wikidata.org/entity/Q17,Japan
Q467427,Utagawa Kunisada,1786-01-01T00:00:00Z,1865-01-01T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500121373,http://www.wikidata.org/entity/Q215646,Edo,http://www.wikidata.org/entity/Q17,Japan
Q467427,Utagawa Kunisada,1786-01-01T00:00:00Z,1864-01-01T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500121373,http://www.wikidata.org/entity/Q215646,Edo,http://www.wikidata.org/entity/Q17,Japan
Q534279,Ogata Kenzan,1663-01-01T00:00:00Z,1743-01-01T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500121062,http://www.wikidata.org/entity/Q34600,Kyoto,http://www.wikidata.org/entity/Q17,Japan
Q1375891,Tani Bunchō,1763-01-01T00:00:00Z,1841-01-01T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500121188,http://www.wikidata.org/entity/Q11536292,Negishi,http://www.wikidata.org/entity/Q17,Japan
Q1251247,Shikō Munakata,1903-09-05T00:00:00Z,1975-09-13T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500105681,http://www.wikidata.org/entity/Q146790,Aomori,http://www.wikidata.org/entity/Q17,Japan
Q1241113,Kiyokata Kaburaki,1878-08-31T00:00:00Z,1972-03-02T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500123229,http://www.wikidata.org/entity/Q338861,Kanda,http://www.wikidata.org/entity/Q17,Japan
Q1375891,Tani Bunchō,1763-10-15T00:00:00Z,1841-01-01T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500121188,http://www.wikidata.org/entity/Q11536292,Negishi,http://www.wikidata.org/entity/Q17,Japan
Q1375891,Tani Bunchō,1763-01-01T00:00:00Z,1841-01-06T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500121188,http://www.wikidata.org/entity/Q11536292,Negishi,http://www.wikidata.org/entity/Q17,Japan
Q1251247,Shikō Munakata,1903-09-05T00:00:00Z,1975-01-01T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500105681,http://www.wikidata.org/entity/Q146790,Aomori,http://www.wikidata.org/entity/Q17,Japan
Q1375891,Tani Bunchō,1763-10-15T00:00:00Z,1841-01-06T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500121188,http://www.wikidata.org/entity/Q11536292,Negishi,http://www.wikidata.org/entity/Q17,Japan
Q1394396,Okada Hanko,1782-01-01T00:00:00Z,1846-01-01T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500332405,http://www.wikidata.org/entity/Q35765,Osaka,http://www.wikidata.org/entity/Q17,Japan
Q1358636,Katsukawa Shunshō,1726-01-01T00:00:00Z,1793-01-19T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500118856,http://www.wikidata.org/entity/Q215646,Edo,http://www.wikidata.org/entity/Q17,Japan
Q1377454,Tomioka Tessai,1837-01-25T00:00:00Z,1924-12-31T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500121336,http://www.wikidata.org/entity/Q11355860,Sanjō-dōri Street,http://www.wikidata.org/entity/Q17,Japan
Q1358636,Katsukawa Shunshō,1726-01-01T00:00:00Z,1792-01-19T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500118856,http://www.wikidata.org/entity/Q215646,Edo,http://www.wikidata.org/entity/Q17,Japan
Q360978,Suzuki Harunobu,1725-01-01T00:00:00Z,1770-01-01T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500057319,http://www.wikidata.org/entity/Q215646,Edo,http://www.wikidata.org/entity/Q17,Japan
Q360978,Suzuki Harunobu,1725-01-01T00:00:00Z,1770-07-07T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500057319,http://www.wikidata.org/entity/Q1490,Tokyo,http://www.wikidata.org/entity/Q17,Japan
Q317736,Utagawa Kuniyoshi,1797-01-01T00:00:00Z,1861-04-14T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500063102,http://www.wikidata.org/entity/Q215646,Edo,http://www.wikidata.org/entity/Q17,Japan
Q361174,Sharaku,1770-01-01T00:00:00Z,1825-01-01T00:00:00Z,http://www.wikidata.org/entity/Q6581097,,,,http://www.wikidata.org/entity/Q17,Japan
Q427642,Torii Kiyonaga,1752-01-01T00:00:00Z,1815-06-28T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500058786,http://www.wikidata.org/entity/Q215646,Edo,http://www.wikidata.org/entity/Q17,Japan
Q360978,Suzuki Harunobu,1724-01-01T00:00:00Z,1770-01-01T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500057319,http://www.wikidata.org/entity/Q1490,Tokyo,http://www.wikidata.org/entity/Q17,Japan
Q360978,Suzuki Harunobu,1725-01-01T00:00:00Z,1770-07-07T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500057319,http://www.wikidata.org/entity/Q215646,Edo,http://www.wikidata.org/entity/Q17,Japan
Q467427,Utagawa Kunisada,1786-01-01T00:00:00Z,1865-01-12T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500121373,http://www.wikidata.org/entity/Q215646,Edo,http://www.wikidata.org/entity/Q17,Japan
