qid,artistLabel,count
Q2605345,Fritz Eichenberg,291
Q5603,Andy Warhol,163
Q3776378,Joaquim Gomis,62
Q11821277,Donna Ferrato,61
Q15994214,Eugene Biel-Bienne,58
Q187506,Honoré Daumier,50
Q16841977,Harmony Korine,49
Q23071693,Hans Hinterreiter,48
Q352438,Adriaen van Ostade,45
Q6297639,Joyce Tenneson,42
Q171344,William Hogarth,38
Q1233831,Ralph Gibson,37
Q2958342,Edouard de Beaumont,31
Q52157443,Werner Wildner,31
Q5548964,Gerald Brockhurst,30
Q482193,Amédée de Noé,29
Q58212905,Daniel Kunkel,29
Q105091182,Association of Art Directors and Graphic Designers,28
Q102160836,Hatch Show Print,25
Q28957451,Juan Martinez,24
Q467427,Utagawa Kunisada,24
Q7177423,Peter Turnley,23
Q5577,Salvador Dalí,23
Q170509,Henry James,22
Q7175899,Peter Milton,22
Q200798,Utagawa Hiroshige,22
Q467337,Yoshitoshi,22
Q828966,Erwin Bechtold,21
Q991589,Bruce Conner,20
Q1239543,Don Thompson,20
Q51754428,Kristin Capp,20
Q152384,Joan Miró,19
Q5586,Katsushika Hokusai,19
Q158099,Antoni Tàpies,18
Q55946252,Antoni Marí Ribas,17
Q657402,Hans Hartung,17
Q100741993,John Fraser,17
Q12028116,Karel Appel,17
Q2847732,André Evrard,16
Q7397563,Sadao Watanabe,16
Q3174119,Jean Proal,15
Q1395740,Lucien Clergue,15
Q3046492,Keisai Eisen,14
Q450236,Roberto Matta,14
Q1866375,Hubert Goltzius,13
Q47509394,John James Audubon,12
Q22812990,Louise Bourgeois,12
Q8016676,William Paul Morehouse,12
Q18508038,Charles François Gabriel Levachez,11
Q1289326,Eduard Micus,11
Q1580955,Hans Laabs,11
Q701592,Mimmo Paladino,11
Q950316,Utagawa Toyokuni I,11
Q61055,Arno Breker,10
Q151165,Charles Dana Gibson,10
Q53544284,Francesc Artigau,10
Q316307,Giovanni Battista Piranesi,10
Q273696,Mona Hatoum,10
Q261846,Tsuguharu Foujita,10
Q100937563,William Tucker,10
Q2114093,Étienne Delaune,10
Q957538,Alphonse Legros,9
Q472846,Conrad Marca-Relli,9
Q531234,Jim Dine,9
Q79988298,Jules Jacquemart,9
Q921242,Stefano della Bella,9
Q317736,Utagawa Kuniyoshi,9
Q92800130,William Wylie,9
Q147144,Zao Wou-Ki,9
Q451736,Amadeo Gabino,8
Q21460866,Fred Taylor,8
Q21929746,Helen Gerardia,8
Q80023302,Joseph Pennell,8
Q6530475,Lesley Dill,8
Q18686182,Lesley Foxcroft,8
Q24503,Michael Craig-Martin,8
Q16007897,Alonzo C. Webb,7
Q822353,Bernard Cohen,7
Q1144898,Currier and Ives,7
Q734889,Francesco Bartolozzi,7
Q156128,Georges Rouault,7
Q5560919,Gilbert Gaul,7
Q1455806,Joan Hernández Pijuan,7
Q80077266,John Taylor Arms,7
Q57688022,Leonard Baskin,7
Q1074290,Paul Gavarni,7
Q693095,Conrad Felixmüller,6
Q87406961,Janet Mitchell,6
Q366066,John Flaxman,6
Q142472,Käthe Kollwitz,6
Q55987884,Leopoldo Irriguible,6
Q165275,Robert Motherwell,6
Q94684059,Sally Gall,6
Q94296230,Sidney Chafetz,6
Q809510,Bartolomeo Pinelli,5
Q105206935,Calvin J. Sumsion,5
Q5078832,Charles Hazlewood Shannon,5
Q22237088,Frank Liefooghe,5
Q89962122,Herbert Fink,5
Q63038130,Jill Mathis,5
Q1679017,Johann Jakob Frey the Elder,5
Q180727,John Cage,5
Q5593,Pablo Picasso,5
Q492111,Patrick Caulfield,5
Q368645,Richard Long,5
Q3469342,Sakai Hōitsu,5
Q7634046,Sue Coe,5
Q75972276,Thomas Bury,5
Q30743874,Timothy W. Clark,5
Q3087294,Toyohara Chikanobu,5
Q306759,Abbott Handerson Thayer,4
Q66990937,Andrzej Klimowski,4
Q4759891,André Fauteux,4
Q153920,Aristide Maillol,4
Q56537701,Ben-Zion,4
Q125409,Charles Jacque,4
Q101232628,David Walsh,4
Q156736,Eduardo Chillida,4
Q57915535,Elaine Cohen,4
Q21486072,Emilio Rodríguez-Larrain,4
Q946578,Francis Seymour Haden,4
Q5494910,Fred Cozzens,4
Q371280,George Romney,4
Q105091223,HK Holbein,4
Q165367,Hendrik Goltzius,4
Q567547,Ian Hamilton Finlay,4
Q16995114,Isabel Bishop,4
Q460124,Jacques Callot,4
Q605799,Jacques Stella,4
Q21993978,Jean Baptiste Hilaire,4
Q3503915,John Crome,4
Q26924921,Joop Birker,4
Q1358636,Katsukawa Shunshō,4
Q11553926,Kawamura Bunpō,4
Q6826451,Meyer Wolfe,4
Q22086169,Morris Davidson,4
Q99484208,Philippe Benoist,4
Q2360939,Richard Earlom,4
Q98765231,Richard Smith,4
Q19845232,Rinaldo Paluzzi,4
Q16297945,Roser Bru,4
Q11599030,Takehara Shunsensai,4
Q29219293,Tatana Kellner,4
Q52154484,Toyota Hokkei,4
Q1967967,Ugo da Carpi,4
Q1961244,Willem Isaacsz Swanenburg,4
Q326215,Abraham Bosse,3
Q365388,Adolph Gottlieb,3
Q1297898,Aegidius Sadeler,3
Q19594595,Albert Rosenthal,3
Q58470913,Alfredo Trento,3
Q944948,Antonio Maria Zanetti,3
Q3620165,Antonio Saura,3
Q559929,Bernard Picart,3
Q17194393,Beth Van Hoesen,3
Q16091614,Ce Roser,3
Q5077591,Charles Falls,3
Q610532,David Burliuk,3
Q3048405,Eduardo Úrculo,3
Q449119,Emil Schumacher,3
Q3056456,Erica Lennard,3
Q17146408,Ethelbert White,3
Q107194,George Grosz,3
Q5593120,Graham Ovenden,3
Q77324910,Hiroshi Murata,3
Q43132001,Immo Jalass,3
Q85895802,J Gross,3
Q76135524,J. Ryan,3
Q24256439,Jakob Nussbaum,3
Q56099,James Lavadour,3
Q537266,James Montgomery Flagg,3
Q29047374,Jane Logemann,3
Q60743508,Joe Downing,3
Q75571020,John Goodyear,3
Q143750,John Rogers,3
Q3192796,Kanō Yasunobu,3
Q63037298,Katinka Mann,3
Q16739226,Katja Meirowsky,3
Q931065,Kenneth Snelson,3
Q3074364,Kitao Shigemasa,3
Q11545119,Kuniyasu,3
Q28784581,Leo Rabkin,3
Q8342047,Louis Justin Laurent Icart,3
Q6697422,Lucio Pozzi,3
Q93284,Marc Chagall,3
Q3302254,Max Papart,3
Q16186318,Michael Kessler,3
Q711737,Nicolaes Pieterszoon Berchem,3
Q5624550,Pierre Drevet,3
Q39931,Pierre-Auguste Renoir,3
Q13426817,Rafael Armengol,3
Q19569785,Raphael Sadeler the Elder,3
Q3435664,Robert Lapoujade,3
Q982677,Roland Penrose,3
Q151679,Roy Lichtenstein,3
Q22237655,Roy Villevoye,3
Q659858,Seymour Lipton,3
Q361174,Sharaku,3
Q28861822,Stephanie Pogue,3
Q86449502,Susan DeMay,3
Q1805696,Sébastien Leclerc,3
Q105091278,The Little Friends of Printmaking,3
Q75530019,Thomas Rowlandson,3
Q3074993,Utagawa Toyokuni II,3
Q55219270,Vincent Longo,3
Q47513362,Will Barnet,3
Q18552351,Willy Weber,3
Q11467416,Yamaguchi Soken,3
Q75641239,A. Adams,2
Q105206589,Aaron Wilson,2
Q4684075,Adolf Dehn,2
Q4684426,Adolphe Jean-Baptiste Bayot,2
Q2607849,Albert Ràfols-Casamada,2
Q157194,Alberto Giacometti,2
Q5580,Albrecht Dürer,2
Q4727179,Alison Saar,2
Q539036,Allaert van Everdingen,2
Q312529,André Masson,2
Q4794962,Arnold Blanch,2
Q19259705,Arwed D. Gorella,2
Q2871122,Augustus Charles Pugin,2
Q562540,Augustus John,2
Q4859173,Barbara Morgan,2
Q16971287,Bill Boysen,2
Q5046268,Carrie Mae Weems,2
Q23020275,Charles Edward Chambers,2
Q16866524,Charles Keene,2
Q737635,Childe Hassam,2
Q2495654,Chris Drury,2
Q1082620,Christiane Baumgartner,2
Q1274026,Claude Mellan,2
Q8353580,Daniel Argimon i Granell,2
Q23038869,Debbie Ann Thomas,2
Q61719403,Debora Dancy,2
Q234324,Dorothea Tanning,2
Q64547233,Edward Steichen,2
Q20750459,Emil Ganso,2
Q664257,Emilio Vedova,2
Q1343964,Enrique Chagoya,2
Q5398958,Esphyr Slobodkina,2
Q11697288,Eugeniusz Get-Stankiewicz,2
Q714341,Eugène Isabey,2
Q5440979,Federico Castellón,2
Q157183,Fernand Léger,2
Q17516050,Francisco de Goya,2
Q5488644,Frank Newbould,2
Q3511507,Frans Wildenhain,2
Q104300537,Fransje Killaars,2
Q160252,"Frederic Leighton, 1st Baron Leighton",2
Q633574,Félix Bracquemond,2
Q23310132,Gabriele Evertz,2
Q698624,Georg Pencz,2
Q153793,Georges Braque,2
Q5552550,Gerrit Beneker,2
Q20199349,"Grien, Hans Baldung",2
Q67390260,H. Takahashi,2
Q5662727,Harold Weston,2
Q46481608,Hedwig Friedländer Edle von Malheim,2
Q94668625,Helen Gilbert,2
Q2748223,Henri Goetz,2
Q5719056,Henry C. Pearson,2
Q27595506,Henry Patrick Raleigh,2
Q18508293,Henry Pyall,2
Q1471865,Ibram Lassaw,2
Q11376888,Imao Keinen,2
Q3950852,Irving Ramsey Wiles,2
Q55709573,Isabelle Rousseau,2
Q6096157,Ivan Dmitri,2
Q17343011,Jacob de Gheyn III,2
Q3158256,Jacques Bernard,2
Q766867,Jacques-Philippe Caresme,2
Q48804653,James H. Price,2
Q203643,James McNeill Whistler,2
Q6142912,James Seawright,2
Q981631,Jan Both,2
Q6149861,Jan Sawka,2
Q170076,Jean Dubuffet,2
Q575664,Jean Morin,2
