qid,label_en,description_en,instance_of_uuid,instance_of,gender_uuid,gender,orcid_uuid,orcid,orcid_ref1_hash,orcid_ref1_retrieved_nodeId,orcid_ref1_retrieved_val,orcid_ref1_retrieved_prec,employer_uuid,employer,employer_start_time_nodeId,employer_start_time_val,employer_start_time_prec,employer_end_time_nodeId,employer_end_time_val,employer_end_time_prec,employer_ref1_hash,employer_ref1_referenceUrl,employer_ref1_retrieved_nodeId,employer_ref1_retrieved_val,employer_ref1_retrieved_prec,affiliation_uuid,affiliation,affiliation_start_time_nodeId,affiliation_start_time_val,affiliation_start_time_prec,affiliation_end_time_nodeId,affiliation_end_time_val,affiliation_end_time_prec,affiliation_ref1_hash,affiliation_ref1_referenceUrl,affiliation_ref1_retrieved_nodeId,affiliation_ref1_retrieved_val,affiliation_ref1_retrieved_prec,department
,Nicholas Eleuteri,medical researcher,,Q5,,,,0000-0001-7573-5464,,,2021-03-27,,,Q29052,,2020-08-20,,,,,,https://orcid.org/0000-0001-7573-5464,,2021-03-27,,,,,,,,,,,,,,,Biomedical Sciences
,Andreanna Burman,medical researcher,,Q5,,,,0000-0002-5309-7876,,,2021-03-27,,,Q29052,,2020-08,,,,,,https://orcid.org/0000-0002-5309-7876,,2021-03-27,,,,,,,,,,,,,,,Biomedical Sciences (IGP)
,Trevor Voss,medical researcher,,Q5,,,,0000-0003-3948-6194,,,2021-03-27,,,Q29052,,2019-08-15,,,,,,https://orcid.org/0000-0003-3948-6194,,2021-03-27,,,,,,,,,,,,,,,Biophotonics
,DeAndra Peoples,medical researcher,,Q5,,,,0000-0001-8332-3902,,,2021-03-27,,,Q29052,,2018-06-03,,,2018-08-08,,,https://orcid.org/0000-0001-8332-3902,,2021-03-27,,,,,,,,,,,,,,,Biophotonics Lab
,Lauren Munoz,medical researcher,,Q5,,,,0000-0002-5418-1623,,,2021-03-27,,,Q7914455,,2010-07,,,2011-07,,,https://orcid.org/0000-0002-5418-1623,,2021-03-27,,,,,,,,,,,,,,,Burn Unit
,Aurora B. Romero,,,Q5,,,,0000-0003-2254-866X,,,2021-03-27,,,Q29052,,2016-06-01,,,2019-05-31,,,https://orcid.org/0000-0003-2254-866X,,2021-03-27,,,,,,,,,,,,,,,CASPAR
,Kathleen Brelsford,bioethicist,,Q5,,,,0000-0002-9423-681X,,,2021-03-27,,,Q7914455,,2017-06,,,,,,https://orcid.org/0000-0002-9423-681X,,2021-03-27,,,,,,,,,,,,,,,Center for Biomedical Ethics & Society
,Ross Graham,bioethicist,,Q5,,,,0000-0003-4578-7022,,,2021-03-27,,,Q7914455,,2017-03-01,,,2018-07-31,,,https://orcid.org/0000-0003-4578-7022,,2021-03-27,,,,,,,,,,,,,,,Center for Biomedical Ethics and Society
,William Potter,humanities researcher,,Q5,,,,0000-0003-1009-9545,,,2021-03-27,,,Q29052,,2019-08,,,2020-07,,,https://orcid.org/0000-0003-1009-9545,,2021-03-27,,,,,,,,,,,,,,,Center for Digital Humanities
,Vanessa Kumpf,nutrition researcher,,Q5,,,,0000-0002-3390-3869,,,2021-03-27,,,Q7914455,,2006-01-16,,,,,,https://orcid.org/0000-0002-3390-3869,,2021-03-27,,,,,,,,,,,,,,,Center for Human Nutrition
,Juyi Park,,,Q5,,,,0000-0003-2185-3304,,,2021-03-27,,,Q29052,,2002-11-01,,,2004-06-30,,,https://orcid.org/0000-0003-2185-3304,,2021-03-27,,,,,,,,,,,,,,,Center for Intelligent Systems
,John Clark,,,Q5,,,,0000-0002-0173-3164,,,2021-03-27,,,Q7914455,,,,,,,,https://orcid.org/0000-0002-0173-3164,,2021-03-27,,,,,,,,,,,,,,,Center for Knowledge Management
,Jing Su,,,Q5,,,,0000-0001-6699-6806,,,2021-03-27,,,Q7914455,,,,,,,,https://orcid.org/0000-0001-6699-6806,,2021-03-27,,,,,,,,,,,,,,,Center for Knowledge Management
,Gabriella Papa,,,Q5,,,,0000-0002-1384-3555,,,2021-03-27,,,Q7914455,,2020-09-01,,,,,,https://orcid.org/0000-0002-1384-3555,,2021-03-27,,,,,,,,,,,,,,,Center for Knowledge management
,Spencer DesAutels,,,Q5,,,,0000-0002-6120-2496,,,2021-03-27,,,Q7914455,,2015-01-05,,,,,,https://orcid.org/0000-0002-6120-2496,,2021-03-27,,,,,,,,,,,,,,,Center for Knowledge Management
,Helena Simonett,,,Q5,,,,0000-0003-1044-4804,,,2021-03-27,,,Q29052,,2008-08-01,,,2016-07-31,,,https://orcid.org/0000-0003-1044-4804,,2021-03-27,,,,,,,,,,,,,,,Center for Latin American Studies
,Jacob Summers,,,Q5,,,,0000-0003-3113-0353,,,2021-03-27,,,Q7914455,,2020-05-01,,,,,,https://orcid.org/0000-0003-3113-0353,,2021-03-27,,,,,,,,,,,,,,,Center for Matrix Biology
,Kyle Gavulic,,,Q5,,,,0000-0001-8613-0823,,,2021-03-27,,,Q29052,,2019-08-26,,,2020-05-01,,,https://orcid.org/0000-0001-8613-0823,,2021-03-27,,,,,,,,,,,,,,,"Center for Medicine, Health, and Society"
,Ryan Morrison,,,Q5,,,,0000-0003-4995-8001,,,2021-03-27,,,Q7914455,,2010-03,,,2015-01,,,https://orcid.org/0000-0003-4995-8001,,2021-03-27,,,,,,,,,,,,,,,Center for Neuroscience Drug Discovery
,Emily Cornish,,,Q5,,,,0000-0003-4041-1616,,,2021-03-27,,,Q29052,,2013-12,,,,,,https://orcid.org/0000-0003-4041-1616,,2021-03-27,,,,,,,,,,,,,,,Center for Research on Men's Health
