qid,accession_number,dimension,type,label,creator,inception_val,inception_earliest_date_val,inception_latest_date_val,style_period,rights,media_url,status
Q105091605,1980.060o,2D,artists book,An African Folktale: Why the Sun and the Moon Live in the Sky,Q105090286,1979-01-01T00:00:00Z,,,,,https://forum.jstor.org/assets/26755501/representation-view,inception was after copyright cutoff
Q105091606,1980.060p,2D,artists book,An African Folktale: Why the Sun and the Moon Live in the Sky,Q105090286,1979-01-01T00:00:00Z,,,,,https://forum.jstor.org/assets/26755502/representation-view,inception was after copyright cutoff
Q106577273,1980.060a,2D,artists book,An African Folktale: Why the Sun and the Moon Live in the Sky,Q105090286,1979-01-01T00:00:00Z,,,,,https://forum.jstor.org/assets/26755487/representation-view,inception was after copyright cutoff
Q106577274,1980.060b,2D,artists book,An African Folktale: Why the Sun and the Moon Live in the Sky,Q105090286,1979-01-01T00:00:00Z,,,,,https://forum.jstor.org/assets/26755488/representation-view,inception was after copyright cutoff
Q106577275,1980.060g,2D,artists book,An African Folktale: Why the Sun and the Moon Live in the Sky,Q105090286,1979-01-01T00:00:00Z,,,,,https://forum.jstor.org/assets/26755493/representation-view,inception was after copyright cutoff
Q106577276,1980.060h,2D,artists book,An African Folktale: Why the Sun and the Moon Live in the Sky,Q105090286,1979-01-01T00:00:00Z,,,,,https://forum.jstor.org/assets/26755494/representation-view,inception was after copyright cutoff
Q106577277,1980.060n,2D,artists book,An African Folktale: Why the Sun and the Moon Live in the Sky,Q105090286,1979-01-01T00:00:00Z,,,,,https://forum.jstor.org/assets/26755500/representation-view,inception was after copyright cutoff
Q106577278,1980.060q,2D,artists book,An African Folktale: Why the Sun and the Moon Live in the Sky,Q105090286,1979-01-01T00:00:00Z,,,,,https://forum.jstor.org/assets/26755503/representation-view,inception was after copyright cutoff
Q106577279,1980.060r,2D,artists book,An African Folktale: Why the Sun and the Moon Live in the Sky,Q105090286,1979-01-01T00:00:00Z,,,,,https://forum.jstor.org/assets/26755504/representation-view,inception was after copyright cutoff
Q105091607,1978.057,2D,artists book,An Album of Japanese Figure Drawings,Q11467416,1799-01-01T00:00:00Z,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26754099/representation-view,inception prior to copyright cutoff
