qid,iiif_manifest_uuid,iiif_manifest_old,iiif_manifest_new
Q106577245,179B6F99-221A-4B14-BA4D-29BD3D4797E8,https://iiif-manifest.library.vanderbilt.edu/gallery/1995/1995.016a.tif.json,https://iiif-manifest.library.vanderbilt.edu/gallery/1995/1995.016a.json
Q106577246,6FA0BD9C-2F3E-46C0-A591-6A9BC989A0AC,https://iiif-manifest.library.vanderbilt.edu/gallery/1995/1995.016b.tif.json,https://iiif-manifest.library.vanderbilt.edu/gallery/1995/1995.016b.json
Q106577247,DDAF8F9A-5D1E-497F-AA5C-578CBE815A84,https://iiif-manifest.library.vanderbilt.edu/gallery/1995/1995.016c.tif.json,https://iiif-manifest.library.vanderbilt.edu/gallery/1995/1995.016c.json
Q106577248,A8AE5A8C-0904-4D2E-9087-8994A719BA5D,https://iiif-manifest.library.vanderbilt.edu/gallery/1995/1995.016d.tif.json,https://iiif-manifest.library.vanderbilt.edu/gallery/1995/1995.016d.json
Q106577249,57BB4E6F-AF7A-46E1-8FC8-D04315812369,https://iiif-manifest.library.vanderbilt.edu/gallery/1995/1995.016e.tif.json,https://iiif-manifest.library.vanderbilt.edu/gallery/1995/1995.016e.json
Q106577250,023C60C1-532D-4154-A931-C62A54F23148,https://iiif-manifest.library.vanderbilt.edu/gallery/1995/1995.016f.tif.json,https://iiif-manifest.library.vanderbilt.edu/gallery/1995/1995.016f.json
Q106577251,2F0821D0-B34A-4909-85A3-93FAB5FF7742,https://iiif-manifest.library.vanderbilt.edu/gallery/1995/1995.016g.tif.json,https://iiif-manifest.library.vanderbilt.edu/gallery/1995/1995.016g.json
Q106577252,70BA9692-EF71-40F6-90DD-D9E0F32FA561,https://iiif-manifest.library.vanderbilt.edu/gallery/1995/1995.016h.tif.json,https://iiif-manifest.library.vanderbilt.edu/gallery/1995/1995.016h.json
Q106577253,04A3A9E6-4D90-4FA6-A3CC-26532547475C,https://iiif-manifest.library.vanderbilt.edu/gallery/1995/1995.016i.tif.json,https://iiif-manifest.library.vanderbilt.edu/gallery/1995/1995.016i.json
Q106577254,5A5E6E51-5A56-41F6-A320-DCDC6D9ED6A2,https://iiif-manifest.library.vanderbilt.edu/gallery/1995/1995.017a.tif.json,https://iiif-manifest.library.vanderbilt.edu/gallery/1995/1995.017a.json
Q106577255,2B26B20A-8B00-4C12-8298-6E88F7F9635F,https://iiif-manifest.library.vanderbilt.edu/gallery/1995/1995.017b.tif.json,https://iiif-manifest.library.vanderbilt.edu/gallery/1995/1995.017b.json
Q106577256,08D0DAE6-6C04-4948-9892-64F79641241F,https://iiif-manifest.library.vanderbilt.edu/gallery/1995/1995.017c.tif.json,https://iiif-manifest.library.vanderbilt.edu/gallery/1995/1995.017c.json
Q106577257,6989C95D-E765-4663-9AA0-225C582728A0,https://iiif-manifest.library.vanderbilt.edu/gallery/1995/1995.017d.tif.json,https://iiif-manifest.library.vanderbilt.edu/gallery/1995/1995.017d.json
Q106577258,2122CE19-ADD7-4116-89AE-9C2115DB9939,https://iiif-manifest.library.vanderbilt.edu/gallery/1995/1995.017e.tif.json,https://iiif-manifest.library.vanderbilt.edu/gallery/1995/1995.017e.json
Q106577259,9AC799D0-E75E-4748-8684-AF94993E9FFB,https://iiif-manifest.library.vanderbilt.edu/gallery/1995/1995.017f.tif.json,https://iiif-manifest.library.vanderbilt.edu/gallery/1995/1995.017f.json
Q106577260,4E9BB264-383E-4082-9851-F0A02D9D438A,https://iiif-manifest.library.vanderbilt.edu/gallery/1995/1995.017g.tif.json,https://iiif-manifest.library.vanderbilt.edu/gallery/1995/1995.017g.json
Q105091607,F1FAC0FE-A0BC-4D88-BF1C-5C541231D208,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.057.tif.json,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.057.json
Q106577284,445F31A8-9BA8-4EE2-8BED-42736CB1AFA0,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.063.tif.json,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.063.json
Q106577285,26FF4D9E-72E5-49C2-A709-00E488284233,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.066.tif.json,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.066.json
Q106577286,71AD024D-0976-4D5D-A8D0-78310AB49C19,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.065.tif.json,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.065.json
Q103550902,D1031929-1E76-4238-B5DB-FCD379355875,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.070.tif.json,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.070.json
Q106577287,FF8342E0-870D-4C92-9EDA-2AAF62ED5B80,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.067.tif.json,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.067.json
Q103297085,2761E476-FAF1-4F92-A303-C1B69844B9B4,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.068.tif.json,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.068.json
Q106577298,576001FB-1798-47EA-8ABC-E9F4709C3939,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.151.tif.json,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.151.json
