qid,commons_id,local_identifier,label_en,directory,local_filename,rank,image_name,iiif_manifest,notes
Q106577245,,1995.016a,A page from an album of hand-colored woodblock prints depicting ancient sages,1995,1995.016a.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1995/1995.016a.json,
Q106577246,,1995.016b,A page from an album of hand-colored woodblock prints depicting ancient sages,1995,1995.016b.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1995/1995.016b.json,
Q106577247,,1995.016c,A page from an album of hand-colored woodblock prints depicting ancient sages,1995,1995.016c.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1995/1995.016c.json,
Q106577248,,1995.016d,A page from an album of hand-colored woodblock prints depicting ancient sages,1995,1995.016d.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1995/1995.016d.json,
Q106577249,,1995.016e,A page from an album of hand-colored woodblock prints depicting ancient sages,1995,1995.016e.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1995/1995.016e.json,
Q106577250,,1995.016f,A page from an album of hand-colored woodblock prints depicting ancient sages,1995,1995.016f.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1995/1995.016f.json,
Q106577251,,1995.016g,A page from an album of hand-colored woodblock prints depicting ancient sages,1995,1995.016g.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1995/1995.016g.json,
Q106577252,,1995.016h,A page from an album of hand-colored woodblock prints depicting ancient sages,1995,1995.016h.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1995/1995.016h.json,
Q106577253,,1995.016i,A page from an album of hand-colored woodblock prints depicting ancient sages,1995,1995.016i.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1995/1995.016i.json,
Q106577254,,1995.017a,A page from an album of hand-colored woodblock prints depicting ancient sages,1995,1995.017a.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1995/1995.017a.json,
Q106577255,,1995.017b,A page from an album of hand-colored woodblock prints depicting ancient sages,1995,1995.017b.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1995/1995.017b.json,
Q106577256,,1995.017c,A page from an album of hand-colored woodblock prints depicting ancient sages,1995,1995.017c.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1995/1995.017c.json,
Q106577257,,1995.017d,A page from an album of hand-colored woodblock prints depicting ancient sages,1995,1995.017d.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1995/1995.017d.json,
Q106577258,,1995.017e,A page from an album of hand-colored woodblock prints depicting ancient sages,1995,1995.017e.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1995/1995.017e.json,
Q106577259,,1995.017f,A page from an album of hand-colored woodblock prints depicting ancient sages,1995,1995.017f.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1995/1995.017f.json,
Q106577260,,1995.017g,A page from an album of hand-colored woodblock prints depicting ancient sages,1995,1995.017g.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1995/1995.017g.json,
Q105091607,,1978.057,An Album of Japanese Figure Drawings,1978,1978.057.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.057.json,
Q106577284,,1978.063,Artist's sketchbook,1978,1978.063.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.063.json,
Q106577285,,1978.066,Artist's sketchbook,1978,1978.066.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.066.json,
Q106577286,,1978.065,Artist's sketchbook with figure sketches,1978,1978.065.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.065.json,
Q103550902,,1978.070,Artist's sketchbook with landscape drawings,1978,1978.070.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.070.json,
Q106577287,,1978.067,"Artist's sketchbook with large figures and small landscapes, Volume 7",1978,1978.067.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.067.json,
Q103297085,,1978.068,"Artist's sketchbook with small ink sketches of figures, animals, birds, flowers, and landscapes",1978,1978.068.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.068.json,
Q106577298,,1978.151,Book with accordian folds,1978,1978.151.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.151.json,
Q106577299,,1978.075,Bunpo Gafu (The Album of Drawings of Bunpo),1978,1978.075.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.075.json,
Q106577300,,1978.076,Bunpo Kanga (Chinese Style Drawings by Bunpo),1978,1978.076.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.076.json,
Q103299496,,1978.169,Edo Miyage,1978,1978.169.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.169.json,
Q106577325,,1978.102,"Ehon Sen Moto, Volume 3",1978,1978.102.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.102.json,
Q105091757,,1978.133,Ehon Shiki Oyu,1978,1978.133.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.133.json,
Q106577326,,1978.048,Ehon Totoe-gusa (The Illustrated Book of Fables),1978,1978.048.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.048.json,
Q106577327,,1978.077,"Ehon-Asa Murasaki (The Picture Book, Light Purple), Volume 2 of 2",1978,1978.077.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.077.json,
Q106577334,,1978.087,Fukaku Ayumi Hajime,1978,1978.087.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.087.json,
Q103300321,,1978.093,Furyu Dansen Gun,1978,1978.093.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.093.json,
