,iiif_manifest_uuid,iiif_manifest_old,iiif_manifest_new
Q80566046,,,https://iiif-manifest.library.vanderbilt.edu/gallery/1979/1979.0659P.json
Q94002062,,,https://iiif-manifest.library.vanderbilt.edu/gallery/2002/2002.014.json
