name,accession,kilobytes,height,width,subdir,extension
1957.002.tif,1957.002,52046,2925,6071,1957,tif
1957.003.tif,1957.003,81744,2859,4878,1957,tif
1957-041.tif,1957.041,53015,2547,3551,1957,tif
1957-040.tif,1957.040,44557,2293,3315,1957,tif
1957.046.jpg,1957.046,23,443,226,1957,jpg
1957.044.jpg,1957.044,45,409,495,1957,jpg
1957.008.tif,1957.008,11156,2148,1768,1957,tif
1957.021.tif,1957.021,38540,4224,3112,1957,tif
1957.041.jpg,1957.041,28,308,464,1957,jpg
1957.040.jpg,1957.040,50,304,436,1957,jpg
1957.042.jpg,1957.042,134,476,322,1957,jpg
1957.032.tif,1957.032,9345,2025,1575,1957,tif
1957.043.jpg,1957.043,34,442,306,1957,jpg
1957.018.jpg,1957.018,23,410,304,1957,jpg
1957.030.jpg,1957.030,40,678,480,1957,jpg
1957.024.jpg,1957.024,17,457,328,1957,jpg
1957.040.tif,1957.040,25435,2505,3463,1957,tif
1957.041.tif,1957.041,25778,2517,3493,1957,tif
1957-038.tif,1957.038,74109,3172,3986,1957,tif
1957.025.jpg,1957.025,16,390,288,1957,jpg
1957.031.jpg,1957.031,39,269,432,1957,jpg
1957.019.jpg,1957.019,66,456,355,1957,jpg
1957.027.jpg,1957.027,40,600,440,1957,jpg
1957.033.jpg,1957.033,71,413,494,1957,jpg
1957.042.tif,1957.042,29297,2625,3806,1957,tif
1957-007.tif,1957.007,17956,2013,1521,1957,tif
1957.032.jpg,1957.032,236,500,389,1957,jpg
1957.026.jpg,1957.026,23,447,332,1957,jpg
1957.022.jpg,1957.022,17,409,283,1957,jpg
1957.023.jpg,1957.023,18,449,328,1957,jpg
1957.035.jpg,1957.035,27,460,304,1957,jpg
1957.021.jpg,1957.021,170,500,368,1957,jpg
1957.009.jpg,1957.009,52,334,439,1957,jpg
1957-001.tif,1957.001,40399,3796,1815,1957,tif
1957.008.jpg,1957.008,253,500,412,1957,jpg
1957.020.jpg,1957.020,44,409,297,1957,jpg
1957.034.jpg,1957.034,31,501,366,1957,jpg
1964.009.jpg,1964.009,202,356,500,1964,jpg
1964.008.jpg,1964.008,226,500,434,1964,jpg
1964.020.jpg,1964.020,232,398,500,1964,jpg
1964.018.jpg,1964.018,232,395,500,1964,jpg
1964.019.jpg,1964.019,219,500,408,1964,jpg
1964.003.jpg,1964.003,230,387,500,1964,jpg
1964.017.jpg,1964.017,226,386,500,1964,jpg
1964.016.jpg,1964.016,181,388,500,1964,jpg
1964.002.jpg,1964.002,208,381,500,1964,jpg
1964.014.jpg,1964.014,236,500,402,1964,jpg
1964.001.jpg,1964.001,217,384,500,1964,jpg
1964.015.jpg,1964.015,219,390,500,1964,jpg
1964.011.jpg,1964.011,210,379,500,1964,jpg
1964.005.jpg,1964.005,230,394,500,1964,jpg
1964.004.jpg,1964.004,205,500,407,1964,jpg
1964.010.jpg,1964.010,194,363,500,1964,jpg
1964.006.jpg,1964.006,207,382,500,1964,jpg
1964.012.jpg,1964.012,205,500,414,1964,jpg
1964.013.jpg,1964.013,184,310,500,1964,jpg
1964.007.jpg,1964.007,211,500,412,1964,jpg
1965.033.jpg,1965.033,236,500,399,1965,jpg
1965.027.jpg,1965.027,262,388,500,1965,jpg
1965-012.tif,1965.012,23941,2295,1779,1965,tif
1965.033.med.jpg,1965.033,1731,2071,2596,1965,jpg
1965-013.tif,1965.013,38546,3107,2116,1965,tif
1965-007.tif,1965.007,48918,3238,2577,1965,tif
1965.026.jpg,1965.026,140,272,500,1965,jpg
1965.030.jpg,1965.030,233,355,500,1965,jpg
1965-011.tif,1965.011,32336,2831,1948,1965,tif
1965-039.tif,1965.039,27535,1790,2624,1965,tif
1965-038.tif,1965.038,39577,2180,3097,1965,tif
1965-004.tif,1965.004,39324,2193,3059,1965,tif
1965.019.jpg,1965.019,214,344,486,1965,jpg
1965.031.jpg,1965.031,201,373,500,1965,jpg
1965.025.jpg,1965.025,229,500,398,1965,jpg
1965.009.jpg,1965.009,131,501,371,1965,jpg
1965.021.jpg,1965.021,169,346,500,1965,jpg
1965-014.tif,1965.014,47997,3390,2415,1965,tif
1965.014.med.jpg,1965.014,1249,2315,3300,1965,jpg
1965.023.lg.jpg,1965.023,3113,2906,3271,1965,jpg
1965-029.tif,1965.029,24470,2549,1637,1965,tif
1965.034.jpg,1965.034,127,361,286,1965,jpg
1965.020.jpg,1965.020,229,433,486,1965,jpg
1965.022.jpg,1965.022,196,500,390,1965,jpg
1965.022.med.jpg,1965.022,1975,2484,3187,1965,jpg
1965.023.jpg,1965.023,302,444,500,1965,jpg
1965.008.tif,1965.008,71460,4302,2834,1965,tif
1965.034.tif,1965.034,17767,2737,2212,1965,tif
1965.020.tif,1965.020,12008,1893,2165,1965,tif
1965.021.tif,1965.021,13567,1790,2587,1965,tif
1965.009.tif,1965.009,8146,3353,2481,1965,tif
1965.029.med.jpg,1965.029,899,1565,2484,1965,jpg
1965.030.med.jpg,1965.030,1430,1753,2465,1965,jpg
1965.026.tif,1965.026,13364,1575,2896,1965,tif
1965.031.tif,1965.031,49831,3562,4775,1965,tif
1965.025.tif,1965.025,55348,3917,4821,1965,tif
1965.019.tif,1965.019,15449,1940,2718,1965,tif
1965.007.med.jpg,1965.007,1250,2015,2831,1965,jpg
1965.018.tif,1965.018,3497,1226,966,1965,tif
1965.015.tif,1965.015,14416,2831,1738,1965,tif
1965.001.tif,1965.001,18305,2069,3015,1965,tif
1965.034.med.jpg,1965.034,4285,2351,1828,1965,jpg
1965.002.tif,1965.002,10263,2100,1668,1965,tif
1965.016.tif,1965.016,18889,2625,2456,1965,tif
1965.017.tif,1965.017,26788,2844,3215,1965,tif
1965.025.med.jpg,1965.025,1695,2193,2756,1965,jpg
1965.012.tif,1965.012,8113,1434,1931,1965,tif
1965.006.tif,1965.006,18170,2946,2102,1965,tif
1965.004.tif,1965.004,15449,1940,2718,1965,tif
1965.038.tif,1965.038,21968,2325,3225,1965,tif
1965.039.tif,1965.039,91321,3223,4834,1965,tif
1965.005.tif,1965.005,45145,2934,2624,1965,tif
1965.003.med.jpg,1965.003,1457,2521,3393,1965,jpg
1965.013.med.jpg,1965.013,1469,2015,2831,1965,jpg
1965.012.jpg,1965.012,247,500,371,1965,jpg
1965.006.jpg,1965.006,193,504,359,1965,jpg
1965-027.tif,1965.027,20157,1634,2104,1965,tif
1965-033.tif,1965.033,42810,3054,2391,1965,tif
1965.027.med.jpg,1965.027,1314,1725,2221,1965,jpg
1965-026.tif,1965.026,22667,1403,2756,1965,tif
1965.007.jpg,1965.007,151,491,340,1965,jpg
1965.013.jpg,1965.013,166,487,344,1965,jpg
1965.011.jpg,1965.011,186,500,342,1965,jpg
1965-030.tif,1965.030,28710,1916,2556,1965,tif
1965-018.tif,1965.018,9090,1351,1147,1965,tif
1965.011.med.jpg,1965.011,1375,1921,2812,1965,jpg
1965-019.tif,1965.019,28475,1799,2700,1965,tif
1965-025.tif,1965.025,47315,3218,2508,1965,tif
1965.038.jpg,1965.038,209,360,500,1965,jpg
1965.004.jpg,1965.004,205,345,487,1965,jpg
1965.014.jpg,1965.014,140,500,351,1965,jpg
1965-009.tif,1965.009,23181,2305,1715,1965,tif
1965-020.tif,1965.020,27898,1968,2418,1965,tif
1965-008.tif,1965.008,25311,2373,1819,1965,tif
1965.015.jpg,1965.015,202,500,307,1965,jpg
1965.001.jpg,1965.001,202,343,500,1965,jpg
1965.029.jpg,1965.029,154,500,315,1965,jpg
1965.017.jpg,1965.017,274,443,500,1965,jpg
1965.003.jpg,1965.003,287,354,483,1965,jpg
1965-022.tif,1965.022,47617,3218,2524,1965,tif
1965.034.alt.jpg,1965.034,231,500,404,1965,jpg
1965-023.tif,1965.023,61136,3039,3432,1965,tif
1965.002.jpg,1965.002,208,500,397,1965,jpg
1965.016.jpg,1965.016,259,500,468,1965,jpg
1966.022.tif,1966.022,41123,3262,4303,1966,tif
1966-004.tif,1966.004,37211,2694,2356,1966,tif
1966.022.jpg,1966.022,295,379,500,1966,jpg
1966.009.jpg,1966.009,222,500,428,1966,jpg
1966.008.jpg,1966.008,185,336,500,1966,jpg
1966-001.tif,1966.001,35314,2486,2423,1966,tif
1966.005.jpg,1966.005,170,500,374,1966,jpg
1966.011.JPG,1966.011,1317,2448,3264,1966,JPG
1966.004.jpg,1966.004,260,500,412,1966,jpg
1966.007.jpg,1966.007,202,332,500,1966,jpg
1966.003.jpg,1966.003,398,1200,3092,1966,jpg
1966.002.jpg,1966.002,295,379,500,1966,jpg
1966.014.jpg,1966.014,203,354,500,1966,jpg
1966.003.tif,1966.003,53664,1885,4857,1966,tif
1966.001.tif,1966.001,9767,1459,1713,1966,tif
1966.010.tif,1966.010,80615,3094,4445,1966,tif
1966.004.tif,1966.004,20527,2915,2400,1966,tif
1966.005.tif,1966.005,40889,4352,3204,1966,tif
1966.005.lg.jpg,1966.005,3116,3369,4509,1966,jpg
1966.006.tif,1966.006,71864,3080,3981,1966,tif
1967.002n.tif,1967.002n,55333,5159,3659,1967,tif
1967.002l.tif,1967.002l,47772,4488,3631,1967,tif
1967.002m.tif,1967.002m,50833,4707,3684,1967,tif
1967.002i.tif,1967.002i,50550,4753,3628,1967,tif
1967.002h.tif,1967.002h,46343,4488,3522,1967,tif
1967.002j.tif,1967.002j,46624,4513,3524,1967,tif
1967.002k.tif,1967.002k,46376,4543,3482,1967,tif
1967.002h.jpg,1967.002h,301,500,393,1967,jpg
1967.002i.jpg,1967.002i,237,500,382,1967,jpg
1967.002k.jpg,1967.002k,269,500,383,1967,jpg
1967.002j.jpg,1967.002j,226,500,390,1967,jpg
1967.002n.jpg,1967.002n,184,500,355,1967,jpg
1967-001.tiff,1967.001,88399,4490,6720,1967,tiff
1967.002m.jpg,1967.002m,240,500,391,1967,jpg
1967.002l.jpg,1967.002l,248,500,405,1967,jpg
1967.002a.jpg,1967.002a,152,500,334,1967,jpg
1967.001.jpg,1967.001,219,381,500,1967,jpg
1967.002b.jpg,1967.002b,298,500,370,1967,jpg
1967.003.jpg,1967.003,210,531,356,1967,jpg
1967-001.dng,1967.001,33420,171,256,1967,dng
1967.002c.jpg,1967.002c,302,500,397,1967,jpg
1967.002g.jpg,1967.002g,246,500,379,1967,jpg
1967.002f.jpg,1967.002f,238,500,380,1967,jpg
1967.002d.jpg,1967.002d,281,500,383,1967,jpg
1967.002e.jpg,1967.002e,298,500,406,1967,jpg
1967.002f.tif,1967.002f,51678,4818,3659,1967,tif
1967.002g.tif,1967.002g,51552,4818,3650,1967,tif
1967.002e.tif,1967.002e,46114,4401,3574,1967,tif
1967-001.zip,1967.001,96641,0,0,1967,zip
1967.002d.tif,1967.002d,49300,4683,3591,1967,tif
1967.001.tif,1967.001,13858,1896,2488,1967,tif
1967.002a.tif,1967.002a,51890,5146,3440,1967,tif
1967.002c.tif,1967.002c,50720,4671,3704,1967,tif
1967.003.tif,1967.003,35969,2163,2809,1967,tif
1967.002b.tif,1967.002b,54432,5013,3704,1967,tif
1968.010.jpg,1968.010,210,500,281,1968,jpg
