act_id,new_title,old_title
47186,"Church of St. Pierre, Aulnay, France; Interior capital relief; Fantastical and Vegetative Relief 4","Church of St. Pierre, Aulnay, France; exterior and interior sculpture"
47187,"Church of St. Pierre, Aulnay, France; Interior capital relief; Fantastical and Vegetative Relief 5","Church of St. Pierre, Aulnay, France; exterior and interior sculpture"
47188,"Church of St. Pierre, Aulnay, France; Interior capital relief; Fantastical and Vegetative Relief 6","Church of St. Pierre, Aulnay, France; exterior and interior sculpture"
47189,"Church of St. Pierre, Aulnay, France; Interior capital relief; Two Elephants","Church of St. Pierre, Aulnay, France; exterior and interior sculpture"
47037,Clermont-Ferrand fresco; Madonna and Child,Clermont-Ferrand fresco
47038,Clermont-Ferrand fresco; Saint kneeling in adoration,Clermont-Ferrand fresco
47024,Clermont-Ferrand fresco; Angel Blessing a monk,Clermont-Ferrand stained glass
47025,Clermont-Ferrand stained glass; Miracles of Mary Magdalene. Christ holding the elements of the Eucharist,Clermont-Ferrand stained glass
47026,Clermont-Ferrand stained glass; Miracles of Mary Magdalene 5. ,Clermont-Ferrand stained glass
47027,Clermont-Ferrand stained glass;  Miracles of Mary Magdalene 4.,Clermont-Ferrand stained glass
47028,Clermont-Ferrand stained glass; Miracles of Mary Magdalene 3.,Clermont-Ferrand stained glass
47029,Clermont-Ferrand stained glass; Miracles of Mary Magdalene 2.,Clermont-Ferrand stained glass
47030,Clermont-Ferrand stained glass; Miracles of Mary Magdalene 1,Clermont-Ferrand stained glass
47031,Clermont-Ferrand stained glass; Life of Mary Magdalene 1.,Clermont-Ferrand stained glass
47032,Clermont-Ferrand stained glass; Life of Mary Magdalene 2.,Clermont-Ferrand stained glass
47033,Clermont-Ferrand stained glass; Life of Mary Magdalene 3.,Clermont-Ferrand stained glass
47034,Clermont-Ferrand stained glass; Life of Mary Magdalene 4.,Clermont-Ferrand stained glass
47035,Clermont-Ferrand stained glass; Life of Mary Magdalene 5.,Clermont-Ferrand stained glass
47039,Clermont-Ferrand stained glass; Life of Mary Magdalene 6. Angel swinging a Censer.,Clermont-Ferrand stained glass
47040,Clermont-Ferrand stained glass; Life of Christ 1.,Clermont-Ferrand stained glass
47041,Clermont-Ferrand stained glass; Life of Christ 2.,Clermont-Ferrand stained glass
47042,Clermont-Ferrand stained glass; Life of Christ 3.,Clermont-Ferrand stained glass
47043,Clermont-Ferrand stained glass; Life of Christ 4.,Clermont-Ferrand stained glass
47044,Clermont-Ferrand stained glass; Prodigal Son and the Life of John the Baptist 1.,Clermont-Ferrand stained glass
47045,Clermont-Ferrand stained glass; Prodigal Son and the Life of John the Baptist 2.,Clermont-Ferrand stained glass
47046,Clermont-Ferrand stained glass; Prodigal Son and the Life of John the Baptist 3.,Clermont-Ferrand stained glass
47047,Clermont-Ferrand stained glass; Prodigal Son and the Life of John the Baptist 4.,Clermont-Ferrand stained glass
47048,Clermont-Ferrand stained glass; Prodigal Son and the Life of John the Baptist 5.,Clermont-Ferrand stained glass
47049,Clermont-Ferrand stained glass; Life of Christ and Mary 1.,Clermont-Ferrand stained glass
47050,Clermont-Ferrand stained glass; Life of Christ and Mary 2.,Clermont-Ferrand stained glass
47051,Clermont-Ferrand stained glass; Life of Christ and Mary 3.,Clermont-Ferrand stained glass
47052,Clermont-Ferrand stained glass; Life of Christ and Mary 4.,Clermont-Ferrand stained glass
47053,Clermont-Ferrand stained glass; Life of Christ and Mary 5.,Clermont-Ferrand stained glass
47054,Clermont-Ferrand stained glass; Life of Christ and Disciples 1.,Clermont-Ferrand stained glass
47055,Clermont-Ferrand stained glass; Life of Christ and Disciples 2.,Clermont-Ferrand stained glass
47056,Clermont-Ferrand stained glass; Life of Christ and Disciples 3.,Clermont-Ferrand stained glass
47057,Clermont-Ferrand stained glass; Life of Christ and Disciples 4.,Clermont-Ferrand stained glass
47062,Clermont-Ferrand stained glass; Life of Christ and Disciples 5.,Clermont-Ferrand stained glass
47063,Clermont-Ferrand stained glass; Revelations Apocalypse,Clermont-Ferrand stained glass
42430,Clermont-Ferrand stained glass; Revelations Christ in Majesty,College of Apostles
42431,Saint-Martin (Church: Nohant-Vicq: fresco; Apostles to the left of the Christ in Majesty,College of Apostles
42432,Saint-Martin (Church : Nohant-Vicq: fresco; Apostles to the right of the Christ in Majecty,College of Apostles 
53872,"Saint-Martin (Church: Nohant-Vicq: fresco; Apostles to the left of the Christ in Majesty, Partial of Christ in Majesty","Cathedral of St. Lazare, Autun, France -- Relief sculpture"
53871,"Imprisonment of Peter and Escape,Cathedral of St. Lazare, Autun, France -- Relief sculpture: Interior nave. 2 Right. ","Cathedral of St. Lazare, Autun, France -- Relief sculpture"
53873,"Cathedral of St. Lazare, Autun, France -- Relief sculptureI Interior nave capital. ","Annunciation to Mary, Cathedral of St. Lazare, Autun, France -- Relief sculpture"
53874,"Imprisonment of Peter and Escape, Cathedral of St. Lazare, Autun, France -- Relief sculpture. 2 Left. ","Annunciation to Mary, Cathedral of St. Lazare, Autun, France"
53875,"Imprisonment of Peter and Escape, Cathedral of St. Lazare, Autun, France. 2. Center","Cathedral of St. Lazare, Autun, France -- Relief sculpture"
53877,"Shadrach, Meshach, and Abednego. Cathedral of St. Lazare, Autun, France -- Relief sculpture. Nave capital 3 Left","Cathedral of St. Lazare, Autun, France -- Relief sculpture"
53878,"Shadrach, Meshach, and Abednego. Cathedral of St. Lazare, Autun, France -- Relief sculpture. Nave capital 3 Right","Cathedral of St. Lazare, Autun, France -- Relief sculpture"
53879,"Shadrach, Meshach, and Abednego.Cathedral of St. Lazare, Autun, France -- Relief sculpture. Nave capital. 3 Front","Cathedral of St. Lazare, Autun, France -- Relief sculpture"
53881,"Abraham and the Sacrifice of Isaac. Cathedral of St. Lazare, Autun, France -- Relief sculpture. Nave capital. 4 Front","Cathedral of St. Lazare, Autun, France -- Relief sculpture"
53885,"The Annunciation to Mary. Cathedral of St. Lazare, Autun, France -- Relief sculpture. Nave capital. 5 left","Annunciation to Mary, Cathedral of St. Lazare, Autun, France -- Relief sculpture"
53887,"The Annunciation to Mary. Cathedral of St. Lazare, Autun, France -- Relief sculpture. Nave capital. 5 left","Souls Raising from the Dead, Cathedral of St. Lazare, Autun, France -- Relief sculpture"
53888,"Annunciation to Mary, Cathedral of St. Lazare, Autun, France -- Relief sculpture. Nave capital. 5 Right","Souls Rising from the Dead, Cathedral of St. Lazare, Autun, France -- Relief sculpture"
53889,"Souls Rising from the Dead, Cathedral of St. Lazare, Autun, France -- Relief sculpture. Exterior Tympanum Lintel 1","Souls Rising from the Dead, Cathedral of St. Lazare, Autun, France -- Relief sculpture"
53890,"Souls Rising from the Dead, Cathedral of St. Lazare, Autun, France -- Relief sculpture Exterior Tympanum Lintel 2","Souls Rising from the Dead, Cathedral of St. Lazare, Autun, France -- Relief sculpture"
53891,"Souls Rising from the Dead, Cathedral of St. Lazare, Autun, France -- Relief sculpture. Exterior Tympanum Lintel 3","Souls Rising from the Dead, Cathedral of St. Lazare, Autun, France -- Relief sculpture"
53892,"Souls Rising from the Dead, Cathedral of St. Lazare, Autun, France -- Relief sculpture. Exterior Tympanum Lintel 4","Cathedral of St. Lazare, Autun, France -- Relief sculpture"
53893,"Souls Rising from the Dead, Cathedral of St. Lazare, Autun, France -- Relief sculpture. Exterior Tympanum Lintel. 5","Cathedral of St. Lazare, Autun, France -- Relief sculpture"
53894,"Cathedral of St. Lazare, Autun, France -- Relief sculpture, Exterior Tympanum 1","Cathedral of St. Lazare, Autun, France -- Relief sculpture"
