qid,label_en,creator_uuid,creator,creator_ref1_hash,creator_ref1_statedIn,creator_ref1_referenceUrl,creator_ref1_retrieved_nodeId,creator_ref1_retrieved_val,creator_ref1_retrieved_prec
Q122960298,The Macklin Bible -- The Angel Binding Satan,89BC6F7E-B4FD-4EA4-B802-4C4BE9C975D9,Q6243939,9bab5a807562389f369423b3826f4c2ed4376e55,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54038,e8de9314-1741-490a-a0af-b684bf7b520d,2023-10-06T00:00:00Z,11
Q122960299,The Macklin Bible -- The Vision of the White Horse,EB734832-5D18-4FDA-A2DC-12901681F811,Q6243939,944a98e734f69f862002e9c85989177e53ed1663,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54040,0a708b30-70f0-4599-888b-678b8e71945f,2023-10-06T00:00:00Z,11
Q122960300,The Macklin Bible -- The Shipwreck of St. Paul,47BE0B25-1F6C-42E2-84C6-3EDBA98D25CB,Q18759239,9efc61e547f4bdbff43da1030d76b62f9ced00ba,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54041,5ff61854-8209-4174-82d1-4cf5acf734e5,2023-10-06T00:00:00Z,11
Q122960301,The Macklin Bible -- Paul expelling the Evil Spirit from the Damsel of Philippi,5B7262FE-1573-430A-9E2B-3037584B765F,Q6133916,3f536a256dda2f8f1a43881854543206f86178b2,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54042,a0fd0ecd-98a3-4945-95ba-07db818245e4,2023-10-06T00:00:00Z,11
Q122960302,The Macklin Bible -- The Angel Appearing to Cornelius,9ADF2557-73C1-4A4D-9E13-0082FB025F6B,Q123378992,6ffa3e0f7e4eb0a746d3ea4694030c398fc8326c,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54043,48c6ac3a-33fc-4f00-b958-8f44671b1e32,2023-10-06T00:00:00Z,11
Q122960303,The Macklin Bible -- The Conversion of St. Paul,65FD6B8E-C9A9-47F4-80BB-F850B15EC146,Q123378992,c390c347682418fd10b8847cd4da4a6f0c77e111,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54044,5fc65182-6c43-49c7-ac38-b99c5b6a28e5,2023-10-06T00:00:00Z,11
Q122960304,The Macklin Bible -- The Angel Freeing the Apostles,F80CD7C7-2E25-4C59-80D7-E1ED4CDB1333,Q8018483,35137b2e36a85448faabd7c9cc2d4912e4e68af5,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54045,b8ff5da3-ae26-46e5-b64c-a49378c15048,2023-10-06T00:00:00Z,11
Q122960306,The Macklin Bible -- The Death of Sapphira,DBD50F02-5250-4E72-A654-24839D210E09,Q6237323,a5af57843bd41e02d2ffe7d20eeff020e64c2232,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54046,e64ee399-0fa4-42d8-acd3-325ae486b177,2023-10-06T00:00:00Z,11
Q122960308,The Macklin Bible -- Christ and Mary Magdalene,8214EFF5-52F9-4A74-BED8-4DFDDDB52884,Q123378992,6a44eb654fa6206b19a85093b1afe250b410a0e2,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54047,0404bfba-98d7-4972-bd02-66d2bf54f41e,2023-10-06T00:00:00Z,11
Q122960309,The Macklin Bible -- The Woman Wiping Jesus’s Feet,B6974B9C-B2AF-4146-812D-EDCB370A7B37,Q8005977,95d2c76b43b12dc2c6c9dffb593b88a789c8619c,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54048,01677b36-fc85-47a7-bcb7-876d5fc4d4fe,2023-10-06T00:00:00Z,11
Q122960310,The Macklin Bible -- The Woman Accused of Adultery,5F9FEC18-A0C3-467F-A166-E08D0E1FD8C5,Q123378992,ba7547ae60feb602fde46e22e9ab34f7691cb2d9,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54049,2a9dcde8-2100-4895-a6c7-361eab04cfc6,2023-10-06T00:00:00Z,11
Q122960311,The Macklin Bible -- The Woman of Samaria,E99A581F-F478-469E-909A-2CAB4B0439E2,Q734889,c21caf557e6f7df371dec982df28fb67c8f2e8f4,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54050,d8681224-8e11-4879-817b-1ee47cf35bf6,2023-10-06T00:00:00Z,11
Q122960312,The Macklin Bible -- Nicodemus Came to Jesus by Night,FA5BAA63-A9DD-4B80-A660-9CE80D3CC952,Q123379048,0cd2c9a83385fcaf88162099181abf0a129de797,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54051,df1d6b06-a235-41fa-9b09-1c6e5a71f060,2023-10-06T00:00:00Z,11
