skipped,Key,Divinity Faculty,Publication Year,Author,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,Item Type,Title,Publication Title
Q116503113,YWLXXQZA,"Rieger, Joerg",2004,"Rieger, Joerg",978-0-415-92472-6,,,,,2004,10/1/20 16:55,10/1/20 16:56,,1090-1095,,,,,,,,,,,Routledge,New York,eng,,,,,discoverlibrary.vanderbilt.edu,"BX4811.3 .E53 2004 v.1, BX4811.3 .E53 2004 v.2, BX4811.3 .E53 2004 v.3, BX4811.3 .E53 2004 v.4",,,,,,Protestantism Encyclopedias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,encyclopediaArticle,Liberation Theology,Encyclopedia of Protestantism Vol. 3 & 4
Q116503113,2DZWL56L,"Rieger, Joerg",2004,"Rieger, Joerg",978-0-415-92472-6,,,,,2004,6/28/18 16:23,10/1/20 16:58,,1508-1509,,,,,,,,,,,Routledge,New York,eng,,,,,discoverlibrary.vanderbilt.edu,"BX4811.3 .E53 2004 v.1, BX4811.3 .E53 2004 v.2, BX4811.3 .E53 2004 v.3, BX4811.3 .E53 2004 v.4",,,,,,Protestantism Encyclopedias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,encyclopediaArticle,Political Theology,Encyclopedia of Protestantism Vol. 3 & 4
Q116503113,YYLFVBT2,"Rieger, Joerg",2004,"Rieger, Joerg",978-0-415-92472-6,,,,,2004,10/1/20 16:55,10/1/20 16:59,,1872-1875,,,,,,,,,,,Routledge,New York,eng,,,,,discoverlibrary.vanderbilt.edu,"BX4811.3 .E53 2004 v.1, BX4811.3 .E53 2004 v.2, BX4811.3 .E53 2004 v.3, BX4811.3 .E53 2004 v.4",,,,,,Protestantism Encyclopedias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,encyclopediaArticle,Twentieth-Century Theology,Encyclopedia of Protestantism Vol. 3 & 4
Q116503128,6RDC7BVB,"Townes, Emilie",2006,"Townes, Emilie M.",0-253-34685-1,,,,,2006,10/13/14 12:35,12/10/14 14:41,,1165-1173,,,,,,,,,,,Indiana University Press,"Bloomington, Ind",,,,,,Primo,,,,,,,Buddhist women; Catholic women; Hindu women; Indians of North America -- Religion; Jewish women; Muslim women; Ordination of women; Protestant women; Religion and social problems; Taoist women; Women -- North America -- Religious aspects -- Encyclopedias; Women -- Religious life -- North America -- Encyclopedias; Women and religion -- North America -- Encyclopedias; Women in Confucianism; Women in Jainism; Women in Sikhism; Women in the Orthodox Eastern Church; Women missionaries,"Keller, Rosemary Skinner; Ruether, Rosemary Radford; Cantlon, Marie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,encyclopediaArticle,Womanist theology,Encyclopedia of women and religion in North America
Q116503893,28SVKW2S,"Knight, Douglas A.",2015,"Knight, Douglas A.",978-0-19-984330-5,,,,,2015,1/8/15 20:58,1/8/15 21:00,,,,,,,,,Oxford encyclopedias of the Bible;,,,,Oxford University Press,New York,English,,,,,OCLC WorldCat FirstSearch,,,,,,,Bible and law; Encyclopedias,"Strawn, Brent A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,encyclopediaArticle,Sociology of Law,Oxford encyclopedia of the Bible and law
Q116504150,WN5E8F4S,"Miller-McLemore, Bonnie",2009,"Miller-McLemore, Bonnie J.",978-0-226-47539-4,,,,,2009,10/20/14 14:06,10/20/14 14:27,,794-796,,,,,,,,,,,University of Chicago Press,Chicago,English,,,,,OCLC WorldCat FirstSearch,,,,,,,[encyclopédie] Children. Genre/Form: Encyclopedias. Wörterbuch. Encyclopedias; Children; Encyclopedias. Kind. enfant,"Shweder, Richard A.; Bidell, Thomas R.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,encyclopediaArticle,Protestantism,The child: an encyclopedic companion
Q116504150,NT9V7AG5,"Miller-McLemore, Bonnie",2009,"Miller-McLemore, Bonnie J.",978-0-226-47539-4,,,,,2009,10/20/14 14:09,10/20/14 14:27,,844-846,,,,,,,,,,,University of Chicago Press,Chicago,English,,,,,OCLC WorldCat FirstSearch,,,,,,,[encyclopédie] Children. Genre/Form: Encyclopedias. Wörterbuch. Encyclopedias; Children; Encyclopedias. Kind. enfant,"Shweder, Richard A.; Bidell, Thomas R.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,encyclopediaArticle,Religious rites of passage,The child: an encyclopedic companion
Q116503066,HTI68793,"Marbury, Herbert",2014,"Marbury, Herbert",978-0-19-020488-4,,,,,2014,9/17/15 18:55,9/17/15 18:59,,,,,,,,,Oxford encyclopedias of the Bible. ^A1835010,,,,Oxford University Press,Oxford ; New York,eng,,,,,Primo,"BS680 .W7 O94 2014 v.1, BS680 .W7 O94 2014 v.2",,,,,,Women in the Bible; Bibel; Bible and feminism; Bible and feminism Encyclopedias; Geschlechterforschung; Women in the Bible Encyclopedias,"O’Brien, Julia; Stone, Ken",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,encyclopediaArticle,"Race, Class, and Ethnicity: Hebrew Bible",The Oxford encyclopedia of the Bible and gender studies
Q116504351,FPHVXT39,"Levine, Amy-Jill",2015,"Levine, Amy-Jill",978-0-19-985869-9,,,,"The Oxford Encyclopedia of the Bible and Theology (OEBT) is a new encyclopedic treatment of major theological issues and themes in the Bible that surpasses all similar reference works in scope and significance. Leading scholars provide extensive overviews of key topics, offering analyses of the trajectory and reception history of theological issues as well as critical assessment of Near Eastern and Greco-Roman antecedents for Old and New Testament perspectives. While many entries address the Bible's historical context, including traditional theological perspectives on creation, sin, covenant, grace, and forgiveness, others are more rooted in modern issues, featuring biblical perspectives on contemporary concerns such as wealth and poverty, gender/race discrimination, and market economics. The two-volume OEBT contains 168 entries ranging in length from 2,000 to 8,000 words. With bibliographic references and suggestions for further reading, each entry affords students and scholars a comprehensive topical and methodological summary of the topic that serves as both a go-to reference and a starting point for original research. The OEBT's distinctive approach and range of entries make it a unique resource that fills a void in biblical scholarship.",4/1/15,6/19/18 18:57,6/19/18 18:58,,,,,,,,,Oxford Encyclopedias of the Bible,,,,Oxford University Press,"Oxford, New York",,,,,,Oxford University Press,,,,C:\Users\xus12\Zotero\storage\N7HLUDEI\the-oxford-encyclopedia-of-the-bible-and-theology-9780199858699.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,encyclopediaArticle,Torah,The Oxford Encyclopedia of the Bible and Theology
Q99036247,ZQRBKN7H,"Morrill, Bruce T.",2018,"Morrill, Bruce T",,,,https://www.worldbookonline.com/pl/infofinder/article?id=ar051558&st=beatification,,10/18/18,7/10/18 20:26,11/30/18 22:30,7/10/18 20:26,,,,,,,,,,,,World Book Online,,,,,,,,,,,C:\Users\xus12\Zotero\storage\YU7HFIEP\article.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,encyclopediaArticle,Beatification | Article | World Book Online InfoFinder,World Book
Q99036247,LR9X9TZS,"Morrill, Bruce T.",2018,"Morrill, Bruce T",,,,https://www.worldbookonline.com/pl/infofinder/article?id=ar091940&st=canonization,,7/30/18,7/10/18 20:27,11/30/18 22:32,7/10/18 20:27,,,,,,,,,,,,World Book Online,,,,,,,,,,,C:\Users\xus12\Zotero\storage\C7P3HJLF\article.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,encyclopediaArticle,Canonization | Article | World Book Online InfoFinder,World Book Encyclopedia
