Key,Divinity Faculty,Publication Year,Author,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,Item Type,Title,Publication Title
VEUEUDKJ,"Hudnut-Beumler, Jim",1998,"Hudnut-Beumler, Jim",,,,https://gocn.org/missional-library/,,1998-03,12/18/14 14:43,7/28/20 23:04,,5-6,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,Ecclesial accountability in the missional church,The Gospel and Our Culture Network
7A6E9JBV,"Snarr, C. Melissa",2012,"Daniels, Brandy; Snarr, Melissa",,,,http://theotherjournal.com/2012/05/16/come-walk-with-us-the-journey-is-long-an-interview-with-c-melissa-snarr/,"In this interview, Snarr shares insights about the living wage movement and reflects theologically and ethically on the role of religious activism as a response to economic injustice.",2012,7/24/14 18:06,12/16/15 16:51,7/24/14 18:06,,,21,,,,Come Walk with Us—the Journey is Long,,,,,,,,,,,,,,,,C:\Users\xus12\Zotero\storage\NW5IHJPS\come-walk-with-us-the-journey-is-long-an-interview-with-c-melissa-snarr.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,Come Walk with Us—the Journey is Long: An Interview with C. Melissa Snarr,The Other Journal
I4WI2X9J,"Townes, Emilie",1999,"Townes, Emilie M.",,,,,,1999,8/6/14 22:04,8/6/14 22:09,,11-12,,July/August,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,"Racism's Virulence: African Americans, Economics, and Health",The Park Ridge Center Bulletin
ZZAICG72,"Andrews, Dale P.",2008,"Andrews, Dale P.",,,10.1080/15570274.2008.9523327,,"Abstract African American preaching has unfortunately begun to uncritically accept the social status quo and focus on rewards for living moral private lives. In doing so, this preaching too often disregards global conflicts and tragedies, painting them as the results of God's judgment for immorality. African American preachers are thus increasingly focused on private morals, letting the world-transforming public implications of faith take a back seat. Black religious communities have hence been uninvolved in trying to solve contemporary conflicts, which is especially distressing regarding the volatile situations in the Middle East. Therefore, African American churches need to reclaim, as Martin Luther King, Jr. has said, their prophetic roles and work to care for the entire world.",2008,5/22/14 17:53,6/30/20 15:32,,,,1,6,,,,,,,,,,,,,,,Primo,,,,,,,Theology; Christianity; Race & Ethnicity; Reconciliation & Conflict Resolution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,Global Conflict and the Preaching Tradition of Martin Luther King Jr.,The Review of Faith & International Affairs
FV7ASC6A,"Townes, Emilie",1994,"Townes, Emilie M.",,,,,,1994,8/4/14 21:05,8/4/14 21:05,,1-2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,Voices of the Spirit: Womanist Methodologies in the Theological Disciplines,The Womanist
VTQR2S6J,"Seow, C.L.",2011,"Seow, C. L. (Choon Leong)",,,,https://ttc.edu.sg/books/products-page/ttc-publications/trinity-theological-journal/,,2011,10/21/14 21:49,10/15/20 18:42,,70-72,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,Speaking Rightly: The God-Talks of Job and His Friends,Trinity Theological Journal
VEPTEHVV,"Rieger, Joerg",2021,"Rieger, Joerg",,,,https://um-insight.net/api/content/85b2baae-7ac9-11eb-999f-1244d5f7c7c6/,"Widely held misconceptions in theology  – evident in the exchange between Thomas Lambrecht and Adam Hamilton – have proven disastrous for the United Methodist Church and its future, writes theologian Joerg Rieger.",3/1/21,8/18/21 17:20,8/18/21 17:20,8/18/21 17:20,,,,,,,,,,,,,,en-us,,,,,,,,,C:\Users\xus12\Zotero\storage\QRQJJ2ZJ\the-ill-fated-impasse-of-united-methodist-theology.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,The Ill-Fated Impasse of United Methodist Theology,United Methodist Insight
69IWLREL,"Stringer, Trudy Hawkins",2005,"Stringer, Trudy Hawkins",,,,https://news.vanderbilt.edu/archived-news/register/articles/index-id=22261.html,,10/3/05,6/22/18 18:23,7/17/18 16:23,6/22/18 18:23,,,,,,,,,,,,,,,,,,,,,,,C:\Users\xus12\Zotero\storage\D5NHLPU7\index-id=22261.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,Reflections on a Global Perspectives Trip to Vietnam,Vanderbilt University Daily Register
BA6FNTB7,"Segovia, Fernando F.",1991,"Segovia, Fernando F.",,,,,,1991,6/4/14 20:31,11/19/14 20:13,,41-42,,,41,,The Virginia Seminary Journal,,,,,,,,,,,,,,,,,,,Book review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,Irony in the Fourth Gospel,Virginia Seminary Journal
MU67WC4B,"Miller-McLemore, Bonnie",2004,"Miller-McLemore, Bonnie J.",,,,,,4/15/04,12/15/14 13:23,5/30/16 21:00,,4-5,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,Motherhood as 24/7 Calling: a Cultural Lie We Keep Telling Ourselves,Vital Theology
PZWLTVLR,"Stringer, Trudy Hawkins",2016,"Stringer, Trudy Hawkins",,,,https://wellspringsjournalpodcast.org/2016-2/,,2016,6/22/18 18:09,10/19/20 18:58,6/22/18 18:09,,,,,,,,,,,,,,,,,,,,,,,C:\Users\xus12\Zotero\storage\J9ZM24U6\jesus-loves-the-little-children-dr-elsa-tamez-and-birthing-a-worldwide-church.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,Jesus Loves the Little Children: Dr. Elsa Tamez and Birthing a Worldwide Church,Wellsprings Journal
FWHQKMJU,"Stringer, Trudy Hawkins",2017,"Stringer, Trudy Hawkins; Laura Tuach; Nannette Banks; Allison St. Louis; Isabel Docampo",,,,http://www.wellspringsjournal.org/2017/04/lament-gospel-response/,,2017,6/22/18 18:03,11/15/22 18:12,6/22/18 18:03,,,,,,,,,,,,,,,,,,,,,,,C:\Users\xus12\Zotero\storage\DRPBGRFZ\lament-gospel-response.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,"Lament, Gospel, Response",WellSprings:  A Journal of United Methodist Clergywomen
6I8FFSVX,"Miller-McLemore, Bonnie",1998,"Miller-McLemore, Bonnie J.",,,,,,1998-12,12/11/14 18:33,12/15/14 13:44,,1-2,,no. 4,XXI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,Evaluating 'What the Bible Says': New Family Models challenge Male Headship,Women's VU
LSF9K5BM,"Levine, Amy-Jill",2020,"Levine, Amy-Jill",,,,https://www.sblcentral.org/home/bookDetails/12965?search=Studies%20on%20Jews%20and%20Christians%20in%20the%20First%20and%20Second%20Centuries&type=0,,2020-07,7/14/21 19:51,7/14/21 19:53,7/14/21 19:51,,,,,,,,,,,,,,,,,,,,,,,C:\Users\xus12\Zotero\storage\ANA46D5P\12965.html,,,,,,,,,,,,,,,,,,Peter J. Tomson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,Review of Studies on Jews and Christians in the First and Second Centuries,
VK7A828X,"Morrill, Bruce T.",2012,"Morrill, Bruce T.",,,,https://newspapers.bc.edu/?a=d&d=bcctor20120101-01.2.16&e=-------en-20--1--txt-txIN-------,,2012,7/11/18 18:28,9/9/20 15:46,7/11/18 18:28,,,"Jan. 1, 2012",,,,,,,,,,,,,,,,,,,,C:\Users\xus12\Zotero\storage\YKPHHZMI\newspapers.bc.edu.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,C21 Resources: A Catalyst and Resource for the Renewal of the Catholic Church,
ITWEYGLU,"Morrill, Bruce T.",2021,Brice T. Morrill,,,,https://www.cccb.ca/wp-content/uploads/2021/03/242-vetc_hiver_2020-2021.pdf,,2021,6/28/22 16:02,6/28/22 16:05,,12-15,,242,55,,,,,,,Vivre	et	célébrer,,,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,Modèles de mémoire liturgique,
7IXT9QHK,"Segovia, Fernando F.",2014,"Segovia, Fernando F.",,,,www.sbl-site.org/assets/pdfs/SR2014_online.pdf.,,2014-11,2/25/15 17:00,8/11/15 18:53,,5-7,,,,,SBL Society Report,,,,,SBL Society Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,Semeia at 40,
