skipped,Key,Divinity Faculty,Publication Year,Author,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,Item Type,Title,Publication Title
Q5273967,F6M8C9SZ,"Seow, C.L.",1999,"Seow, Choon-Leong",0-8028-2491-9,,,,,1999,10/29/14 21:10,10/30/14 15:45,,24-26,,,,,,,,,,,Brill,Leiden ; Boston,English,,,,,OCLC WorldCat FirstSearch,,,,,,,Dictionaries. Bijbelse personen. Demonen. Dieux; Dictionaries. Demonology in the Bible; Dictionnaires anglais. Démonologie dans la Bible; Dictionnaires anglais. God. Goden. Bijbelse personen. Demonen. Dieux dans la Bible; Dictionnaires. Démonologie; Dictionnaires. Démonologie dans la Bible; Dictionnaires. Dieux; Dictionnaires. Dieux dans la Bible; Dictionnaires. God. Goden. Idoles et images dans la Bible; Enseignement biblique. Dieux dans la Bible; Enseignement biblique. Idoles et images dans la Bible; Gods in the Bible,"Toorn, K. van der Horst; Becking, Bob; Van der Horst, Peter W.",,,,,,,,,,,,,,,,,,,2nd extensively rev. ed.,,,,,,,,,,,,,,,,,,,,,,,,,,,dictionaryEntry,'Am,Dictionary of deities and demons in the Bible
Q5273967,JKSHPTHQ,"Seow, C.L.",1999,"Seow, Choon-Leong",0-8028-2491-9,,,,,1999,10/29/14 21:16,10/30/14 15:45,,322-325,,,,,,,,,,,Brill,Leiden ; Boston,English,,,,,OCLC WorldCat FirstSearch,,,,,,,Dictionaries. Bijbelse personen. Demonen. Dieux; Dictionaries. Demonology in the Bible; Dictionnaires anglais. Démonologie dans la Bible; Dictionnaires anglais. God. Goden. Bijbelse personen. Demonen. Dieux dans la Bible; Dictionnaires. Démonologie; Dictionnaires. Démonologie dans la Bible; Dictionnaires. Dieux; Dictionnaires. Dieux dans la Bible; Dictionnaires. God. Goden. Idoles et images dans la Bible; Enseignement biblique. Dieux dans la Bible; Enseignement biblique. Idoles et images dans la Bible; Gods in the Bible,"Toorn, K. van der Horst; Becking, Bob; Van der Horst, Peter W.",,,,,,,,,,,,,,,,,,,2nd extensively rev. ed.,,,,,,,,,,,,,,,,,,,,,,,,,,,dictionaryEntry,Face,Dictionary of deities and demons in the Bible
Q5273967,36XDPGI5,"Seow, C.L.",1999,"Seow, Choon-Leong",0-8028-2491-9,,,,,1999,10/29/14 21:16,10/30/14 15:46,,521-523,,,,,,,,,,,Brill,Leiden ; Boston,English,,,,,OCLC WorldCat FirstSearch,,,,,,,Dictionaries. Bijbelse personen. Demonen. Dieux; Dictionaries. Demonology in the Bible; Dictionnaires anglais. Démonologie dans la Bible; Dictionnaires anglais. God. Goden. Bijbelse personen. Demonen. Dieux dans la Bible; Dictionnaires. Démonologie; Dictionnaires. Démonologie dans la Bible; Dictionnaires. Dieux; Dictionnaires. Dieux dans la Bible; Dictionnaires. God. Goden. Idoles et images dans la Bible; Enseignement biblique. Dieux dans la Bible; Enseignement biblique. Idoles et images dans la Bible; Gods in the Bible,"Toorn, K. van der Horst; Becking, Bob; Van der Horst, Peter W.",,,,,,,,,,,,,,,,,,,2nd extensively rev. ed.,,,,,,,,,,,,,,,,,,,,,,,,,,,dictionaryEntry,Lim,Dictionary of deities and demons in the Bible
Q5273967,EUV6QIPM,"Seow, C.L.",1999,"Seow, Choon-Leong",0-8028-2491-9,,,,,1999,10/29/14 21:16,10/30/14 15:46,,874-876,,,,,,,,,,,Brill,Leiden ; Boston,English,,,,,OCLC WorldCat FirstSearch,,,,,,,Dictionaries. Bijbelse personen. Demonen. Dieux; Dictionaries. Demonology in the Bible; Dictionnaires anglais. Démonologie dans la Bible; Dictionnaires anglais. God. Goden. Bijbelse personen. Demonen. Dieux dans la Bible; Dictionnaires. Démonologie; Dictionnaires. Démonologie dans la Bible; Dictionnaires. Dieux; Dictionnaires. Dieux dans la Bible; Dictionnaires. God. Goden. Idoles et images dans la Bible; Enseignement biblique. Dieux dans la Bible; Enseignement biblique. Idoles et images dans la Bible; Gods in the Bible,"Toorn, K. van der Horst; Becking, Bob; Van der Horst, Peter W.",,,,,,,,,,,,,,,,,,,2nd extensively rev. ed.,,,,,,,,,,,,,,,,,,,,,,,,,,,dictionaryEntry,Torah,Dictionary of deities and demons in the Bible
Q54086456,5TVZYXCW,"Rieger, Joerg",2005,"Rieger, Jeorg",,,,http://www.oxfordreference.com/view/10.1093/acref/9780199754663.001.0001/acref-9780199754663,"This is an indispensible reference work for scholars working on almost any aspect of modern American thought. Both academic and non-academic philosophers are represented, as are a large number of female and minority thinkers whose work has been neglected. It includes those intellectuals involved in the development of psychology, pedagogy, sociology, anthropology, education, theology, political science, and several other fields, before these disciplines came to be considered distinct from philosophy in the late nineteenth century. Each entry contains a short biography of the writer, an exposition and analysis of his or her doctrines and ideas, a bibliography of writings, and suggestions for further reading. While all the major post-Civil War philosophers are present, the most valuable feature of this dictionary is its coverage of a huge range of less well-known writers, including hundreds of presently obscure thinkers. In many cases, The Dictionary of Modern American Philosophers offers the first scholarly treatment of the life and work of these writers.",2005,6/27/18 20:10,9/21/20 18:03,6/27/18 20:10,,,,,,,,,,,,Thoemmes Continuum,,en_US,,,,,www.oxfordreference.com,,,,C:\Users\xus12\Zotero\storage\AB43ARUP\acref-9780199754663.html,,,Philosophy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dictionaryEntry,Frederick Herzog,The Dictionary of Modern American Philosophers
Q5663312,FF7ZN2RZ,"Sasson, Jack",1985,"Sasson, Jack M.",978-0-06-069862-1,,,,"Includes names, places, and subjects of the Bible, plus maps, charts, tables, and photographs.",1985,12/12/14 14:16,12/12/14 14:18,,,,,,,,,,,,,Harper & Row,,en,,,,,Google Books,,,,,http://books.google.com/books?id=4UERAQAAMAAJ,,Bible; Religion / Biblical Reference / Dictionaries & Encyclopedias; Religion / Biblical Reference / General,"Achtemeier, Paul J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dictionaryEntry,Boaz,Harper's Bible dictionary
Q5663312,BTS4GQM3,"Sasson, Jack",1985,"Sasson, Jack M.",978-0-06-069862-1,,,,"Includes names, places, and subjects of the Bible, plus maps, charts, tables, and photographs.",1985,12/12/14 14:18,12/12/14 14:18,,,,,,,,,,,,,Harper & Row,,en,,,,,Google Books,,,,,,,Bible; Religion / Biblical Reference / Dictionaries & Encyclopedias; Religion / Biblical Reference / General,"Achtemeier, Paul J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dictionaryEntry,boundary stones,Harper's Bible dictionary
Q5663312,Q355HQHR,"Sasson, Jack",1985,"Sasson, Jack M.",978-0-06-069862-1,,,,"Includes names, places, and subjects of the Bible, plus maps, charts, tables, and photographs.",1985,12/12/14 14:18,12/12/14 14:19,,,,,,,,,,,,,Harper & Row,,en,,,,,Google Books,,,,,,,Bible; Religion / Biblical Reference / Dictionaries & Encyclopedias; Religion / Biblical Reference / General,"Achtemeier, Paul J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dictionaryEntry,Chileab,Harper's Bible dictionary
Q5663312,HVXMQEWQ,"Sasson, Jack",1985,"Sasson, Jack M.",978-0-06-069862-1,,,,"Includes names, places, and subjects of the Bible, plus maps, charts, tables, and photographs.",1985,12/12/14 14:18,12/12/14 14:19,,,,,,,,,,,,,Harper & Row,,en,,,,,Google Books,,,,,,,Bible; Religion / Biblical Reference / Dictionaries & Encyclopedias; Religion / Biblical Reference / General,"Achtemeier, Paul J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dictionaryEntry,Chilion,Harper's Bible dictionary
Q5663312,PAPGGWG2,"Sasson, Jack",1985,"Sasson, Jack M.",978-0-06-069862-1,,,,"Includes names, places, and subjects of the Bible, plus maps, charts, tables, and photographs.",1985,12/12/14 14:18,12/12/14 14:19,,,,,,,,,,,,,Harper & Row,,en,,,,,Google Books,,,,,,,Bible; Religion / Biblical Reference / Dictionaries & Encyclopedias; Religion / Biblical Reference / General,"Achtemeier, Paul J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dictionaryEntry,Elimelech,Harper's Bible dictionary
Q5663312,BSWJN272,"Sasson, Jack",1985,"Sasson, Jack M.",978-0-06-069862-1,,,,"Includes names, places, and subjects of the Bible, plus maps, charts, tables, and photographs.",1985,12/12/14 14:18,12/12/14 14:19,,,,,,,,,,,,,Harper & Row,,en,,,,,Google Books,,,,,,,Bible; Religion / Biblical Reference / Dictionaries & Encyclopedias; Religion / Biblical Reference / General,"Achtemeier, Paul J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dictionaryEntry,Eliphelet,Harper's Bible dictionary
Q5663312,GPE3DBS8,"Knight, Douglas A.",1985,"Knight, Douglas A.",,,,,,1985,5/16/14 16:26,11/20/14 22:28,,283–85,,,,,,,,,,,Harper & Row,San Francisco,,,,,,EBSCOhost,,,,,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0000098608&site=ehost-live&scope=cite,,Biblical Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dictionaryEntry,Ethics,Harper's Bible Dictionary
Q5663312,EE4I5RSC,"Sasson, Jack",1985,"Sasson, Jack M.",978-0-06-069862-1,,,,"Includes names, places, and subjects of the Bible, plus maps, charts, tables, and photographs.",1985,12/12/14 14:18,12/12/14 14:19,,,,,,,,,,,,,Harper & Row,,en,,,,,Google Books,,,,,,,Bible; Religion / Biblical Reference / Dictionaries & Encyclopedias; Religion / Biblical Reference / General,"Achtemeier, Paul J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dictionaryEntry,Mahlon,Harper's Bible dictionary
