Key,Divinity Faculty,Publication Year,Author,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,Item Type,Title,Publication Title
J4SCKULJ,"Townes, Emilie",2018,"Townes, Emilie Maureen",,2641-2799,10.7916/btpp.v4i1.3868,http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLAiHB-USER200914001091&site=ehost-live&scope=site,,2018,11/15/22 18:21,11/15/22 18:21,11/15/22 18:21,1-3,,1,4,,,,,,,,,,,,,,,EBSCOhost,,,,C:\Users\xus12\Zotero\storage\2A59DW9P\Townes - 2018 - Outcasts in the Deserts of Hopelessness.pdf; C:\Users\xus12\Zotero\storage\QH38V9QG\;.html,,,"Womanist theology; Cannon, Katie Geneva,   , 1950-2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,Outcasts in the Deserts of Hopelessness,Black Theology Papers Project
4F4C6H5X,"Segovia, Fernando F.",2007,"Segovia, Fernando F.",,1729-3022,,,,2007,5/28/14 18:37,10/13/20 17:37,,12-16,,2-Jan,82/83,,Bulletin dei verbum.,,,,,,,,English,,,,,OCLC WorldCat FirstSearch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,Exegesis and Biblical Pastoral Ministry in Light of Vatican II and the Context of the  World Today,Bulletin dei verbum. World Catholic Federation for the Biblical Apostolate
23DXJRPU,"Segovia, Fernando F.",1991,"Segovia, Fernando F.",,0008-7912,,http://search.ebscohost.com/login.aspx?direct=true&db=rlh&AN=9603275585&site=ehost-live,"Reviews the book `Salvation-History in the Prologue of John: The Significance of John 1:3/4,' by Ed L. Miller.",1991-10,6/4/14 20:25,6/4/14 20:27,6/4/14 20:25,710-11,,4,53,,Catholic Biblical Quarterly,,,,,,,,,,,,,EBSCOhost,,,,,,Book reviews,Books; SALVATION-History in the Prologue of John (Book),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,Salvation History in the Porlogue of John: The Significance of John 1:3/4,Catholic Biblical Quarterly
ZF97V9QT,"Segovia, Fernando F.",1983,"Segovia, Fernando F.",,0008-7912,,https://www.jstor.org/stable/43719005,"The study begins with a detailed taxonomy of scholarship opinion on the question of the present position of chapters 14-17 in the Fourth Gospel and opts for one variety of the redactional solution, i.e., chapters 14-17 consist of different originally independent discourses added at different times by different authors.  A redactional study of John 15:18-16:4a, delineated as one of these discourses, shows that it presupposes and reflects the same Sitz im Leben of the Gospel at large.  In the light of earlier exegetical positions, the study suggests that this discourse was added to and originally followed Jn 13:31-14:31 in the Gospel sequence.",4/1/83,12/18/14 16:36,8/25/21 16:00,12/18/14 16:36,210-230,,2,45,,Catholic Biblical Quarterly,John 15,,,,,,,,,,,,EBSCOhost,,,,C:\Users\xus12\Zotero\storage\7BD2C3Z7\Segovia - 1983 - John 1518-164a  a first addition to the origina.pdf,,,"Peer reviewed; Farewells in the Bible; Bible. John --Criticism, Redaction; Bible. New Testament --Criticism, interpretation --History; Christianity and Judaism--0030-600; Disciples, Twelve; Jesus Christ --Words",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,John 15:18-16:4a : a first addition to the original farewell discourse?,Catholic Biblical Quarterly
KQB4IDQC,"Segovia, Fernando F.",1983,"Segovia, Ff",,0008-7912,,http://www.webofscience.com/wos/woscc/full-record/WOS:A1983RQ60800053,,1983,11/29/22 18:41,11/29/22 18:41,11/29/22 18:41,715-716,,4,45,,Cathol. Biblic. Q.,,,,,,,,English,,,,,Web of Science Nextgen,,Place: Washington Publisher: Catholic Biblical Assoc Amer WOS:A1983RQ60800053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,"Celebrating the Liberation of the Oppressed - Reflections on John 7.1-20.21 - Spanish - Zorilla,hc",Catholic Biblical Quarterly
2GGZFBR7,"Segovia, Fernando F.",1982,"Segovia, Ff",,0008-7912,,http://www.webofscience.com/wos/woscc/full-record/WOS:A1982PQ08400039,,1982,11/29/22 18:40,11/29/22 18:40,11/29/22 18:40,690-692,,4,44,,Cathol. Biblic. Q.,,,,,,,,English,,,,,Web of Science Nextgen,,Place: Washington Publisher: Catholic Biblical Assoc Amer WOS:A1982PQ08400039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,"The Parable of the Shepherd and Some Interpretations - John 10,1-18 - Background Literature - French - Tragan,pr",Catholic Biblical Quarterly
2KI8MKRV,"Segovia, Fernando F.",1981,"Segovia, Ff",,0008-7912,,http://www.webofscience.com/wos/woscc/full-record/WOS:A1981MQ56100023,,1981,11/29/22 18:39,11/29/22 18:39,11/29/22 18:39,637-638,,4,43,,Cathol. Biblic. Q.,,,,,,,,English,,,,,Web of Science Nextgen,,Place: Washington Publisher: Catholic Biblical Assoc Amer WOS:A1981MQ56100023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,"An Exegesis on Matthew 27,51b-53 - a Teleological Study on the Death of Jesus According to the Gospel of Matthew - Spanish - Aguirremonasterio,r",Catholic Biblical Quarterly
JNZBCACE,"Seow, C.L.",1991,"Seow, C. L. (Choon Leong)",,0008-7912,,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0000602589&site=ehost-live,,1991-07,10/21/14 17:59,10/21/14 18:04,10/21/14 17:59,472-474,,3,53,,Catholic Biblical Quarterly,Yhwh's Combat with the Sea,,,,,,,,,,,,EBSCOhost,,,,,,Book review,Peer reviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,Yhwh's Combat with the Sea: A Canaanite Tradition in the Religion of Ancient Israel,Catholic Biblical Quarterly
MMHAH9TH,"Seow, C.L.",1982,"Seow, C. L. (Choon Leong)",,0008-7912,,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0000792311&site=ehost-live,"The last verse of Hosea has traditionally been isolated from the rest of the book because its language and content are thought to be incongruous with the prophetic oracles of the book.  This article argues, however, that there is a ""sapiential"" motif throughout Hosea 4-14.  In the light of this, it is suggested that Hosea 14:10 could have been penned by the composer of Hosea or a redactor as a conclusion to the polemic against the ""foolish people"".",1982-04,10/21/14 17:42,10/21/14 17:54,10/21/14 17:42,212-224,,2,44,,,Hosea 14,,,,,,,,,,,,EBSCOhost,,,,,,,Peer reviewed; Wisdom--Biblical teaching; Bible. Hosea; Folly in literature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,Hosea 14:10 and the foolish people motif,Catholic Biblical Quarterly
9Q28RAEU,"Seow, C.L.",1985,"Seow, C. L. (Choon Leong)",,0008-7912,,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0000948587&site=ehost-live,,1985-07,10/21/14 17:42,10/21/14 17:53,10/21/14 17:42,416-419,,3,47,,,A textual note on Lamentations 1,,,,,,,,,,,,EBSCOhost,,,,,,,"Peer reviewed; Bible. Lamentations; Bible. Old Testament --Criticism, Textual; Bible. Old Testament. Versions, Hebrew. Masoretic Text; Hebrew language--Terms--MRR (Root)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,A textual note on Lamentations 1:20,Catholic Biblical Quarterly
