skipped,qid,Key,Divinity Faculty,Publication Year,Author,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,Item Type,Title,Publication Title
,Q94657550,2FVNT6HH,"Seow, C.L.",2009,"Seow, C. L. (Choon Leong)",978-3-11-019904-8,,,,,2009,10/29/14 21:22,10/30/14 15:56,,790-791,,,2,30,,,,,,,Walter de Gruyter,Berlin ; New York,English,,,,,OCLC WorldCat FirstSearch,,,,,,,"Rezeption. Bibelwissenschaft. Genre/Form: Criticism, interpretation, etc. Encyclopedias. History","Klauck, Hans-Josef; Allison, Dale C.; Leppin, Volker; Seow, C. L. (Choon Leong); Spieckermann, Hermann; Walfish, Barry Dov; Ziolkowski, Eric",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,encyclopediaArticle,"Armor (ANE, HB/OT)",Encyclopedia of the Bible and its reception
,Q94657550,RZZ9VWS7,"Seow, C.L.",2009,"Seow, C. L. (Choon Leong)",978-3-11-019904-8,,,,,2009,10/29/14 21:22,1/19/16 22:07,,16-17,,,3,30,,,,,,,Walter de Gruyter,Berlin ; New York,English,,,,,OCLC WorldCat FirstSearch,,,,,,,"Rezeption. Bibelwissenschaft. Genre/Form: Criticism, interpretation, etc. Encyclopedias. History","Klauck, Hans-Josef; Allison, Dale C.; Leppin, Volker; Seow, C. L. (Choon Leong); Spieckermann, Hermann; Walfish, Barry Dov; Ziolkowski, Eric",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,encyclopediaArticle,Athlete of God/Christ (HB/OT and Judaism),Encyclopedia of the Bible and its reception
,Q94657550,355BTAKR,"Seow, C.L.",2009,"Seow, C. L. (Choon Leong)",978-3-11-019904-8,,,,,2009,10/29/14 21:23,1/19/16 22:07,,374-375,,,3,30,,,,,,,Walter de Gruyter,Berlin ; New York,English,,,,,OCLC WorldCat FirstSearch,,,,,,,"Rezeption. Bibelwissenschaft. Genre/Form: Criticism, interpretation, etc. Encyclopedias. History","Klauck, Hans-Josef; Allison, Dale C.; Leppin, Volker; Seow, C. L. (Choon Leong); Spieckermann, Hermann; Walfish, Barry Dov; Ziolkowski, Eric",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,encyclopediaArticle,Balak (HB/OT),Encyclopedia of the Bible and its reception
,Q94657550,3M9VKAWS,"Seow, C.L.",2009,"Seow, C. L. (Choon Leong)",978-3-11-019904-8,,,,,2009,10/29/14 21:23,1/19/16 22:08,,651-656,,,,30,,,,,,,Walter de Gruyter,Berlin ; New York,English,,,,,OCLC WorldCat FirstSearch,,,,,,,"Rezeption. Bibelwissenschaft. Genre/Form: Criticism, interpretation, etc. Encyclopedias. History","Klauck, Hans-Josef; Allison, Dale C.; Leppin, Volker; Seow, C. L. (Choon Leong); Spieckermann, Hermann; Walfish, Barry Dov; Ziolkowski, Eric",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,encyclopediaArticle,"Beard (ANE, HB/OT, Greco-  Roman Antiquity; Judaism; Christianity, Islam, Visual Arts)",Encyclopedia of the Bible and its reception
,Q94657550,CDAH9U9Z,"Seow, C.L.",2009,"Seow, C. L. (Choon Leong)",978-3-11-019904-8,,,,,2009,10/29/14 21:23,1/19/16 22:09,,"656-657,661",,,3,30,,,,,,,Walter de Gruyter,Berlin ; New York,English,,,,,OCLC WorldCat FirstSearch,,,,,,,"Rezeption. Bibelwissenschaft. Genre/Form: Criticism, interpretation, etc. Encyclopedias. History","Klauck, Hans-Josef; Allison, Dale C.; Leppin, Volker; Seow, C. L. (Choon Leong); Spieckermann, Hermann; Walfish, Barry Dov; Ziolkowski, Eric",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,encyclopediaArticle,"Beast (ANE, HB/OT, Judaism)",Encyclopedia of the Bible and its reception
,Q94657550,GJTKE7I9,"Seow, C.L.",2009,"Seow, C. L. (Choon Leong)",978-3-11-019904-8,,,,,2009,10/29/14 21:24,1/19/16 22:10,,754-755,,,3,30,,,,,,,Walter de Gruyter,Berlin ; New York,English,,,,,OCLC WorldCat FirstSearch,,,,,,,"Rezeption. Bibelwissenschaft. Genre/Form: Criticism, interpretation, etc. Encyclopedias. History","Klauck, Hans-Josef; Allison, Dale C.; Leppin, Volker; Seow, C. L. (Choon Leong); Spieckermann, Hermann; Walfish, Barry Dov; Ziolkowski, Eric",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,encyclopediaArticle,Beer-Lahai-Roi,Encyclopedia of the Bible and its reception
,Q94657550,32CQJRH6,"Seow, C.L.",2009,"Seow, C. L. (Choon Leong)",978-3-11-019904-8,,,,,2009,10/29/14 21:24,1/19/16 22:12,,889,,,3,30,,,,,,,Walter de Gruyter,Berlin ; New York,English,,,,,OCLC WorldCat FirstSearch,,,,,,,"Rezeption. Bibelwissenschaft. Genre/Form: Criticism, interpretation, etc. Encyclopedias. History","Klauck, Hans-Josef; Allison, Dale C.; Leppin, Volker; Seow, C. L. (Choon Leong); Spieckermann, Hermann; Walfish, Barry Dov; Ziolkowski, Eric",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,encyclopediaArticle,Beracah (Person),Encyclopedia of the Bible and its reception
,Q94657550,WVCGFS4M,"Seow, C.L.",2009,"Seow, C. L. (Choon Leong)",978-3-11-019904-8,,,,,2009,10/29/14 21:24,1/19/16 22:12,,1194-1995,,,3,30,,,,,,,Walter de Gruyter,Berlin ; New York,English,,,,,OCLC WorldCat FirstSearch,,,,,,,"Rezeption. Bibelwissenschaft. Genre/Form: Criticism, interpretation, etc. Encyclopedias. History","Klauck, Hans-Josef; Allison, Dale C.; Leppin, Volker; Seow, C. L. (Choon Leong); Spieckermann, Hermann; Walfish, Barry Dov; Ziolkowski, Eric",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,encyclopediaArticle,Bildad,Encyclopedia of the Bible and its reception
,Q94657550,67VG3P6A,"Seow, C.L.",2009,"Seow, C. L. (Choon Leong)",978-3-11-019904-8,,,,,2009,10/29/14 21:24,1/19/16 22:13,,70-71,,,4,30,,,,,,,Walter de Gruyter,Berlin ; New York,English,,,,,OCLC WorldCat FirstSearch,,,,,,,"Rezeption. Bibelwissenschaft. Genre/Form: Criticism, interpretation, etc. Encyclopedias. History","Klauck, Hans-Josef; Allison, Dale C.; Leppin, Volker; Seow, C. L. (Choon Leong); Spieckermann, Hermann; Walfish, Barry Dov; Ziolkowski, Eric",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,encyclopediaArticle,Bisitun,Encyclopedia of the Bible and its reception
,Q94657550,CTVFREMS,"Seow, C.L.",2009,"Seow, C. L. (Choon Leong)",978-3-11-019904-8,,,,,2009,10/29/14 21:24,1/19/16 22:14,,245,,,4,30,,,,,,,Walter de Gruyter,Berlin ; New York,English,,,,,OCLC WorldCat FirstSearch,,,,,,,"Rezeption. Bibelwissenschaft. Genre/Form: Criticism, interpretation, etc. Encyclopedias. History","Klauck, Hans-Josef; Allison, Dale C.; Leppin, Volker; Seow, C. L. (Choon Leong); Spieckermann, Hermann; Walfish, Barry Dov; Ziolkowski, Eric",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,encyclopediaArticle,Boar,Encyclopedia of the Bible and its reception
