accession_number,mid,description,score,topicality
1979.1034P,/m/02skpt,Artifact,0.81659716,0.81659716
1979.1034P,/m/03gq5hm,Font,0.74719685,0.74719685
1979.1034P,/m/0gkxy13,Handwriting,0.7063991,0.7063991
1979.1034P,/m/04t7l,Metal,0.6576783,0.6576783
1979.1034P,/m/0jjw,Art,0.6515905,0.6515905
1979.1034P,/m/01cbzq,Rock,0.6506739,0.6506739
1979.1034P,/m/03g3w,History,0.55257976,0.55257976
1979.1034P,/m/0463sg,Fashion accessory,0.54051787,0.54051787
1979.1034P,/m/07gr_,Temperature,0.5151585,0.5151585
1979.1039P,/m/09q2t,Brown,0.98046786,0.98046786
1979.1039P,/m/062581,Sleeve,0.78176296,0.78176296
1979.1039P,/m/083vt,Wood,0.75904673,0.75904673
1979.1039P,/m/0dw9f6,Creative arts,0.7165001,0.7165001
1979.1039P,/m/03_pfn,Liver,0.7143772,0.7143772
1979.1039P,/m/04t7l,Metal,0.7063547,0.7063547
1979.1039P,/m/0jjw,Art,0.7059208,0.7059208
1979.1039P,/m/0j62f,Rectangle,0.69477874,0.69477874
1979.1039P,/m/0463sg,Fashion accessory,0.6744889,0.6744889
1979.1039P,/m/01j48b,Wrist,0.6276961,0.6276961
1979.1122P,/m/0bt_c3,Book,0.9110533,0.9110533
1979.1122P,/m/03gq5hm,Font,0.79909384,0.79909384
1979.1122P,/m/07_gml,Working animal,0.77443135,0.77443135
1979.1122P,/m/01h1dd,Publication,0.7178836,0.7178836
1979.1122P,/m/0jjw,Art,0.70892733,0.70892733
1979.1122P,/m/01n5jq,Poster,0.7043586,0.7043586
1979.1122P,/m/03k3r,Horse,0.6968366,0.6968366
1979.1122P,/m/03120,Flag,0.6830475,0.6830475
1979.1122P,/m/03g3w,History,0.6775497,0.6775497
1979.1122P,/m/0641k,Paper,0.6685743,0.6685743
1979.1127P,/m/03gq5hm,Font,0.79920834,0.79920834
1979.1127P,/m/03hlz0c,Kitchen utensil,0.6244232,0.6244232
1979.1127P,/m/01z8xy,Transparency,0.62327933,0.62327933
1979.1127P,/m/01vkl,Circle,0.5955243,0.5955243
1979.1136P,/m/0jjw,Art,0.7869363,0.7869363
1979.1136P,/m/03gq5hm,Font,0.76288366,0.76288366
1979.1136P,/m/04szw,Musical instrument,0.71897924,0.71897924
1979.1136P,/m/05qdh,Painting,0.71870476,0.71870476
1979.1136P,/m/03g3w,History,0.68179965,0.68179965
1979.1136P,/m/01kr8f,Illustration,0.66340166,0.66340166
1979.1136P,/m/081pkj,Event,0.6466033,0.6466033
1979.1136P,/m/0p9xx,Visual arts,0.6139236,0.6139236
1979.1136P,/m/0j62f,Rectangle,0.59524757,0.59524757
1979.1136P,/m/0h8my9s,Vintage advertisement,0.5319536,0.5319536
1979.1140P,/m/047vlmn,Outerwear,0.95395774,0.95395774
1979.1140P,/m/062581,Sleeve,0.8724498,0.8724498
1979.1140P,/m/01n5jq,Poster,0.80652297,0.80652297
1979.1140P,/m/0bt_c3,Book,0.7378719,0.7378719
1979.1140P,/m/02w3_2,Formal wear,0.7153624,0.7153624
1979.1140P,/m/0jjw,Art,0.70676225,0.70676225
1979.1140P,/m/011s0,Advertising,0.68772745,0.68772745
1979.1140P,/m/03tvvb,Overcoat,0.6844478,0.6844478
1979.1140P,/m/01kr8f,Illustration,0.6839784,0.6839784
