accession_number,description,score,rel_left_x,rel_right_x,rel_top_y,rel_bottom_y,abs_left_x,abs_right_x,abs_top_y,abs_bottom_y
1979.1233P,Packaged goods,0.66035825,0.05253647,0.9892134,0.016551938,0.9967167,64,1198,17,997
1979.1233P,Animal,0.61308503,0.1692002,0.42425263,0.23443002,0.78188115,205,514,234,782
1979.1233P,Person,0.5074684,0.25975958,0.7042962,0.29052398,0.793934,315,853,291,794
1979.1234P,Packaged goods,0.8131228,0.006347177,0.9973958,0.0,0.9958594,6,997,0,1477
1979.1235P,Packaged goods,0.52806413,0.0005002075,0.9780831,0.020962432,0.97369885,0,977,31,1456
1979.1236P,Packaged goods,0.70336556,0.0039697057,0.99116844,0.021425216,0.97956586,4,991,32,1460
1979.1238P,Packaged goods,0.83447313,0.005843284,0.9973958,0.027059952,0.99109846,6,997,41,1503
1979.1240P,Packaged goods,0.77596676,0.0019450068,0.9931295,0.016906703,0.98755884,2,993,25,1477
1979.1240P,Tableware,0.5895559,0.06888174,0.35316643,0.033322345,0.17938177,69,353,50,268
1979.1240P,Person,0.5509579,0.26327565,0.792104,0.063974775,0.43518484,263,792,96,651
1979.1241P,Packaged goods,0.68133223,0.0021578951,0.9973958,0.0045342967,0.98371744,2,996,6,1338
1979.1241P,Person,0.52813876,0.74973387,0.9092972,0.07364345,0.32958764,749,908,100,448
1979.1242P,Packaged goods,0.7412712,0.0,0.9973958,0.004817276,0.99730796,0,997,7,1358
1979.1243P,Packaged goods,0.5940975,0.011239835,0.98794836,0.019895999,0.97719544,11,988,31,1544
1979.1244P,Packaged goods,0.7174883,0.23968558,0.36883816,0.50522304,0.7156143,240,369,757,1073
1979.1244P,Animal,0.5808593,0.35648116,0.62603587,0.38579988,0.72361034,356,626,578,1085
1979.1246P,Packaged goods,0.63923633,0.0010641447,0.9918247,0.0015840596,0.9945763,1,991,2,1567
1980.005,Person,0.8024575,0.37866378,0.61051244,0.57394916,0.8186757,276,444,574,819
1980.005,Person,0.7918388,0.24966806,0.34824964,0.48343,0.70824057,182,254,483,708
1980.005,Picture frame,0.7080963,0.03832107,0.95077014,0.042514693,0.9742895,28,692,43,974
1980.006,Packaged goods,0.5810812,0.0020669375,0.9858715,0.0007805115,0.98709273,2,986,1,1464
1980.006,Animal,0.55792415,0.18780155,0.34790584,0.1299478,0.2096978,188,348,193,311
1980.007,Bird,0.7697513,0.051219646,0.40877,0.4341266,0.8791984,51,408,668,1353
1980.007,Bird,0.7508466,0.51824147,0.88432217,0.677382,0.85733014,518,883,1042,1319
1980.012,Person,0.66966414,0.052362338,0.9819184,0.10440909,0.90009385,52,982,138,1186
