accession_number,height,width,max_height,max_width
1979.1034P,1000,1333,2448,3264
1979.1039P,1000,1333,2448,3264
1979.1122P,1313,1000,4018,3059
1979.1127P,1332,1000,3944,2960
1979.1136P,1000,1543,3217,4965
1979.1140P,1291,1000,4203,3255
1979.1174P,1603,1000,4631,2888
1979.1177P,1342,1000,3945,2939
1979.1178P,1320,1000,3948,2989
1979.1180P,1000,1192,3007,3585
1979.1182P,1449,1000,4596,3171
1979.1183P,1547,1000,4741,3064
1979.1184P,1336,999,3961,2963
1979.1185P,1344,1000,3975,2957
1979.1212P,1324,1000,4028,3041
1979.1213P,1498,1000,4376,2920
1979.1215P,1447,1000,4768,3294
1979.1216P,1458,999,4781,3277
1979.1217P,1505,1000,4469,2968
1979.1218P,1492,1000,4688,3142
1979.1220P,1376,1000,4285,3113
1979.1221P,1538,1000,4604,2993
1979.1222P,1519,1000,4649,3060
1979.1224P,1377,1000,4309,3129
1979.1225P,1469,999,4470,3041
1979.1226P,1539,1000,4589,2981
1979.1227P,1501,1000,4576,3048
1979.1228P,1338,999,4306,3216
1979.1229P,1000,1304,2982,3890
1979.1231P,1000,1408,3063,4313
1979.1232P,1494,1000,4832,3234
1979.1233P,1000,1211,3242,3929
1979.1234P,1483,1000,4551,3068
1979.1235P,1495,999,4591,3069
1979.1236P,1490,1000,4682,3142
1979.1237P,1326,1000,4112,3100
1979.1238P,1516,1000,4742,3127
1979.1239P,1000,1243,3376,4198
1979.1240P,1496,1000,4551,3041
1979.1241P,1360,999,4332,3183
1979.1242P,1362,1000,4282,3143
1979.1243P,1580,1000,4766,3016
1979.1244P,1499,1000,4442,2963
1979.1246P,1576,999,2422,1536
1980.005,1000,728,1000,728
1980.006,1483,1000,2723,1836
1980.007,1539,999,2741,1780
1980.012,1318,1000,2446,3225
1980.013,1000,1235,1631,2015
1980.014,1470,1000,1753,2578
1980.016,1393,1000,1959,1406
1980.017,1382,1000,2521,1824
1980.025,1199,1000,2778,2316
1980.026,1590,999,2038,1281
1980.028,2038,806,2038,806
1980.030,1000,1504,2000,3008
1980.031,1500,1000,5184,3456
1980.032,2083,1000,4650,2232
1980.033,1575,1000,2048,1300
1980.035,2014,822,2014,822
1980.036,1512,1000,2031,1343
1980.037,1663,999,2015,1211
1980.038,358,500,358,500
1980.039,1000,1078,1948,2100
1980.040,1000,1500,1592,2388
1980.073,2031,659,2031,659
1980.080,1642,1000,2027,1234
1980.092,1556,1000,2872,1845
1980.093,1692,1000,2031,1200
1980.129,1500,1000,5184,3456
1980.130,1400,1000,2499,1785
1981.003,1413,1000,4987,3528
1981.004,1344,1000,3956,2943
1981.005,999,1153,2990,3450
1981.007,1000,1405,3056,4295
1981.008,1333,1000,2048,1536
1981.012,1000,1504,2000,3008
1981.013,1956,945,1956,945
1981.014,504,330,504,330
1981.031,1000,2052,1023,2100
1981.033,1000,2610,1808,4720
1981.036,633,360,633,360
1982.066,1571,1000,4536,2887
1982.067,500,341,500,341
1982.103,1500,1000,5184,3456
1982.105,1500,1000,6000,4000
1983.003,1000,1942,2467,4791
1983.010,1000,1504,2000,3008
1983.014,999,1287,2336,3008
1983.017,362,762,362,762
1983.020,436,504,436,504
1983.021,1505,999,3394,2254
1984.020,999,1288,3075,3962
1984.021,999,1297,3071,3984
1984.022,1000,1299,3094,4021
1984.023,999,1288,3102,3998
1984.024,999,1296,3061,3969
1984.025,1000,1359,2503,3403
1984.026,1154,1000,2315,2006
1984.027,1375,1000,3757,2731
