qid,label_en,description_en,instance_of_uuid,instance_of,gender_uuid,gender,orcid_uuid,orcid,orcid_ref1_hash,orcid_ref1_retrieved_nodeId,orcid_ref1_retrieved_val,orcid_ref1_retrieved_prec,employer_uuid,employer,employer_start_time_nodeId,employer_start_time_val,employer_start_time_prec,employer_end_time_nodeId,employer_end_time_val,employer_end_time_prec,employer_ref1_hash,employer_ref1_referenceUrl,employer_ref1_retrieved_nodeId,employer_ref1_retrieved_val,employer_ref1_retrieved_prec,affiliation_uuid,affiliation,affiliation_start_time_nodeId,affiliation_start_time_val,affiliation_start_time_prec,affiliation_end_time_nodeId,affiliation_end_time_val,affiliation_end_time_prec,affiliation_ref1_hash,affiliation_ref1_referenceUrl,affiliation_ref1_retrieved_nodeId,affiliation_ref1_retrieved_val,affiliation_ref1_retrieved_prec
Q42319101,Srividya Bhaskara,biochemist,187370B6-0500-4B22-869B-97BBD3CEF956,Q5,CFB98F79-80A4-41E8-BF15-AA333B793D55,Q6581072,9F4B718D-A755-483C-A2F6-56BDC605DD6E,0000-0002-2182-9585,220cc132746fe9acd80a3cb4f6ae76cf4987b557,45974783-738e-452b-a610-521d642ffa90,2021-03-27T00:00:00Z,11,40ED7F46-03CE-4C8B-9837-A2BCFB007A23,Q7914455,f7489aba-9789-40a9-a431-25862532f920,2005-00-00T00:00:00Z,9,251cdb8f-3c2b-49f8-9baf-5186c2a757fe,2011-00-00T00:00:00Z,9,c151b09a3ce931a7c6e7a808e2c2a13463886d67,https://orcid.org/0000-0002-2182-9585,823ad83e-daa6-486c-bd50-4a090f2d284e,2021-03-27T00:00:00Z,11,516F35B4-8343-4746-8C4D-FD836D80BBFB,Q89953896,4d0b6cb1-e46f-4cb1-807c-7cc2cb54b4ce,2005-00-00T00:00:00Z,9,efb60ca3-f50f-4a53-9c44-542b22afe654,2011-00-00T00:00:00Z,9,c151b09a3ce931a7c6e7a808e2c2a13463886d67,https://orcid.org/0000-0002-2182-9585,bd878202-9454-4aa3-8cea-3fd416a62851,2021-03-27T00:00:00Z,11
Q42397402,Damjana Rozman,biochemist,5696B5D5-E44D-4538-A850-1517240DEE72,Q5,ED22311E-C948-49AE-AD5E-9B694CBCC4FC,Q6581072,30246F9A-F20F-44B0-8F07-55F785E780A1,0000-0002-6501-2163,220cc132746fe9acd80a3cb4f6ae76cf4987b557,ef250b46-7c1a-4e89-9a8d-303daed49346,2021-03-27T00:00:00Z,11,9304D8EE-1D4B-4F8E-8399-74F8A0958BC0,Q29052,7b129e04-b851-44f0-baf1-7cc2175d3dfe,1995-00-00T00:00:00Z,9,8355b00b-548b-4416-bb9c-7d5e1b436165,1997-00-00T00:00:00Z,9,b83e3661132840f18ef6e125b88cc25bc6099217,https://orcid.org/0000-0002-6501-2163,bf0c620b-d39d-4876-97bf-972b3305670d,2021-03-27T00:00:00Z,11,1E7992ED-7323-4ABA-9CCB-C160179A21E3,Q89953896,fda1214c-568c-4c88-97da-e21ab09368bd,1995-00-00T00:00:00Z,9,3e8db460-2593-458d-93f3-93c974290539,1997-00-00T00:00:00Z,9,b83e3661132840f18ef6e125b88cc25bc6099217,https://orcid.org/0000-0002-6501-2163,7dee9882-7021-455d-9663-73c2f9a0e038,2021-03-27T00:00:00Z,11
Q42627942,Mahesh B. Chandrasekharan,biochemist,A1B8E73A-D421-4DA6-899A-023E2B218B6F,Q5,DC605B18-6CB3-4689-812F-1FC078D2C491,Q6581097,4628BABB-BC43-4EDF-94F6-0AA989DA4A0A,0000-0002-9956-8354,220cc132746fe9acd80a3cb4f6ae76cf4987b557,434cac1a-523b-4afe-ab96-e8876a752e94,2021-03-27T00:00:00Z,11,BE325704-F163-42A7-A240-BC3510D4FC10,Q7914455,69d22e64-1c28-4686-b643-49664218e10a,2004-00-00T00:00:00Z,9,875f2980-2799-4056-ba30-ab3963a9f5c8,2011-00-00T00:00:00Z,9,cc7c70fdd5a5002c4af7dae370505f829aa79f49,https://orcid.org/0000-0002-9956-8354,af895141-917f-4aa5-b033-97aaf82153b6,2021-03-27T00:00:00Z,11,91F2C9F3-0468-47CF-931B-25D847A084A3,Q89953896,44be3176-04ed-46cb-9812-d3844e5ecc77,2004-00-00T00:00:00Z,9,23608e96-2274-43fc-8feb-94933f94b76c,2011-00-00T00:00:00Z,9,cc7c70fdd5a5002c4af7dae370505f829aa79f49,https://orcid.org/0000-0002-9956-8354,b4dc25d0-02d4-406f-8909-716a42238595,2021-03-27T00:00:00Z,11
Q52351219,Zhong-Liu Wu,biochemist,0E3D367E-35DF-4817-8731-23FEF90E4572,Q5,,,97EB26ED-936D-4041-B1B3-D3A1031B895F,0000-0002-0189-5892,220cc132746fe9acd80a3cb4f6ae76cf4987b557,96bae2fb-2a5f-4e16-9f0b-bc7342acfd9b,2021-03-27T00:00:00Z,11,15C22D2D-66FF-4AC0-83B9-6446467A7E8F,Q29052,0265dd94-73ac-4724-a895-93f817858138,2003-09-00T00:00:00Z,10,43245858-e2e5-4744-bbe9-e7d957d6e6e7,2007-05-00T00:00:00Z,10,c515b763e20a617c4a37f8ae398a14d4c586419e,https://orcid.org/0000-0002-0189-5892,57c2d1f9-2f78-430f-a36d-15f844f7542f,2021-03-27T00:00:00Z,11,0F9AC05B-BD6C-477D-B89D-4DE0B0C36C91,Q89953896,af044175-3301-48b1-822f-957abb599724,2003-09-00T00:00:00Z,10,8247f74f-86be-4b1f-ac1a-9fd61906d567,2007-05-00T00:00:00Z,10,c515b763e20a617c4a37f8ae398a14d4c586419e,https://orcid.org/0000-0002-0189-5892,859b6461-13d4-4d6e-a792-c1c6cff319e8,2021-03-27T00:00:00Z,11
Q57068908,Ansuman Chattopadhyay,biochemist,A2E0B298-E3AF-4718-B518-344119D0E666,Q5,53CDF196-0316-4CEB-A760-881A3630CDF6,Q6581097,FE21C4BF-1A1E-4F15-AD39-32B10C932194,0000-0002-5412-3749,220cc132746fe9acd80a3cb4f6ae76cf4987b557,aa535e70-8883-4b94-9c2d-97d6d3fc65c4,2021-03-27T00:00:00Z,11,DA372150-34F8-42B8-A8AF-2598D1A7BA8D,Q29052,dffed297-5652-4685-9e35-1a897f9bf0d3,1997-00-00T00:00:00Z,9,46c68c59-72ed-448e-9ab9-9d0837209a18,2001-00-00T00:00:00Z,9,8025d4be2d32c822161b2343834b0e861c028f00,https://orcid.org/0000-0002-5412-3749,9edc05da-5935-4c4f-a40d-9a0d92e2084d,2021-03-27T00:00:00Z,11,8E684FD9-2208-49D2-9FBA-1F375B256970,Q89953896,9fe6aacf-cd15-4a66-9ca4-20b4b1579313,1997-00-00T00:00:00Z,9,9fbb8370-e3f0-42b8-b195-b72a5fe9f889,2001-00-00T00:00:00Z,9,8025d4be2d32c822161b2343834b0e861c028f00,https://orcid.org/0000-0002-5412-3749,0ff67b96-4bcc-4b78-9899-3bddc3554e07,2021-03-27T00:00:00Z,11
Q61136279,Shalley Kudalkar,biochemist,557D45E4-3220-40BC-B701-B2347B31D5D4,Q5,33502125-4066-4AEB-BF9D-CCB73BCE5177,Q6581072,F6353F9C-E022-4370-B4FB-7DE27EC3638E,0000-0001-9377-335X,220cc132746fe9acd80a3cb4f6ae76cf4987b557,9c308416-b356-49f0-a02d-b5813f86321e,2021-03-27T00:00:00Z,11,6B8FDEB4-E071-40B2-BC74-409289789873,Q7914455,ca72f8ca-7cbf-4356-8cb9-000aeac60115,2012-07-01T00:00:00Z,11,1a3434a8-6886-4ea6-9404-bc8c0171ec30,2015-06-31T00:00:00Z,11,10bad1a07c8493620b210f7124c2114d635f2f69,https://orcid.org/0000-0001-9377-335X,c6a9a896-d07b-4fe6-8727-b80b7c72b6a0,2021-03-27T00:00:00Z,11,D1D23428-9CE9-4A21-A230-6DC3A618D250,Q89953896,f22c5988-e30e-4231-83a3-e092de7d3c96,2012-07-01T00:00:00Z,11,9f4cae84-d193-4104-9bdd-9b75fdd1d070,2015-06-31T00:00:00Z,11,10bad1a07c8493620b210f7124c2114d635f2f69,https://orcid.org/0000-0001-9377-335X,2b0cf995-0049-4b45-b383-4d8ecdbcde3d,2021-03-27T00:00:00Z,11
Q63088924,Elizabeth M. Gillam,biochemist,834BDB3D-F9DE-4607-B9D8-55C7DBD7660A,Q5,5AB64E83-49BD-4047-9FE2-5F712896BBF1,Q6581072,32A37513-2D4A-477C-9B68-0174180DB0DE,0000-0003-0378-793X,220cc132746fe9acd80a3cb4f6ae76cf4987b557,2091a570-9483-4dde-a97e-3ddf647a61fa,2021-03-27T00:00:00Z,11,900609F9-058B-4EE3-AB80-AD8CB4DEBBFA,Q29052,d1e2bdaf-aa69-45cf-a3b0-aba721a18b39,1991-04-00T00:00:00Z,10,496b324d-0258-4c83-9621-d265e3e010b7,1993-03-00T00:00:00Z,10,9421a4ebb1c04b8188fca74a633a3470bd6ceadc,https://orcid.org/0000-0003-0378-793X,89a25f0b-a8dd-4569-8a62-5c53e19d1569,2021-03-27T00:00:00Z,11,BE1A6BAF-420C-40E0-8B81-DD7D642C59B4,Q89953896,66a7c2a7-4cdc-48b2-af4f-e514d111fe05,1991-04-00T00:00:00Z,10,0ca547c1-34b8-4531-8136-eebd2119ea1d,1993-03-00T00:00:00Z,10,9421a4ebb1c04b8188fca74a633a3470bd6ceadc,https://orcid.org/0000-0003-0378-793X,1b76d808-26cf-4642-b12d-1d167ef2d3a5,2021-03-27T00:00:00Z,11
Q87920790,Pierre Chaurand,biochemist,5494B912-36F3-41AF-AC21-3A01D7C0E068,Q5,447D2061-C0E5-437D-B958-53841CC6CC6A,Q6581097,376198FC-E774-498A-AA16-17D860FFC2E4,0000-0001-6821-7001,220cc132746fe9acd80a3cb4f6ae76cf4987b557,a4746915-4405-4d81-8897-e608c0da6c51,2021-03-27T00:00:00Z,11,446423F4-17BC-4E6F-A6C6-39BFDCADAC93,Q29052,10c65713-9829-45a5-a535-7e15598434d3,1998-11-01T00:00:00Z,11,0139a274-e86b-49fb-b3da-e809b450190c,2009-09-08T00:00:00Z,11,e71b62220d440099825da03f06d53fea92be8238,https://orcid.org/0000-0001-6821-7001,09719a2b-eb36-4944-b3db-0096bb5f5846,2021-03-27T00:00:00Z,11,E792B107-2D03-4BC5-8734-D22F603B7694,Q89953896,f41700d5-672c-43e1-acfb-a345c45e7fdc,1998-11-01T00:00:00Z,11,442cd002-bb87-4ca4-b347-bf5e95a4d1db,2009-09-08T00:00:00Z,11,e71b62220d440099825da03f06d53fea92be8238,https://orcid.org/0000-0001-6821-7001,bfd35b0a-4322-4f45-942a-ceb0ddd0fdea,2021-03-27T00:00:00Z,11
Q88920283,Wayne F. Anderson,biochemist,58AF6C1F-1164-4083-894C-FD2BD7148E0D,Q5,DBF86946-B3FD-4888-865E-5225FBAAF13F,Q6581097,43472D8C-F4BE-47D5-8DF1-C3EBF8C2160E,0000-0003-4181-8127,220cc132746fe9acd80a3cb4f6ae76cf4987b557,f12ca5ac-a005-4539-bb0b-77781b70d4fc,2021-03-27T00:00:00Z,11,972171B2-B643-4BAF-BD78-B0993B1D6104,Q29052,d6b815fa-8ba7-4fdb-883f-8a1f4a0adbf2,1988-09-01T00:00:00Z,11,892b249c-9085-4ee0-a3f0-717041184921,1994-08-31T00:00:00Z,11,671bd2a281073f70973406441376b4de0d9a0d29,https://orcid.org/0000-0003-4181-8127,79073e20-bee6-4533-b981-26c667c4abd9,2021-03-27T00:00:00Z,11,6108DA85-0EC6-45D6-95BC-8281ADC87196,Q89953896,d56f34d0-6518-4c68-9465-013fc9935255,1988-09-01T00:00:00Z,11,290dab6e-b0b7-4dab-8663-e2e342d0fc90,1994-08-31T00:00:00Z,11,671bd2a281073f70973406441376b4de0d9a0d29,https://orcid.org/0000-0003-4181-8127,1a212f0e-2c06-4c73-a834-2f3285b65ffb,2021-03-27T00:00:00Z,11
Q88948724,Denis T. Akan,biochemist,8188CC2B-D593-400F-B6F0-D73C55788481,Q5,C37A5003-90C2-46E3-8329-BF5F6C92F286,Q6581097,738508A3-C34A-418F-8D33-EE3C040BEE9A,0000-0002-1476-4883,220cc132746fe9acd80a3cb4f6ae76cf4987b557,10bef7e1-4967-4c0f-9e4f-dc64d5fc9bc6,2021-03-27T00:00:00Z,11,FCA2304C-66F0-4478-B5F3-143FB709627E,Q29052,d5aee225-cf13-4a2d-bf10-2f9b6f0cae5d,2015-11-00T00:00:00Z,10,6e3ffc55-66c7-420b-bdb4-6023c6655880,2018-10-31T00:00:00Z,11,3fafc994ac890626abf8383c79f4e957113c1f9d,https://orcid.org/0000-0002-1476-4883,7e415c71-ea4c-4270-bec7-ad9a6c71a9d3,2021-03-27T00:00:00Z,11,49599217-2B2A-47F8-95E2-74C409D8A52C,Q89953896,a1f456cd-4c98-4bfd-9d8a-3653b6da9f17,2015-11-00T00:00:00Z,10,32387014-b622-47d2-89db-e0e4376264fe,2018-10-31T00:00:00Z,11,3fafc994ac890626abf8383c79f4e957113c1f9d,https://orcid.org/0000-0002-1476-4883,9a5bd34c-0211-4172-9186-48583b1f7624,2021-03-27T00:00:00Z,11
