qid,commons_template,label_en,label_commons,description_en,act_uuid,act,act_ref1_hash,act_ref1_retrieved_nodeId,act_ref1_retrieved_val,act_ref1_retrieved_prec,inventory_number_uuid,inventory_number,inventory_number_collection,inventory_number_ref1_hash,inventory_number_ref1_referenceUrl,inventory_number_ref1_retrieved_nodeId,inventory_number_ref1_retrieved_val,inventory_number_ref1_retrieved_prec,title_uuid,title,title_ref1_hash,title_ref1_referenceUrl,title_ref1_retrieved_nodeId,title_ref1_retrieved_val,title_ref1_retrieved_prec,creator_uuid,creator,creator_ref1_hash,creator_ref1_referenceUrl,creator_ref1_retrieved_nodeId,creator_ref1_retrieved_val,creator_ref1_retrieved_prec,instance_of_uuid,instance_of,instance_of_ref1_hash,instance_of_ref1_referenceUrl,instance_of_ref1_retrieved_nodeId,instance_of_ref1_retrieved_val,instance_of_ref1_retrieved_prec,inception_uuid,inception_nodeId,inception_val,inception_prec,inception_earliest_date_nodeId,inception_earliest_date_val,inception_earliest_date_prec,inception_latest_date_nodeId,inception_latest_date_val,inception_latest_date_prec,inception_sourcing_circumstances,inception_ref1_hash,inception_ref1_referenceUrl,inception_ref1_retrieved_nodeId,inception_ref1_retrieved_val,inception_ref1_retrieved_prec,country_of_origin_uuid,country_of_origin,country_of_origin_ref1_hash,country_of_origin_ref1_referenceUrl,country_of_origin_ref1_retrieved_nodeId,country_of_origin_ref1_retrieved_val,country_of_origin_ref1_retrieved_prec,copyright_status_uuid,copyright_status,copyright_status_applies_to_jurisdiction,copyright_status_determination_method,copyright_status_ref1_hash,copyright_status_ref1_referenceUrl,copyright_status_ref1_retrieved_nodeId,copyright_status_ref1_retrieved_val,copyright_status_ref1_retrieved_prec,image_uuid,image,image_ref1_hash,image_ref1_referenceUrl,image_ref1_retrieved_nodeId,image_ref1_retrieved_val,image_ref1_retrieved_prec,collection_uuid,collection,collection_ref1_hash,collection_ref1_referenceUrl,collection_ref1_retrieved_nodeId,collection_ref1_retrieved_val,collection_ref1_retrieved_prec
,information,Bell Tower Clock,"Todtnauberg: Church of Saint James, son of Zebedee.",architectural structure,,57247,,,2022-01-13,,,,,,,,,,,,,,,,,,,,,,,,,Q811979,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57247,,2022-01-13,,,,1968-01-01T00:00:00Z,9,,1967-01-01T00:00:00Z,9,,1970-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57247,,2022-01-13,,,Q183,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57247,,2022-01-13,,,,,,,,,,,,Todtnau - St. Jakobus der Ältere3.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57247,,2022-01-13,,,,,,,,
,none,"Jesus, the Gerasene, and the Unclean Spirits",,manuscript by artist unknown,,56178,,,2022-01-13,,,,,,,,,,,,,,,,,,anon,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56178,,2022-01-13,,,Q87167,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56178,,2022-01-13,,,,1020-01-01T00:00:00Z,9,,,,,,,Q5727902,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56178,,2022-01-13,,,,,,,,,,,,,,,,,,,Healing of the demon-possessed.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56178,,2022-01-13,,,,,,,,
,artwork,Christ and the Samaritan Woman,,fresco by Manuel Panselinos,,54763,,,2022-01-13,,,,,,,,,,,,,,,,,,Q1151590,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54763,,2022-01-13,,,Q22669139,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54763,,2022-01-13,,,,1300-01-01T00:00:00Z,9,,1290-01-01T00:00:00Z,9,,1310-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54763,,2022-01-13,,,,,,,,,,Q19652,,,,https://commons.wikimedia.org/wiki/File:Photina_of_Protat.JPG,,2022-01-13,,,Photina of Protat.JPG,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54763,,2022-01-13,,,,,,,,
,artwork,Gathering of the Manna,The Gathering of the Manna,painting by James Tissot,,56580,,,2022-01-13,,,,,,,,,,,,,,,,,,Q381248,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56580,,2022-01-13,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56580,,2022-01-13,,,,1899-01-01T00:00:00Z,9,,1896-01-01T00:00:00Z,9,,1902-01-01T00:00:00Z,9,Q5727902,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56580,,2022-01-13,,,Q30,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56580,,2022-01-13,,,Q19652,Q60332278,Q29940705,,,,,,,Tissot The Gathering of the Manna (color).jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56580,,2022-01-13,,,,,,,,
,artwork,"Arnolfini Wedding, detail",,painting by Jan van Eyck,,49616,,,2022-01-13,,,,,,,,,,,,,,,,,,Q102272,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49616,,2022-01-13,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49616,,2022-01-13,,,,1434-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49616,,2022-01-13,,,Q145,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49616,,2022-01-13,,,Q19652,Q60332278,Q29940705,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49616,,2022-01-13,,,Jan van Eyck 004.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49616,,2022-01-13,,,,,,,,
,artwork,Judah and Tamar,,painting by Emile-Jean-Horace Vernet,,48067,,,2022-01-13,,,,,,,,,,,,,,,,,,Q161145,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=48067,,2022-01-13,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=48067,,2022-01-13,,,,1840-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=48067,,2022-01-13,,,Q145,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=48067,,2022-01-13,,,Q19652,Q60332278,Q29940705,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=48067,,2022-01-13,,,Emile Jean Horace Vernet 001.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=48067,,2022-01-13,,,Q1327919,,https://commons.wikimedia.org/wiki/File:Emile_Jean_Horace_Vernet_001.jpg,,2022-01-13,
,information,Thou shalt not commit adultery (Nathan confronts David),"Thou shalt not commit adultery (Nathan confronts David); bronze bas-relief on the door of the Madeleine Place de La Madeleine, Paris.",sculpture by active 15th century Rohan Master,,55139,,,2022-01-13,,,,,,,,,,,,,,,,,,,,,,,,,Q860861,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55139,,2022-01-13,,,,1837-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55139,,2022-01-13,,,Q142,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55139,,2022-01-13,,,Q19652,,,,https://commons.wikimedia.org/wiki/File:Nathan_and_David.jpg,,2022-01-13,,,Nathan and David.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55139,,2022-01-13,,,,,,,,
,artwork,Last Judgment,The Last Judgment . Alternative title(s): Weltgericht .,painting by Stephan Lochner,,58438,,,2022-01-13,,,WRM 0066,Q700959,,https://commons.wikimedia.org/wiki/File:Stefan_Lochner_-_Last_Judgement_-_circa_1435.jpg,,2022-01-13,,,,,,,,,,Q290812,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58438,,2022-01-13,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58438,,2022-01-13,,,,1435-01-01T00:00:00Z,9,,,,,,,Q5727902,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58438,,2022-01-13,,,Q183,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58438,,2022-01-13,,,Q19652,Q60332278,Q29940705,,,,,,,Stefan Lochner - Last Judgement - circa 1435.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58438,,2022-01-13,,,Q700959,,https://commons.wikimedia.org/wiki/File:Stefan_Lochner_-_Last_Judgement_-_circa_1435.jpg,,2022-01-13,
,artwork,Jephtha's Return,,painting by Giovanni Antonio Pellegrini,,46517,,,2022-01-13,,,,,,,,,,,,,,,,,,Q1358364,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46517,,2022-01-13,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46517,,2022-01-13,,,,1712-01-01T00:00:00Z,9,,1700-01-01T00:00:00Z,9,,1725-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46517,,2022-01-13,,,Q145,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46517,,2022-01-13,,,Q19652,Q60332278,Q29940705,,,,,,,Giovanni Antonio Pellegrini 001.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46517,,2022-01-13,,,,,https://commons.wikimedia.org/wiki/File:Giovanni_Antonio_Pellegrini_001.jpg,,2022-01-13,
,information,Righteous Job,Book of Job in Illuminated Manuscripts.List of Byzantine Manuscripts with Cyclic Illustration.Venice.Biblioteca Nazionale Marciana,manuscript by artist unknown,,57678,,,2022-01-13,,,,,,,,,,,,,,,,,,anon,,https://commons.wikimedia.org/wiki/File:MARC538fol5.jpg,,2022-01-13,,,Q87167,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57678,,2022-01-13,,,,0905-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57678,,2022-01-13,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57678,,2022-01-13,,,Q19652,,,,https://commons.wikimedia.org/wiki/File:MARC538fol5.jpg,,2022-01-13,,,MARC538fol5.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57678,,2022-01-13,,,,,,,,
,information,"Christ, Mary, Saints, and Angels in Glory","Cathedral dome, Parma, Italy Parma Duomo cupola",fresco by Girolamo Mazzola Bedoli,,55579,,,2022-01-13,,,,,,,,,,,,,,,,,,Q1527051,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55579,,2022-01-13,,,Q22669139,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55579,,2022-01-13,,,,1541-01-01T00:00:00Z,9,,1538-01-01T00:00:00Z,9,,1544-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55579,,2022-01-13,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55579,,2022-01-13,,,Q19652,Q60332278,Q29940705,,,,,,,Parma-cupola duomo.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55579,,2022-01-13,,,,,,,,
,information,Leaf from Codex Washingtonensis,Illustration on the last page of the codex Codex Washingtonianus,manuscript by artist unknown,,54466,,,2022-01-13,,,,,,,,,,,,,,,,,,anon,,https://commons.wikimedia.org/wiki/File:Codex_Washingtonensis_W_032.JPG,,2022-01-13,,,Q87167,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54466,,2022-01-13,,,,0450-01-01T00:00:00Z,7,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54466,,2022-01-13,,,Q30,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54466,,2022-01-13,,,,,,,,,,,,Codex Washingtonensis W 032.JPG,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54466,,2022-01-13,,,,,,,,
,artwork,Sacrifice of Isaac,"Sacrifice of Isaac label QS:Len,""Sacrifice of Isaac"" label QS:Lpl,""Ofiarowanie Izaaka""",painting by Michelangelo Merisi da Caravaggio,,54822,,,2022-01-13,,,,,,,,,,,,,,,,,,Q42207,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54822,,2022-01-13,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54822,,2022-01-13,,,,1603-01-01T00:00:00Z,9,,,,,,,Q5727902,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54822,,2022-01-13,,,Q30,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54822,,2022-01-13,,,Q19652,Q60332278,Q29940705,,,,,,,Sacrifice of Isaac-Caravaggio (c. 1603).jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54822,,2022-01-13,,,,,,,,
,information,Christ and the Woman with the Issue of Blood,"The healing of a bleeding woman, Rome, Catacombs of Marcellinus and Peter.",fresco by artist unknown,,58325,,,2022-01-13,,,,,,,,,,,,,,,,,,anon,,https://commons.wikimedia.org/wiki/File:Healing_of_a_bleeding_women_Marcellinus-Peter-Catacomb.jpg,,2022-01-13,,,Q22669139,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58325,,2022-01-13,,,,0350-01-01T00:00:00Z,7,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58325,,2022-01-13,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58325,,2022-01-13,,,Q19652,,,,https://commons.wikimedia.org/wiki/File:Healing_of_a_bleeding_women_Marcellinus-Peter-Catacomb.jpg,,2022-01-13,,,Healing of a bleeding women Marcellinus-Peter-Catacomb.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58325,,2022-01-13,,,,,,,,
,artwork,Baptism of Christ,The Baptism of Christ,painting by Jacopino Del Conte,,46151,,,2022-01-13,,,,,,,,,,,,,,,,,,Q2538308,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46151,,2022-01-13,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46151,,2022-01-13,,,,1541-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46151,,2022-01-13,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46151,,2022-01-13,,,Q19652,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46151,,2022-01-13,,,Jacopo del Conte 001.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46151,,2022-01-13,,,,,,,,
,information,"Manche Masemola, South African Martyr","Martyrs on the façade of Westminster Abbey, London. left to right: Maximilian Kolbe, Manche Masemola, and Janani Luwum . See also: en:List of architectural sculpture in Westminster#Westminster Abbey",sculpture,,57412,,,2022-01-13,,,,,,,,,,,,,,,,,,,,,,,,,Q860861,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57412,,2022-01-13,,,,1950-01-01T00:00:00Z,7,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57412,,2022-01-13,,,Q145,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57412,,2022-01-13,,,,,,,,,,,,WestminsterAbbey-Martyrs.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57412,,2022-01-13,,,,,,,,
,information,Widow with Child,"War memorial ""weduwe met kind"" (Widow with child) by Lidi Buma in 1956. Until 2008 it was at the Prinses Irenelaan but after 2008 it is situated at it's current place at the Ossenmarkt in front of the Torenfort in Weesp.",sculpture by Lidi Buma,,56596,,,2022-01-13,,,,,,,,,,,,,,,,,,,,,,,,,Q860861,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56596,,2022-01-13,,,,1956-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56596,,2022-01-13,,,Q55,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56596,,2022-01-13,,,,,,,,,,,,Weduwe met kind Lidi Buma Ossenmarkt Weesp v1.JPG,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56596,,2022-01-13,,,,,,,,
,none,Philemon and Apphia,,painting,,55642,,,2022-01-13,,,,,,,,,,,,,,,,,,,,,,,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55642,,2022-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Philemon and Apphia.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55642,,2022-01-13,,,,,,,,
,artwork,"Portrait of Pope John VII, presenting model of a newly dedicated church",,mosaic,,46635,,,2022-01-13,,,,,,,,,,,,,,,,,,anon,,,,,,,Q133067,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46635,,2022-01-13,,,,0706-01-01T00:00:00Z,9,,0705-01-01T00:00:00Z,9,,0707-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46635,,2022-01-13,,,,,,,,,,,,,,,,,,,Byzantinischer Mosaizist um 705 002.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46635,,2022-01-13,,,Q774940,,https://commons.wikimedia.org/wiki/File:Byzantinischer_Mosaizist_um_705_002.jpg,,2022-01-13,
,artwork,Psalter Manuscript,,manuscript by Folchardus,,47458,,,2022-01-13,,,,,,,,,,,,,,,,,,Q59650587,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=47458,,2022-01-13,,,Q87167,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=47458,,2022-01-13,,,,0870-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=47458,,2022-01-13,,,Q142,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=47458,,2022-01-13,,,,,,,,,,,,Folchard 001.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=47458,,2022-01-13,,,,,,,,
,information,Santa Prassede,"Interior of the Basilica di Sante Prassede, Rome, Italy",architectural structure by Sixtus,,54435,,,2022-01-13,,,,,,,,,,,,,,,,,,,,,,,,,Q811979,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54435,,2022-01-13,,,,0780-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54435,,2022-01-13,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54435,,2022-01-13,,,,,,,,,,,,"Interior of Basilica di Santa Prassede, Rome.JPG",,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54435,,2022-01-13,,,,,,,,
,artwork,Hannah before Eli the High Priest,"Hannah before Eli the High Priest title QS:P1476,en:""Hannah before Eli the High Priest"" label QS:Len,""Hannah before Eli the High Priest""",manuscript by Malnazar and Aghap'ir,,56672,,,2022-01-13,,,,,,,,,,,,,,,,,,,,,,,,,Q87167,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56672,,2022-01-13,,,,1637-01-01T00:00:00Z,9,,1637-01-01T00:00:00Z,9,,1638-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56672,,2022-01-13,,,Q30,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56672,,2022-01-13,,,,,,,,,,,,Malnazar - Hannah before Eli the High Priest - Google Art Project.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56672,,2022-01-13,,,,,,,,
,information,Michal lets David escape from the window,"Michal lets David escape from the window. A painting by Gustave Doré, 1865.",print by Gustave Doré,,57284,,,2022-01-13,,,,,,,,,,,,,,,,,,Q6682,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57284,,2022-01-13,,,Q11060274,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57284,,2022-01-13,,,,1865-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57284,,2022-01-13,,,,,,,,,,Q19652,Q60332278,Q29940705,,,,,,,Michal Gustave Doré.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57284,,2022-01-13,,,,,,,,
,information,"Mausoleum of Grigor Tatevatsi, in the Tatev Monastery, Armenia","Tatev Monastery, Armenia",architectural structure,,54454,,,2022-01-13,,,,,,,,,,,,,,,,,,,,,,,,,Q811979,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54454,,2022-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Monasterio de Tatev, Armenia, 2016-10-01, DD 86-88 HDR.jpg",,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54454,,2022-01-13,,,,,,,,
,artwork,Sun of Righteousness,Sol Iustitiae (Sun of Righteousness),print by Albrecht Dürer,,55638,,,2022-01-13,,,1943.3.3484,Q214867,,https://commons.wikimedia.org/wiki/File:Albrecht_D%C3%BCrer_-_Sol_Iustitiae_(Sun_of_Righteousness)_(NGA_1943.3.3484).jpg,,2022-01-13,,,,,,,,,,Q5580,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55638,,2022-01-13,,,Q11060274,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55638,,2022-01-13,,,,1499-01-01T00:00:00Z,9,,1499-01-01T00:00:00Z,9,,1500-01-01T00:00:00Z,9,Q5727902,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55638,,2022-01-13,,,Q30,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55638,,2022-01-13,,,Q19652,Q60332278,Q29940705,,,,,,,Albrecht Dürer - Sol Iustitiae (Sun of Righteousness) (NGA 1943.3.3484).jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55638,,2022-01-13,,,Q214867,,https://commons.wikimedia.org/wiki/File:Albrecht_D%C3%BCrer_-_Sol_Iustitiae_(Sun_of_Righteousness)_(NGA_1943.3.3484).jpg,,2022-01-13,
,artwork,Twelve Teachers of Wisdom,,painting by artist unknown,,58662,,,2022-01-13,,,,,,,,,,,,,,,,,,anon,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58662,,2022-01-13,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58662,,2022-01-13,,,,1450-01-01T00:00:00Z,7,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58662,,2022-01-13,,,,,,,,,,,,,,,,,,,Dante Pd10 Kopenhagen MS Thott 411.2.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58662,,2022-01-13,,,Q867885,,https://commons.wikimedia.org/wiki/File:Dante_Pd10_Kopenhagen_MS_Thott_411.2.jpg,,2022-01-13,
,information,Charity to Street Arab,Illustration from below book,print,,55368,,,2022-01-13,,,,,,,,,,,,,,,,,,,,,,,,,Q11060274,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55368,,2022-01-13,,,,1884-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55368,,2022-01-13,,,,,,,,,,Q19652,Q60332278,Q29940705,,https://commons.wikimedia.org/wiki/File:Charity_to_Street_Arab.jpg,,2022-01-13,,,Charity to Street Arab.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55368,,2022-01-13,,,,,,,,
,artwork,Still Life,Still Life,painting by Albrecht Kauw,,46266,,,2022-01-13,,,,,,,,,,,,,,,,,,Q580452,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46266,,2022-01-13,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46266,,2022-01-13,,,,1678-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46266,,2022-01-13,,,Q39,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46266,,2022-01-13,,,,,,,,,,,,Albrecht Kauw 001.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46266,,2022-01-13,,,Q194622,,https://commons.wikimedia.org/wiki/File:Albrecht_Kauw_001.jpg,,2022-01-13,
,artwork,Piercing of Christ's Side,"Freskenzyklus im Dominikanerkloster San Marco in Florenz, Szene: Kreuzigung mit Lanzenstich des Hauptmanns Longinus",painting by fra Angelico,,47767,,,2022-01-13,,,,,,,,,,,,,,,,,,Q5664,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=47767,,2022-01-13,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=47767,,2022-01-13,,,,1450-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=47767,,2022-01-13,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=47767,,2022-01-13,,,Q19652,Q60332278,Q29940705,,,,,,,Fra Angelico 027.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=47767,,2022-01-13,,,Q13453137,,https://commons.wikimedia.org/wiki/File:Fra_Angelico_027.jpg,,2022-01-13,
,none,Christ with Beard,,fresco,,49950,,,2022-01-13,,,,,,,,,,,,,,,,,,,,,,,,,Q22669139,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49950,,2022-01-13,,,,0350-01-01T00:00:00Z,7,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49950,,2022-01-13,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49950,,2022-01-13,,,,,,,,,,,,Christ with beard.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49950,,2022-01-13,,,,,,,,
,information,Sweet Honey in the Rock live at Ravinia,Sweet Honey in the Rock live at Ravinia,photograph by singitonline,,57041,,,2022-01-13,,,,,,,,,,,,,,,,,,Q110548787,,https://commons.wikimedia.org/wiki/File:Sweet_Honey_in_the_Rock.jpg,,2022-01-13,,,Q125191,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57041,,2022-01-13,,,,2006-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57041,,2022-01-13,,,,,,,,,,,,,,,,,,,Sweet Honey in the Rock.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57041,,2022-01-13,,,,,,,,
,artwork,"Jeanne Jugan, founder of Little Sisters of the Poor","Blessed Jeanne Jugan (October 25, 1792 – 1879) foundress of the Little Sisters of the Poor .",painting by Leon Brune,,55344,,,2022-01-13,,,,,,,,,,,,,,,,,,,,,,,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55344,,2022-01-13,,,,1885-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55344,,2022-01-13,,,,,,,,,,Q19652,,,,https://commons.wikimedia.org/wiki/File:Jeanne_Jugan.jpg,,2022-01-13,,,Jeanne Jugan.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55344,,2022-01-13,,,,,,,,
