qid,label_en,author_uuid,author,author_stated_as,author_series_ordinal,author_ref1_hash,author_ref1_referenceUrl,author_ref1_stated_in,author_ref1_retrieved_nodeId,author_ref1_retrieved_val,author_ref1_retrieved_prec
Q115715346,"Proper Twenty-Four, Ordinary 29, Pentecost 21: October 17, 2010",,Q113735559,Michael S Koppel,3,,,Q114403967,,2022-12-15,
Q115715347,"Proper Twenty-Three, Ordinary 28, Pentecost 20: October 10, 2010",,Q27643173,Joerg Rieger,2,,,Q114403967,,2022-12-15,
Q115715347,"Proper Twenty-Three, Ordinary 28, Pentecost 20: October 10, 2010",,Q113735559,Michael S Koppel,3,,,Q114403967,,2022-12-15,
Q115715349,"Proper Twenty-Two, Ordinary 27, Pentecost 19: October 3, 2010",,Q27643173,Joerg Rieger,2,,,Q114403967,,2022-12-15,
Q115715349,"Proper Twenty-Two, Ordinary 27, Pentecost 19: October 3, 2010",,Q113802355,Edward N McNulty,6,,,Q114403967,,2022-12-15,
Q115715350,"Proper 12, Ordinary 17, Pentecost 7: July 27, 2014",,Q27643173,Joerg Rieger,2,,,Q114403967,,2022-12-15,
Q115715350,"Proper 12, Ordinary 17, Pentecost 7: July 27, 2014",,Q113802355,Edward N McNulty,6,,,Q114403967,,2022-12-15,
Q115715350,"Proper 12, Ordinary 17, Pentecost 7: July 27, 2014",,Q113810907,Brett Younger,8,,,Q114403967,,2022-12-15,
Q115715351,"Proper 11, Ordinary 16, Pentecost 6: July 20, 2014",,Q27643173,Joerg Rieger,2,,,Q114403967,,2022-12-15,
Q115715351,"Proper 11, Ordinary 16, Pentecost 6: July 20, 2014",,Q113802355,Edward N McNulty,6,,,Q114403967,,2022-12-15,
Q115715352,"Proper 10, Ordinary 15, Pentecost 5: July 13, 2014",,Q27643173,Joerg Rieger,2,,,Q114403967,,2022-12-15,
Q115715352,"Proper 10, Ordinary 15, Pentecost 5: July 13, 2014",,Q113802355,Edward N McNulty,6,,,Q114403967,,2022-12-15,
Q115715354,"Proper 9, Ordinary 14, Pentecost 4: July 6, 2014",,Q27643173,Joerg Rieger,2,,,Q114403967,,2022-12-15,
Q115715354,"Proper 9, Ordinary 14, Pentecost 4: July 6, 2014",,Q113802355,Edward N McNulty,6,,,Q114403967,,2022-12-15,
Q115715355,Christianity and the New Spirit of Capitalism,,Q27643173,Joerg Rieger,,,,Q114403967,,2022-12-15,
Q115715357,"Jesus Came to Washington - Authorization of American Democracy Through the Spirit of Protestantism - German - Schwarke,c",,Q27643173,Joerg Rieger,,,,Q114403967,,2022-12-15,
Q115715358,Exploring a Wesleyan Political Theology,,Q27643173,Joerg Rieger,,,http://www.webofscience.com/api/gateway?gwversion=2&srcauth=doisource&srcapp=wos&keyaid=10.5325%2fweslmethstud.14.2.0223&destapp=doi&srcappsid=usw2ec0e44gl6jpubwqsnk8kvuxyg&srcjtitle=wesley+and+methodist+studies&destdoiregistrantname=the+pennsylvania+state+university+press,,,2022-12-15,
Q115715359,"Thirty-First Sunday in Ordinary Time: October 31, 2004. Proper 26-Twenty-Second Sunday After Pentecost",,Q93228980,Rolf A Jacobson,1,,,Q114403967,,2022-12-15,
Q115715359,"Thirty-First Sunday in Ordinary Time: October 31, 2004. Proper 26-Twenty-Second Sunday After Pentecost",,Q27643173,Joerg Rieger,2,,,Q114403967,,2022-12-15,
Q115715359,"Thirty-First Sunday in Ordinary Time: October 31, 2004. Proper 26-Twenty-Second Sunday After Pentecost",,Q113834603,Ryan LaMothe,3,,,Q114403967,,2022-12-15,
Q115715360,"Thirtieth Sunday in Ordinary Time: October 24, 2004. Proper 25-Twenty-First Sunday After Pentecost",,Q93228980,Rolf A Jacobson,1,,,Q114403967,,2022-12-15,
Q115715360,"Thirtieth Sunday in Ordinary Time: October 24, 2004. Proper 25-Twenty-First Sunday After Pentecost",,Q27643173,Joerg Rieger,2,,,Q114403967,,2022-12-15,
Q115715360,"Thirtieth Sunday in Ordinary Time: October 24, 2004. Proper 25-Twenty-First Sunday After Pentecost",,Q113834603,Ryan LaMothe,3,,,Q114403967,,2022-12-15,
Q115715361,"Twenty-Ninth Sunday in Ordinary Time: October 17, 2004. Proper 24-Twentieth Sunday After Pentecost",,Q7970101,Warren Carter,1,,,Q114403967,,2022-12-15,
Q115715361,"Twenty-Ninth Sunday in Ordinary Time: October 17, 2004. Proper 24-Twentieth Sunday After Pentecost",,Q27643173,Joerg Rieger,2,,,Q114403967,,2022-12-15,
Q115715361,"Twenty-Ninth Sunday in Ordinary Time: October 17, 2004. Proper 24-Twentieth Sunday After Pentecost",,Q113834603,Ryan LaMothe,3,,,Q114403967,,2022-12-15,
Q115715362,"Twenty-Eight Sunday in Ordinary Time: October 10, 2004. Proper 23-Nineteenth Sunday After Pentecost",,Q7970101,Warren Carter,1,,,Q114403967,,2022-12-15,
Q115715362,"Twenty-Eight Sunday in Ordinary Time: October 10, 2004. Proper 23-Nineteenth Sunday After Pentecost",,Q27643173,Joerg Rieger,2,,,Q114403967,,2022-12-15,
Q115715362,"Twenty-Eight Sunday in Ordinary Time: October 10, 2004. Proper 23-Nineteenth Sunday After Pentecost",,Q113834603,Ryan LaMothe,3,,,Q114403967,,2022-12-15,
Q115715363,"Proper 4-Ninth Sunday in Ordinary Time, Second Sunday after Pentecost: May 29, 2005",,Q27643173,Joerg Rieger,2,,,Q114403967,,2022-12-15,
Q115715363,"Proper 4-Ninth Sunday in Ordinary Time, Second Sunday after Pentecost: May 29, 2005",,Q94688634,S Suzanne Mayer,3,,,Q114403967,,2022-12-15,
Q115715363,"Proper 4-Ninth Sunday in Ordinary Time, Second Sunday after Pentecost: May 29, 2005",,Q66946645,Jill Y Crainshaw,6,,,Q114403967,,2022-12-15,
Q115715364,"Sixth Sunday of Easter: May 1, 2005",,Q27643173,Joerg Rieger,2,,,Q114403967,,2022-12-15,
Q115715364,"Sixth Sunday of Easter: May 1, 2005",,Q94688634,S Suzanne Mayer,3,,,Q114403967,,2022-12-15,
Q115715364,"Sixth Sunday of Easter: May 1, 2005",,Q66946645,Jill Y Crainshaw,6,,,Q114403967,,2022-12-15,
Q115715365,"Seventh Sunday of Easter: May 8, 2005",,Q27643173,Joerg Rieger,2,,,Q114403967,,2022-12-15,
Q115715365,"Seventh Sunday of Easter: May 8, 2005",,Q94688634,S Suzanne Mayer,3,,,Q114403967,,2022-12-15,
Q115715365,"Seventh Sunday of Easter: May 8, 2005",,Q66946645,Jill Y Crainshaw,6,,,Q114403967,,2022-12-15,
Q115715366,"Pentecost Sunday: May 15, 2005",,Q27643173,Joerg Rieger,2,,,Q114403967,,2022-12-15,
Q115715366,"Pentecost Sunday: May 15, 2005",,Q94688634,S Suzanne Mayer,3,,,Q114403967,,2022-12-15,
Q115715366,"Pentecost Sunday: May 15, 2005",,Q66946645,Jill Y Crainshaw,6,,,Q114403967,,2022-12-15,
Q115715367,"Trinity Sunday: May 22, 2005",,Q27643173,Joerg Rieger,2,,,Q114403967,,2022-12-15,
Q115715367,"Trinity Sunday: May 22, 2005",,Q94688634,S Suzanne Mayer,3,,,Q114403967,,2022-12-15,
Q115715367,"Trinity Sunday: May 22, 2005",,Q66946645,Jill Y Crainshaw,6,,,Q114403967,,2022-12-15,
Q115715367,"Trinity Sunday: May 22, 2005",,Q97398071,Susan Ruth Andrews,8,,,Q114403967,,2022-12-15,
Q115715368,"Proper 20—25th Sunday in Ordinary Time, Sixteenth Sunday after Pentecost: September 24, 2006",,Q64005331,Barbara E Reid,1,,,Q114403967,,2022-12-15,
Q115715368,"Proper 20—25th Sunday in Ordinary Time, Sixteenth Sunday after Pentecost: September 24, 2006",,Q27643173,Joerg Rieger,2,,,Q114403967,,2022-12-15,
Q115715368,"Proper 20—25th Sunday in Ordinary Time, Sixteenth Sunday after Pentecost: September 24, 2006",,Q63183850,Lucy Bregman,3,,,Q114403967,,2022-12-15,
Q115715369,Twenty-Seventh Sunday in Ordinary Time: Proper 22-Eighteenth Sunday After Pentecost,,Q93228980,Rolf A Jacobson,1,,,Q114403967,,2022-12-15,
Q115715369,Twenty-Seventh Sunday in Ordinary Time: Proper 22-Eighteenth Sunday After Pentecost,,Q27643173,Joerg Rieger,2,,,Q114403967,,2022-12-15,
Q115715369,Twenty-Seventh Sunday in Ordinary Time: Proper 22-Eighteenth Sunday After Pentecost,,Q113834603,Ryan LaMothe,3,,,Q114403967,,2022-12-15,
