qid,unique_identifier,label_en,description_en,instance_of_uuid,instance_of,full_work_available_uuid,full_work_available,full_work_available_ref1_hash,full_work_available_ref1_retrieved_nodeId,full_work_available_ref1_retrieved_val,full_work_available_ref1_retrieved_prec,edition_version_uuid,edition_version,language_uuid,language,number_pages_uuid,number_pages_nodeId,number_pages_val,number_pages_unit,doi_uuid,doi,doi_ref1_hash,doi_ref1_referenceUrl,doi_ref1_stated_in,doi_ref1_retrieved_nodeId,doi_ref1_retrieved_val,doi_ref1_retrieved_prec,pmid_uuid,pmid,pmid_ref1_hash,pmid_ref1_referenceUrl,pmid_ref1_stated_in,pmid_ref1_retrieved_nodeId,pmid_ref1_retrieved_val,pmid_ref1_retrieved_prec,publication_date_uuid,publication_date_nodeId,publication_date_val,publication_date_prec,publication_date_ref1_hash,publication_date_ref1_referenceUrl,publication_date_ref1_stated_in,publication_date_ref1_retrieved_nodeId,publication_date_ref1_retrieved_val,publication_date_ref1_retrieved_prec,title_en_uuid,title_en,title_en_ref1_hash,title_en_ref1_referenceUrl,title_en_ref1_stated_in,title_en_ref1_retrieved_nodeId,title_en_ref1_retrieved_val,title_en_ref1_retrieved_prec,published_in_uuid,published_in,published_in_ref1_hash,published_in_ref1_referenceUrl,published_in_ref1_stated_in,published_in_ref1_retrieved_nodeId,published_in_ref1_retrieved_val,published_in_ref1_retrieved_prec,volume_uuid,volume,volume_ref1_hash,volume_ref1_referenceUrl,volume_ref1_stated_in,volume_ref1_retrieved_nodeId,volume_ref1_retrieved_val,volume_ref1_retrieved_prec,page_uuid,page,page_ref1_hash,page_ref1_referenceUrl,page_ref1_stated_in,page_ref1_retrieved_nodeId,page_ref1_retrieved_val,page_ref1_retrieved_prec,issue_uuid,issue,issue_ref1_hash,issue_ref1_referenceUrl,issue_ref1_stated_in,issue_ref1_retrieved_nodeId,issue_ref1_retrieved_val,issue_ref1_retrieved_prec,isbn10_uuid,isbn10,isbn10_ref1_hash,isbn10_ref1_referenceUrl,isbn10_ref1_stated_in,isbn10_ref1_retrieved_nodeId,isbn10_ref1_retrieved_val,isbn10_ref1_retrieved_prec,isbn13_uuid,isbn13,isbn13_ref1_hash,isbn13_ref1_referenceUrl,isbn13_ref1_stated_in,isbn13_ref1_retrieved_nodeId,isbn13_ref1_retrieved_val,isbn13_ref1_retrieved_prec,publisher_uuid,publisher,publisher_ref1_hash,publisher_ref1_referenceUrl,publisher_ref1_stated_in,publisher_ref1_retrieved_nodeId,publisher_ref1_retrieved_val,publisher_ref1_retrieved_prec,place_of_publication_uuid,place_of_publication,place_of_publication_ref1_hash,place_of_publication_ref1_referenceUrl,place_of_publication_ref1_stated_in,place_of_publication_ref1_retrieved_nodeId,place_of_publication_ref1_retrieved_val,place_of_publication_ref1_retrieved_prec
Q115683723,GDHMNT5X,Gospels: narrative and history,book,,Q3331189,,,,,,,,,,Q1860,,,,,,,,,,,,,,,,,,,,,,,2015,,,,Q114403967,,2022-12-12,,,Gospels: narrative and history,,,Q114403967,,2022-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,978-1-58983-566-5,,,Q114403967,,2022-12-12,,,Q7552393,,,Q114403967,,2022-12-12,,,Q23556,,,Q114403967,,2022-12-12,
Q115683724,VM8B9ERX,A feminist companion to the Deutero-Pauline epistles,book,,Q3331189,,,,,,,,,,Q1860,,,,,,,,,,,,,,,,,,,,,,,2003,,,,Q114403967,,2022-12-12,,,A feminist companion to the Deutero-Pauline epistles,,,Q114403967,,2022-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,978-0-567-48653-0,,,Q114403967,,2022-12-12,,,Q7667718,,,Q114403967,,2022-12-12,,,Q60,,,Q114403967,,2022-12-12,
Q115683725,86R8N2NF,A Feminist Companion to the Apocalypse of John,book,,Q3331189,,http://www.bloomsbury.com/us/a-feminist-companion-to-the-apocalypse-of-john-9780826466518/,,,2022-12-12,,,,,Q1860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Feminist Companion to the Apocalypse of John,,http://www.bloomsbury.com/us/a-feminist-companion-to-the-apocalypse-of-john-9780826466518/,,,2022-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,978-0-8264-6650-1,,http://www.bloomsbury.com/us/a-feminist-companion-to-the-apocalypse-of-john-9780826466518/,,,2022-12-12,,,Q568642,,http://www.bloomsbury.com/us/a-feminist-companion-to-the-apocalypse-of-john-9780826466518/,,,2022-12-12,,,,,,,,,
Q115683726,BVG4AZC3,A Feminist Companion to Patristic Literature,book,,Q3331189,,http://www.bloomsbury.com/us/a-feminist-companion-to-patristic-literature-9780567045553/,,,2022-12-12,,,,,Q1860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Feminist Companion to Patristic Literature,,http://www.bloomsbury.com/us/a-feminist-companion-to-patristic-literature-9780567045553/,,,2022-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,978-0-567-04555-3,,http://www.bloomsbury.com/us/a-feminist-companion-to-patristic-literature-9780567045553/,,,2022-12-12,,,Q7667718,,http://www.bloomsbury.com/us/a-feminist-companion-to-patristic-literature-9780567045553/,,,2022-12-12,,,,,,,,,
Q115683727,UP5JFJWH,Women Like This: New Perspectives on Jewish Women in the Greco-Roman World,book,,Q3331189,,,,,,,,,,Q1860,,,,,,,,,,,,,,,,,,,,,,,1991,,,,Q114403967,,2022-12-12,,,Women Like This: New Perspectives on Jewish Women in the Greco-Roman World,,,Q114403967,,2022-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q7552393,,,Q114403967,,2022-12-12,,,Q23556,,,Q114403967,,2022-12-12,
Q115683728,R58ZPVXH,Women in Tobit,journal article,,Q18918145,,,,,,,,,,Q1860,,,6,Q1069725,,,,,,,,,,,,,,,,,,,1999,,,,Q114403967,,2022-12-12,,,Women in Tobit,,,Q114403967,,2022-12-12,,,Q15746447,,,Q114403967,,2022-12-12,,,37,,,Q114403967,,2022-12-12,,,80-85,,,Q114403967,,2022-12-12,,,2,,,Q114403967,,2022-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q115683729,XSKS8C27,What Jews (and Christians Too) Should Know about the New Testament,journal article,,Q18918145,,https://www.baslibrary.org/biblical-archaeology-review/38/2/6,,,2022-12-12,,,,,Q1860,,,,,,,,,,,,,,,,,,,,,,,2012,,,https://www.baslibrary.org/biblical-archaeology-review/38/2/6,,,2022-12-12,,,What Jews (and Christians Too) Should Know about the New Testament,,https://www.baslibrary.org/biblical-archaeology-review/38/2/6,,,2022-12-12,,,Q4903261,,https://www.baslibrary.org/biblical-archaeology-review/38/2/6,,,2022-12-12,,,38,,https://www.baslibrary.org/biblical-archaeology-review/38/2/6,,,2022-12-12,,,"59-61, 64",,https://www.baslibrary.org/biblical-archaeology-review/38/2/6,,,2022-12-12,,,2,,https://www.baslibrary.org/biblical-archaeology-review/38/2/6,,,2022-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q115683730,U5SWXGK4,Tobit: Teaching Jews How to Live in the Diaspora,journal article,,Q18918145,,https://www.librarything.com/work/12099961,,,2022-12-12,,,,,Q1860,,,,,,,,,,,,,,,,,,,,,,,1992,,,https://www.librarything.com/work/12099961,,,2022-12-12,,,Tobit: Teaching Jews How to Live in the Diaspora,,https://www.librarything.com/work/12099961,,,2022-12-12,,,Q4903105,,https://www.librarything.com/work/12099961,,,2022-12-12,,,8,,https://www.librarything.com/work/12099961,,,2022-12-12,,,"42-51, 64",,https://www.librarything.com/work/12099961,,,2022-12-12,,,4,,https://www.librarything.com/work/12099961,,,2022-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q115683731,NXGQ7WM8,"Theory, apologetic, history: reviewing Jesus' Jewish context",journal article,,Q18918145,,,,,,,,,,Q1860,,,22,Q1069725,,,,,,,,,,,,,,,,,,,2007,,,,Q114403967,,2022-12-12,,,"Theory, apologetic, history: reviewing Jesus' Jewish context",,,Q114403967,,2022-12-12,,,Q15767078,,,Q114403967,,2022-12-12,,,55,,,Q114403967,,2022-12-12,,,57-78,,,Q114403967,,2022-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q115683732,KCINRGVM,The misunderstood Jew : the Church and the scandal of the Jewish Jesus,book,,Q3331189,,,,,,,,1st ed.,,Q1860,,,,,,,,,,,,,,,,,,,,,,,2006,,,,Q114403967,,2022-12-12,,,The misunderstood Jew : the Church and the scandal of the Jewish Jesus,,,Q114403967,,2022-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,978-0-06-078966-4,,,Q114403967,,2022-12-12,,,Q3127696,,,Q114403967,,2022-12-12,,,Q62,,,Q114403967,,2022-12-12,
