accession_number,height,width,max_height,max_width
1996.179,1000,1504,2000,3008
1996.183,1289,999,2603,2018
1996.191a-f,1000,1266,2990,3787
1996.191a-f,1000,1266,2990,3787
1996.192,1000,1235,3590,4434
1996.194,1000,1456,2465,3590
1996.200,1132,1000,3454,3049
1996.201,1166,1000,4030,3456
1996.204a,1328,999,2578,1940
1996.204b,1386,1000,2625,1893
1996.204c,1342,1000,2578,1921
1996.204d,1361,1000,2608,1916
1997.002,1285,999,2844,2212
1997.003,1437,999,4434,3084
1997.004,1504,1000,3008,2000
1997.150,1423,1000,4384,3080
1997.152,500,332,500,332
1997.155,999,1330,3375,4490
1997.156,1439,1000,3341,4809
1998.001,4241,981,4241,981
1998.004,900,632,900,632
1998.012,600,452,600,452
1998.014,999,1630,1680,2740
1998.046,1500,1000,5184,3456
1998.047,1500,1000,5184,3456
1998.055,1500,1000,5184,3456
1998.056,1500,1000,5184,3456
1998.058,2103,1000,2848,1354
1998.059,1496,1000,4153,2775
1999.137,1333,1000,2048,1536
1999.138,1264,999,1486,1175
1999.139,1455,1000,5029,3456
1999.140,3211,1000,3886,1210
1999.144,324,509,324,509
1999.171,1504,1000,3008,2000
1999.172a,1318,1000,3424,2597
1999.172aa,1301,1000,4112,3159
1999.172b,1318,1000,3424,2597
1999.172bb,1295,1000,3836,2962
1999.172cc,1295,1000,3836,2962
1999.172d,1301,1000,3854,2962
1999.172dd,1295,1000,3836,2962
1999.172e,1301,1000,4112,3159
1999.172ee,1303,999,3862,2962
1999.172f,1295,1000,3836,2962
1999.172ff,1301,1000,4112,3159
1999.172gg,1306,999,3424,2620
1999.172h,1280,1000,3808,2975
1999.172i,1297,999,3400,2620
1999.172j,1297,999,3400,2620
1999.172k,1297,999,3400,2620
1999.172l,1312,1000,3400,2591
1999.172m,1303,999,3424,2626
1999.172n,1303,999,3424,2626
1999.172o,1320,999,3400,2574
1999.172p,1293,999,3382,2614
1999.172q,1300,1000,3406,2620
1999.172r,1294,1000,3406,2632
1999.172s,1297,1000,3406,2626
1999.172t,1309,1000,3400,2597
1999.172u,1300,999,3400,2614
1999.172v,1305,1000,3412,2614
1999.172w,1291,999,3400,2632
1999.172x,1292,1000,3372,2609
1999.172y,1290,999,3382,2620
1999.172z,1295,1000,3394,2620
1999.174a,1577,999,2578,4068
1999.174b,1577,999,2578,4068
1999.174c,1577,999,2578,4068
1999.174d,1585,1000,2578,4087
1999.174e,1568,999,2587,4059
1999.174f,1577,999,2578,4068
1999.174g,1459,1000,3451,2365
1999.174h,1502,1000,3428,2282
1999.174i,1563,1000,2596,4059
1999.174j,1556,1000,4044,2598
1999.174k,1571,1000,4044,2574
1999.174l,1468,1000,3724,2536
1999.175,1000,1282,3082,3953
1999.176,1498,1000,4126,2753
1999.179,999,1318,3343,4409
1999.180,872,1356,872,1356
1999.181,332,500,332,500
1999.227,999,1047,1400,1467
1999.228,1291,1000,2016,1561
1999.232,2363,1000,2881,1219
1999.235,1628,1000,2361,1450
1999.240,1000,1838,1322,2430
1999.241,1333,1000,3024,4032
1999.242,1333,1000,3264,2448
1999.243,1333,1000,2448,3264
1999.251,1500,1000,5184,3456
1999.252,1500,1000,5184,3456
2000.004,1000,1394,1776,2476
2000.005,360,480,360,480
2000.105,1504,1000,3008,2000
2000.106,1000,1011,3198,3234
2000.107,1114,1000,3456,3101
2000.108,1500,1000,5184,3456
2000.109,1500,1000,5184,3456
