accession_number,description,score,rel_left_x,rel_right_x,rel_top_y,rel_bottom_y,abs_left_x,abs_right_x,abs_top_y,abs_bottom_y
1990.011,Boat,0.88892424,0.77360326,0.866388,0.4770595,0.7312772,777,870,477,731
1991.025,Vase,0.71107787,0.45349798,0.60595936,0.59736985,0.7481115,453,606,796,997
1991.025,Picture frame,0.58000916,0.0,0.9903144,0.057224113,0.9341127,0,990,76,1245
1991.025,Person,0.52707225,0.34648088,0.6746889,0.4083375,0.71631885,346,675,544,955
1992.100,Person,0.61142695,0.4875674,0.9503936,0.16416912,0.92460924,536,1045,144,814
1992.100,Mirror,0.54650897,0.0110528665,0.9951646,0.027906513,0.9667618,12,1095,25,851
1992.108,Scarf,0.7212863,0.021165928,0.9724243,0.032171592,0.94000167,28,1296,32,939
1992.115,Pillow,0.5523099,0.0,0.9861128,0.0009758623,0.9973958,0,1533,1,996
1992.116,Packaged goods,0.6200619,0.005917536,0.99215657,0.02330994,0.99341655,8,1357,23,993
1992.118,Person,0.5857772,0.33353615,0.4506427,0.6584466,0.8504179,444,599,658,850
1992.118,Animal,0.56363493,0.62430507,0.7524429,0.68354535,0.8796995,830,1001,684,880
1992.129,Person,0.62328035,0.6372718,0.7308832,0.60725725,0.8341236,637,731,894,1229
1992.129,Person,0.5982233,0.4259161,0.52644795,0.6918061,0.91280156,426,526,1019,1345
1992.130,Person,0.63672143,0.02212651,0.5838725,0.46678534,0.9242658,22,584,700,1385
1992.130,Packaged goods,0.61461335,0.009236806,0.99065423,0.0035012441,0.98660517,9,991,5,1479
1992.130,Animal,0.59258777,0.37810993,0.95260614,0.06357629,0.5616322,378,953,95,842
1992.131,2D barcode,0.8860242,0.007592212,0.15252466,0.44854105,0.5601673,8,153,637,796
1992.131,Person,0.52917445,0.039504174,0.3910092,0.7768418,0.9900794,40,391,1104,1407
1992.132,Sword,0.6682464,0.6375722,0.9973958,0.2169651,0.44104388,638,997,291,592
1992.133,Person,0.57194996,0.29591575,0.88824296,0.08584324,0.80468184,402,1207,86,805
1992.258,Animal,0.6754465,0.353744,0.4184815,0.36655638,0.61980873,438,518,366,619
1992.258,Animal,0.66180354,0.28067872,0.34603965,0.37157205,0.61537594,347,428,371,615
1992.258,Animal,0.65860236,0.0670423,0.14328595,0.36597946,0.6086685,83,177,366,608
1992.258,Animal,0.6559743,0.18751496,0.261945,0.36080983,0.5984299,232,324,360,598
1992.258,Animal,0.6238897,0.273987,0.37483177,0.047058556,0.36785963,339,464,47,367
1992.258,Animal,0.61634654,0.16688626,0.26385882,0.040960297,0.35973036,207,327,41,359
1992.258,Animal,0.61170614,0.42393342,0.48390725,0.3675823,0.55549115,525,599,367,555
1992.258,Animal,0.6081017,0.42981854,0.48516527,0.5547939,0.74013287,532,601,554,739
1992.258,Animal,0.6019171,0.03592394,0.102294624,0.6228084,0.79893106,44,127,622,798
1992.258,Animal,0.6004985,0.17636089,0.24982393,0.6186407,0.82948905,218,309,618,829
1992.272,Person,0.7197904,0.040373247,0.4468883,0.1276894,0.72956634,40,447,190,1085
1992.272,Person,0.6716331,0.5481903,0.96958274,0.31345072,0.79467076,548,970,466,1182
1992.296,Scarf,0.87783486,0.012836439,0.9754822,0.02396106,0.97211474,18,1369,24,971
1992.297,Packaged goods,0.63411313,0.02100568,0.98147535,0.0187727,0.98037225,24,1114,19,980
1992.300,Picture frame,0.52103937,0.0064783525,0.97720295,0.009578877,0.98229367,6,977,11,1095
1992.301,2D barcode,0.76337725,0.13316174,0.7564662,0.16405307,0.8125927,150,850,164,812
1992.302,Packaged goods,0.6474339,0.010932838,0.9950617,4.2625237e-05,0.9973958,12,1120,0,997
1992.303,Scarf,0.64987296,0.057667043,0.95909053,0.053337608,0.9639079,79,1320,53,963
1992.304,Packaged goods,0.75895274,0.015572153,0.9846332,0.0047343443,0.98610806,16,985,6,1150
1992.307,Packaged goods,0.68120503,0.005769002,0.9856889,0.012000312,0.9973958,6,1027,12,997
1992.308,1D barcode,0.96388596,0.2468894,0.7085696,0.10278148,0.8717282,293,841,103,872
1992.309,Packaged goods,0.6504501,0.021297725,0.9973958,0.009055247,0.97225404,22,1019,9,972
1992.339,Picture frame,0.8176038,0.037127238,0.95030373,0.05746631,0.94465756,53,1353,57,944
1992.391A-F,Person,0.66413087,0.063376,0.9629736,0.07296492,0.97313786,63,963,81,1086
1992.392,Scarf,0.69137216,0.033762578,0.9768855,0.036287185,0.9421529,34,977,44,1138
1992.393,Person,0.53941613,0.07088744,0.39347482,0.12371678,0.87024313,71,393,154,1085
1992.393,Person,0.533668,0.5175477,0.9087904,0.114959516,0.8851513,517,908,143,1104
1992.394,Animal,0.7249484,0.50139064,0.9475251,0.71674085,0.9179633,501,948,862,1103
1992.394,Person,0.5804267,0.06646475,0.54309183,0.09982875,0.8930702,66,543,120,1073
1992.395,Person,0.75619984,0.076610155,0.932661,0.09618465,0.9024469,77,933,120,1127
1992.396,Pillow,0.60058874,0.046779443,0.98627424,0.020995634,0.9207,47,986,25,1116
1992.398,Hat,0.5606913,0.022746777,0.9655717,0.040619534,0.949779,23,965,49,1135
1992.399,Scarf,0.88421893,0.020614592,0.9451644,0.075828604,0.94432545,21,945,96,1198
1992.404,Person,0.711718,0.12382716,0.4366077,0.2122954,0.7009954,124,436,327,1079
1992.404,Person,0.6176315,0.3246859,0.84912515,0.13559985,0.68105763,324,848,209,1048
1992.407,Packaged goods,0.73993224,0.010309303,0.98496723,0.014463658,0.9800734,12,1114,14,980
1992.408,Animal,0.5906984,0.1379399,0.83978844,0.1144166,0.70965594,190,1159,114,710
1992.409,Pillow,0.5228512,0.03212415,0.9969948,0.012736741,0.9632483,45,1394,13,962
1992.410,Packaged goods,0.56153667,0.015320295,0.9940247,0.00775598,0.9806182,20,1272,8,981
1992.411,Luggage & bags,0.6172358,0.016929472,0.98576736,0.0071386867,0.987248,21,1225,7,986
1992.413,Scarf,0.6559283,0.018820973,0.9871326,0.015600361,0.9541421,25,1290,16,953
1992.416,Pillow,0.5244778,0.023225643,0.9973958,0.0064460416,0.97756666,32,1370,6,978
1992.418,Scarf,0.77848816,0.015244022,0.9726429,0.038653422,0.965612,20,1258,39,965
1992.419,Packaged goods,0.54472244,0.03406262,0.9749596,0.027434632,0.9842705,50,1444,27,984
1992.420,Animal,0.566556,0.19352399,0.2883074,0.65917075,0.76927596,337,503,659,769
1992.420,Insect,0.5194113,0.468533,0.5703561,0.27487594,0.3661625,817,994,275,366
1992.420,Lighting,0.5178321,0.0452164,0.9479372,0.060908195,0.9671784,79,1652,61,967
1992.421,Scarf,0.5351808,0.013925017,0.98939353,0.011840928,0.9680245,25,1805,12,968
1992.422,Packaged goods,0.6655429,0.019984934,0.9732172,0.017470343,0.9681224,27,1321,17,968
1992.423,Scarf,0.5356552,0.0034406353,0.9823541,0.026292013,0.9852956,7,1922,26,985
1992.423,Luggage & bags,0.5018322,0.0,0.94989204,0.0051166336,0.9902005,0,1859,5,990
1992.424,Packaged goods,0.5816469,0.028792635,0.97961277,0.048741724,0.9455087,43,1454,49,946
1992.427,Packaged goods,0.61225504,0.018318122,0.98594433,0.027074546,0.9677113,35,1899,27,968
1992.428,Necklace,0.9131733,0.09136892,0.89175504,0.1226534,0.9111586,134,1304,123,910
1992.429,Pillow,0.51033044,0.0017374689,0.9892152,0.002955855,0.97190017,3,1457,3,971
1992.430,Scarf,0.6869664,0.02922733,0.98881584,0.027031088,0.9789128,41,1381,27,978
1992.431,Scarf,0.9321797,0.025188632,0.9833195,0.023084866,0.9832309,42,1634,23,983
1992.432,Packaged goods,0.6891036,0.045218155,0.9438011,0.0044894423,0.9838238,51,1060,4,983
1992.433,Packaged goods,0.69391024,0.007978053,0.9913605,0.019041622,0.98776084,11,1355,19,988
1992.436,Picture frame,0.53208804,0.007187108,0.9891941,0.023877209,0.9742426,12,1710,24,974
1992.438,Scarf,0.91281664,0.033342924,0.9796319,0.005811924,0.98604697,47,1380,6,986
1992.439,Packaged goods,0.7011269,0.051382553,0.96807927,0.0663883,0.9425016,61,1141,66,942
1992.548,Painting,0.5798599,0.034760226,0.9681082,0.026418462,0.96507627,13,361,13,483
