accession_number,mid,description,score,topicality
1988.033b,/m/03gq5hm,Font,0.83470386,0.83470386
1988.033b,/m/0hwky,Pattern,0.69939184,0.69939184
1988.033b,/m/0jjw,Art,0.66006094,0.66006094
1988.033b,/m/0641k,Paper,0.6560248,0.6560248
1988.033b,/m/015bv3,Document,0.60978824,0.60978824
1988.033b,/m/081pkj,Event,0.5981655,0.5981655
1988.033b,/m/0919rx,Line art,0.58661693,0.58661693
1988.033b,/m/01kr8f,Illustration,0.5700796,0.5700796
1988.033b,/m/02csf,Drawing,0.5656626,0.5656626
1988.033b,/m/0h8p59j,Paper product,0.5247389,0.5247389
1988.033c,/m/03gq5hm,Font,0.8124593,0.8124593
1988.033c,/m/030zfn,Parallel,0.77954894,0.77954894
1988.033c,/m/0hwky,Pattern,0.7622671,0.7622671
1988.033c,/m/0f28m,Symmetry,0.69184893,0.69184893
1988.033c,/m/02csf,Drawing,0.6916616,0.6916616
1988.033c,/m/0bg0t,Schematic,0.6801544,0.6801544
1988.033c,/m/0jjw,Art,0.6753338,0.6753338
1988.033c,/m/0919rx,Line art,0.67219096,0.67219096
1988.033c,/m/02v0m2,Diagram,0.6675915,0.6675915
1988.033c,/m/01kr8f,Illustration,0.6310773,0.6310773
1988.033d,/m/0j62f,Rectangle,0.88912636,0.88912636
1988.033d,/m/078hm,Slope,0.8548506,0.8548506
1988.033d,/m/03gq5hm,Font,0.793515,0.793515
1988.033d,/m/030zfn,Parallel,0.7883617,0.7883617
1988.033d,/m/0hwky,Pattern,0.7343919,0.7343919
1988.033d,/m/02csf,Drawing,0.71087104,0.71087104
1988.033d,/m/0641k,Paper,0.68921083,0.68921083
1988.033d,/m/01kr8f,Illustration,0.6891177,0.6891177
1988.033d,/m/0h8p59j,Paper product,0.67123014,0.67123014
1988.033d,/m/01vkl,Circle,0.6585364,0.6585364
1988.033e,/m/03gq5hm,Font,0.78142154,0.78142154
1988.033e,/m/0jjw,Art,0.73839074,0.73839074
1988.033e,/m/0hwky,Pattern,0.7225373,0.7225373
1988.033e,/m/05qdh,Painting,0.7221281,0.7221281
1988.033e,/m/0641k,Paper,0.70194745,0.70194745
1988.033e,/m/0919rx,Line art,0.69920886,0.69920886
1988.033e,/m/02csf,Drawing,0.6853118,0.6853118
1988.033e,/m/03yhk,Ink,0.6480362,0.6480362
1988.033e,/m/0bp7w,Printmaking,0.64634365,0.64634365
1988.033e,/m/030zfn,Parallel,0.6411228,0.6411228
1988.033f,/m/03gq5hm,Font,0.81399333,0.81399333
1988.033f,/m/0hwky,Pattern,0.7571725,0.7571725
1988.033f,/m/030zfn,Parallel,0.7518682,0.7518682
1988.033f,/m/02csf,Drawing,0.7170265,0.7170265
1988.033f,/m/0jjw,Art,0.7009731,0.7009731
1988.033f,/m/01kr8f,Illustration,0.6873814,0.6873814
1988.033f,/m/0641k,Paper,0.6849536,0.6849536
1988.033f,/m/02cwm,Design,0.6836825,0.6836825
1988.033f,/m/081rb,Writing,0.64784104,0.64784104
1988.033f,/m/03yhk,Ink,0.63941383,0.63941383
1988.033g,/m/0j62f,Rectangle,0.8072422,0.8072422
1988.033g,/m/03gq5hm,Font,0.793021,0.793021
1988.033g,/m/0hwky,Pattern,0.7502323,0.7502323
1988.033g,/m/02r4lqp,Pedicel,0.7214807,0.7214807
1988.033g,/m/0jjw,Art,0.7183062,0.7183062
1988.033g,/m/0919rx,Line art,0.6948474,0.6948474
1988.033g,/m/02csf,Drawing,0.6799781,0.6799781
1988.033g,/m/0p9xx,Visual arts,0.67639434,0.67639434
1988.033g,/m/05qdh,Painting,0.6761659,0.6761659
1988.033g,/m/01mwkf,Monochrome,0.67185634,0.67185634
1988.033h,/m/07jx7,Triangle,0.87446487,0.87446487
1988.033h,/m/03gq5hm,Font,0.8330568,0.8330568
1988.033h,/m/03scnj,Line,0.81665504,0.81665504
1988.033h,/m/0hwky,Pattern,0.764567,0.764567
1988.033h,/m/02csf,Drawing,0.7115377,0.7115377
1988.033h,/m/030zfn,Parallel,0.6911645,0.6911645
1988.033h,/m/0919rx,Line art,0.66877675,0.66877675
1988.033h,/m/0dw9f6,Creative arts,0.66185474,0.66185474
