qid,label_en,title_ko_uuid,title_ko,title_ko_ref1_hash,title_ko_ref1_statedIn,title_ko_ref1_referenceUrl,title_ko_ref1_retrieved_nodeId,title_ko_ref1_retrieved_val,title_ko_ref1_retrieved_prec,title_ko_subtitle
Q100138720,Mari Annales de Recherches Interdisciplinaires,,,,,,,,,
Q100144386,NABU Nouvelles Assyriologiques Breves et Utilitaires,,,,,,,,,
Q100145461,Ideas: From the National Humanities Center,,,,,,,,,
Q100152626,Orientalia,,,,,,,,,
Q100152964,Revue Hittite et Asianique,,,,,,,,,
Q100203879,Essedue Edizioni,,,,,,,,,
Q100326549,Bulletin dei verbum,,,,,,,,,
Q100326621,"Listening: journal of communication ethics, religion, and culture",,,,,,,,,
Q100328257,SBL Society Report,,,,,,,,,
Q100354047,Journal of Hispanic/Latino Theology,,,,,,,,,
Q100354778,The Virginia Seminary Journal,,,,,,,,,
Q100388108,Trinity Theological Journal,,,,,,,,,
Q100602071,Bridges: a cross-cultural quarterly,,,,,,,,,
Q100604470,Health Wise,,,,,,,,,
Q100604537,The Other Journal,,,,,,,,,
Q100605109,Wellsprings,,,,,,,,,
Q100605240,Vanderbilt University Daily Register,,,,,,,,,
Q100694040,Alive Now,,,,,,,,,
Q100697033,Reflections,,,,,,,,,
Q100697813,Journal of Women and Religion,,,,,,,,,
Q100698279,The Other Side,,,,,,,,,
Q100698886,Annual of the Society of Christian Ethics,,,,,,,,,
Q100699162,AME Church Review,,,,,,,,,
Q100699691,Grey City of the Chicago Maroon,,,,,,,,,
Q100708533,Harvard Divinity Bulletin,,,,,,,,,
Q100708763,Womanist,,,,,,,,,
Q100718707,Achaemenid Research on Texts and Archaeology,,,,,,,,,
Q100724052,Bulletin of Council on the Study of Religion,,,,,,,,,
Q100938316,Faith and Form,,,,,,,,,
Q100938861,Faith and Leadership,,,,,,,,,
Q100943219,Journal of Namibian Studies: History Politics Culture,,,,,,,,,
Q100978677,New Conversations,,,,,,,,,
Q100979453,Nova et Vetera (English version),,,,,,,,,
Q100979880,Occasional Papers,,,,,,,,,
Q100980103,Soma: An International Journal of Theological Discourses and Counter-Discourses,,,,,,,,,
Q100980566,Christian Spirituality Bulletin,,,,,,,,,
Q100997636,Vital Theology,,,,,,,,,
Q1107510,Keresztény Szó,,,,,,,,,
Q1167163,Das Argument,,,,,,,,,
Q11956877,Acta ad Archaeologiam et Artium Historiam Pertinentia,,,,,,,,,
Q1273053,Journal of Cuneiform Studies,,,,,,,,,
Q1381202,Evangelische Theologie,,,,,,,,,
Q1514304,Journal of Homosexuality,,,,,,,,,
Q15707062,Journal of American History,,,,,,,,,
Q15707782,Journal of Early Christian Studies,,,,,,,,,
Q15710058,Studies in Iconography,,,,,,,,,
Q15710071,Journal of the American Academy of Religion,,,,,,,,,
Q15710137,Review & Expositor,,,,,,,,,
Q15710287,Toronto Journal of Theology,,,,,,,,,
Q15716275,Neue Zeitschrift fuer Systematische Theologie und Religionsphilosophie,,,,,,,,,
Q15716311,Sixteenth Century Journal,,,,,,,,,
Q15716423,Philosophy Today,,,,,,,,,
Q15716491,Union Seminary Quarterly Review,,,,,,,,,
Q15716523,Fides et Historia,,,,,,,,,
Q15716715,Notre Dame Philosophical Reviews,,,,,,,,,
Q15724368,Intercultural Theology: Journal of Mission Studies,,,,,,,,,
Q15724475,Praktische Theologie,,,,,,,,,
Q15746149,Maarav: a journal for the study of the Northwest Semitic languages and literatures,,,,,,,,,
Q15746151,Mission Studies,,,,,,,,,
Q15746447,The Bible Today,,,,,,,,,
Q15749151,Berliner Theologische Zeitschrift,,,,,,,,,
Q15749660,Religion Compass,,,,,,,,,
Q15749979,Questions Liturgiques,,,,,,,,,
Q15750019,Journal of Feminist Studies in Religion,,,,,,,,,
Q15750632,Issues in Integrative Studies: an interdisciplinary journal,,,,,,,,,
Q15750752,Journal of Presbyterian History,,,,,,,,,
Q15751172,"Race, Ethnicity and Education",,,,,,,,,
Q15752096,Sociological Spectrum: official journal of the Mid-South Sociological Association,,,,,,,,,
Q15752279,Worship,,,,,,,,,
Q15753036,Meridians,,,,,,,,,
Q15753228,Families in Society: the journal of contemporary social services,,,,,,,,,
Q15753491,Journal of Refugee Studies,,,,,,,,,
Q15753618,Pastoral Liturgy,,,,,,,,,
Q15753676,Nashim,,,,,,,,,
Q15753706,Journal of Pastoral Care and Counseling,,,,,,,,,
Q15753995,Anglican Theological Review,,,,,,,,,
Q15754071,Norwegian Theological Journal,,,,,,,,,
Q15754229,Clio,,,,,,,,,
Q15754347,Dead Sea Discoveries,,,,,,,,,
Q15754681,Horizons in Biblical Theology,,,,,,,,,
Q15754869,Journal of the Kafka Society of America,,,,,,,,,
Q15754942,American Journal of Theology and Philosophy,,,,,,,,,
Q15755002,Political Theology,,,,,,,,,
Q15755037,Jewish Social Studies,,,,,,,,,
Q15755134,Theological Education,,,,,,,,,
Q15755173,Virginia Magazine of History and Biography,,,,,,,,,
Q15755502,Journal of the Economic and Social History of the Orient,,,,,,,,,
Q15755506,Journal of Southern History,,,,,,,,,
Q15755591,Journal of African American Studies,,,,,,,,,
Q15755692,Journal of the European Society of Women in Theological Research,,,,,,,,,
Q15755741,Biblische Zeitschrift,,,,,,,,,
Q15755753,Journal of American Ethnic History,,,,,,,,,
Q15755905,Studies in Philology,,,,,,,,,
Q15756224,Forum for Social Economics,,,,,,,,,
Q15756233,Journal for the History of Modern Theology,,,,,,,,,
Q15756294,Practical Theology,,,,,,,,,
Q15756681,Journal of International Women's Studies,,,,,,,,,
Q15757029,New Theology Review: an American Catholic journal for ministry,,,,,,,,,
Q15757109,Transversalites: revue de l'Institut Catholique de Paris,,,,,,,,,
Q15757115,La Maison - Dieu: revue de science liturgique,,,,,,,,,
Q15757675,Journal of Poverty,,,,,,,,,
Q15758293,Lutheran Quarterly,,,,,,,,,
Q15758971,Proceedings of the Annual Meeting of the North American Academy of Liturgy,,,,,,,,,
Q15759600,Enchoria,,,,,,,,,
Q15759659,Scriptura,,,,,,,,,
Q15759717,Review of Politics,,,,,,,,,
Q15759761,Journal of Ecumenical Studies,,,,,,,,,
Q15759788,Bibliotheca Orientalis,,,,,,,,,
Q15760054,"Black Women, Gender and Families",,,,,,,,,
Q15760154,Journal of Religious Ethics,,,,,,,,,
Q15760387,Studia Liturgica,,,,,,,,,
Q15760555,Hebrew Studies,,,,,,,,,
Q15760865,Journal of Medieval and Early Modern Studies,,,,,,,,,
Q15761107,International Journal of Practical Theology,,,,,,,,,
Q15761170,Medievalia et Humanistica,,,,,,,,,
Q15761734,Iraq,,,,,,,,,
Q15762030,Journal of Roman Archaeology,,,,,,,,,
Q15762047,Review of Religious Research,,,,,,,,,
Q15762062,Revue d'Assyriologie,,,,,,,,,
Q15762263,positions,,,,,,,,,
Q15762464,Ugarit-Forschungen,,,,,,,,,
Q15762548,Ecumenical Review,,,,,,,,,
Q15763031,Modern Judaism,,,,,,,,,
Q15763170,Review for Religious: living our Catholic legacies,,,,,,,,,
Q15763357,International Journal for Philosophy of Religion,,,,,,,,,
Q15763974,Review of Biblical Literature,,,,,,,,,
Q15763977,Perspectives in Religious Studies,,,,,,,,,
Q15764166,Horizons,,,,,,,,,
Q15764425,Sociology of Religion,,,,,,,,,
Q15764810,Prooftexts,,,,,,,,,
Q15765278,Peace Studies Journal,,,,,,,,,
Q15765352,Revue Biblique,,,,,,,,,
Q15766254,Pastoral Psychology,,,,,,,,,
Q15766683,Teaching Theology and Religion,,,,,,,,,
Q15766739,The Germanic Review,,,,,,,,,
Q15766750,Journal of Children and Poverty,,,,,,,,,
Q15767078,Australian Biblical Review,,,,,,,,,
Q15767222,Theology and Sexuality,,,,,,,,,
Q15767535,Journal of the Society of Christian Ethics,,,,,,,,,
Q15767635,Method and Theory in the Study of Religion,,,,,,,,,
Q15816429,Dialog,,,,,,,,,
Q15816598,Homiletic,,,,,,,,,
Q15816830,Black Theology,,,,,,,,,
Q15816920,Bulletin for the Study of Religion,,,,,,,,,
Q15817029,Sociological Focus,,,,,,,,,
Q15817589,International Journal of Africana Studies,,,,,,,,,
Q15817868,East European Jewish Affairs,,,,,,,,,
Q15817924,Images: a journal of Jewish art and visual culture,,,,,,,,,
Q15864016,Christian History Magazine,,,,,,,,,
Q1592810,Hebrew Bible and Ancient Israel,,,,,,,,,
Q1667631,International Council of Christians and Jews,,,,,,,,,
Q16857550,transversal,,,,,,,,,
Q1709853,Journal of Late Antiquity,,,,,,,,,
Q1713347,Junge Kirche,,,,,,,,,
Q1766173,Choice: current reviews for academic libraries,,,,,,,,,
Q18215981,Sage Open,,,,,,,,,
Q1825683,The Christian Century,,,,,,,,,
Q18350356,Humanity & Society,,,,,,,,,
Q18392457,Spring,,,,,,,,,
Q186695,Zeitschrift fuer Kirchengeschichte,,,,,,,,,
Q186800,Zeitschrift fuer die Alttestamentliche Wissenschaft,,,,,,,,,
Q19392473,Tidsskrift for teologi og kirke,,,,,,,,,
Q1941982,Modern Austrian Literature,,,,,,,,,
Q1952131,The International Journal of Psychoanalysis,,,,,,,,,
Q1953273,Nova Religio,,,,,,,,,
Q20081140,Church History : Studies in Christianity and Culture,,,,,,,,,
Q20925657,The American Historian,,,,,,,,,
Q2285224,Signs,,,,,,,,,
Q22907599,Currents in Theology and Mission,,,,,,,,,
Q22908629,Semeia,,,,,,,,,
Q24037678,H-Net Reviews,,,,,,,,,
Q24037678,H-Net Reviews,,,,,,,,,
Q2412214,The Jewish Quarterly Review,,,,,,,,,
