sd:name,sd:graph,filename,elapsed_time,graph_load_status
http://rs.tdwg.org/,http://rs.tdwg.org/index/chrono-zooarchnet,chrono-zooarchnet.ttl,276.674945,load complete in 0.976553s
http://rs.tdwg.org/,http://rs.tdwg.org/index/chrono-zooarchnet-versions,chrono-zooarchnet-versions.ttl,281.591409,load complete in 0.842746s
http://rs.tdwg.org/,http://rs.tdwg.org/index/establishmentMeans,establishmentMeans.ttl,286.424586,load complete in 0.689585s
http://rs.tdwg.org/,http://rs.tdwg.org/index/establishmentMeans-versions,establishmentMeans-versions.ttl,291.744312,load complete in 0.75602s
http://rs.tdwg.org/,http://rs.tdwg.org/index/degreeOfEstablishment,degreeOfEstablishment.ttl,296.916218,load complete in 0.700208s
http://rs.tdwg.org/,http://rs.tdwg.org/index/degreeOfEstablishment-versions,degreeOfEstablishment-versions.ttl,302.174793,load complete in 1.034688s
http://rs.tdwg.org/,http://rs.tdwg.org/index/pathway,pathway.ttl,307.880396,load complete in 1.205906s
http://rs.tdwg.org/,http://rs.tdwg.org/index/pathway-versions,pathway-versions.ttl,313.804181,load complete in 1.49692s
http://rs.tdwg.org/,http://rs.tdwg.org/index/mo-for-ac,mo-for-ac.ttl,318.756468,load complete in 0.705986s
http://rs.tdwg.org/,http://rs.tdwg.org/index/mo-for-ac-versions,mo-for-ac-versions.ttl,323.640265,load complete in 0.706385s
http://rs.tdwg.org/,http://rs.tdwg.org/index/acvariant,acvariant.ttl,328.7616,load complete in 1.030457s
http://rs.tdwg.org/,http://rs.tdwg.org/index/acvariant-versions,acvariant-versions.ttl,333.611573,load complete in 0.760007s
http://rs.tdwg.org/,http://rs.tdwg.org/index/format,format.ttl,338.971353,load complete in 0.73208s
http://rs.tdwg.org/,http://rs.tdwg.org/index/format-versions,format-versions.ttl,343.742573,load complete in 0.638229s
http://rs.tdwg.org/,http://rs.tdwg.org/index/acsubtype,acsubtype.ttl,349.116907,load complete in 1.110613s
http://rs.tdwg.org/,http://rs.tdwg.org/index/acsubtype-versions,acsubtype-versions.ttl,354.250837,load complete in 0.86028s
http://rs.tdwg.org/,http://rs.tdwg.org/index/chronometricage,chronometricage.ttl,359.094637,load complete in 0.720452s
http://rs.tdwg.org/,http://rs.tdwg.org/index/chronometricage-versions,chronometricage-versions.ttl,364.446589,load complete in 0.903114s
http://rs.tdwg.org/,http://rs.tdwg.org/index/chronoiri,chronoiri.ttl,369.251087,load complete in 0.636114s
http://rs.tdwg.org/,http://rs.tdwg.org/index/chronoiri-versions,chronoiri-versions.ttl,373.898926,load complete in 0.599063s
http://rs.tdwg.org/,http://rs.tdwg.org/index/acorient,acorient.ttl,378.949951,load complete in 0.960857s
http://rs.tdwg.org/,http://rs.tdwg.org/index/acorient-versions,acorient-versions.ttl,383.752675,load complete in 0.746359s
http://rs.tdwg.org/,http://rs.tdwg.org/index/acpart,acpart.ttl,389.258844,load complete in 1.351139s
http://rs.tdwg.org/,http://rs.tdwg.org/index/acpart-versions,acpart-versions.ttl,395.133363,load complete in 0.938308s
http://rs.tdwg.org/,http://rs.tdwg.org/index/humboldt,humboldt.ttl,400.772972,load complete in 1.453179s
http://rs.tdwg.org/,http://rs.tdwg.org/index/humboldt-versions,humboldt-versions.ttl,406.139768,load complete in 1.184325s
http://rs.tdwg.org/,http://rs.tdwg.org/index/taxonCompletenessReported,taxonCompletenessReported.ttl,411.145603,load complete in 0.760611s
http://rs.tdwg.org/,http://rs.tdwg.org/index/taxonCompletenessReported-versions,taxonCompletenessReported-versions.ttl,416.093145,load complete in 0.842648s
http://rs.tdwg.org/,http://rs.tdwg.org/index/boolean,boolean.ttl,421.537842,load complete in 0.671542s
http://rs.tdwg.org/,http://rs.tdwg.org/index/boolean-versions,boolean-versions.ttl,426.469639,load complete in 0.668624s
http://rs.tdwg.org/,http://rs.tdwg.org/index/humboldt_iri,humboldt_iri.ttl,431.802526,load complete in 0.989274s
http://rs.tdwg.org/,http://rs.tdwg.org/index/humboldt_iri-versions,humboldt_iri-versions.ttl,437.123809,load complete in 1.174121s
http://rs.tdwg.org/,http://rs.tdwg.org/index,index.ttl,443.044376,load complete in 1.679876s
