s,o,p
http://rs.tdwg.org/,http://www.w3.org/ns/sparql-service-description#graph,http://rs.tdwg.org/index/terms-versions
http://rs.tdwg.org/,http://www.w3.org/ns/sparql-service-description#graph,http://rs.tdwg.org/index/utility
http://rs.tdwg.org/,http://www.w3.org/ns/sparql-service-description#graph,http://rs.tdwg.org/index/utility-versions
http://rs.tdwg.org/,http://www.w3.org/ns/sparql-service-description#graph,http://rs.tdwg.org/index/vocabularies
http://rs.tdwg.org/,http://www.w3.org/ns/sparql-service-description#graph,http://rs.tdwg.org/index/vocabularies-versions
http://rs.tdwg.org/,http://www.w3.org/ns/sparql-service-description#graph,http://rs.tdwg.org/index/xmp-for-ac
http://rs.tdwg.org/,http://www.w3.org/ns/sparql-service-description#graph,http://rs.tdwg.org/index/xmp-for-ac-versions
http://rs.tdwg.org/,http://www.w3.org/ns/sparql-service-description#graph,http://rs.tdwg.org/index/xmpRights-for-ac
http://rs.tdwg.org/,http://www.w3.org/ns/sparql-service-description#graph,http://rs.tdwg.org/index/xmpRights-for-ac-versions
http://rs.tdwg.org/,http://www.w3.org/ns/sparql-service-description#name,http://rs.tdwg.org/
http://syriaca.org/bibl#graph,http://purl.org/dc/elements/1.1/publisher,syriaca.org
http://syriaca.org/bibl#graph,http://purl.org/dc/terms/isPartOf,http://syriaca.org/
http://syriaca.org/bibl#graph,http://purl.org/dc/terms/issued,2018-03-06
http://syriaca.org/bibl#graph,http://purl.org/dc/terms/modified,2022-06-07T15:28:14.525Z
http://syriaca.org/bibl#graph,http://rs.tdwg.org/dwc/terms/attributes/status,production
http://syriaca.org/bibl#graph,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/sparql-service-description#NamedGraph
http://syriaca.org/bibl#graph,http://www.w3.org/ns/sparql-service-description#graph,http://syriaca.org/bibl
http://syriaca.org/bibl#graph,http://www.w3.org/ns/sparql-service-description#name,http://syriaca.org/bibl#graph
http://syriaca.org/geo#graph,http://purl.org/dc/elements/1.1/publisher,syriaca.org
http://syriaca.org/geo#graph,http://purl.org/dc/terms/isPartOf,http://syriaca.org/
http://syriaca.org/geo#graph,http://purl.org/dc/terms/issued,2018-03-19
http://syriaca.org/geo#graph,http://purl.org/dc/terms/modified,2022-06-07T15:29:26.402Z
http://syriaca.org/geo#graph,http://rs.tdwg.org/dwc/terms/attributes/status,production
http://syriaca.org/geo#graph,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/sparql-service-description#NamedGraph
http://syriaca.org/geo#graph,http://www.w3.org/ns/sparql-service-description#graph,http://syriaca.org/geo
http://syriaca.org/geo#graph,http://www.w3.org/ns/sparql-service-description#name,http://syriaca.org/geo#graph
http://syriaca.org/persons#graph,http://purl.org/dc/elements/1.1/publisher,syriaca.org
