sd:name,sd:graph,filename,s3_upload_status,graph_load_status
http://rs.tdwg.org/,http://rs.tdwg.org/index/standards-versions,standards-versions.ttl,upload complete in 0.197212s,load complete in 0.432359s
http://rs.tdwg.org/,http://rs.tdwg.org/index/term-lists,term-lists.ttl,upload complete in 0.395682s,load complete in 0.800519s
http://rs.tdwg.org/,http://rs.tdwg.org/index/term-lists-versions,term-lists-versions.ttl,upload complete in 1.432s,load complete in 1.902927s
http://rs.tdwg.org/,http://rs.tdwg.org/index/vocabularies,vocabularies.ttl,upload complete in 0.169277s,load complete in 0.330742s
http://rs.tdwg.org/,http://rs.tdwg.org/index/vocabularies-versions,vocabularies-versions.ttl,upload complete in 0.293063s,load complete in 0.491275s
http://rs.tdwg.org/,http://rs.tdwg.org/index/index,index.ttl,upload complete in 0.431148s,load complete in 0.436688s
http://rs.tdwg.org/,http://rs.tdwg.org/index/chrono-zooarchnet,chrono-zooarchnet.ttl,upload complete in 0.214464s,load complete in 0.365163s
http://rs.tdwg.org/,http://rs.tdwg.org/index/chrono-zooarchnet-versions,chrono-zooarchnet-versions.ttl,upload complete in 0.181813s,load complete in 0.407876s
http://rs.tdwg.org/,http://rs.tdwg.org/index/establishmentMeans,establishmentMeans.ttl,upload complete in 0.184067s,load complete in 0.348757s
http://rs.tdwg.org/,http://rs.tdwg.org/index/establishmentMeans-versions,establishmentMeans-versions.ttl,upload complete in 0.143337s,load complete in 0.311336s
http://rs.tdwg.org/,http://rs.tdwg.org/index/degreeOfEstablishment,degreeOfEstablishment.ttl,upload complete in 0.192179s,load complete in 0.344824s
http://rs.tdwg.org/,http://rs.tdwg.org/index/degreeOfEstablishment-versions,degreeOfEstablishment-versions.ttl,upload complete in 0.223413s,load complete in 0.362612s
http://rs.tdwg.org/,http://rs.tdwg.org/index/pathway,pathway.ttl,upload complete in 0.19821s,load complete in 0.885312s
http://rs.tdwg.org/,http://rs.tdwg.org/index/pathway-versions,pathway-versions.ttl,upload complete in 0.324668s,load complete in 0.725775s
http://rs.tdwg.org/,http://rs.tdwg.org/index/mo-for-ac,mo-for-ac.ttl,upload complete in 0.131652s,load complete in 0.325072s
http://rs.tdwg.org/,http://rs.tdwg.org/index/mo-for-ac-versions,mo-for-ac-versions.ttl,upload complete in 0.132618s,load complete in 0.337111s
http://rs.tdwg.org/,http://rs.tdwg.org/index/acvariant,acvariant.ttl,upload complete in 0.202869s,load complete in 0.376311s
http://rs.tdwg.org/,http://rs.tdwg.org/index/acvariant-versions,acvariant-versions.ttl,upload complete in 0.136607s,load complete in 0.307776s
http://rs.tdwg.org/,http://rs.tdwg.org/index/format,format.ttl,upload complete in 0.317976s,load complete in 0.343231s
http://rs.tdwg.org/,http://rs.tdwg.org/index/format-versions,format-versions.ttl,upload complete in 0.279088s,load complete in 0.306181s
http://rs.tdwg.org/,http://rs.tdwg.org/index/acsubtype,acsubtype.ttl,upload complete in 0.178311s,load complete in 0.421058s
http://rs.tdwg.org/,http://rs.tdwg.org/index/acsubtype-versions,acsubtype-versions.ttl,upload complete in 0.191143s,load complete in 0.40012s
http://rs.tdwg.org/,http://rs.tdwg.org/index/chronometricage,chronometricage.ttl,upload complete in 0.202094s,load complete in 0.382502s
http://rs.tdwg.org/,http://rs.tdwg.org/index/chronometricage-versions,chronometricage-versions.ttl,upload complete in 0.186266s,load complete in 0.415775s
http://rs.tdwg.org/,http://rs.tdwg.org/index/chronoiri,chronoiri.ttl,upload complete in 0.135052s,load complete in 0.353497s
http://rs.tdwg.org/,http://rs.tdwg.org/index/chronoiri-versions,chronoiri-versions.ttl,upload complete in 0.16655s,load complete in 0.338396s
http://rs.tdwg.org/,http://rs.tdwg.org/index,index.ttl,upload complete in 0.244652s,load complete in 0.397842s
