accession_number,height,width,max_height,max_width
1978.024,1000,1504,2000,3008
1978.025,1000,1504,2000,3008
1978.027,1000,1405,3549,4987
1978.036,632,474,632,474
1978.038,1000,1504,2000,3008
1978.039,1000,1504,2000,3008
1978.043,1372,1000,2100,1530
1978.044,1000,2038,1950,3975
1978.045,1416,1000,2052,1449
1978.047,999,1486,2301,3421
1978.048,999,1443,2325,3357
1978.050,1338,1000,2163,1616
1978.051,1322,1000,2574,1947
1978.052,1349,1000,2069,1533
1978.053,1383,1000,2100,1518
1978.055,1304,1000,2071,1588
1978.056,1292,1000,2287,1770
1978.057,1432,1000,2578,1800
1978.061,999,1466,2521,3698
1978.062,1000,1424,2826,4026
1978.063,1000,1411,2746,3876
1978.064,1000,1462,2734,3998
1978.065,1000,1403,2861,4015
1978.066,1000,1389,2844,3951
1978.067,999,1354,2769,3750
1978.068,1524,1000,2524,1656
1978.069,1000,1424,2786,3969
1978.070,1000,1165,2901,3380
1978.071,1000,1447,2451,3548
1978.072,1000,1485,2676,3975
1978.073,999,1659,2273,3773
1978.074,999,1480,2418,3581
1978.075,999,1492,2550,3807
1978.076,1000,1589,2065,3282
1978.077,1000,1514,2270,3437
1978.078,1289,1000,1800,1396
1978.082,1000,1575,2475,3900
1978.086,1351,999,2739,2026
1978.087,1000,1429,2099,3000
1978.088,1496,1000,1683,1125
1978.089,1366,1000,1835,1343
1978.090,1000,1500,1350,2025
1978.091,1000,3030,1338,4055
1978.092,1598,1000,2518,1575
1978.093,1380,1000,1984,1437
1978.094,1396,1000,2611,1870
1978.095,1000,1362,1662,2264
1978.096,1000,1444,2405,3473
1978.097,1000,1395,1984,2769
1978.098,1000,1502,2296,3450
1978.099,1000,1597,2123,3392
1978.100,1464,1000,2838,1938
1978.102,1000,1451,2248,3263
1978.103a,1000,1523,2578,3928
1978.104,1000,1523,2578,3928
1978.106,1000,1311,1913,2509
1978.108,1389,1000,2643,1902
1978.109,1000,1404,2500,3511
1978.110,1000,1426,1893,2700
1978.111a,1332,999,2550,1913
1978.113,1450,1000,2175,1500
1978.114,1000,1484,2250,3339
1978.116,1000,1438,2399,3450
1978.118,1000,1480,2365,3501
1978.119,1366,1000,2665,1950
1978.120,1000,1459,2403,3506
1978.121,1000,1517,2532,3842
1978.122,999,1464,2244,3287
1978.123,1467,1000,1909,1301
1978.124,1000,1382,1973,2728
1978.125,1459,1000,1944,1332
1978.126,1000,1506,1842,2775
1978.127,1000,1618,2117,3426
1978.128,999,1623,2037,3308
1978.129,1000,1487,2307,3432
1978.130,1320,1000,2028,1536
1978.132,1485,1000,2180,1468
1978.133,1351,1000,2114,1564
1978.134,1480,999,2445,1651
1978.135,1000,1519,2476,3762
1978.136,1000,2616,1673,4378
1978.139,999,1373,3114,4278
1978.141,1000,1392,2382,3317
1978.142,1000,1491,2336,3484
1978.145,1000,1293,2449,3168
1978.146,1434,1000,2359,1645
1978.147,1278,1000,2102,1644
1978.148,1588,1000,1725,1086
1978.149,999,1514,2498,3784
1978.151,1000,1410,2736,3858
1978.153,999,1420,2700,3836
1978.154,1453,999,2787,1917
1978.155,1000,1580,2025,3201
1978.156,1000,1571,2151,3380
1978.157,1000,1437,2428,3490
1978.158,1000,1316,2423,3190
1978.159,999,1482,2419,3587
1978.160,1369,999,3011,2198
1978.162,1000,1531,2486,3807
1978.163,999,1417,2319,3288
