qid,local_filename,local_identifier,rank,label,notes,kilobytes,height,width,photo_inception,subdir
Q102967795,2004.054.jpg,2004.054,primary,,,60,215,451,2010-02-24,2004
Q102967886,1980.057.JPG,1980.057,primary,,,1294,2448,3264,2017-04-13,1980
Q102967907,1980.069.tif,1980.069,primary,,,57592,2210,4446,2012-06-28,1980
Q102967917,2004.059.jpg,2004.059,primary,,,33,297,373,2010-02-24,2004
Q102967983,1993.003.tif,1993.003,primary,,,74065,3123,4046,2012-08-02,1993
Q102968015,1979.0028.tif,1979.0028,primary,,,23896,2539,3208,2010-04-29,1979
Q102968049,2012.008t.tif,2012.008t,primary,,,34410,3928,2988,2013-05-31,2012
Q102968159,2015.038f.tif,2015.038f,primary,,,22621,2905,3806,2014-05-21,2015
Q102968165,2008.161.jpg,2008.161,primary,,,53,638,383,2008-08-07,2008
Q102968184,1979.1132P.tif,1979.1132P,primary,,,60222,2317,4434,2012-09-13,1979
Q102968202,1990.012.JPG,1990.012,primary,,,732,1384,1353,2016-06-30,1990
Q102968210,1988.082.tif,1988.082,primary,,,13202,1687,2671,2010-04-06,1988
Q102968218,1995.020.tif,1995.020,primary,,,81747,3231,4317,2012-10-17,1995
Q102968225,2001.003.tif,2001.003,primary,,,93989,3233,4960,2012-06-28,2001
Q102968230,1982.065.JPG,1982.065,primary,,,1269,2448,3264,2015-03-25,1982
Q102968235,1981.020.tif,1981.020,primary,,,63998,2948,3704,2012-06-28,1981
Q102968277,2010.007.tif,2010.007,primary,,,90708,4866,3180,2012-07-31,2010
Q102968286,1980.117.tif,1980.117,primary,,,41852,3245,4399,2012-03-12,1980
Q102968309,1979.0076.tif,1979.0076,primary,,,104999,3456,5184,2013-04-02,1979
Q102968338,2018.008.jpg,2018.008,primary,,,4703,2865,3743,2018-06-26,2018
Q102968343,1979.0909P.tif,1979.0909P,primary,,,5288,1332,1355,2012-08-01,1979
Q102968374,1992.133.tif,1992.133,primary,,,25726,2540,3453,2010-09-15,1992
Q102968487,2012.008s.tif,2012.008s,primary,,,34676,3011,3928,2013-05-31,2012
Q102968562,2012.008ff.tif,2012.008ff,primary,,,34673,3928,3011,2013-05-31,2012
Q102968660,1965.003.med.jpg,1965.003,primary,,,1457,2521,3393,2010-03-31,1965
Q102968666,1994.543.jpg,1994.543,primary,,,46,480,625,2010-02-23,1994
Q102968759,1979.0754P.tif,1979.0754P,primary,,,47976,2490,3286,2012-08-02,1979
Q102968768,1979.0753P.tif,1979.0753P,primary,,,39107,2194,3040,2012-08-02,1979
Q102968773,1989.045.jpg,1989.045,primary,,,119,528,1125,2010-02-22,1989
Q102968813,2013.006.tif,2013.006,primary,,,72638,4217,2939,2013-01-29,2013
Q102968820,2017.001.053a.tif,2017.001.053a,primary,,,50540,4288,3017,2018-06-14,2017
Q102968826,2017.001.053b.tif,2017.001.053b,primary,,,50541,4288,3017,2018-06-14,2017
Q102968833,2017.001.053c.tif,2017.001.053c,primary,,,50321,3994,3225,2018-06-14,2017
Q102969009,1980.010.tif,1980.010,primary,,,23992,2832,2888,2010-04-07,1980
Q102969023,1994.538g.tif,1994.538g,primary,,,52698,3428,5244,2010-06-28,1994
Q102969040,1979.0351P.tif,1979.0351P,primary,,,68870,2966,3961,2012-03-22,1979
Q102969065,1974.011a.tif,1974.011a,primary,,,58826,2613,3841,2012-07-23,1974
Q102969070,2016.003.3.tif,2016.003.3,primary,,,85104,3151,4608,2016-10-26,2016
Q102969076,1994.538b.tif,1994.538b,primary,,,56291,3564,5388,2010-06-28,1994
Q102969297,2004.074.jpg,2004.074,primary,,,47,313,453,2010-02-24,2004
Q102969327,1999.043.tif,1999.043,primary,,,20101,2250,3046,2013-05-02,1999
Q102969332,1999.041.tif,1999.041,primary,,,14550,2041,2429,2012-07-11,1999
Q102969336,1999.044.tif,1999.044,primary,,,18715,2179,2928,2012-07-11,1999
Q102969340,1999.042.tif,1999.042,primary,,,13874,2031,2328,2012-07-11,1999
Q102969351,1999.045.tif,1999.045,primary,,,16377,2022,2761,2012-07-11,1999
Q102969426,1974.006.tif,1974.006,primary,,,68514,3063,3816,2012-09-04,1974
Q102969469,1994.538e.tif,1994.538e,primary,,,56399,3568,5392,2010-06-28,1994
Q102969608,2004.063.tif,2004.063,primary,,,80349,4690,5846,2010-02-22,2004
Q102969614,2003.028.jpg,2003.028,primary,,,120,436,195,2010-02-23,2003
Q102969618,1979.0736P.tif,1979.0736P,primary,,,80152,2823,4844,2012-07-03,1979
Q102969695,1966.011.JPG,1966.011,primary,,,1317,2448,3264,2017-04-13,1966
Q102969700,1979.0750P.tif,1979.0750P,primary,,,69599,3023,3928,2012-08-02,1979
Q102969723,2015.037ll.tif,2015.037ll,primary,,,32934,2942,3821,2015-09-22,2015
Q102969736,1982.080.tif,1982.080,primary,,,36783,3552,3532,2014-11-06,1982
Q102969861,1974.008.tif,1974.008,primary,,,14523,1758,2813,2010-08-02,1974
Q102969870,1974.009.tif,1974.009,primary,,,14968,1812,2813,2010-08-02,1974
Q102969877,1974.010.tif,1974.010,primary,,,15235,1812,2863,2010-08-02,1974
Q102969882,1974.011.tif,1974.011,primary,,,15197,1797,2880,2010-08-02,1974
Q102969895,2002.025.tif,2002.025,primary,,,45050,2821,2724,2012-06-28,2002
Q102969901,1982.087.tif,1982.087,primary,,,36805,3542,3544,2014-11-06,1982
Q102969929,2007.056.jpg,2007.056,primary,,,118,463,360,2007-10-09,2007
Q102969958,2012.008z.tif,2012.008z,primary,,,34674,3928,3011,2013-05-31,2012
Q102969994,1979.0752P.tif,1979.0752P,primary,,,65355,2938,3795,2012-07-03,1979
Q102970032,1980.047.tif,1980.047,primary,,,44710,2391,3189,2012-03-22,1980
Q102970057,1992.100.jpg,1992.100,primary,,,549,880,1100,2010-02-22,1992
Q102970113,2015.037s.tif,2015.037s,primary,,,32795,2925,3827,2015-09-22,2015
Q102970183,2015.038kk.tif,2015.038kk,primary,,,27607,2913,3807,2013-10-07,2015
Q102970189,1990.011.JPG,1990.011,primary,,,497,1389,1395,2016-06-30,1990
Q102970194,2012.008r.tif,2012.008r,primary,,,34680,3011,3928,2013-05-31,2012
Q102970235,1982.082.tif,1982.082,primary,,,36950,3564,3537,2014-11-06,1982
Q102970254,1979.0360P.tif,1979.0360P,primary,,,59584,2884,3525,2012-07-19,1979
Q102970261,1979.0731P.tif,1979.0731P,primary,,,86006,3350,4380,2012-12-05,1979
Q102970315,2015.038ff.tif,2015.038ff,primary,,,29020,2909,3811,2014-05-21,2015
Q102970329,2004.073.jpg,2004.073,primary,,,42,360,456,2010-02-24,2004
Q102970366,1980.111.jpg,1980.111,primary,,,84,384,504,2014-04-24,1980
Q102970371,2003.005b.tif,2003.005b,primary,,,82627,4360,3233,2012-03-22,2003
Q102970380,2001.007.tif,2001.007,primary,,,56167,3115,3076,2012-07-24,2001
Q102970508,2017.001.052.tif,2017.001.052,primary,,,22205,3375,1684,2018-06-13,2017
Q102970517,2012.008ee.tif,2012.008ee,primary,,,34670,3928,3011,2013-05-31,2012
Q102970529,1979.1186P.tif,1979.1186P,primary,,,186207,3000,4539,2012-09-13,1979
Q102970536,1979.884P.tif,1979.0884P,primary,,,6998,1194,1992,2010-02-11,1979
Q102970600,1984.048.tif,1984.048,primary,,,38994,1402,4745,2012-05-02,1984
Q102970607,2015.038rr.tif,2015.038rr,primary,,,27364,2900,3810,2013-10-07,2015
Q102970654,1982.092.tif,1982.092,primary,,,36802,3548,3538,2014-11-06,1982
Q102970670,1995.021.tif,1995.021,primary,,,83444,3243,4390,2012-10-17,1995
Q102970676,1980.113.jpg,1980.113,primary,,,89,384,504,2014-04-24,1980
Q102970782,1994.538c.tif,1994.538c,primary,,,104998,3456,5184,2012-03-20,1994
Q102970790,2012.008ll.tif,2012.008ll,primary,,,34671,3011,3928,2013-05-31,2012
Q102970912,2008.159.jpg,2008.159,primary,,,65,638,393,2008-08-07,2008
Q102971086,1978.035.tif,1978.035,primary,,,12458,1768,2399,2009-02-16,1978
Q102971112,2012.008a.tif,2012.008a,primary,,,34187,3908,2984,2013-05-24,2012
Q102971229,1979.0079.tif,1979.0079,primary,,,104995,3456,5184,2013-04-02,1979
Q102971237,1980.065.tif,1980.065,primary,,,55709,2172,4375,2012-06-28,1980
Q102971272,2017.001.061.tif,2017.001.061,primary,,,3814,1107,1176,2018-06-20,2017
Q102971281,1994.538i.tif,1994.538i,primary,,,105008,3456,5184,2012-03-20,1994
Q102971448,2014.003.tif,2014.003,primary,,,74783,2919,4371,2014-01-28,2014
Q102971472,1992.110.tif,1992.110,primary,,,12634,1790,2409,2010-09-08,1992
Q102971507,1980.018.tif,1980.018,primary,,,91768,3310,4730,2012-05-02,1980
Q102971532,2014.006.tif,2014.006,primary,,,53471,3002,3038,2014-01-28,2014
Q102971588,1976.017.tif,1976.017,primary,,,25454,2296,3784,2012-11-01,1976
Q102971602,2012.008i.tif,2012.008i,primary,,,34070,3884,2992,2013-05-31,2012
Q102971611,2004.068.tif,2004.068,primary,,,8248,1500,1872,2005-01-17,2004
Q102971686,1982.096.tif,1982.096,primary,,,37931,3612,3582,2014-11-06,1982
Q102971693,1980.114.tif,1980.114,primary,,,37035,3094,4082,2012-03-12,1980
Q102973066,2012.008mm.tif,2012.008mm,primary,,,34671,3011,3928,2013-05-31,2012
Q102973086,2014.002.tif,2014.002,primary,,,78410,3156,4239,2014-01-28,2014
Q102973100,2004.072.jpg,2004.072,primary,,,189,399,504,2007-08-21,2004
Q102973129,1989.047.tif,1989.047,primary,,,78726,3100,4332,2015-08-12,1989
Q102973135,1989.050.tif,1989.050,primary,,,33837,2752,4193,2010-04-08,1989
Q102973193,2015.037rr.tif,2015.037rr,primary,,,44092,3844,2936,2015-09-22,2015
Q102973217,1979.0921P.tif,1979.0921P,primary,,,15590,2662,1996,2010-02-16,1979
Q102973228,2003.039.jpg,2003.039,primary,,,129,302,289,2010-02-23,2003
Q102973252,2003.043.jpg,2003.043,primary,,,140,372,264,2010-02-23,2003
Q102973281,2007.065.jpg,2007.065,primary,,,368,2255,1415,2016-01-25,2007
Q102973287,1980.118.tif,1980.118,primary,,,41974,3305,4331,2012-03-12,1980
Q102973305,1982.100.tif,1982.100,primary,,,36565,3530,3533,2014-11-06,1982
Q102973354,2012.008cc.tif,2012.008cc,primary,,,34678,3928,3011,2013-05-31,2012
Q102973374,1992.298.tif,1992.298,primary,,,60728,3199,3238,2012-03-20,1992
Q102973388,2017.001.055.tif,2017.001.055,primary,,,84136,3923,3659,2018-06-14,2017
Q102973537,1994.538f.tif,1994.538f,primary,,,105005,3456,5184,2012-03-20,1994
Q102973555,1999.051.tif,1999.051,primary,,,63584,3289,3298,2012-08-07,1999
Q102973672,1970.020.tif,1970.020,primary,,,44083,3294,4565,2010-04-07,1970
Q102973690,1979.0090.tif,1979.0090,primary,,,6226,1338,1581,2010-04-08,1979
Q102973711,2014.001.tif,2014.001,primary,,,46384,2823,2803,2014-01-28,2014
Q102973716,1980.126.tif,1980.126,primary,,,42477,3298,4392,2012-03-12,1980
Q102973827,1979.0359P.tif,1979.0359P,primary,,,3822,1096,1190,2010-02-09,1979
Q102973951,2013.016.tif,2013.016,primary,,,73253,2985,4187,2013-01-29,2013
Q102973978,1974.016.tif,1974.016,primary,,,43262,2377,3104,2012-03-22,1974
Q102974046,1982.085.tif,1982.085,primary,,,37370,3559,3584,2014-11-06,1982
Q102974077,2008.163.jpg,2008.163,primary,,,43,638,380,2008-08-07,2008
Q102974106,1970.015.tif,1970.015,primary,,,89156,3242,4692,2012-05-02,1970
Q102974206,2016.013.3.tif,2016.013.3,primary,,,55359,4881,1935,2016-11-10,2016
Q102974212,2012.008aa.tif,2012.008aa,primary,,,34679,3928,3011,2013-05-31,2012
Q102974228,1969.015.jpg,1969.015,primary,,,27,162,552,2010-02-22,1969
Q102974537,1982.083.tif,1982.083,primary,,,37246,3547,3582,2014-11-06,1982
Q102974611,1992.108.tif,1992.108,primary,,,12789,1809,2413,2010-09-08,1992
Q102974621,1994.542.tif,1994.542,primary,,,57817,3604,2736,2011-01-28,1994
