,commons_template,label_en,label_commons,description_en,act_uuid,act,act_ref1_hash,act_ref1_retrieved_nodeId,act_ref1_retrieved_val,act_ref1_retrieved_prec,inventory_number_uuid,inventory_number,inventory_number_collection,inventory_number_ref1_hash,inventory_number_ref1_referenceUrl,inventory_number_ref1_retrieved_nodeId,inventory_number_ref1_retrieved_val,inventory_number_ref1_retrieved_prec,title_uuid,title,title_ref1_hash,title_ref1_referenceUrl,title_ref1_retrieved_nodeId,title_ref1_retrieved_val,title_ref1_retrieved_prec,creator_uuid,creator,"creator_object_has_role,creator_ref1_hash",creator_ref1_referenceUrl,creator_ref1_retrieved_nodeId,creator_ref1_retrieved_val,creator_ref1_retrieved_prec,instance_of_uuid,instance_of,instance_of_ref1_hash,instance_of_ref1_referenceUrl,instance_of_ref1_retrieved_nodeId,instance_of_ref1_retrieved_val,instance_of_ref1_retrieved_prec,inception_uuid,inception_nodeId,inception_val,inception_prec,inception_earliest_date_nodeId,inception_earliest_date_val,inception_earliest_date_prec,inception_latest_date_nodeId,inception_latest_date_val,inception_latest_date_prec,inception_sourcing_circumstances,inception_ref1_hash,inception_ref1_referenceUrl,inception_ref1_retrieved_nodeId,inception_ref1_retrieved_val,inception_ref1_retrieved_prec,country_of_origin_uuid,country_of_origin,country_of_origin_ref1_hash,country_of_origin_ref1_referenceUrl,country_of_origin_ref1_retrieved_nodeId,country_of_origin_ref1_retrieved_val,country_of_origin_ref1_retrieved_prec,copyright_status_uuid,copyright_status,copyright_status_applies_to_jurisdiction,copyright_status_determination_method,copyright_status_ref1_hash,copyright_status_ref1_referenceUrl,copyright_status_ref1_retrieved_nodeId,copyright_status_ref1_retrieved_val,copyright_status_ref1_retrieved_prec,image_uuid,image,image_ref1_hash,image_ref1_referenceUrl,image_ref1_retrieved_nodeId,image_ref1_retrieved_val,image_ref1_retrieved_prec,collection_uuid,collection,collection_ref1_hash,collection_ref1_referenceUrl,collection_ref1_retrieved_nodeId,collection_ref1_retrieved_val,collection_ref1_retrieved_prec
1282,information,Dorcas,"Dorcas, by Wailes 1869, in memory of Louisa Hurly d. 1845.",stained glass by William Wailes,,56893,,,2022-03-30,,,,,,,,,,,,,,,,,,Q8019878,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56893,,2022-03-30,,,Q1473346,,,,,,,,1869-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56893,,2022-03-30,,,Q145,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56893,,2022-03-30,,,Q19652,Q60332278,Q29940705,,,,,,,"Stained glass window, St Nicholas' church, Iford, E Sussex (17314377786).jpg",,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56893,,2022-03-30,,,,,,,,
1289,artwork,Pentecost,"Pentecost title QS:P1476,en:""Pentecost"" label QS:Len,""Pentecost""",manuscript by Guillaume Vrelant,,56943,,,2022-03-30,,,,,,,,,,,,,,,,,,Q363720,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56943,,2022-03-30,,,Q87167,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56943,,2022-03-30,,,,1462-01-01T00:00:00Z,9,,1460-01-01T00:00:00Z,9,,1465-01-01T00:00:00Z,9,Q5727902,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56943,,2022-03-30,,,Q30,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56943,,2022-03-30,,,Q19652,Q60332278,Q29940705,,,,,,,"Willem Vrelant (Flemish, died 1481, active 1454 - 1481) - Pentecost - Google Art Project.jpg",,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56943,,2022-03-30,,,,,,,,
1292,information,"Creation of Adam, detail","Creation of Adam, fresco painted by Michelangelo (1475-1564), Sistine Chapel Ceiling (1508-1512) Rome, Vatican",fresco by 1475-1564 Michelangelo Buonarroti,,56951,,,2022-03-30,,,,,,,,,,,,,,,,,,Q5592,,,,,,,Q22669139,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56951,,2022-03-30,,,,1510-01-01T00:00:00Z,9,,1508-01-01T00:00:00Z,9,,1512-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56951,,2022-03-30,,,,,,,,,,,,,,,,,,,'Adam's Creation Sistine Chapel ceiling' by Michelangelo JBU33cut.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56951,,2022-03-30,,,,,,,,
1297,information,Freedman,"Freedman, plaster sculpture by John Quincy Adams Ward, 1863, Pennsylvania Academy of the Fine Arts",sculpture by John Quincy Adams Ward,,56961,,,2022-03-30,,,,,,,,,,,,,,,,,,Q2069921,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56961,,2022-03-30,,,Q860861,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56961,,2022-03-30,,,,1863-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56961,,2022-03-30,,,Q30,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56961,,2022-03-30,,,Q19652,Q60332278,Q29940705,,,,,,,"'Freedman', plaster sculpture by John Quincy Adams Ward,.JPG",,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56961,,2022-03-30,,,,,,,,
1300,information,Homeless Jesus,"Homeless Jesus sculpture at Dominican Order Church and Convent Ciudad Colonial, Santo Domingo, Dominican Republic.",sculpture by Timothy P. Schmalz,,56969,,,2022-03-30,,,,,,,,,,,,,,,,,,Q19161702,,,,,,,Q860861,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56969,,2022-03-30,,,,2014-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56969,,2022-03-30,,,,,,,,,,,,,,,,,,,Homeless Jesus CCSD 07 2018 9749.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56969,,2022-03-30,,,,,,,,
1307,information,Good Samaritan,"De barmhartige Samaritaan (The Good Samaritan), relief by Charles Eyck, on building 'De Hucht"" in Wageningen. Nederlands: De barmhartige Samaritaan, reliëf van Charles Eyck op ""De Hucht"" in Wageningen.",sculpture by Charles Eyck,,56980,,,2022-03-30,,,,,,,,,,,,,,,,,,Q1865834,,,,,,,Q860861,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56980,,2022-03-30,,,,1958-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56980,,2022-03-30,,,Q55,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56980,,2022-03-30,,,,,,,,,,,,Charles Eyck - De barmhartige Samaritaan.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56980,,2022-03-30,,,,,,,,
1313,information,Woman with Bird,"Sculpture by Ursula Malbin in the Haifa Sculpture Garden ""Vista Of Peace"" (""Mizpor Shalom""), depicting a woman and a bird.",sculpture by Ursula Malbin,,56996,,,2022-03-30,,,,,,,,,,,,,,,,,,Q6675930,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56996,,2022-03-30,,,Q860861,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56996,,2022-03-30,,,,1978-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56996,,2022-03-30,,,Q801,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56996,,2022-03-30,,,,,,,,,,,,Ursula Malbin sculpture garden in Haifa 02.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56996,,2022-03-30,,,,,,,,
1316,information,Slavery Reconciliation Statue,Richmond,sculpture by Stephen Broadbent,,57000,,,2022-03-30,,,,,,,,,,,,,,,,,,Q2445260,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57000,,2022-03-30,,,Q860861,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57000,,2022-03-30,,,,2007-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57000,,2022-03-30,,,Q30,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57000,,2022-03-30,,,,,,,,,,,,Reconciliation Triangle.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57000,,2022-03-30,,,,,,,,
1320,information,"Businessmen, Mother and Hungry Child","Title: Fresco painting above room 5114 entrance, Department of Justice, Washington, D.C Physical description: 1 photograph : digital, TIFF file, color. Notes: Gift; Carol M. Highsmith; 2009; (DLC/PP-2009:083).; Photographed as part of an assignment for the General Services Administration.; Title information, date, and subject note provided by the photographer.; Credit line: Photographs in the Carol M. Highsmith Archive, Library of Congress, Prints and Photographs Division.; Forms part of the Carol M. Highsmith Archive.; Artist: Henry Varnum Poor, 1936.",fresco by Henry Varnum Poor,,57007,,,2022-03-30,,,,,,,,,,,,,,,,,,Q5729485,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57007,,2022-03-30,,,Q22669139,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57007,,2022-03-30,,,,1936-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57007,,2022-03-30,,,Q30,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57007,,2022-03-30,,,,,,,,,,,,"Fresco painting above room 5114 entrance, Department of Justice, Washington, D.C LCCN2010720252.tif",,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57007,,2022-03-30,,,,,,,,
1324,information,Personal Devotions,,painting by Adolf Hölzel,,57015,,,2022-03-30,,,,,,,,,,,,,,,,,,Q362498,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57015,,2022-03-30,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57015,,2022-03-30,,,,1889-01-01T00:00:00Z,9,,1888-01-01T00:00:00Z,9,,1891-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57015,,2022-03-30,,,Q183,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57015,,2022-03-30,,,,,,,,,,,,Domestic Devotions Adolf Hölzel.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57015,,2022-03-30,,,,,,,,
