,commons_template,label_en,label_commons,description_en,act_uuid,act,act_ref1_hash,act_ref1_retrieved_nodeId,act_ref1_retrieved_val,act_ref1_retrieved_prec,inventory_number_uuid,inventory_number,inventory_number_collection,inventory_number_ref1_hash,inventory_number_ref1_referenceUrl,inventory_number_ref1_retrieved_nodeId,inventory_number_ref1_retrieved_val,inventory_number_ref1_retrieved_prec,title_uuid,title,title_ref1_hash,title_ref1_referenceUrl,title_ref1_retrieved_nodeId,title_ref1_retrieved_val,title_ref1_retrieved_prec,creator_uuid,creator,"creator_object_has_role,creator_ref1_hash",creator_ref1_referenceUrl,creator_ref1_retrieved_nodeId,creator_ref1_retrieved_val,creator_ref1_retrieved_prec,instance_of_uuid,instance_of,instance_of_ref1_hash,instance_of_ref1_referenceUrl,instance_of_ref1_retrieved_nodeId,instance_of_ref1_retrieved_val,instance_of_ref1_retrieved_prec,inception_uuid,inception_nodeId,inception_val,inception_prec,inception_earliest_date_nodeId,inception_earliest_date_val,inception_earliest_date_prec,inception_latest_date_nodeId,inception_latest_date_val,inception_latest_date_prec,inception_sourcing_circumstances,inception_ref1_hash,inception_ref1_referenceUrl,inception_ref1_retrieved_nodeId,inception_ref1_retrieved_val,inception_ref1_retrieved_prec,country_of_origin_uuid,country_of_origin,country_of_origin_ref1_hash,country_of_origin_ref1_referenceUrl,country_of_origin_ref1_retrieved_nodeId,country_of_origin_ref1_retrieved_val,country_of_origin_ref1_retrieved_prec,copyright_status_uuid,copyright_status,copyright_status_applies_to_jurisdiction,copyright_status_determination_method,copyright_status_ref1_hash,copyright_status_ref1_referenceUrl,copyright_status_ref1_retrieved_nodeId,copyright_status_ref1_retrieved_val,copyright_status_ref1_retrieved_prec,image_uuid,image,image_ref1_hash,image_ref1_referenceUrl,image_ref1_retrieved_nodeId,image_ref1_retrieved_val,image_ref1_retrieved_prec,collection_uuid,collection,collection_ref1_hash,collection_ref1_referenceUrl,collection_ref1_retrieved_nodeId,collection_ref1_retrieved_val,collection_ref1_retrieved_prec
1328,information,Singing Windows,"Title: Singing Windows stained glass, designed by J&R Lamb, located in the University chapel at Tuskegee University, Tuskegee, Alabama Physical description: 1 photograph : digital, TIFF file, color. Notes: Designed by J&R Lamb and located in the University chapel. Its awe-inspiring sanctuary was constructed between 1967 and 1969, on the same location as the first edifice. It represents a gift to the University of thousands of grateful alumni. The architects were Paul Rudolph of New York and the African-American firm of John A. Welch and Louis Fry (both Welch and Fry were former Tuskegee Institute Faculty members).; Title, date, subject note, and keywords provided by the photographer.; Gift; George F. Landegger; 2010; (DLC/PP-2010:090).; Credit line: The George F. Landegger Collection of Alabama Photographs in Carol M. Highsmith's America, Library of Congress, Prints and Photographs Division.; Forms part of: George F. Landegger Collection of Alabama Photographs in Carol M. Highsmith's America Project in the Carol M. Highsmith Archive.",stained glass by J. & R. Lamb Studios,,57021,,,2022-03-30,,,,,,,,,,,,,,,,,,Q17153990,,,,,,,Q1473346,,,,,,,,1932-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57021,,2022-03-30,,,Q30,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57021,,2022-03-30,,,,,,,,,,,,"Singing Windows stained glass, designed by J&R Lamb, located in the University chapel at Tuskegee University, Tuskegee, Alabama LCCN2010637794.tif",,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57021,,2022-03-30,,,,,,,,
1329,artwork,Rahab and the Spies,Rahab and the Spies (Dalziels' Bible Gallery),print by Frederick Richard Pickersgill,,57023,,,2022-03-30,,,,,,,,,,,,,,,,,,Q1969921,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57023,,2022-03-30,,,Q11060274,,,,,,,,1873-01-01T00:00:00Z,9,,1865-01-01T00:00:00Z,9,,1881-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57023,,2022-03-30,,,Q30,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57023,,2022-03-30,,,Q19652,Q60332278,Q29940705,,https://commons.wikimedia.org/wiki/File:Rahab_and_the_Spies_(Dalziels%27_Bible_Gallery)_MET_DP835647.jpg,,2022-03-30,,,Rahab and the Spies (Dalziels' Bible Gallery) MET DP835647.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57023,,2022-03-30,,,,,,,,
1334,information,Hope,"South Doors of the Florence Baptistry - Detail; Figure labelled ""hope"" (SPES) with hexagonal halo inside artistic quatrefoil",Arachitectural element by Andrea Pisano,,57050,,,2022-03-30,,,,,,,,,,,,,,,,,,Q311031,,,,,,,Q391414,,,,,,,,1336-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57050,,2022-03-30,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57050,,2022-03-30,,,,,,,,,,,,South Doors of the Florence Baptistry - Detail 3.JPG,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57050,,2022-03-30,,,,,,,,
1336,information,"Study for Justice, Peace, and Truth","Exhibit in the Blanton Museum of Art - Austin, Texas, USA. This work is old enough so that it is in the public domain.",painting by Giovanni Battista Gaulli,,57052,,,2022-03-30,,,,,,,,,,,,,,,,,,Q520573,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57052,,2022-03-30,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57052,,2022-03-30,,,,1669-01-01T00:00:00Z,9,,1666-01-01T00:00:00Z,9,,1672-01-01T00:00:00Z,9,Q5727902,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57052,,2022-03-30,,,Q30,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57052,,2022-03-30,,,Q19652,Q60332278,Q29940705,,,,,,,"Study for 'Justice, Peace, and Truth' (Sant'Agnese in Agone, Rome) by Giovanni Battista Gaulli, called Baciccio, c. 1666-1672, oil on canvas - Blanton Museum of Art - Austin, Texas - DSC08002.jpg",,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57052,,2022-03-30,,,,,,,,
1344,information,Greed,"Title: Oil painting ""Greed"" located in fifth floor, main library, Department of Justice, Washington, D.C Physical description: 1 photograph : digital, TIFF file, color. Notes: Gift; Carol M. Highsmith; 2009; (DLC/PP-2009:083).; Photographed as part of an assignment for the General Services Administration.; Artist: Maurice Sterne, 1941. Dimensions: 6' x 8'.; Title information, date, and subject note provided by the photographer.; Credit line: Photographs in the Carol M. Highsmith Archive, Library of Congress, Prints and Photographs Division.; Forms part of the Carol M. Highsmith Archive.",mural by Maurice Sterne,,57068,,,2022-03-30,,,,,,,,,,,,,,,,,,Q3852444,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57068,,2022-03-30,,,Q219423,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57068,,2022-03-30,,,,1941-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57068,,2022-03-30,,,Q30,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57068,,2022-03-30,,,,,,,,,,,,"Oil painting ""Greed"" located in fifth floor, main library, Department of Justice, Washington, D.C LCCN2010720176.tif",,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57068,,2022-03-30,,,,,,,,
1345,information,Rich Man and the Poor Man Lazarus,"Fanefjord Church, Møn, Denmark. Fresco of the rich man and Lazarus.",fresco by Elmelunde Master,,57072,,,2022-03-30,,,,,,,,,,,,,,,,,,Q5366452,,,,,,,Q22669139,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57072,,2022-03-30,,,,1500-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57072,,2022-03-30,,,,,,,,,,,,,,,,,,,Fanefjord Rich man Lazarus.JPG,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57072,,2022-03-30,,,,,,,,
1360,artwork,Unjust Judge and the Importunate Widow,The Unjust Judge and the Importunate Widow (The Parables of Our Lord and Saviour Jesus Christ),print by John Everett Millais,,57176,,,2022-03-30,,,,,,,,,,,,,,,,,,Q159606,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57176,,2022-03-30,,,Q11060274,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57176,,2022-03-30,,,,1864-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57176,,2022-03-30,,,Q30,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57176,,2022-03-30,,,Q19652,Q60332278,Q29940705,,https://commons.wikimedia.org/wiki/File:The_Unjust_Judge_and_the_Importunate_Widow_(The_Parables_of_Our_Lord_and_Saviour_Jesus_Christ)_MET_DP835791.jpg,,2022-03-30,,,The Unjust Judge and the Importunate Widow (The Parables of Our Lord and Saviour Jesus Christ) MET DP835791.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57176,,2022-03-30,,,,,,,,
1393,information,Immigrant Family,"""Immigrant Family"" (bronze, 2007) by Tom Otterness, located at 18 Yonge Street, Toronto, Ontario, Canada.",sculpture by Tom Otterness,,57248,,,2022-03-30,,,,,,,,,,,,,,,,,,Q1772326,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57248,,2022-03-30,,,Q860861,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57248,,2022-03-30,,,,2007-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57248,,2022-03-30,,,Q16,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57248,,2022-03-30,,,,,,,,,,,,Immigrant Family Toronto.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57248,,2022-03-30,,,,,,,,
1397,artwork,Four Insects,"Four insects title QS:P1476,en:""Four insects"" label QS:Len,""Four insects""",watercolor by Johannes van Bronckhorst,,57255,,,2022-03-30,,,,,,,,,,,,,,,,,,Q110083103,,,,,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57255,,2022-03-30,,,,1696-01-01T00:00:00Z,9,,1665-01-01T00:00:00Z,9,,1727-01-01T00:00:00Z,9,Q5727902,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57255,,2022-03-30,,,Q55,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57255,,2022-03-30,,,,,,,,,,,,Johannes Bronkhorst - Four insects - Google Art Project.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57255,,2022-03-30,,,,,,,,
1402,information,Death of Absalom,,textile by Corrado Giaquinto,,57272,,,2022-03-30,,,,,,,,,,,,,,,,,,Q740934,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57272,,2022-03-30,,,Q28823,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57272,,2022-03-30,,,,1757-01-01T00:00:00Z,9,,1753-01-01T00:00:00Z,9,,1762-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57272,,2022-03-30,,,Q29,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57272,,2022-03-30,,,Q19652,Q60332278,Q29940705,,https://commons.wikimedia.org/wiki/File:Muerte_de_absalon_en_el_CESEDEN.jpg,,2022-03-30,,,Muerte de absalon en el CESEDEN.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57272,,2022-03-30,,,,,,,,
1409,information,King David,Statue of King David by Nicolas Cordier in the Borghese Chapel of the Basilica di Santa Maria Maggiore .,sculpture by Nicolas Cordier,,57283,,,2022-03-30,,,,,,,,,,,,,,,,,,Q3876426,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57283,,2022-03-30,,,Q860861,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57283,,2022-03-30,,,,1650-01-01T00:00:00Z,7,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57283,,2022-03-30,,,,,,,,,,Q19652,Q60332278,Q29940705,,,,,,,David SM Maggiore.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57283,,2022-03-30,,,,,,,,
1416,information,You Shall Live,,print by Lucas Cranach,,57313,,,2022-03-30,,,,,,,,,,,,,,,,,,Q191748,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57313,,2022-03-30,,,Q11060274,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57313,,2022-03-30,,,,1534-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57313,,2022-03-30,,,,,,,,,,Q19652,Q60332278,Q29940705,,,,,,,Lutherbibel 1534 Hesekiel 37.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57313,,2022-03-30,,,,,,,,
1417,information,Temptation of Christ,,stained glass by JoKarl Huber,,57316,,,2022-03-30,,,,,,,,,,,,,,,,,,Q102049,,,,,,,Q1473346,,,,,,,,1940-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57316,,2022-03-30,,,Q183,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57316,,2022-03-30,,,,,,,,,,,,Versuchung Jesu 1938-40.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57316,,2022-03-30,,,,,,,,
1428,information,Reconciliation,"Reconciliation by Amos Supuni, sculpture in Woerden",sculpture by Amos Supuni,,57340,,,2022-03-30,,,,,,,,,,,,,,,,,,Q20666260,,,,,,,Q860861,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57340,,2022-03-30,,,,1999-01-01T00:00:00Z,9,,1991-01-01T00:00:00Z,9,,2008-01-01T00:00:00Z,9,Q5727902,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57340,,2022-03-30,,,Q55,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57340,,2022-03-30,,,,,,,,,,,,Reconciliation Amos Supuni Woerden.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57340,,2022-03-30,,,,,,,,
1434,information,Jesus washing the disciples' feet,"""Washing the Disciples Feet"", a mural painted by David Paynter in 1965, located above the lectern at Trinity College Chapel, Kandy",mural by David Paynter,,57351,,,2022-03-30,,,,,,,,,,,,,,,,,,Q20823195,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57351,,2022-03-30,,,Q219423,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57351,,2022-03-30,,,,1929-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57351,,2022-03-30,,,Q854,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57351,,2022-03-30,,,,,,,,,,,,Trinity College Chapel Mural (2).jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57351,,2022-03-30,,,,,,,,
1436,information,Kingdom of God,"Detail of the right light of the stained glass window in the south wall of the south transept created by George Walsh in 2005, depicting the fourth mystery of Light, i.e. the transfiguration. George Walsh (1939–) Alternative names George William Walsh Description Irish stained-glass artist Date of birth 1939 Location of birth Dublin Work location Dublin Authority control : Q45315802 creator QS:P170,Q45315802",stained glass by George Walsh,,57353,,,2022-03-30,,,,,,,,,,,,,,,,,,Q45315802,,,,,,,Q1473346,,,,,,,,2005-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57353,,2022-03-30,,,Q27,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57353,,2022-03-30,,,,,,,,,,,,Tullow Church of the Most Holy Rosary South Transept Window Mysteries of Light and Pope John Paul II Detail Transfiguration 2013 09 06.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57353,,2022-03-30,,,,,,,,
1442,information,Light from roof of Cardboard Cathedral,"I visited the cardboard cathedral today. It opened to the public yesterday and it was very interesting after documenting for so long. It isn't completely finished yet and shot be wonderful when it is. August 7, 2013 Christchurch New Zeadland. The cardboard cathedral's opening festival began last night, with a performance by the Christchurch City Choir. It was the first of 10 concerts as part of the cathedral's Joyfully Un-Munted Festival. The cathedral, designed by Japanese architect Shigeru Ban and incorporating 98 beams encased in cardboard, had been subject to construction delays after initially being scheduled to open in February. An emotional Bishop Victoria Matthews was finally handed a fitting cardboard key to the cathedral on Friday, to mark the structure changing hands from contractors to the Anglican diocese. However, not everyone was sold on the cathedral's modern design. Ashburton residents Colleen Inwood and Norma Tait agreed while the cathedral was architecturally-sound, it was ""very temporary"". The cathedral can accommodate up to 700 people and has an expected lifespan of 50 years. The north-facing Trinity Window, above the entrance, is made of coloured glass featuring images from the original Christ Church Cathedral's rose window, which collapsed in the June 2011 earthquakes. It opened its doors to the public at 9am yesterday, to one solitary admirer. Central city resident Ross Evans was the first to inspect the church when it opened at 9am. ""I like the place, it sort of grows on you, doesn't it?"" About half a dozen people trickled in after Evans, and for Woolston resident Tau, it was a particularly special moment. ""This was the spot where I got married, in the old St John's Church in 1965,"" she said. ""It's very interesting."" Last week there were questions raised over whether the $5.3 million temporary Anglican cathedral would be ready before its scheduled opening. While there was still ""fine tuning"" to be done, in clearing the foyer and finalising places for furniture, volunteer manager Nicky Lee said it was ""a relief to get to this point, but it's a real delight, too"". ""There's always been a great sense of belonging in the city in regards to the cathedral,"" she said. A service was held for the regulars on Sunday, and it was a ""real sense of coming home for them"". Taken from: <a href="" http://www.stuff.co.nz/the-press/news/city-centre/9010170/Cardboard-cathedral-festival-begins "" rel=""nofollow"">www.stuff.co.nz/the-press/news/city-centre/9010170/Cardbo...</a>",architectural structure by Shigeru Ban,,57379,,,2022-03-30,,,,,,,,,,,,,,,,,,Q526725,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57379,,2022-03-30,,,Q811979,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57379,,2022-03-30,,,,2013-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57379,,2022-03-30,,,,,,,,,,,,,,,,,,,Cardboard Cathedral lots of light.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57379,,2022-03-30,,,,,,,,
1448,information,"Crowd, The",The Illuminated Crowd,sculpture by Raymond Mason,,57390,,,2022-03-30,,,,,,,,,,,,,,,,,,Q2419717,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57390,,2022-03-30,,,Q860861,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57390,,2022-03-30,,,,1986-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57390,,2022-03-30,,,Q16,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57390,,2022-03-30,,,,,,,,,,,,La Foule illuminee 01.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57390,,2022-03-30,,,,,,,,
1452,information,Abraham Sends Hagar and Ishmael Away,"Nederlands: Identificatie Titel(s): Abraham verstoot Hagar en Ismaël Objecttype: prent Objectnummer: RP-P-OB-1588 Catalogusreferentie: New Hollstein Dutch 17Bartsch 17 Opschriften / Merken: signatuur: ‘L’ Omschrijving: Abraham geeft een kruik aan Hagar, die vertrekt met hun zoon Ismaël. Achter Abraham zit Sarah tegen een muur met Isaak. In het landschap op de achtergrond een engel die aan Hagar verschijnt. Vervaardiging Vervaardiger: prentmaker: Lucas van Leyden (vermeld op object)naar eigen ontwerp van: Lucas van Leyden Plaats vervaardiging: Nederlanden Datering: 1505 - 1510 Fysieke kenmerken: gravure Materiaal: papier Techniek: graveren (drukprocedé) Afmetingen: beeld: h 277 mm × b 215 mm Onderwerp Wat: Abraham provides Hagar and Ishmael with bread and a jug of water Verwerving en rechten Verwerving: onbekend Copyright: Publiek domein",print by van Leyden Lucas,,57394,,,2022-03-30,,,,,,,,,,,,,,,,,,Q320980,,,,,,,Q11060274,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57394,,2022-03-30,,,,1550-01-01T00:00:00Z,7,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57394,,2022-03-30,,,Q55,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57394,,2022-03-30,,,Q19652,Q60332278,Q29940705,,,,,,,"Abraham verstoot Hagar en Ismaël, RP-P-OB-1588.jpg",,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57394,,2022-03-30,,,,,,,,
1458,information,In the Beginning,"painting by Brian Whelan; 2003, mixed media on board; photographed by Wendy Roseberry with permission from Brian Whelan",mixed medium by Brian Whelan,,57418,,,2022-03-30,,,,,,,,,,,,,,,,,,Q4965617,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57418,,2022-03-30,,,Q1902763,,,,,,,,2003-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57418,,2022-03-30,,,,,,,,,,,,,,,,,,,Iin the beginning 34x28 by Brian Whelan.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57418,,2022-03-30,,,,,,,,
1463,information,Stairs to the Sky,"No editing. Ezra Orion 1979-80 Herzog Boulevard, Jerusalem, Israel.",sculpture by Ezra Orion,,57426,,,2022-03-30,,,,,,,,,,,,,,,,,,Q522965,,,,,,,Q860861,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57426,,2022-03-30,,,,1950-01-01T00:00:00Z,7,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57426,,2022-03-30,,,Q801,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57426,,2022-03-30,,,,,,,,,,,,"Ezra Orion, Stairs to the Sky (2531527122).jpg",,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57426,,2022-03-30,,,,,,,,
1468,artwork,Refugee Boy,,print by William H. Johnson,,57435,,,2022-03-30,,,,,,,,,,,,,,,,,,Q1883000,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57435,,2022-03-30,,,Q11060274,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57435,,2022-03-30,,,,1937-01-01T00:00:00Z,9,,1935-01-01T00:00:00Z,9,,1939-01-01T00:00:00Z,9,Q5727902,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57435,,2022-03-30,,,Q30,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57435,,2022-03-30,,,,,,,,,,,,"Refugee Boy, by William H. Johnson.jpg",,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57435,,2022-03-30,,,,,,,,
1474,information,Peter`s rescue from the Lake Galilee,"Extract (drowning Saint Peter) of Herbert Boeckl `s fresco ""Saint Peter`s rescue from the Lake Galilee"" (1925) inside the cathedral of Maria Saal, community Maria Saal, district Klagenfurt-Land, Carinthia, Austria",mural by Herbert Boeckl,,57448,,,2022-03-30,,,,,,,,,,,,,,,,,,Q324194,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57448,,2022-03-30,,,Q219423,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57448,,2022-03-30,,,,1925-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57448,,2022-03-30,,,Q40,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57448,,2022-03-30,,,,,,,,,,,,Maria Saal Herbert Boeckl Fresko 27102006 Ausschnitt.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57448,,2022-03-30,,,,,,,,
1481,information,Good Samaritan,"One of 3 parts of the relief 'De Barmhartige Samaritaan' (The Good Samaritan) created by Jan Gierveld at the backside of city church De Bleek at the Hofstraat in Almelo, The Netherlands Nederlands: Eén van de drie delen van het reliëf 'De Barmhartige Samaritaan' van Jan Gierveld op de achterzijde van stadskerk De Bleek aan de Hofstraat in Almelo",sculpture by Jan Gierveld,,57510,,,2022-03-30,,,,,,,,,,,,,,,,,,Q2161953,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57510,,2022-03-30,,,Q860861,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57510,,2022-03-30,,,,1980-01-01T00:00:00Z,9,,,,,,,Q5727902,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57510,,2022-03-30,,,Q55,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57510,,2022-03-30,,,,,,,,,,,,Almelo - Reliëf 'De Barmhartige Samaritaan' van Jan Gierveld op de achterzijde van stadskerk De Bleek 1.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57510,,2022-03-30,,,,,,,,
1488,information,Symbols of Peter,"St Peter, Babraham, Cambridgeshire - East window Stained glass by John Piper. Symbols of Saint Peter.",stained glass by John Piper,,57544,,,2022-03-30,,,,,,,,,,,,,,,,,,Q4363211,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57544,,2022-03-30,,,Q1473346,,,,,,,,1966-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57544,,2022-03-30,,,Q145,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57544,,2022-03-30,,,,,,,,,,,,"St Peter, Babraham, Cambridgeshire - East window - geograph.org.uk - 333992.jpg",,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57544,,2022-03-30,,,,,,,,
1494,information,Shepherd,"Mosaic, persons an sheep",mosaic by Carry Hauser,,57579,,,2022-03-30,,,,,,,,,,,,,,,,,,Q214650,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57579,,2022-03-30,,,Q133067,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57579,,2022-03-30,,,,1956-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57579,,2022-03-30,,,Q40,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57579,,2022-03-30,,,,,,,,,,,,Carry Hauser Hirte.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57579,,2022-03-30,,,,,,,,
1499,information,God our Father on the Rainbow,"Stockholm, Sweden: Sculpture ""Gud Fader på Himmelsbågen (God our Father on the Rainbow). Carl Milles designed this sculpture in 1946, as a monument for peace and a celebration of the creation of the United Nations. However, he only managed to produce a bronze model. 50 years later, Milles' former student, the American sculptor Marshall M Frederics created the sculpture to its full size.",sculpture by Carl Milles,,57586,,,2022-03-30,,,,,,,,,,,,,,,,,,Q48548,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57586,,2022-03-30,,,Q860861,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57586,,2022-03-30,,,,1995-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57586,,2022-03-30,,,Q34,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57586,,2022-03-30,,,Q19652,,,,https://commons.wikimedia.org/wiki/File:Stockholm_Sweden_God-Father-on-the-Rainbow-01.jpg,,2022-03-30,,,Stockholm Sweden God-Father-on-the-Rainbow-01.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57586,,2022-03-30,,,,,,,,
