commons_template,label_en,label_commons,description_en,act_uuid,act,act_ref1_hash,act_ref1_retrieved_nodeId,act_ref1_retrieved_val,act_ref1_retrieved_prec,inventory_number_uuid,inventory_number,inventory_number_collection,inventory_number_ref1_hash,inventory_number_ref1_referenceUrl,inventory_number_ref1_retrieved_nodeId,inventory_number_ref1_retrieved_val,inventory_number_ref1_retrieved_prec,title_uuid,title,title_ref1_hash,title_ref1_referenceUrl,title_ref1_retrieved_nodeId,title_ref1_retrieved_val,title_ref1_retrieved_prec,creator_uuid,creator,"creator_object_has_role,creator_ref1_hash",creator_ref1_referenceUrl,creator_ref1_retrieved_nodeId,creator_ref1_retrieved_val,creator_ref1_retrieved_prec,instance_of_uuid,instance_of,instance_of_ref1_hash,instance_of_ref1_referenceUrl,instance_of_ref1_retrieved_nodeId,instance_of_ref1_retrieved_val,instance_of_ref1_retrieved_prec,inception_uuid,inception_nodeId,inception_val,inception_prec,inception_earliest_date_nodeId,inception_earliest_date_val,inception_earliest_date_prec,inception_latest_date_nodeId,inception_latest_date_val,inception_latest_date_prec,inception_sourcing_circumstances,inception_ref1_hash,inception_ref1_referenceUrl,inception_ref1_retrieved_nodeId,inception_ref1_retrieved_val,inception_ref1_retrieved_prec,country_of_origin_uuid,country_of_origin,country_of_origin_ref1_hash,country_of_origin_ref1_referenceUrl,country_of_origin_ref1_retrieved_nodeId,country_of_origin_ref1_retrieved_val,country_of_origin_ref1_retrieved_prec,copyright_status_uuid,copyright_status,copyright_status_applies_to_jurisdiction,copyright_status_determination_method,copyright_status_ref1_hash,copyright_status_ref1_referenceUrl,copyright_status_ref1_retrieved_nodeId,copyright_status_ref1_retrieved_val,copyright_status_ref1_retrieved_prec,image_uuid,image,image_ref1_hash,image_ref1_referenceUrl,image_ref1_retrieved_nodeId,image_ref1_retrieved_val,image_ref1_retrieved_prec,collection_uuid,collection,collection_ref1_hash,collection_ref1_referenceUrl,collection_ref1_retrieved_nodeId,collection_ref1_retrieved_val,collection_ref1_retrieved_prec
artwork,"Distributive Justice, detail from the Allegory of Good and Bad Government",,painting by Ambrogio Lorenzetti,,46222,,,2022-04-04,,,,,,,,,,,"Distributive Justice, detail from the Allegory of Good and Bad Government",,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46222,,2022-04-04,,,Q211562,,,,,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Ambrogio_Lorenzetti_005.jpg,,2022-04-04,,,,1339-01-01T00:00:00Z,9,,1338-01-01T00:00:00Z,9,,1340-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46222,,2022-04-04,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46222,,2022-04-04,,,Q19652,,,,https://commons.wikimedia.org/wiki/File:Ambrogio_Lorenzetti_005.jpg,,2022-04-04,,,Ambrogio Lorenzetti 005.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46222,,2022-04-04,,,,,,,,
artwork,"Commutative Justice, detail from the Allegory of Good and Bad Government",,painting by Ambrogio Lorenzetti,,46223,,,2022-04-04,,,,,,,,,,,"Commutative Justice, detail from the Allegory of Good and Bad Government",,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46223,,2022-04-04,,,Q211562,,,,,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Ambrogio_Lorenzetti_004.jpg,,2022-04-04,,,,1339-01-01T00:00:00Z,9,,1338-01-01T00:00:00Z,9,,1340-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46223,,2022-04-04,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46223,,2022-04-04,,,Q19652,,,,https://commons.wikimedia.org/wiki/File:Ambrogio_Lorenzetti_004.jpg,,2022-04-04,,,Ambrogio Lorenzetti 004.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46223,,2022-04-04,,,,,,,,
artwork,"Concordia, or Concord, detail from the Allegory of Good and Bad Government",,painting by Ambrogio Lorenzetti,,46224,,,2022-04-04,,,,,,,,,,,"Concordia, or Concord, detail from the Allegory of Good and Bad Government",,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46224,,2022-04-04,,,Q211562,,,,,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Ambrogio_Lorenzetti_003.jpg,,2022-04-04,,,,1339-01-01T00:00:00Z,9,,1338-01-01T00:00:00Z,9,,1340-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46224,,2022-04-04,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46224,,2022-04-04,,,Q19652,,,,https://commons.wikimedia.org/wiki/File:Ambrogio_Lorenzetti_003.jpg,,2022-04-04,,,Ambrogio Lorenzetti 003.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46224,,2022-04-04,,,,,,,,
artwork,"Pax, or Peace, detail from the Allegory of Good and Bad Government",,fresco by Ambrogio Lorenzetti,,46225,,,2022-04-04,,,,,,,,,,,"Pax, or Peace, detail from the Allegory of Good and Bad Government",,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46225,,2022-04-04,,,Q211562,,,,,,,Q22669139,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46225,,2022-04-04,,,,1339-01-01T00:00:00Z,9,,1338-01-01T00:00:00Z,9,,1340-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46225,,2022-04-04,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46225,,2022-04-04,,,Q19652,,,,https://commons.wikimedia.org/wiki/File:Ambrogio_Lorenzetti_006.jpg,,2022-04-04,,,Ambrogio Lorenzetti 006.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46225,,2022-04-04,,,,,,,,
artwork,Rest during the Flight (into Egypt),"The Rest on The Flight into Egypt label QS:Lit,""Riposo durante la fuga in Egitto"" label QS:Lhu,""Pihenés Egyiptomba menekülés közben"" label QS:Lru,""Отдых Святого Семейства на пути в Египет"" label QS:Lde,""Ruhe auf der Flucht nach Ägypten"" label QS:Lpt,""Descanso na fuga para o Egito"" label QS:Len-gb,""The Rest on The Flight into Egypt"" label QS:Lsl,""Počitek na begu v Egipt"" label QS:Lja,""エジプトへの逃避途上の休息"" label QS:Lpt-br,""Descanso na fuga para o Egito"" label QS:Lpl,""Odpoczynek w czasie ucieczki do Egiptu"" label QS:Lnl,""Rust op de vlucht naar Egypte"" label QS:Les,""Descanso en la Huida a Egipto"" label QS:Len,""The Rest on The Flight into Egypt"" label QS:Leo,""La fuĝo al Egiptujo"" label QS:Lcs,""Odpočinek na útěku do Egypta"" label QS:Lfr,""Le Repos pendant la fuite en Égypte""",painting by Ludwig Richter,,46236,,,2022-04-04,,,,,,,,,,,Rest during the Flight (into Egypt),,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46236,,2022-04-04,,,Q551896,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46236,,2022-04-04,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Adrian_Ludwig_Richter_022.jpg,,2022-04-04,,,,1873-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46236,,2022-04-04,,,Q183,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46236,,2022-04-04,,,Q19652,Q60332278,Q29940705,,,,,,,Adrian Ludwig Richter 022.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46236,,2022-04-04,,,,,,,,
artwork,Washer Women,"The Washer Women label QS:Len,""The Washer Women"" label QS:Lde,""Wäscherinnen""",painting by Abram Efimovich Arkhipov,,46239,,,2022-04-04,,,,,,,,,,,Washer Women,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46239,,2022-04-04,,,Q80588,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46239,,2022-04-04,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46239,,2022-04-04,,,,1901-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46239,,2022-04-04,,,Q159,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46239,,2022-04-04,,,,,,,,,,,,Abram Jefimowitsch Archipow 002.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46239,,2022-04-04,,,,,,,,
artwork,Christ on Gethsemane,,painting by Albrecht Altdorfer,,46245,,,2022-04-04,,,,,,,,,,,Christ on Gethsemane,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46245,,2022-04-04,,,Q153746,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46245,,2022-04-04,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Albrecht_Altdorfer_027.png,,2022-04-04,,,,1512-01-01T00:00:00Z,9,,1509-01-01T00:00:00Z,9,,1516-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46245,,2022-04-04,,,Q40,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46245,,2022-04-04,,,Q19652,Q60332278,Q29940705,,,,,,,Albrecht Altdorfer 027.png,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46245,,2022-04-04,,,,,,,,
artwork,"Crucifixion, detail",,painting by Albrecht Altdorfer,,46248,,,2022-04-04,,,,,,,,,,,"Crucifixion, detail",,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46248,,2022-04-04,,,Q153746,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46248,,2022-04-04,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Albrecht_Altdorfer_035.jpg,,2022-04-04,,,,1512-01-01T00:00:00Z,9,,1509-01-01T00:00:00Z,9,,1516-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46248,,2022-04-04,,,Q40,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46248,,2022-04-04,,,Q19652,Q60332278,Q29940705,,,,,,,Albrecht Altdorfer 035.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46248,,2022-04-04,,,,,,,,
artwork,"Crucifixion, detail 2",,painting by Albrecht Altdorfer,,46249,,,2022-04-04,,,,,,,,,,,"Crucifixion, detail 2",,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46249,,2022-04-04,,,Q153746,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46249,,2022-04-04,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Albrecht_Altdorfer_034.jpg,,2022-04-04,,,,1512-01-01T00:00:00Z,9,,1509-01-01T00:00:00Z,9,,1516-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46249,,2022-04-04,,,Q40,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46249,,2022-04-04,,,Q19652,Q60332278,Q29940705,,,,,,,Albrecht Altdorfer 034.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46249,,2022-04-04,,,,,,,,
information,Crucifixion of Christ,An altered version of a crucifixion scene with the infamous red-striped character Waldo hidden near the edge.,painting by Albrecht Altdorfer,,46264,,,2022-04-04,,,,,,,,,,,Crucifixion of Christ,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46264,,2022-04-04,,,Q153746,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46264,,2022-04-04,,,Q3305213,,,,,,,,1526-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46264,,2022-04-04,,,Q183,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46264,,2022-04-04,,,Q19652,Q60332278,Q29940705,,,,,,,Albrecht Altdorfer.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46264,,2022-04-04,,,,,,,,
