,commons_template,label_en,label_commons,description_en,act_uuid,act,act_ref1_hash,act_ref1_retrieved_nodeId,act_ref1_retrieved_val,act_ref1_retrieved_prec,inventory_number_uuid,inventory_number,inventory_number_collection,inventory_number_ref1_hash,inventory_number_ref1_referenceUrl,inventory_number_ref1_retrieved_nodeId,inventory_number_ref1_retrieved_val,inventory_number_ref1_retrieved_prec,title_uuid,title,title_ref1_hash,title_ref1_referenceUrl,title_ref1_retrieved_nodeId,title_ref1_retrieved_val,title_ref1_retrieved_prec,creator_uuid,creator,"creator_object_has_role,creator_ref1_hash",creator_ref1_referenceUrl,creator_ref1_retrieved_nodeId,creator_ref1_retrieved_val,creator_ref1_retrieved_prec,instance_of_uuid,instance_of,instance_of_ref1_hash,instance_of_ref1_referenceUrl,instance_of_ref1_retrieved_nodeId,instance_of_ref1_retrieved_val,instance_of_ref1_retrieved_prec,inception_uuid,inception_nodeId,inception_val,inception_prec,inception_earliest_date_nodeId,inception_earliest_date_val,inception_earliest_date_prec,inception_latest_date_nodeId,inception_latest_date_val,inception_latest_date_prec,inception_sourcing_circumstances,inception_ref1_hash,inception_ref1_referenceUrl,inception_ref1_retrieved_nodeId,inception_ref1_retrieved_val,inception_ref1_retrieved_prec,country_of_origin_uuid,country_of_origin,country_of_origin_ref1_hash,country_of_origin_ref1_referenceUrl,country_of_origin_ref1_retrieved_nodeId,country_of_origin_ref1_retrieved_val,country_of_origin_ref1_retrieved_prec,copyright_status_uuid,copyright_status,copyright_status_applies_to_jurisdiction,copyright_status_determination_method,copyright_status_ref1_hash,copyright_status_ref1_referenceUrl,copyright_status_ref1_retrieved_nodeId,copyright_status_ref1_retrieved_val,copyright_status_ref1_retrieved_prec,image_uuid,image,image_ref1_hash,image_ref1_referenceUrl,image_ref1_retrieved_nodeId,image_ref1_retrieved_val,image_ref1_retrieved_prec,collection_uuid,collection,collection_ref1_hash,collection_ref1_referenceUrl,collection_ref1_retrieved_nodeId,collection_ref1_retrieved_val,collection_ref1_retrieved_prec,work_qid,work_label
306,artwork,"Descent from the Cross, detail","German: Altargemälde der Capponi-Kapelle in Santa Felicita in Florenz, Szene: Kreuzabnahme Christi The Deposition from the Cross title QS:P1476,de:""Altargemälde der Capponi-Kapelle in Santa Felicita in Florenz, Szene: Kreuzabnahme Christi"" label QS:Lde,""Altargemälde der Capponi-Kapelle in Santa Felicita in Florenz, Szene: Kreuzabnahme Christi""",painting by Jacopo da Pontormo,,49483,,,2022-04-04,,,,,,,,,,,,,,,,,,Q207929,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49483,,2022-04-04,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Jacopo_Pontormo_010.jpg,,2022-04-04,,,,1527-01-01T00:00:00Z,9,,1527-01-01T00:00:00Z,9,,1528-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49483,,2022-04-04,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49483,,2022-04-04,,,Q19652,Q60332278,Q29940705,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49483,,2022-04-04,,,Jacopo Pontormo 010.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49483,,2022-04-04,,,,,,,,,Q3705703,The Deposition from the Cross
309,artwork,"Joseph in Egypt, detail","Joseph with Jacob in Egypt title QS:P1476,en:""Joseph with Jacob in Egypt "" label QS:Len,""Joseph with Jacob in Egypt "" label QS:Lit,""Giuseppe in Egitto"" label QS:Lfr,""Joseph en Égypte"" label QS:Larz,""يوسف مع يعقوب فى مصر"" label QS:Lnl,""Joseph with Jacob in Egypt"" label QS:Lde,""Josef in Ägypten (Gemälde)"" label QS:Leo,""Jozefo en Egiptio""",painting by Jacopo da Pontormo,,49487,,,2022-04-04,,,,,,,,,,,,,,,,,,Q207929,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49487,,2022-04-04,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Jacopo_Pontormo_033.jpg,,2022-04-04,,,,1517-01-01T00:00:00Z,9,,1517-01-01T00:00:00Z,9,,1518-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49487,,2022-04-04,,,Q145,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49487,,2022-04-04,,,Q19652,Q60332278,Q29940705,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49487,,2022-04-04,,,Jacopo Pontormo 033.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49487,,2022-04-04,,,,,,,,,Q1706136,Joseph with Jacob in Egypt
310,artwork,"Joseph in Egypt, detail","Joseph with Jacob in Egypt title QS:P1476,en:""Joseph with Jacob in Egypt "" label QS:Len,""Joseph with Jacob in Egypt "" label QS:Lit,""Giuseppe in Egitto"" label QS:Lfr,""Joseph en Égypte"" label QS:Larz,""يوسف مع يعقوب فى مصر"" label QS:Lnl,""Joseph with Jacob in Egypt"" label QS:Lde,""Josef in Ägypten (Gemälde)"" label QS:Leo,""Jozefo en Egiptio""",painting by Jacopo da Pontormo,,49488,,,2022-04-04,,,,,,,,,,,,,,,,,,Q207929,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49488,,2022-04-04,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Jacopo_Pontormo_034.jpg,,2022-04-04,,,,1517-01-01T00:00:00Z,9,,1517-01-01T00:00:00Z,9,,1518-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49488,,2022-04-04,,,Q145,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49488,,2022-04-04,,,Q19652,Q60332278,Q29940705,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49488,,2022-04-04,,,Jacopo Pontormo 034.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49488,,2022-04-04,,,,,,,,,Q1706136,Joseph with Jacob in Egypt
311,artwork,"Joseph in Egypt, detail","Joseph with Jacob in Egypt title QS:P1476,en:""Joseph with Jacob in Egypt "" label QS:Len,""Joseph with Jacob in Egypt "" label QS:Lit,""Giuseppe in Egitto"" label QS:Lfr,""Joseph en Égypte"" label QS:Larz,""يوسف مع يعقوب فى مصر"" label QS:Lnl,""Joseph with Jacob in Egypt"" label QS:Lde,""Josef in Ägypten (Gemälde)"" label QS:Leo,""Jozefo en Egiptio""",painting by Jacopo da Pontormo,,49489,,,2022-04-04,,,,,,,,,,,,,,,,,,Q207929,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49489,,2022-04-04,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Jacopo_Pontormo_035.jpg,,2022-04-04,,,,1517-01-01T00:00:00Z,9,,1517-01-01T00:00:00Z,9,,1518-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49489,,2022-04-04,,,Q145,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49489,,2022-04-04,,,Q19652,Q60332278,Q29940705,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49489,,2022-04-04,,,Jacopo Pontormo 035.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49489,,2022-04-04,,,,,,,,,Q1706136,Joseph with Jacob in Egypt
318,artwork,Holy Family,,painting by Jan Baegert,,49591,,,2022-04-04,,,,,,,,,,,,,,,,,,Q1525327,,,,,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Jan_Baegert_001.jpg,,2022-04-04,,,,,,,,,,,,,,,,,,,Q183,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49591,,2022-04-04,,,Q19652,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49591,,2022-04-04,,,Jan Baegert 001.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49591,,2022-04-04,,,,,,,,,Q1525327,Jan Baegert
325,artwork,Altar of the Mystical Lamb - Sibyll,,painting by Hubert van Eyck,,49623,,,2022-04-04,,,,,,,,,,,,,,,,,,Q364350,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49623,,2022-04-04,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Hubert_van_Eyck_009.jpg,,2022-04-04,,,,1429-01-01T00:00:00Z,9,,1426-01-01T00:00:00Z,9,,1432-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49623,,2022-04-04,,,Q31,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49623,,2022-04-04,,,,,,,,,,,,Hubert van Eyck 009.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49623,,2022-04-04,,,,,,,,,Q734834,Ghent Altarpiece
326,artwork,"Altar of the Mystical Lamb - Annunciation, detail","en label QS:Lde,""Genfer Altar, Altar des Mystischen Lammes, linker Außenflügel, mittlere äußere Szene: Verkündigungsengel, Detail: Gesicht des Engels""",painting by Hubert van Eyck,,49625,,,2022-04-04,,,,,,,,,,,,,,,,,,Q364350,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49625,,2022-04-04,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Hubert_van_Eyck_011.jpg,,2022-04-04,,,,1429-01-01T00:00:00Z,9,,1426-01-01T00:00:00Z,9,,1432-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49625,,2022-04-04,,,Q31,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49625,,2022-04-04,,,Q19652,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49625,,2022-04-04,,,Hubert van Eyck 011.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49625,,2022-04-04,,,,,,,,,Q734834,Ghent Altarpiece
458,artwork,Good Samaritan,The good Samaritan . Nederlands: De barmhartige Samaritaan . [1] Alternative title(s): Nederlands: De barmhartige Samaritaan (Lucas 10: 30-35) . [2],painting by Unknown artist,,54716,,,2022-04-04,,,,,,,,,,,,,,,,,,anon,,,,,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54716,,2022-04-04,,,,1537-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54716,,2022-04-04,,,Q55,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54716,,2022-04-04,,,,,,,,,,,,Master of the Good Samaritan 001.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54716,,2022-04-04,,,,,,,,,Q18516732,
472,artwork,Good Samaritan (possible allegorical interpretation),"Two Medallions with Symbolic-Religious Representations label QS:Lnl,""Twee medaillons met symbolisch-religieuze voorstellingen"" label QS:Len,""Two Medallions with Symbolic-Religious Representations""",painting by Hieronymus Bosch,,54733,,,2022-04-04,,,,,,,,,,,,,,,,,,Q130531,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54733,,2022-04-04,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54733,,2022-04-04,,,,1514-01-01T00:00:00Z,9,,,,,,,Q5727902,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54733,,2022-04-04,,,Q55,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54733,,2022-04-04,,,Q19652,Q60332278,Q29940705,,,,,,,Jheronimus Bosch Allegories 2 (before restoration).jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54733,,2022-04-04,,,,,,,,,Q2284243,The Hell and the Flood
528,artwork,Resurrection of Christ,,painting by Albin Egger-Lienz,,54991,,,2022-04-04,,,,,,,,,,,,,,,,,,Q639706,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54991,,2022-04-04,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54991,,2022-04-04,,,,1923-01-01T00:00:00Z,9,,1923-01-01T00:00:00Z,9,,1924-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54991,,2022-04-04,,,,,,,,,,,,,,,,,,,AEL Christi Auferstehung.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54991,,2022-04-04,,,,,,,,,Q111488571,Resurrection of Christ
536,artwork,Parable of  the Wicked Enemy,"German: Mömpelgarder Altar Mömpelgarder Altar title QS:P1476,de:""Mömpelgarder Altar "" label QS:Lde,""Mömpelgarder Altar "" label QS:Len,""Mömpelgarder Altar"" label QS:Lfr,""Retable de Montbéliard""",painting by Heinrich Füllmaurer,,55002,,,2022-04-04,,,,,,,,,,,,,,,,,,Q16006174,,,,,,,Q3305213,,https://commons.wikimedia.org/wiki/File:184_W%C3%BCrttemberg_und_M%C3%B6mpelgard_M%C3%B6mpelgarder_Altar_You_know_who.jpg,,2022-04-04,,,,1540-01-01T00:00:00Z,9,,,,,,,Q5727902,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55002,,2022-04-04,,,Q40,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55002,,2022-04-04,,,Q19652,,,,https://commons.wikimedia.org/wiki/File:184_W%C3%BCrttemberg_und_M%C3%B6mpelgard_M%C3%B6mpelgarder_Altar_You_know_who.jpg,,2022-04-04,,,184 Württemberg und Mömpelgard Mömpelgarder Altar You know who.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55002,,2022-04-04,,,,,,,,,Q16006174,Heinrich Füllmaurer
559,artwork,Ten Commandments,"German: Die Zehn Gebote The Ten Commandments title QS:P1476,de:""Die Zehn Gebote"" label QS:Lde,""Die Zehn Gebote"" label QS:Len,""The Ten Commandments """,mural by Lucas Cranach,,55127,,,2022-04-04,,,,,,,,,,,,,,,,,,Q191748,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55127,,2022-04-04,,,Q219423,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55127,,2022-04-04,,,,1516-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55127,,2022-04-04,,,Q183,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55127,,2022-04-04,,,Q19652,Q60332278,Q29940705,,https://commons.wikimedia.org/wiki/File:10_Gebote_(Lucas_Cranach_d_A).jpg,,2022-04-04,,,10 Gebote (Lucas Cranach d A).jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55127,,2022-04-04,,,,,,,,,Q4233718,anonymous
615,artwork,Haymaking (detail),Haymaking (detail),painting by Pieter Bruegel,,55317,,,2022-04-04,,,,,,,,,,,,,,,,,,Q43270,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55317,,2022-04-04,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55317,,2022-04-04,,,,1565-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55317,,2022-04-04,,,Q213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55317,,2022-04-04,,,Q19652,Q60332278,Q29940705,,https://commons.wikimedia.org/wiki/File:Pieter_Bruegel_the_Elder_-_Haymaking_(detail)_-_WGA03448.jpg,,2022-04-04,,,Pieter Bruegel the Elder - Haymaking (detail) - WGA03448.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55317,,2022-04-04,,,,,,,,,Q1213437,The Hay Harvest
616,artwork,Ruth and Naomi in Boaz' fields,,painting by Martin van Heemskerk,,55318,,,2022-04-04,,,,,,,,,,,,,,,,,,Q538350,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55318,,2022-04-04,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55318,,2022-04-04,,,,1535-01-01T00:00:00Z,9,,1530-01-01T00:00:00Z,9,,1540-01-01T00:00:00Z,9,Q5727902,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55318,,2022-04-04,,,Q40,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55318,,2022-04-04,,,Q19652,Q60332278,Q29940705,,,,,,,Jan van Scorel 006.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55318,,2022-04-04,,,,,,,,,Q4233718,anonymous
627,artwork,Wrath,"The Seven Deadly Sins and four last things [detail: Ira (wrath)] label QS:Lde,""Die sieben Todsünden und vier letzten Dinge [detail: Ira (Zorn)]"" label QS:Lnl,""De zeven hoofdzonden en vier laatste dinge [detail: Ira (toorn)]."" label QS:Len,""The Seven Deadly Sins and four last things [detail: Ira (wrath)]""",painting by Hieronymus Bosch,,55353,,,2022-04-04,,,,,,,,,,,,,,,,,,Q130531,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55353,,2022-04-04,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55353,,2022-04-04,,,,1450-01-01T00:00:00Z,7,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55353,,2022-04-04,,,,,,,,,,Q19652,Q60332278,Q29940705,,,,,,,Jheronimus Bosch Table of the Mortal Sins (Ira).jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55353,,2022-04-04,,,,,,,,,Q2304870,The Seven Deadly Sins and the Four Last Things
628,artwork,Madonna of Mercy,Polyptych of the Misericordia: Madonna of Mercy,painting by della Francesca Piero,,55354,,,2022-04-04,,,,,,,,,,,,,,,,,,Q5822,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55354,,2022-04-04,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55354,,2022-04-04,,,,1461-01-01T00:00:00Z,9,,1460-01-01T00:00:00Z,9,,1462-01-01T00:00:00Z,9,Q5727902,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55354,,2022-04-04,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55354,,2022-04-04,,,Q19652,Q60332278,Q29940705,,,,,,,Piero della Francesca - Polyptych of the Misericordia - Madonna of Mercy - WGA17449.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55354,,2022-04-04,,,,,,,,,Q2247307,Polyptych of the Misericordia
635,artwork,Charity,Charity,painting by Marie-Francois Firmin-Girard,,55370,,,2022-04-04,,,,,,,,,,,,,,,,,,Q3083556,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55370,,2022-04-04,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55370,,2022-04-04,,,,1870-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55370,,2022-04-04,,,Q155,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55370,,2022-04-04,,,Q19652,Q60332278,Q29940705,,,,,,,Marie-François Firmin-Girard - A Caridade.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55370,,2022-04-04,,,,,,,,,Q3083556,Marie-François Firmin-Girard
680,artwork,"Feast of the Passover, detail",The Feast of the Passover (detail),painting by Dieric Bouts,,55442,,,2022-04-04,,,,,,,,,,,,,,,,,,Q313561,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55442,,2022-04-04,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55442,,2022-04-04,,,,1465-01-01T00:00:00Z,9,,1464-01-01T00:00:00Z,9,,1467-01-01T00:00:00Z,9,Q5727902,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55442,,2022-04-04,,,Q31,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55442,,2022-04-04,,,Q19652,Q60332278,Q29940705,,https://commons.wikimedia.org/wiki/File:Dieric_Bouts_-_The_Feast_of_the_Passover_(detail)_-_WGA03014.jpg,,2022-04-04,,,Dieric Bouts - The Feast of the Passover (detail) - WGA03014.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55442,,2022-04-04,,,,,,,,,Q318944,The Last Supper
681,artwork,Feast of the Passover,The Feast of the Passover,painting by Dieric Bouts,,55443,,,2022-04-04,,,,,,,,,,,,,,,,,,Q313561,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55443,,2022-04-04,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55443,,2022-04-04,,,,1465-01-01T00:00:00Z,9,,1464-01-01T00:00:00Z,9,,1467-01-01T00:00:00Z,9,Q5727902,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55443,,2022-04-04,,,Q31,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55443,,2022-04-04,,,Q19652,Q60332278,Q29940705,,https://commons.wikimedia.org/wiki/File:Dieric_Bouts_-_The_Feast_of_the_Passover_-_WGA03013.jpg,,2022-04-04,,,Dieric Bouts - The Feast of the Passover - WGA03013.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55443,,2022-04-04,,,,,,,,,Q318944,The Last Supper
803,artwork,Joyful Mountain Landscape,,painting by Paul Klee,,55666,,,2022-04-04,,,,,,,,,,,,,,,,,,Q44007,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55666,,2022-04-04,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55666,,2022-04-04,,,,1929-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55666,,2022-04-04,,,Q30,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55666,,2022-04-04,,,,,,,,,,,,Heitere Gebirgslandschaft by Paul Klee 1929.jpeg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55666,,2022-04-04,,,,,,,,,Q111600999,Joyful Mountain Landscape
902,artwork,David sinking in the mire,Initial D with David in the Mire,manuscript by active 1455-1469 Master of Isabella di Chiaromonte,,55874,,,2022-04-04,,,,,,,,,,,,,,,,,,Q18508514,,,,,,,Q87167,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55874,,2022-04-04,,,,1460-01-01T00:00:00Z,9,,,,,,,Q5727902,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55874,,2022-04-04,,,Q30,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55874,,2022-04-04,,,,,,,,,,,,Master of Isabella di Chiaromonte - Initial D with David in the Mire - Walters W32879R - Open Obverse.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55874,,2022-04-04,,,,,,,,,Q18508514,Master of  Isabella di Chiaromonte
947,artwork,"Mary's Tears, detail from Descent from the Cross",Descent from the Cross,painting by Rogier van der Weyden,,55988,,,2022-04-04,,,,,,,,,,,,,,,,,,Q68631,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55988,,2022-04-04,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55988,,2022-04-04,,,,1435-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55988,,2022-04-04,,,Q29,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55988,,2022-04-04,,,Q19652,Q60332278,Q29940705,,,,,,,"Weyden, Rogier van der - Descent from the Cross - Detail women (left).jpg",,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55988,,2022-04-04,,,,,,,,,Q568847,The Descent from the Cross.
987,artwork,Birth of John the Baptist (detail),"The Birth of John the Baptist label QS:Lit,""Nascita del Battista"" label QS:Lja,""バプテスマのヨハネの誕生"" label QS:Lfr,""Naissance de Jean-Baptiste"" label QS:Lsv,""Johannes döparens födelse"" label QS:Lpl,""Narodziny św. Jana Chrzciciela"" label QS:Lnl,""Geboorte van Johannes de Doper"" label QS:Lde,""Die Geburt Johannes des Täufers"" label QS:Lpt,""Nascimento de João Batista"" label QS:Len,""The Birth of John the Baptist"" label QS:Lzh,""施洗约翰的诞生"" label QS:Lmk,""Раѓањето на Јован Крстител"" label QS:Les,""Nacimiento de Juan el Bautista""",painting by Jacopo Tintoretto,,56062,,,2022-03-30,,,,,,,,,,,,,,,,,,Q9319,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56062,,2022-03-30,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56062,,2022-03-30,,,,1554-01-01T00:00:00Z,9,,,,,,,Q5727902,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56062,,2022-03-30,,,Q159,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56062,,2022-03-30,,,Q19652,Q60332278,Q29940705,,,,,,,Jacopo Tintoretto - The Birth of John the Baptist (detail) - WGA22442.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56062,,2022-03-30,,,,,,,,,Q2835885,The Birth of John the Baptist
1017,artwork,Parable of the Barren Fig Tree,"Mozes en de tafelen der Wet, de vervloeking van de verwelkte vijgenboom, en de gelijkenis van het penningske van de weduwe",painting by Ludovico Mazzolino,,56110,,,2022-03-30,,,SK-A-3409,Q190804,,https://commons.wikimedia.org/wiki/File:Ludovico_Mazzolino_-_Mozes_en_de_tafelen_der_Wet.jpg,,2022-03-30,,,,,,,,,,Q1351631,,,,,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56110,,2022-03-30,,,,1527-01-01T00:00:00Z,9,,1525-01-01T00:00:00Z,9,,1530-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56110,,2022-03-30,,,Q55,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56110,,2022-03-30,,,Q19652,Q60332278,Q29940705,,,,,,,Ludovico Mazzolino - Mozes en de tafelen der Wet.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56110,,2022-03-30,,,Q190804,,https://commons.wikimedia.org/wiki/File:Ludovico_Mazzolino_-_Mozes_en_de_tafelen_der_Wet.jpg,,2022-03-30,,Q17334308,"Moses and the ten commandments, the fig tree, and the widow"
1034,artwork,Holy Spirit Coming From Both the Father and the Son,"Boulbon Altarpiece label QS:Len,""Boulbon Altarpiece"" label QS:Lit,""Altare di Boulbon"" label QS:Lfr,""retable de Boulbon""",painting by artist unknown,,56145,,,2022-03-30,,,RF 1536,Q19675,,https://commons.wikimedia.org/wiki/File:Filioque.JPG,,2022-03-30,,,,,,,,,,anon,,https://commons.wikimedia.org/wiki/File:Filioque.JPG,,2022-03-30,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56145,,2022-03-30,,,,1450-01-01T00:00:00Z,9,,,,,,,Q5727902,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56145,,2022-03-30,,,Q142,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56145,,2022-03-30,,,,,,,,,,,,Filioque.JPG,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56145,,2022-03-30,,,Q19675,,https://commons.wikimedia.org/wiki/File:Filioque.JPG,,2022-03-30,,Q4233718,anonymous
