,commons_template,label_en,label_commons,description_en,act_uuid,act,act_ref1_hash,act_ref1_retrieved_nodeId,act_ref1_retrieved_val,act_ref1_retrieved_prec,inventory_number_uuid,inventory_number,inventory_number_collection,inventory_number_ref1_hash,inventory_number_ref1_referenceUrl,inventory_number_ref1_retrieved_nodeId,inventory_number_ref1_retrieved_val,inventory_number_ref1_retrieved_prec,title_uuid,title,title_ref1_hash,title_ref1_referenceUrl,title_ref1_retrieved_nodeId,title_ref1_retrieved_val,title_ref1_retrieved_prec,creator_uuid,creator,"creator_object_has_role,creator_ref1_hash",creator_ref1_referenceUrl,creator_ref1_retrieved_nodeId,creator_ref1_retrieved_val,creator_ref1_retrieved_prec,instance_of_uuid,instance_of,instance_of_ref1_hash,instance_of_ref1_referenceUrl,instance_of_ref1_retrieved_nodeId,instance_of_ref1_retrieved_val,instance_of_ref1_retrieved_prec,inception_uuid,inception_nodeId,inception_val,inception_prec,inception_earliest_date_nodeId,inception_earliest_date_val,inception_earliest_date_prec,inception_latest_date_nodeId,inception_latest_date_val,inception_latest_date_prec,inception_sourcing_circumstances,inception_ref1_hash,inception_ref1_referenceUrl,inception_ref1_retrieved_nodeId,inception_ref1_retrieved_val,inception_ref1_retrieved_prec,country_of_origin_uuid,country_of_origin,country_of_origin_ref1_hash,country_of_origin_ref1_referenceUrl,country_of_origin_ref1_retrieved_nodeId,country_of_origin_ref1_retrieved_val,country_of_origin_ref1_retrieved_prec,copyright_status_uuid,copyright_status,copyright_status_applies_to_jurisdiction,copyright_status_determination_method,copyright_status_ref1_hash,copyright_status_ref1_referenceUrl,copyright_status_ref1_retrieved_nodeId,copyright_status_ref1_retrieved_val,copyright_status_ref1_retrieved_prec,image_uuid,image,image_ref1_hash,image_ref1_referenceUrl,image_ref1_retrieved_nodeId,image_ref1_retrieved_val,image_ref1_retrieved_prec,collection_uuid,collection,collection_ref1_hash,collection_ref1_referenceUrl,collection_ref1_retrieved_nodeId,collection_ref1_retrieved_val,collection_ref1_retrieved_prec,work_qid,work_label
262,artwork,"Gabriel, detail from Annunciation","Maestà, Altarretabel des Sieneser Doms, Vorderseite, Predella mit Szenen aus der Kindheit Jesu und Propheten, Szene: Annunciation detail",painting by di Buoninsegna Duccio,,49151,,,2022-04-04,,,,,,,,,,,,,,,,,,Q15792,,,,,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Duccio_di_Buoninsegna_069.jpg,,2022-04-04,,,,1309-01-01T00:00:00Z,9,,1308-01-01T00:00:00Z,9,,1311-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49151,,2022-04-04,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49151,,2022-04-04,,,,,,,,,,,,Duccio di Buoninsegna 069.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49151,,2022-04-04,,,,,,,,,Q26706454,The Annunciation
272,artwork,Birth of Christ,,painting by di Buoninsegna Duccio,,49174,,,2022-04-04,,,1937.1.8,Q214867,,https://commons.wikimedia.org/wiki/File:Duccio_di_Buoninsegna_058.jpg,,2022-04-04,,,,,,,,,,Q15792,,,,,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Duccio_di_Buoninsegna_058.jpg,,2022-04-04,,,,1309-01-01T00:00:00Z,9,,1308-01-01T00:00:00Z,9,,1311-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49174,,2022-04-04,,,Q30,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49174,,2022-04-04,,,Q19652,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49174,,2022-04-04,,,Duccio di Buoninsegna 058.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49174,,2022-04-04,,,Q214867,,https://commons.wikimedia.org/wiki/File:Duccio_di_Buoninsegna_058.jpg,,2022-04-04,,Q3873252,The Nativity with the Prophets Isaiah and Ezekiel
273,artwork,Prophet Ezekiel,,painting by di Buoninsegna Duccio,,49177,,,2022-04-04,,,1937.1.8,Q214867,,https://commons.wikimedia.org/wiki/File:Duccio_di_Buoninsegna_062.jpg,,2022-04-04,,,,,,,,,,Q15792,,,,,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Duccio_di_Buoninsegna_062.jpg,,2022-04-04,,,,1309-01-01T00:00:00Z,9,,1308-01-01T00:00:00Z,9,,1311-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49177,,2022-04-04,,,Q30,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49177,,2022-04-04,,,Q19652,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49177,,2022-04-04,,,Duccio di Buoninsegna 062.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49177,,2022-04-04,,,Q214867,,https://commons.wikimedia.org/wiki/File:Duccio_di_Buoninsegna_062.jpg,,2022-04-04,,Q3873252,The Nativity with the Prophets Isaiah and Ezekiel
274,artwork,Prophet Isaiah,,painting by di Buoninsegna Duccio,,49181,,,2022-04-04,,,1937.1.8,Q214867,,https://commons.wikimedia.org/wiki/File:Duccio_di_Buoninsegna_065.jpg,,2022-04-04,,,,,,,,,,Q15792,,,,,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Duccio_di_Buoninsegna_065.jpg,,2022-04-04,,,,1309-01-01T00:00:00Z,9,,1308-01-01T00:00:00Z,9,,1311-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49181,,2022-04-04,,,Q30,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49181,,2022-04-04,,,Q19652,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49181,,2022-04-04,,,Duccio di Buoninsegna 065.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49181,,2022-04-04,,,Q214867,,https://commons.wikimedia.org/wiki/File:Duccio_di_Buoninsegna_065.jpg,,2022-04-04,,Q3873252,The Nativity with the Prophets Isaiah and Ezekiel
284,artwork,Ecce Homo,"Ecce Homo label QS:Lit,""Ecce Homo"" label QS:Lhu,""Ecce homo"" label QS:Let,""Ecce homo"" label QS:Leu,""Ecce homo"" label QS:Lca,""Ecce Homo"" label QS:Lde,""Ecce homo"" label QS:Lpt,""Ecce Homo"" label QS:Lfr,""Ecce homo"" label QS:Lnl,""Ecce Homo"" label QS:Lbg,""Ecce Homo"" label QS:Ltr,""Ecce Homo"" label QS:Lro,""Ecce Homo"" label QS:Lja,""この人を見よ"" label QS:Lscn,""Ecci homu"" label QS:Lru,""Се человек"" label QS:Lsl,""Ecce homo"" label QS:Lpl,""Ecce homo"" label QS:Luk,""Ecce Homo"" label QS:Lla,""Ecce homo"" label QS:Lmk,""Ете човек"" label QS:Les,""Ecce homo"" label QS:Lgl,""Ecce Homo"" label QS:Len,""Ecce Homo"" label QS:Lel,""Ιδού ο άνθρωπος"" label QS:Lbr,""Ecce Homo"" label QS:Lcs,""Ecce homo""",painting by Hieronymus Bosch,,49246,,,2022-04-04,,,,,,,,,,,,,,,,,,Q130531,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49246,,2022-04-04,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49246,,2022-04-04,,,,1498-01-01T00:00:00Z,9,,1496-01-01T00:00:00Z,9,,1500-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49246,,2022-04-04,,,Q30,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49246,,2022-04-04,,,Q19652,Q60332278,Q29940705,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49246,,2022-04-04,,,Eccehomo workshop bosch.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49246,,2022-04-04,,,,,,,,,Q962603,Ecce Homo Triptych
301,artwork,"Descent from the Cross, detail","German: Altargemälde der Capponi-Kapelle in Santa Felicita in Florenz, Szene: Kreuzabnahme Christi The Deposition from the Cross title QS:P1476,de:""Altargemälde der Capponi-Kapelle in Santa Felicita in Florenz, Szene: Kreuzabnahme Christi"" label QS:Lde,""Altargemälde der Capponi-Kapelle in Santa Felicita in Florenz, Szene: Kreuzabnahme Christi""",painting by Jacopo da Pontormo,,49478,,,2022-04-04,,,,,,,,,,,,,,,,,,Q207929,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49478,,2022-04-04,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Jacopo_Pontormo_005.jpg,,2022-04-04,,,,1527-01-01T00:00:00Z,9,,1527-01-01T00:00:00Z,9,,1528-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49478,,2022-04-04,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49478,,2022-04-04,,,Q19652,Q60332278,Q29940705,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49478,,2022-04-04,,,Jacopo Pontormo 005.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49478,,2022-04-04,,,,,,,,,Q3705703,The Deposition from the Cross
302,artwork,"Descent from the Cross, detail","German: Altargemälde der Capponi-Kapelle in Santa Felicita in Florenz, Szene: Kreuzabnahme Christi The Deposition from the Cross title QS:P1476,de:""Altargemälde der Capponi-Kapelle in Santa Felicita in Florenz, Szene: Kreuzabnahme Christi"" label QS:Lde,""Altargemälde der Capponi-Kapelle in Santa Felicita in Florenz, Szene: Kreuzabnahme Christi""",painting by Jacopo da Pontormo,,49479,,,2022-04-04,,,,,,,,,,,,,,,,,,Q207929,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49479,,2022-04-04,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Jacopo_Pontormo_006.jpg,,2022-04-04,,,,1527-01-01T00:00:00Z,9,,1527-01-01T00:00:00Z,9,,1528-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49479,,2022-04-04,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49479,,2022-04-04,,,Q19652,Q60332278,Q29940705,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49479,,2022-04-04,,,Jacopo Pontormo 006.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49479,,2022-04-04,,,,,,,,,Q3705703,The Deposition from the Cross
303,artwork,"Descent from the Cross, detail","German: Altargemälde der Capponi-Kapelle in Santa Felicita in Florenz, Szene: Kreuzabnahme Christi The Deposition from the Cross title QS:P1476,de:""Altargemälde der Capponi-Kapelle in Santa Felicita in Florenz, Szene: Kreuzabnahme Christi"" label QS:Lde,""Altargemälde der Capponi-Kapelle in Santa Felicita in Florenz, Szene: Kreuzabnahme Christi""",painting by Jacopo da Pontormo,,49480,,,2022-04-04,,,,,,,,,,,,,,,,,,Q207929,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49480,,2022-04-04,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Jacopo_Pontormo_007.jpg,,2022-04-04,,,,1527-01-01T00:00:00Z,9,,1527-01-01T00:00:00Z,9,,1528-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49480,,2022-04-04,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49480,,2022-04-04,,,Q19652,Q60332278,Q29940705,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49480,,2022-04-04,,,Jacopo Pontormo 007.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49480,,2022-04-04,,,,,,,,,Q3705703,The Deposition from the Cross
304,artwork,"Descent from the Cross, detail","German: Altargemälde der Capponi-Kapelle in Santa Felicita in Florenz, Szene: Kreuzabnahme Christi The Deposition from the Cross title QS:P1476,de:""Altargemälde der Capponi-Kapelle in Santa Felicita in Florenz, Szene: Kreuzabnahme Christi"" label QS:Lde,""Altargemälde der Capponi-Kapelle in Santa Felicita in Florenz, Szene: Kreuzabnahme Christi""",painting by Jacopo da Pontormo,,49481,,,2022-04-04,,,,,,,,,,,,,,,,,,Q207929,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49481,,2022-04-04,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Jacopo_Pontormo_008.jpg,,2022-04-04,,,,1527-01-01T00:00:00Z,9,,1527-01-01T00:00:00Z,9,,1528-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49481,,2022-04-04,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49481,,2022-04-04,,,Q19652,Q60332278,Q29940705,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49481,,2022-04-04,,,Jacopo Pontormo 008.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49481,,2022-04-04,,,,,,,,,Q3705703,The Deposition from the Cross
305,artwork,"Descent from the Cross, detail","German: Altargemälde der Capponi-Kapelle in Santa Felicita in Florenz, Szene: Kreuzabnahme Christi The Deposition from the Cross title QS:P1476,de:""Altargemälde der Capponi-Kapelle in Santa Felicita in Florenz, Szene: Kreuzabnahme Christi"" label QS:Lde,""Altargemälde der Capponi-Kapelle in Santa Felicita in Florenz, Szene: Kreuzabnahme Christi""",painting by Jacopo da Pontormo,,49482,,,2022-04-04,,,,,,,,,,,,,,,,,,Q207929,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49482,,2022-04-04,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Jacopo_Pontormo_009.jpg,,2022-04-04,,,,1527-01-01T00:00:00Z,9,,1527-01-01T00:00:00Z,9,,1528-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49482,,2022-04-04,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49482,,2022-04-04,,,Q19652,Q60332278,Q29940705,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49482,,2022-04-04,,,Jacopo Pontormo 009.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49482,,2022-04-04,,,,,,,,,Q3705703,The Deposition from the Cross
