commons_template,label_en,label_commons,description_en,act_uuid,act,act_ref1_hash,act_ref1_retrieved_nodeId,act_ref1_retrieved_val,act_ref1_retrieved_prec,inventory_number_uuid,inventory_number,inventory_number_collection,inventory_number_ref1_hash,inventory_number_ref1_referenceUrl,inventory_number_ref1_retrieved_nodeId,inventory_number_ref1_retrieved_val,inventory_number_ref1_retrieved_prec,title_uuid,title,title_ref1_hash,title_ref1_referenceUrl,title_ref1_retrieved_nodeId,title_ref1_retrieved_val,title_ref1_retrieved_prec,creator_uuid,creator,creator_object_has_role,creator_ref1_hash,creator_ref1_referenceUrl,creator_ref1_retrieved_nodeId,creator_ref1_retrieved_val,creator_ref1_retrieved_prec,instance_of_uuid,instance_of,instance_of_ref1_hash,instance_of_ref1_referenceUrl,instance_of_ref1_retrieved_nodeId,instance_of_ref1_retrieved_val,instance_of_ref1_retrieved_prec,inception_uuid,inception_nodeId,inception_val,inception_prec,inception_earliest_date_nodeId,inception_earliest_date_val,inception_earliest_date_prec,inception_latest_date_nodeId,inception_latest_date_val,inception_latest_date_prec,inception_sourcing_circumstances,inception_ref1_hash,inception_ref1_referenceUrl,inception_ref1_retrieved_nodeId,inception_ref1_retrieved_val,inception_ref1_retrieved_prec,country_of_origin_uuid,country_of_origin,country_of_origin_ref1_hash,country_of_origin_ref1_referenceUrl,country_of_origin_ref1_retrieved_nodeId,country_of_origin_ref1_retrieved_val,country_of_origin_ref1_retrieved_prec,copyright_status_uuid,copyright_status,copyright_status_applies_to_jurisdiction,copyright_status_determination_method,copyright_status_ref1_hash,copyright_status_ref1_referenceUrl,copyright_status_ref1_retrieved_nodeId,copyright_status_ref1_retrieved_val,copyright_status_ref1_retrieved_prec,image_uuid,image,image_ref1_hash,image_ref1_referenceUrl,image_ref1_retrieved_nodeId,image_ref1_retrieved_val,image_ref1_retrieved_prec,collection_uuid,collection,collection_ref1_hash,collection_ref1_referenceUrl,collection_ref1_retrieved_nodeId,collection_ref1_retrieved_val,collection_ref1_retrieved_prec
artwork,"John, the Apostle, detail from Crucifixion",,painting by Carlo Crivelli,,46787,,,2022-04-04,,,,,,,,,,,"John, the Apostle, detail from Crucifixion",,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46787,,2022-04-04,,,Q348024,,,,,,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Carlo_Crivelli_004.jpg,,2022-04-04,,,,1490-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46787,,2022-04-04,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46787,,2022-04-04,,,,,,,,,,,,Carlo Crivelli 004.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46787,,2022-04-04,,,,,,,,
artwork,"John, detail from Crucifixtion",,painting by Cimabue,,47006,,,2022-04-04,,,,,,,,,,,"John, detail from Crucifixtion",,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=47006,,2022-04-04,,,Q15790,,,,,,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Cimabue_030.jpg,,2022-04-04,,,,1269-01-01T00:00:00Z,9,,1268-01-01T00:00:00Z,9,,1271-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=47006,,2022-04-04,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=47006,,2022-04-04,,,,,,,,,,,,Cimabue 030.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=47006,,2022-04-04,,,,,,,,
artwork,Martyrdom of Peter - detail,,painting by Filippino Lippi,,47436,,,2022-04-04,,,,,,,,,,,Martyrdom of Peter - detail,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=47436,,2022-04-04,,,Q296265,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=47436,,2022-04-04,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Filippino_Lippi_006.jpg,,2022-04-04,,,,1481-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=47436,,2022-04-04,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=47436,,2022-04-04,,,Q19652,Q60332278,Q29940705,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=47436,,2022-04-04,,,Filippino Lippi 006.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=47436,,2022-04-04,,,,,,,,
artwork,"Annunciation, with St. Dominic, detail of Gabriel",,fresco by fra Angelico,,47836,,,2022-04-04,,,,,,,,,,,"Annunciation, with St. Dominic, detail of Gabriel",,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=47836,,2022-04-04,,,Q5664,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=47836,,2022-04-04,,,Q22669139,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=47836,,2022-04-04,,,,1450-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=47836,,2022-04-04,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=47836,,2022-04-04,,,Q19652,Q60332278,Q29940705,,,,,,,Fra Angelico 050.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=47836,,2022-04-04,,,Q13453137,,https://commons.wikimedia.org/wiki/File:Fra_Angelico_050.jpg,,2022-04-04,
artwork,Agony in the Garden (detail),,painting by di Buoninsegna Duccio,,49156,,,2022-04-04,,,,,,,,,,,Agony in the Garden (detail),,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49156,,2022-04-04,,,Q15792,,,,,,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Duccio_di_Buoninsegna_033.jpg,,2022-04-04,,,,1309-01-01T00:00:00Z,9,,1308-01-01T00:00:00Z,9,,1311-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49156,,2022-04-04,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49156,,2022-04-04,,,Q19652,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49156,,2022-04-04,,,Duccio di Buoninsegna 033.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49156,,2022-04-04,,,,,,,,
artwork,"Thief on the Cross, detail from Crucifixion",,painting by di Buoninsegna Duccio,,49168,,,2022-04-04,,,,,,,,,,,"Thief on the Cross, detail from Crucifixion",,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49168,,2022-04-04,,,Q15792,,,,,,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Duccio_di_Buoninsegna_022.jpg,,2022-04-04,,,,1309-01-01T00:00:00Z,9,,1308-01-01T00:00:00Z,9,,1311-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49168,,2022-04-04,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49168,,2022-04-04,,,Q19652,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49168,,2022-04-04,,,Duccio di Buoninsegna 022.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49168,,2022-04-04,,,,,https://commons.wikimedia.org/wiki/File:Duccio_di_Buoninsegna_022.jpg,,2022-04-04,
artwork,Decoration of Chapel of Leo X - Detail of Veronica,,painting by Jacopo da Pontormo,,49343,,,2022-04-04,,,,,,,,,,,Decoration of Chapel of Leo X - Detail of Veronica,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49343,,2022-04-04,,,Q207929,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49343,,2022-04-04,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Jacopo_Pontormo_017.jpg,,2022-04-04,,,,1515-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49343,,2022-04-04,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49343,,2022-04-04,,,Q19652,Q60332278,Q29940705,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49343,,2022-04-04,,,Jacopo Pontormo 017.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49343,,2022-04-04,,,,,,,,
artwork,Detail of Angel,,painting by Jacopo da Pontormo,,49442,,,2022-04-04,,,,,,,,,,,Detail of Angel,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49442,,2022-04-04,,,Q207929,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49442,,2022-04-04,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Jacopo_Pontormo_025.jpg,,2022-04-04,,,,1527-01-01T00:00:00Z,9,,1527-01-01T00:00:00Z,9,,1528-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49442,,2022-04-04,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49442,,2022-04-04,,,Q19652,Q60332278,Q29940705,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49442,,2022-04-04,,,Jacopo Pontormo 025.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49442,,2022-04-04,,,,,,,,
artwork,"Supper at Emmaus, detail","supper at Emmaus label QS:Len,""supper at Emmaus"" label QS:Lde,""Abendmahl in Emmaus""",painting by Jacopo da Pontormo,,49473,,,2022-04-04,,,,,,,,,,,"Supper at Emmaus, detail",,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49473,,2022-04-04,,,Q207929,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49473,,2022-04-04,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Jacopo_Pontormo_002.jpg,,2022-04-04,,,,1525-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49473,,2022-04-04,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49473,,2022-04-04,,,Q19652,Q60332278,Q29940705,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49473,,2022-04-04,,,Jacopo Pontormo 002.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49473,,2022-04-04,,,,,,,,
artwork,Trees Sarcophagus - detail,,sculpture by artist unknown,,49980,,,2022-04-04,,,Ma 2981,Q19675,,"https://commons.wikimedia.org/wiki/File:Sarcophage_%C3%A0_arbres,_Louvre_01.JPG",,2022-04-04,,,Trees Sarcophagus - detail,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49980,,2022-04-04,,,anon,,,"https://commons.wikimedia.org/wiki/File:Sarcophage_%C3%A0_arbres,_Louvre_01.JPG",,2022-04-04,,,Q860861,,,,,,,,0300-01-01T00:00:00Z,7,,0250-01-01T00:00:00Z,7,,0350-01-01T00:00:00Z,7,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49980,,2022-04-04,,,Q142,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49980,,2022-04-04,,,,,,,,,,,,"Sarcophage à arbres, Louvre 01.JPG",,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49980,,2022-04-04,,,Q19675,,"https://commons.wikimedia.org/wiki/File:Sarcophage_%C3%A0_arbres,_Louvre_01.JPG",,2022-04-04,
