accession_number,height,width,max_height,max_width
1994.369,1500,1000,5184,3456
1994.375,1500,1000,5184,3456
1994.377,1500,1000,5184,3456
1994.385,1500,1000,5184,3456
1994.392,1500,1000,5184,3456
1994.396,1500,1000,5184,3456
1994.407,1500,1000,5184,3456
1994.408,1500,1000,5184,3456
1994.413,464,360,464,360
1994.415,1000,1032,2674,2760
1994.417,1500,1000,5184,3456
1994.420,1500,1000,5184,3456
1994.422,1500,1000,5184,3456
1994.432,1000,1333,2448,3264
1994.440,1500,1000,5184,3456
1994.441,504,383,504,383
1994.444,638,360,638,360
1994.445,1000,1500,3456,5184
1994.446,394,504,394,504
1994.453,583,360,583,360
1994.454,1500,1000,5184,3456
1994.455,666,360,666,360
1994.456,591,360,591,360
1994.457,2069,1000,3798,1835
1994.459,1500,1000,5184,3456
1994.465,842,360,842,360
1994.468,445,360,445,360
1994.469,788,360,788,360
1994.470,1500,1000,5184,3456
1994.471,1500,1000,5184,3456
1994.473,614,360,614,360
1994.474,761,360,761,360
1994.480,2110,1000,2436,1154
1994.482,1500,1000,5184,3456
1994.489,690,360,690,360
1994.492,1500,1000,5184,3456
1994.496,1333,1000,2448,3264
1994.502,672,360,672,360
1994.504,504,325,504,325
1994.507,1469,1000,3492,2376
1994.508,731,360,731,360
1994.512,1500,1000,5184,3456
1994.515,467,360,467,360
1994.522,1333,1000,2448,3264
1994.528,1500,1000,5184,3456
1994.530,1500,1000,5184,3456
1994.531,1500,1000,5184,3456
1994.532,519,360,519,360
1994.534,936,360,936,360
1994.537,1504,1000,3008,2000
1995.006,1000,1335,3159,4218
1995.008,1000,1202,2896,3481
1995.009,999,1207,2887,3487
1995.010,1000,1207,2906,3509
1995.011,1000,1216,2878,3500
1995.012,1000,1221,2850,3481
1995.013,999,1198,2896,3472
1995.016a,1000,1463,3126,4574
1995.016b,1000,1477,3118,4606
1995.016c,999,1463,3151,4613
1995.016d,1000,1459,3169,4624
1995.016e,1000,1467,3150,4623
1995.016f,1000,1467,3140,4607
1995.016g,999,1462,3147,4604
1995.016h,999,1469,3111,4573
1995.016i,1000,1465,3129,4584
1995.017a,999,1475,3145,4642
1995.017b,1000,1463,3136,4591
1995.017c,1000,1467,3156,4630
1995.017d,1000,1469,3139,4613
1995.017e,1000,1469,3128,4597
1995.017f,999,1467,3131,4596
1995.017g,999,1462,3121,4566
1995.019,1000,2059,2130,4386
1995.022,750,628,750,628
1995.023,1217,999,2493,2047
1995.024,900,760,900,760
1995.042,1208,828,1208,828
1995.044,1519,1000,4559,3000
1995.053a-d,1608,1000,4297,2671
1995.062,999,1390,2231,3103
1995.063,1331,1000,4128,3101
1995.064,1318,1000,4122,3127
1995.065,1303,999,4102,3146
1995.066,1326,1000,4114,3101
1995.067,1504,1000,3008,2000
1995.069,340,504,340,504
1995.070,1000,1544,1311,2025
1995.071,999,1547,1305,2020
1995.072,1000,1541,1313,2024
1995.073,1000,1381,1584,2188
1995.075,1269,999,2456,1934
1995.076,1363,1000,3106,2278
1996.001,404,580,404,580
1996.002,811,1200,811,1200
1996.003,814,1200,814,1200
1996.004,1200,845,1200,845
1996.005,1429,1000,8627,6034
1996.169,1200,827,1200,827
1996.178,1000,1504,2000,3008
