RecordNumber,ImageLink,file_url
26358,115,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000115.jpg
26359,116,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000116.jpg
26360,117,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000117.jpg
26361,118,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000118.jpg
26362,119,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000119.jpg
26363,120,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000120.jpg
26364,121,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000121.jpg
26365,122,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000122.jpg
26366,123,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000123.jpg
26367,124,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000124.jpg
26368,125,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000125.jpg
26369,126,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000126.jpg
26370,127,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000127.jpg
26371,128,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000128.jpg
26372,129,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000129.jpg
26373,130,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000130.jpg
26374,131,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000131.jpg
26375,132,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000132.jpg
26376,133,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000133.jpg
26378,135,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000135.jpg
26379,136,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000136.jpg
26380,137,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000137.jpg
26381,138,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000138.jpg
26382,139,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000139.jpg
26383,140,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000140.jpg
26384,141,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000141.jpg
26385,142,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000142.jpg
26391,106,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000106.jpg
26953,200,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000200.jpg
27089,201,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000201.jpg
27090,202,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000202.jpg
27091,203,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000203.jpg
27092,204,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000204.jpg
