qid,instance_of_uuid
Q122960173,47329BFC-2898-48E3-8C9C-EF1F8C433A53
Q122960175,2E8B095D-C9FC-4A19-B1D2-5AC2E213636D
Q122960177,A257EC67-7C54-4637-8CF6-03B92DEE2154
Q122960179,04F7AB97-A9B4-4A2D-B3BD-E0C920CAE250
Q122960180,2F95B207-5162-4A81-838B-0F70898AF080
Q122960181,BC98BCE9-9E6D-4BFF-A0FC-AB14B752056A
Q122960183,DEB08696-3FF0-46C2-9A74-A03C1C60ABC7
Q122960353,DA8120B6-92D4-4128-9233-18FA0E36127E
Q113814896,8339F394-2F2A-4E00-9CFB-25596699C16A
Q113956653,D2928273-5277-4FF4-AF18-55D3F7918CDC
Q122959771,419E7070-D472-4E52-A628-2D96B170B578
Q122959773,7A7AD9D4-E613-4E2C-81B3-4BA567B15412
Q122959774,396B3C9B-5307-4B5C-B518-EF09E3D8C5CD
Q122960184,A06AC038-A806-4764-A00E-CB5B1DB84D84
