qid,local_filename,local_identifier,rank,label,notes,kilobytes,height,width,photo_inception,subdir,dimension
Q122959398,00000119.jpg,26362,primary,,,267,900,603,2023-08-09,,3D
Q122959399,00000120.jpg,26363,primary,,,245,900,578,2023-08-09,,3D
Q122959400,00000121.jpg,26364,primary,,,240,900,579,2023-08-09,,3D
Q122959401,00000122.jpg,26365,primary,,,199,900,538,2023-08-09,,3D
Q122959402,00000123.jpg,26366,primary,,,226,900,541,2023-08-09,,3D
Q122959403,00000124.jpg,26367,primary,,,198,598,900,2023-08-09,,3D
Q122959404,00000125.jpg,26368,primary,,,140,900,603,2023-08-09,,3D
Q122959405,00000126.jpg,26369,primary,,,221,900,541,2023-08-09,,3D
Q122959406,00000127.jpg,26370,primary,,,230,588,900,2023-08-09,,3D
Q122959408,00000128.jpg,26371,primary,,,187,900,576,2023-08-09,,3D
Q122959409,00000129.jpg,26372,primary,,,173,598,900,2023-08-09,,3D
Q122959410,00000130.jpg,26373,primary,,,157,900,540,2023-08-09,,3D
Q122959411,00000131.jpg,26374,primary,,,240,900,603,2023-08-09,,3D
Q122959412,00000132.jpg,26375,primary,,,189,900,588,2023-08-09,,3D
Q122959414,00000135.jpg,26378,primary,,,236,900,564,2023-08-09,,3D
Q122959415,00000136.jpg,26379,primary,,,235,601,900,2023-08-09,,3D
Q122959416,00000137.jpg,26380,primary,,,221,540,900,2023-08-09,,3D
Q122959417,00000138.jpg,26381,primary,,,262,541,900,2023-08-09,,3D
Q122959418,00000140.jpg,26383,primary,,,257,579,900,2023-08-09,,3D
Q122959419,00000141.jpg,26384,primary,,,266,900,576,2023-08-09,,3D
Q122959420,00000142.jpg,26385,primary,,,261,900,579,2023-08-09,,3D
Q122959537,00000153.jpg,27213,primary,,,302,900,564,2023-08-09,,3D
Q122959535,00000154.jpg,27212,primary,,,222,900,583,2023-08-09,,3D
Q122959534,00000155.jpg,27211,primary,,,254,900,579,2023-08-09,,3D
Q122959538,00000157.jpg,27215,primary,,,164,540,900,2023-08-09,,3D
Q122959539,00000158.jpg,27217,primary,,,273,900,594,2023-08-09,,3D
Q122959541,00000159.jpg,27218,primary,,,205,900,575,2023-08-09,,3D
