qid,label_en,description_en,act_uuid,act,act_ref1_hash,act_ref1_retrieved_nodeId,act_ref1_retrieved_val,act_ref1_retrieved_prec,inventory_number_uuid,inventory_number,inventory_number_collection,inventory_number_ref1_hash,inventory_number_ref1_referenceUrl,inventory_number_ref1_retrieved_nodeId,inventory_number_ref1_retrieved_val,inventory_number_ref1_retrieved_prec,title_uuid,title,title_ref1_hash,title_ref1_referenceUrl,title_ref1_retrieved_nodeId,title_ref1_retrieved_val,title_ref1_retrieved_prec,creator_uuid,creator,creator_object_has_role,creator_ref1_hash,creator_ref1_referenceUrl,creator_ref1_retrieved_nodeId,creator_ref1_retrieved_val,creator_ref1_retrieved_prec,instance_of_uuid,instance_of,instance_of_ref1_hash,instance_of_ref1_referenceUrl,instance_of_ref1_retrieved_nodeId,instance_of_ref1_retrieved_val,instance_of_ref1_retrieved_prec,inception_uuid,inception,inception_nodeId,inception_val,inception_prec,inception_earliest_date_nodeId,inception_earliest_date_val,inception_earliest_date_prec,inception_latest_date_nodeId,inception_latest_date_val,inception_latest_date_prec,inception_sourcing_circumstances,inception_ref1_hash,inception_ref1_referenceUrl,inception_ref1_retrieved_nodeId,inception_ref1_retrieved_val,inception_ref1_retrieved_prec,country_of_origin_uuid,country_of_origin,country_of_origin_ref1_hash,country_of_origin_ref1_referenceUrl,country_of_origin_ref1_retrieved_nodeId,country_of_origin_ref1_retrieved_val,country_of_origin_ref1_retrieved_prec,copyright_status_uuid,copyright_status,copyright_status_applies_to_jurisdiction,copyright_status_determination_method,copyright_status_ref1_hash,copyright_status_ref1_referenceUrl,copyright_status_ref1_retrieved_nodeId,copyright_status_ref1_retrieved_val,copyright_status_ref1_retrieved_prec,image_uuid,image,image_ref1_hash,image_ref1_referenceUrl,image_ref1_retrieved_nodeId,image_ref1_retrieved_val,image_ref1_retrieved_prec,collection_uuid,collection,collection_ref1_hash,collection_ref1_referenceUrl,collection_ref1_retrieved_nodeId,collection_ref1_retrieved_val,collection_ref1_retrieved_prec,iiif_manifest_uuid,iiif_manifest,iiif_manifest_ref1_hash,iiif_manifest_ref1_referenceUrl,iiif_manifest_ref1_retrieved_nodeId,iiif_manifest_ref1_retrieved_val,iiif_manifest_ref1_retrieved_prec,part_of,part_of_ref1_hash,part_of_ref1_referenceUrl,part_of_ref1_retrieved_nodeId,part_of_ref1_retrieved_val,part_of_ref1_retrieved_prec
,Christ's Entry into Jerusalem and Raising of Lazarus,artwork ACT ID: 46339,,46339,,,2023-10-06,,,,,,,,,,,Christ's Entry into Jerusalem and Raising of Lazarus,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46339,,2023-10-06,,,_:,Q4233718,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46339,,2023-10-06,,,Q838948,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46339,,2023-10-06,,,,,0300-01-01T00:00:00Z,7,,0250-01-01T00:00:00Z,7,,0350-01-01T00:00:00Z,7,,,,,,,,Q237,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46339,,2023-10-06,,,Q19652,Q60332278,Q29940705,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46339,,2023-10-06,,,,,,,,,,,,,,,,,,,,,,,Q182955,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46339,,2023-10-06,
,Christ in Judgment,artwork ACT ID: 46340,,46340,,,2023-10-06,,,,,,,,,,,Christ in Judgment,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46340,,2023-10-06,,,_:,Q4233718,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46340,,2023-10-06,,,Q838948,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46340,,2023-10-06,,,,,0300-01-01T00:00:00Z,7,,0250-01-01T00:00:00Z,7,,0350-01-01T00:00:00Z,7,,,,,,,,Q237,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46340,,2023-10-06,,,Q19652,Q60332278,Q29940705,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46340,,2023-10-06,,,,,,,,,,,,,,,,,,,,,,,Q182955,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46340,,2023-10-06,
,Daniel in the Lions' Den,artwork ACT ID: 46341,,46341,,,2023-10-06,,,,,,,,,,,Daniel in the Lions' Den,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46341,,2023-10-06,,,_:,Q4233718,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46341,,2023-10-06,,,Q838948,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46341,,2023-10-06,,,,,0300-01-01T00:00:00Z,7,,0250-01-01T00:00:00Z,7,,0350-01-01T00:00:00Z,7,,,,,,,,Q237,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46341,,2023-10-06,,,Q19652,Q60332278,Q29940705,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46341,,2023-10-06,,,,,,,,,,,,,,,,,,,,,,,Q182955,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46341,,2023-10-06,
,Noah Receiving the Dove and the Three Youths in the Fiery Furnace,artwork ACT ID: 46342,,46342,,,2023-10-06,,,,,,,,,,,Noah Receiving the Dove and the Three Youths in the Fiery Furnace,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46342,,2023-10-06,,,_:,Q4233718,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46342,,2023-10-06,,,Q838948,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46342,,2023-10-06,,,,,0300-01-01T00:00:00Z,7,,0250-01-01T00:00:00Z,7,,0350-01-01T00:00:00Z,7,,,,,,,,Q237,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46342,,2023-10-06,,,Q19652,Q60332278,Q29940705,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46342,,2023-10-06,,,,,,,,,,,,,,,,,,,,,,,Q182955,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46342,,2023-10-06,
,Christ Performing Miracles,artwork ACT ID: 46343,,46343,,,2023-10-06,,,,,,,,,,,Christ Performing Miracles,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46343,,2023-10-06,,,_:,Q4233718,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46343,,2023-10-06,,,Q838948,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46343,,2023-10-06,,,,,0300-01-01T00:00:00Z,7,,0250-01-01T00:00:00Z,7,,0350-01-01T00:00:00Z,7,,,,,,,,Q237,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46343,,2023-10-06,,,Q19652,Q60332278,Q29940705,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46343,,2023-10-06,,,,,,,,,,,,,,,,,,,,,,,Q182955,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46343,,2023-10-06,
,Orant Figure and Agape Meal,artwork ACT ID: 46344,,46344,,,2023-10-06,,,,,,,,,,,Orant Figure and Agape Meal,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46344,,2023-10-06,,,_:,Q4233718,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46344,,2023-10-06,,,Q838948,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46344,,2023-10-06,,,,,0300-01-01T00:00:00Z,7,,0250-01-01T00:00:00Z,7,,0350-01-01T00:00:00Z,7,,,,,,,,Q237,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46344,,2023-10-06,,,Q19652,Q60332278,Q29940705,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46344,,2023-10-06,,,,,,,,,,,,,,,,,,,,,,,Q182955,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46344,,2023-10-06,
,"Christ Performing Miracles, and Adam and Eve",artwork ACT ID: 46345,,46345,,,2023-10-06,,,,,,,,,,,"Christ Performing Miracles, and Adam and Eve",,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46345,,2023-10-06,,,_:,Q4233718,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46345,,2023-10-06,,,Q838948,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46345,,2023-10-06,,,,,0350-01-01T00:00:00Z,7,,,,,,,,,,,,,,Q237,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46345,,2023-10-06,,,Q19652,Q60332278,Q29940705,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46345,,2023-10-06,,,,,,,,,,,,,,,,,,,,,,,Q182955,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46345,,2023-10-06,
,"Pontius Pilate, Sarcophagus of Junius Bassus",artwork ACT ID: 46346,,46346,,,2023-10-06,,,,,,,,,,,"Pontius Pilate, Sarcophagus of Junius Bassus",,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46346,,2023-10-06,,,_:,Q4233718,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46346,,2023-10-06,,,Q838948,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46346,,2023-10-06,,,,,0359-01-01T00:00:00Z,9,,,,,,,,,,,,,,Q237,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46346,,2023-10-06,,,Q19652,Q60332278,Q29940705,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46346,,2023-10-06,,,,,,,,,,,,,,,,,,,,,,,Q182955,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46346,,2023-10-06,
,"Traditio Legis, Sarcophagus of Junius Bassus",artwork ACT ID: 46347,,46347,,,2023-10-06,,,,,,,,,,,"Traditio Legis, Sarcophagus of Junius Bassus",,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46347,,2023-10-06,,,_:,Q4233718,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46347,,2023-10-06,,,Q838948,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46347,,2023-10-06,,,,,0359-01-01T00:00:00Z,9,,,,,,,,,,,,,,Q237,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46347,,2023-10-06,,,Q19652,Q60332278,Q29940705,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46347,,2023-10-06,,,,,,,,,,,,,,,,,,,,,,,Q182955,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46347,,2023-10-06,
,"Christ's entrance to Jerusalem, Sarcophagus of Junius Bassus",artwork ACT ID: 46348,,46348,,,2023-10-06,,,,,,,,,,,"Christ's entrance to Jerusalem, Sarcophagus of Junius Bassus",,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46348,,2023-10-06,,,_:,Q4233718,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46348,,2023-10-06,,,Q838948,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46348,,2023-10-06,,,,,0359-01-01T00:00:00Z,9,,,,,,,,,,,,,,Q237,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46348,,2023-10-06,,,Q19652,Q60332278,Q29940705,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46348,,2023-10-06,,,,,,,,,,,,,,,,,,,,,,,Q182955,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46348,,2023-10-06,
