qid,label,orcid
Q6537132,Lewis V. Baldwin,
Q66689135,Anna Bigelow,
Q66946645,Jill Y. Crainshaw,
Q6755973,Marc Zvi Brettler,
Q67638472,Susan Rodgers,
Q6766521,Mark Allan Powell,
Q6769717,Mark Silk,
Q6794986,Max Lynn Stackhouse,
Q6830314,Michael Fishbane,
Q6844375,Miguel A. De La Torre,
Q7087478,Oliver D. Crisp,
Q712469,Cornel West,
Q7151921,Paul Lakeland,
Q718257,Walter Brueggemann,
Q7276226,Abraham Skorka,
Q7345108,Robert H. Smith,
Q7346735,Robert Laurens Kelly,
Q75272390,Kate Fleet,
Q7614697,Steven Fine,
Q76351372,Ernst Conradie,
Q76573646,Kelly Brown Douglas,
Q7693916,Wm. Theodore de Bary,
Q77064793,Hermann Landolt,
Q7789868,Thomas G. Long,
Q7970101,Warren Carter,
Q7983867,Wesley Carr,
Q81074537,Beverly Wildung Harrison,
Q816641,Ben Witherington III,
Q822635,Peter van der Veer,
Q83196562,Tiffiny A. Tung,0000-0001-9869-3842
Q83422276,Samira Sheikh,
Q83439346,Daniel B.  Cornfield,
Q83492821,Larry W. Isaac,0000-0003-2961-7509
Q83492880,Oluchi Nwosu-Randolph,0000-0002-8018-5505
Q83665976,Teresa Rosales Tham,
Q84076727,Zandria Robinson,
Q84486,Peter L. Berger,
Q84946420,Dawn Michelle Baunach,0000-0003-4848-3219
Q85471342,Ronald L. Grimes,
Q85744888,John Haralson Hayes,
Q86741654,JuLeigh Petty,0000-0002-9370-4888
Q86836030,John Marshall,
Q87091,Elisabeth Schüssler Fiorenza,
Q87181391,Tat-Siong Benny Liew,
Q87400652,Marinella Perroni,
Q87716500,Melanie L. Harris,
Q89052941,Martha Ackelsberg,
Q89128687,Sally Miller,0000-0002-3426-8027
Q89189156,Edith L. Blumhofer,
Q90694961,Mayra Rivera,
Q90724532,Wai-Ching Angela Wong,
Q91188434,Mercedes Navarro Puerto,
Q92207043,Dawn Ottoni Wilhelm,
Q92207288,Ronald J. Allen,
Q92222709,Paul E. Capetz,
Q92224049,Avis Clendenen,
Q92224966,Laura Gillman,
Q92602470,Michael Allen,
Q92935270,Donald K. Grayson,0000-0002-9547-6268
Q93220715,E. Elochukwu Uzukwu,
Q93221550,Whitney Bauman,
Q93221948,Ivan Khovacs,
Q93224094,Burton Z. Cooper,
Q93226321,William Scott Green,
Q93226785,Scott Cowdell,0000-0002-4500-9100
Q93228980,Rolf A. Jacobson,
Q93231121,Charles H. Lippy,
Q93231208,Lawrence M. Wills,
Q93231599,Samuel Eugene Balentine,
Q93231816,J. Shannon Clarkson,
Q93231990,Robert C. Tannehill,
Q93232230,Jerry L. Sumney,
Q93232554,Carolyn Osiek,
Q93232940,Sharon H. Ringe,
Q93233692,David Brakke,
Q93233908,Astrid B. Beck,
Q93234595,Jeffrey S. Siker,
Q93236451,J. Andrew Overman,
Q93237708,Brent A. Strawn,
Q93240030,Saul M. Olyan,
Q93241981,Brad E. Kelle,
Q93241995,Robert J. Schreiter,
Q93244333,Francisco Lozada,
Q93268561,Ernest S. Frerichs,
Q93522193,Jonathan S. Coley,
Q93539163,Sheila Greeve Davaney,
Q93649267,Erik C. Owens,
Q93649681,John D. Carlson,
Q93650073,Eric P. Elshtain,
Q94117061,Anne Streaty Wimberly,
Q94156752,James B. Haile III,
Q94159809,James Samuel Logan,
Q94507823,John Rowan Claypool,
Q94537068,Harold J. Recinos,
Q94688634,S. Suzanne Mayer,
Q94701177,Kathryn Lum,
Q94704372,Edward Farley,
Q94854010,Garth Kasimu Baker-Fletcher,
Q95149033,Charley D. Hardwick,
Q95303541,Scott R. Swain,
Q95594321,James A. Montmarquet,
Q95594635,William H. Hardy,
Q95689302,Benjamin Valentin,
Q95741289,Jeanette R. Davidson,
Q96186898,David P. Barshinger,
Q96186989,Douglas A. Sweeney,
Q96197876,Nancy J. Ramsay,
Q96200710,Keith Harper,
Q96236317,Christine A Hastorf,0000-0002-4661-5524
Q96243709,Peter W. Williams,
Q96586626,Annalise E. Glauz-Todrank,
Q96776295,Albert E. Dien,
Q973144,John Lagerwey,
Q97398066,Elizabeth Alexander,
Q97398071,Susan Andrews,0000-0001-7581-0006
Q97398634,Lucinda Stewart,
Q98094184,Alan K.L. Chan,
Q98094354,Yuet Keung Lo,
Q98095237,Christopher Lupke,
Q98095837,Paul F. Camenisch,
Q98097585,James Miller,
Q98097728,Xiaogan Liu,
Q98959522,Mark A. Lamport,
Q99248903,Christian Scharen,
Q993385,Bruno Jacobs,
Q99367446,Cynthia Louise Chennault,
Q99369915,Alan J. Berkowitz,
Q99371720,Marc Kalinowski,
Q99372306,Pengzhi Lü,
Q99398137,Eric Ziolkowski,
Q99533110,Francisca Cho Bantly,
Q112385469,Carolyn Pressler,
Q113844354,David I Seiple,
Q16198900,Bruce Ellis Benson,
Q113778956,Peter Heltzel,
Q113788271,Patricia Kieran,
Q113814076,Michael Kozuh,
Q7178728,Petre Guran,
Q101986,Ulrich Duchrow,
Q113730491,David M. Csinos,
Q86563,Gerd Lüdemann,
Q113793008,Peniel Rajkumar,
Q113730851,Cynthia A. Jarvis,
Q22095580,E. Elizabeth Johnson,
Q16105552,David L. Bartlett,
Q4858778,Barbara Brown Taylor,
Q112467672,Darlene M. Juschka,
Q7129268,Pamela Sue Anderson,
Q66712687,Mark Chaves,
Q93240935,David L. Balch,
Q98716811,Jason T. Lamoreaux,
Q21995923,Dominique Charpin,
Q3167649,Jean-Marie Durand,
Q112394074,Jon L. Berquist,
Q65048399,Alice W. Hunt,
Q3697457,Cristiano Grottanelli,
Q108779531,Lucio Milano,
Q93240244,Kent Harold Richards,
Q113730940,Frank Ritchel Ames,
Q97158976,James W. Barker,
Q112536243,Joel N. Lohr,
Q21064414,Joseph L. Price,
Q17100741,Corinna Körting,
Q2140707,Reinhard Gregor Kratz,
Q93221079,Carmen Krieg,
Q93221102,Thomas Kucharz,
Q93229158,Kathy Ehrensperger,
Q105063758,Shayna Sheinfeld,
Q93231806,George W. E. Nickelsburg,
Q93242005,Alan Jeffery Avery-Peck,
Q66600524,David Roozen,
Q17326459,Susanne Scholz,
Q93230818,André Lacocque,
Q3372555,Paula Fredriksen,
Q112565428,Mogens Müller,
Q960758,Thomas L. Thompson,
Q5524681,Gary Beckman,
Q109590600,Richard Henry Beal,
Q3104370,Gershon Galil,
Q94141207,Mark Geller,
Q4707324,Alan Millard,
Q113824109,David Schnasa Jacobsen,
Q73151486,Matthew J. Price,
Q4977264,Bruce Chilton,
Q107279749,W. Boyd Barrick,
Q93238510,John Kaltner,
Q6688227,Louis Stulman,
Q113796955,Jason A. Whitlark,
Q113762069,Roger A. Badham,
Q4208528,Francis Xavier Clooney,
Q21062394,Joan E. Taylor,
Q4681899,Adele Reinhartz,
Q729145,Daniel Boyarin,
Q112508337,Shai Ginsburg,
Q2090376,Adelbert Denaux,
Q113790962,Miriam Peskowitz,
Q94283343,Laura Levitt,
Q113811261,Craig R. Dykstra,
Q5238311,David P. Gushee,
Q113622193,Diana L. Hayes,
Q1792252,Kuno Füssel,
Q113715443,Michael Ramminger,
Q47930419,Ernst Axel Knauf,
Q2476021,Ulrich Hübner ,
Q93233259,Ståle Johannes Kristiansen,
Q93220231,Svein Rise,
Q113797817,Barry L. Eichler,
Q50227258,Maria Grazia Masetti-Rouault,
Q93221132,Eberhard Amon,
Q816972,Benedikt Kranemann,
Q16061208,Christoph Raedel,
Q113812662,Helmut Nausner,
Q112388685,Manfred Marquardt,
Q113717354,Friedemann Burkhardt,
Q91774606,André Lossky,
Q93246706,Goran Sekulovski,
Q721821,Pierre Briant,
Q65512537,Denise Ackermann,
Q14276722,Riet Bons-Storm,
Q113781041,Tzvi Abusch,
Q60820697,John Huehnergard,
Q1373082,Piotr Steinkeller,
Q113846235,Johann M. Vento,
Q113828152,Bryan Cones,
Q116250725,Ann Loades,
Q112461203,James R. Cochrane,
Q5360456,Elias Bongmba,
Q106923116,Isabel Apawo Phiri,
Q15429831,David J. A. Clines,
Q113775858,Ulrike Brunotte,
Q55995754,Dominique Bourel,
Q820139,Jacques Le Rider,
Q95184856,Delphine Bechtel,
Q63976856,Joel M. LeMon,
Q1717442,Jürgen Manemann,
Q1082302,Christian Wiese,
Q7421755,Sara Ruddick,
Q93431259,Arthur Bernard Knapp,
Q6213191,Joel B. Green,
Q15040884,David Batstone,
Q113718155,Niclas Blåder,
Q113806749,Gordon S. Mikoski,
Q5666792,Harry A. Hoffner,
Q113775858,Ulrike Brunotte,
Q95197254,Anna-Dorothea Ludewig,
Q93238365,Jione Havea,
Q6829433,Michael D. Coogan,
Q108117477,Ettore Cingano,
Q98951035,Annie Hardison-Moody,
Q5353218,Elaine Graham,
Q113005904,Howard Eilberg-Schwartz,
Q13522454,Richard Bonney,
Q5240502,David Trim,
Q93238788,Steven J. Friesen,
Q113762196,Michalis Lychounas,
Q93234253,Daniel N. Schowalter,
Q95335854,Alan L. Berger,
Q1670317,Michael Nausner,
Q93241648,Laura Salah Nasrallah,
Q93221151,Dwight Vogel,
Q93221659,Patricia Beattie Jung,
Q113762113,Daniel Itzkovitz,
Q30570230,Ann Pellegrini,
Q6312220,June Boyce-Tillman,
Q112524655,Uta Andrée,
Q112524656,Benjamin Simon,
Q112524657,Lars Röser-Israel,
