act_id,qid,commons_iri,commons_filename,commons_page_url
56647,Q19858315,http://commons.wikimedia.org/wiki/Special:FilePath/Brooklyn%20Museum%20-%20The%20Rich%20Young%20Man%20Went%20Away%20Sorrowful%20%28Le%20jeune%20homme%20riche%20s%27en%20alla%20triste%29%20-%20James%20Tissot%20-%20overall.jpg,Brooklyn Museum - The Rich Young Man Went Away Sorrowful (Le jeune homme riche s'en alla triste) - James Tissot - overall.jpg,https://commons.wikimedia.org/wiki/File:Brooklyn_Museum_-_The_Rich_Young_Man_Went_Away_Sorrowful_(Le_jeune_homme_riche_s%27en_alla_triste)_-_James_Tissot_-_overall.jpg
58044,Q20431246,http://commons.wikimedia.org/wiki/Special:FilePath/Keith%20Haring%20Berlin-Tiergarten.jpg,Keith Haring Berlin-Tiergarten.jpg,https://commons.wikimedia.org/wiki/File:Keith_Haring_Berlin-Tiergarten.jpg
55495,Q111821783,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Cr%C3%A8che.jpg,The Crèche.jpg,https://commons.wikimedia.org/wiki/File:The_Cr%C3%A8che.jpg
56710,Q111822123,http://commons.wikimedia.org/wiki/Special:FilePath/St-Chrisopher-Christ-Child-Ghent-1420-Book-Hours-Master-of-Guillebert-de-Mets.png,St-Chrisopher-Christ-Child-Ghent-1420-Book-Hours-Master-of-Guillebert-de-Mets.png,https://commons.wikimedia.org/wiki/File:St-Chrisopher-Christ-Child-Ghent-1420-Book-Hours-Master-of-Guillebert-de-Mets.png
57697,Q111821810,http://commons.wikimedia.org/wiki/Special:FilePath/Job%27s%20Despair%20Butts%20set.jpg,Job's Despair Butts set.jpg,https://commons.wikimedia.org/wiki/File:Job%27s_Despair_Butts_set.jpg
56193,Q111842192,http://commons.wikimedia.org/wiki/Special:FilePath/Doberan%20M%C3%BCnster%20-%20Kreuzaltar%20Christusseite%202%20Elias%20Karmel.jpg,Doberan Münster - Kreuzaltar Christusseite 2 Elias Karmel.jpg,https://commons.wikimedia.org/wiki/File:Doberan_M%C3%BCnster_-_Kreuzaltar_Christusseite_2_Elias_Karmel.jpg
57795,Q111842309,http://commons.wikimedia.org/wiki/Special:FilePath/Manchester%20Cathedral%20053.JPG,Manchester Cathedral 053.JPG,https://commons.wikimedia.org/wiki/File:Manchester_Cathedral_053.JPG
55624,Q3772184,http://commons.wikimedia.org/wiki/Special:FilePath/Les%20Mendiants%20-%20Pieter%20Brueghel%20l%27Ancien%20-%20Mus%C3%A9e%20du%20Louvre%20Peintures%20RF%20730.jpg,Les Mendiants - Pieter Brueghel l'Ancien - Musée du Louvre Peintures RF 730.jpg,https://commons.wikimedia.org/wiki/File:Les_Mendiants_-_Pieter_Brueghel_l%27Ancien_-_Mus%C3%A9e_du_Louvre_Peintures_RF_730.jpg
54303,Q19858239,http://commons.wikimedia.org/wiki/Special:FilePath/Brooklyn%20Museum%20-%20Jesus%20Transported%20by%20a%20Spirit%20onto%20a%20High%20Mountain%20%28J%C3%A9sus%20transport%C3%A9%20par%20l%27esprit%20sur%20une%20haute%20montagne%29%20-%20James%20Tissot%20-%20overall.jpg,Brooklyn Museum - Jesus Transported by a Spirit onto a High Mountain (Jésus transporté par l'esprit sur une haute montagne) - James Tissot - overall.jpg,https://commons.wikimedia.org/wiki/File:Brooklyn_Museum_-_Jesus_Transported_by_a_Spirit_onto_a_High_Mountain_(J%C3%A9sus_transport%C3%A9_par_l%27esprit_sur_une_haute_montagne)_-_James_Tissot_-_overall.jpg
50332,Q20778055,http://commons.wikimedia.org/wiki/Special:FilePath/William%20Worcester%20Churchill%20-%20Leisure%20-%2012.325%20-%20Museum%20of%20Fine%20Arts.jpg,William Worcester Churchill - Leisure - 12.325 - Museum of Fine Arts.jpg,https://commons.wikimedia.org/wiki/File:William_Worcester_Churchill_-_Leisure_-_12.325_-_Museum_of_Fine_Arts.jpg
55454,Q3697662,http://commons.wikimedia.org/wiki/Special:FilePath/Lorenzo%20Lotto%20-%20Christ%20Carrying%20the%20Cross%20%28detail%29%20-%20WGA13694.jpg,Lorenzo Lotto - Christ Carrying the Cross (detail) - WGA13694.jpg,https://commons.wikimedia.org/wiki/File:Lorenzo_Lotto_-_Christ_Carrying_the_Cross_(detail)_-_WGA13694.jpg
58711,Q64856154,http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20S%C3%A9rusier%201904c%20La%20Sainte-Face.jpg,Paul Sérusier 1904c La Sainte-Face.jpg,https://commons.wikimedia.org/wiki/File:Paul_S%C3%A9rusier_1904c_La_Sainte-Face.jpg
