filename,fieldname,value
06 The Seven Pillars of Wisdom - The Seven Pillars of Wisdom - panoramio.jpg,Tags,"[""Quairah District"", "","", ""Bedouin"", "","", ""Camp"", "","", ""climbing"", "","", ""gps"", "","", ""Guide"", "","", ""hiking"", "","", ""Hiking in Jordan"", "","", ""Jordan"", "","", ""Lawrence of Arabia"", "","", ""Nature"", "","", ""outdoor"", "","", ""Reserve"", "","", ""rock"", "","", ""Seven Pillars"", "","", ""Seven Pillars of Wisdom"", "","", ""site"", "","", ""T.E. Lawrence"", "","", ""visitors center"", "","", ""wadi"", "","", ""Wadi Rum"", "","", ""Wadi Rum Jordan"", "","", ""Wadi Rum Visitors Center"", "","", ""Walking in Jordan"", "","", ""Wisdom""]"
1890 van Gogh First Steps - after Millet anagoria.JPG,Series title,"[""Copies by Vincent van Gogh""]"
Abel Grimmer 002.jpg,Series title,"[""The Four seasons""]"
Albrecht Altdorfer 037.jpg,Authority control,"["":"", ""Q25986"", ""GND"", "":"", ""4601086-5""]"
Albrecht Altdorfer 038.jpg,Authority control,"["":"", ""Q25986"", ""GND"", "":"", ""4601086-5""]"
Albrecht Dürer 026.jpg,Authority control,"["":"", ""Q829270"", ""GND"", "":"", ""4219130-0""]"
Albrecht Dürer 027.jpg,Authority control,"["":"", ""Q829270"", ""GND"", "":"", ""4219130-0""]"
Albrecht Dürer 068.jpg,Authority control,"["":"", ""Q571122"", ""GND"", "":"", ""4606290-7""]"
All Saints Church - consecration cross - geograph.org.uk - 1394962.jpg,Attribution,"[""Evelyn Simak\u00a0/"", ""All Saints Church - consecration cross""]"
Alms House - NARA - 281331.jpg,Record creator,"[""Tennessee Valley Authority. Information Office.""]"
Alms House - NARA - 281331.jpg,Record ID,"[""This media is available in the holdings of the"", ""National Archives and Records Administration"", "", cataloged under the National Archives Identifier (NAID)"", ""281331"", ""."", ""This tag does not indicate the copyright status of the attached work."", ""A normal"", ""copyright tag"", ""is still required."", ""See"", ""Commons:Licensing"", ""."", ""\u0627\u0644\u0639\u0631\u0628\u064a\u064e\u0651\u0629"", ""|"", ""Deutsch"", ""|"", ""English"", ""|"", ""espa\u00f1ol"", ""|"", ""fran\u00e7ais"", ""|"", ""italiano"", ""|"", ""\u65e5\u672c\u8a9e"", ""|"", ""\u043c\u0430\u043a\u0435\u0434\u043e\u043d\u0441\u043a\u0438"", ""|"", ""\u0d2e\u0d32\u0d2f\u0d3e\u0d33\u0d02"", ""|"", ""Nederlands"", ""|"", ""polski"", ""|"", ""portugu\u00eas"", ""|"", ""\u0440\u0443\u0441\u0441\u043a\u0438\u0439"", ""|"", ""sloven\u0161\u010dina"", ""|"", ""T\u00fcrk\u00e7e"", ""|"", ""\u0443\u043a\u0440\u0430\u0457\u043d\u0441\u044c\u043a\u0430"", ""|"", ""Ti\u1ebfng Vi\u1ec7t"", ""|"", ""\u4e2d\u6587\uff08\u7b80\u4f53\uff09\u200e"", ""|"", ""\u4e2d\u6587\uff08\u7e41\u9ad4\uff09\u200e"", ""|"", ""\ud55c\uad6d\uc5b4\u200e"", ""|"", ""+/\u2212"", ""Record group:  Record Group 142: Records of the Tennessee Valley Authority, 1918 - 2000 ("", ""National Archives Identifier"", "":  471 )"", ""Series:  Kodak Negative File, compiled 1933 - 1976 ("", ""National Archives Identifier:  279689"", "")"", ""NAIL Control Number: NRCA-142-INF001-11871F""]"
Alpha omega uncial.svg,SVG development,"[""The source code of this"", ""SVG"", ""is"", ""valid"", ""."", ""This  text-logo was created with"", ""Inkscape"", "".""]"
Andrea Mantegna 103.jpg,Authority control,"["":"", ""Q965822"", ""Louvre"", "":"", ""010064434"", ""Joconde"", "":"", ""000PE025682""]"
Annunciation detail - Capella Palatina Palermo from Flickr 2 (cropped).jpg,Reviewer,"[""Man vyi""]"
