qid,act_id,label,description,image_filename
Q7811679,47454,Tobias and the Angel,painting by Filippino Lippi,Tobias and the Angel - Filippino Lippi.jpg
Q20174181,47456,Madonna and Child,painting by Antonello da Messina,Antonello da Messina 033.jpg
Q5464245,47458,Folchard Psalter,manuscript by Folchardus,Folchard 001.jpg
Q17524328,47459,"Still-Life with Fruit, Nuts and Cheese",painting by Floris Claesz van Dijck,Floris Claesz. van Dyck 001.jpg
Q3796944,47461,The Naming of Saint John the Baptist,painting by Fra Angelico,Fra Angelico 002.jpg
Q3910904,47683,Presentation at the Temple,painting by Fra Angelico,Presentation of Jesus at the Temple by Fra Angelico (San Marco Cell 10).jpg
Q3223807,47755,The Last Judgment,painting by Fra Angelico in the Museo Nazionale di San Marco,Fra Angelico 009.jpg
Q3605557,47758,Adoration of the Child,fresco by Fra Angelico,Adorazione del Bambino - Beato Angelico.jpg
Q3618190,47761,Annunciation by Fra Angelico,painting by Fra Angelico,Fra Angelico 049.jpg
Q110561951,47767,Piercing of Christ's Side,painting by fra Angelico,Fra Angelico 027.jpg
Q3997714,47774,Transfiguration of Christ,painting by Fra Angelico,Fra Angelico 042.jpg
Q2851765,47835,Annunciation,"painting by Fra Angelico, San Marco Museum",Fra Angelico 006.jpg
Q3685114,47859,Lamentation over the Dead Christ,painting by Fra Angelico,Fra Angelico 076.jpg
Q2378567,47865,Annunciation,panel-painting altarpiece or retable by Fra Angelico in the Prado,"Angelico, prado.jpg"
Q1055111,47895,Madonna and Child,painting by Filippo Lippi in the Uffizi,Madonna and Child and Two Angels (Lippi).jpg
Q3842542,47898,Madonna and Child Enthroned with Two Angels,painting by Filippo Lippi,Fra Filippo Lippi 012.jpg
Q6071513,48043,The Pentecost,painting by El Greco,El Greco 006.jpg
Q103058889,48044,Christ on the Cross in a Landscape,painting by El Greco,"El Greco - Christ on the Cross, oil on copper.jpg"
Q103058889,48044,Christ on the Cross in a Landscape,painting by El Greco,El Greco 011.jpg
Q2680589,48050,The Agony in the Garden,painting by El Greco or his studio,El Greco 019.jpg
Q6121274,48054,St James,painting by El Greco,El Greco – St James.jpg
Q16621351,48056,Saint Luke the Evangelist,painting by El Greco,El Greco 035.jpg
Q101568205,48059,Mount Sinai,painting by El Greco (Modena Triptych),El Greco 043.jpg
Q17993203,48060,The Annunciation,"1568 painting by El Greco, now at Galleria Estense",El Greco 044.jpg
Q5724055,48064,Tábara Beatus,,Emetrius (Meister der Schule von Távara) 001.jpg
Q3825037,48065,Gerona Beatus,,Emetrius (Meister der Schule von Távara) 002.jpg
Q110561917,48067,Judah and Tamar,painting by Emile-Jean-Horace Vernet,Emile Jean Horace Vernet 001.jpg
Q29857714,48069,The Murder of the Bishop of Liège,painting by Eugène Delacroix,Eugène Ferdinand Victor Delacroix 013.jpg
Q3829104,48073,Women Ironing,painting by Edgar Degas,Edgar Germain Hilaire Degas 084.jpg
Q17494570,48074,Flowers in a Crystal Vase,painting by Édouard Manet,Edouard Manet 011.jpg
Q30074348,48076,Agony (The Death Struggle),painting by Egon Schiele,Egon Schiele 001.jpg
Q110561828,48725,Altar of the Mystical Lamb - Throne of God the Father,painting by Hubert van Eyck,Hubert van Eyck 023.jpg
Q2480921,48736,Madonna with Canon Joris van der Paele,painting by Jan van Eyck,Jan van Eyck 069.jpg
Q663118,48978,Bible of San Paolo fuori le Mura,manuscript,Ingobertus 001.jpg
Q20172905,48988,Enthroned Madonna and Child,painting by Byzantine 13th Century,Italo-Byzantinischer Maler des 13. Jahrhunderts 001.jpg
Q31273136,48994,Forest distant views,painting by Ivan Shishkin,Iwan Iwanowitsch Schischkin 003.jpg
Q16699900,48996,Descent of Noah from Ararat,painting by Ivan Aivazovsky,Aivazovsky - Descent of Noah from Ararat.jpg
Q55862581,48997,Christ and the Magdalene (Noli me tangere),painting by Jacob Cornelisz. van Oostsanen,Jacob Cornelisz. van Oostsanen 001.jpg
Q3605551,49130,Adoration of the Shepherds,painting by Domenico Ghirlandaio,Anbetung der Hirten.jpg
Q3009677,49132,Last Supper,fresco by Andrea del Castagno in the Rectory of Santa Apollonia,"Andrea del castagno, sant'apollonia 00.jpg"
Q3009677,49132,Last Supper,fresco by Andrea del Castagno in the Rectory of Santa Apollonia,Andrea del Castagno 001.jpg
Q3463890,49137,Saint John the Evangelist on the Island of Patmos,paining by Diego Velázquez,Diego Velázquez 018 (John the Evangelist from Patmos).jpg
Q3937289,49139,Joachim among the Shepherds,fresco by Giotto di Bondone,Giotto di Bondone 034.jpg
Q3500414,49141,The Farmers' Lunch,painting by Diego Velázquez,Diego Velázquez 005.jpg
Q26706454,49172,The Annunciation,painting by Duccio,Duccio di Buoninsegna 068.jpg
Q9191539,49259,Christ after the Flagellation,"painting by Bartolomé Esteban Murillo, now in Museum of Fine Arts, Boston",Cristo despues de la Flagelacion Murillo 1665.jpg
Q4015930,49261,The Calling of the Apostles Peter and Andrew,painting by Duccio di Buoninsegna,Duccio di Buoninsegna 036.jpg
Q11931777,49263,The Wedding at Cana,painting by Duccio di Buoninsegna,Duccio di Buoninsegna 038.jpg
Q4004623,49439,The Ten Thousand Martyrs,painting by Pontormo,Jacopo Pontormo 018.jpg
Q1109475,49490,Visitation of Carmignano,painting by Pontormo,Pontormo-visitation-after-restorationRGB.jpg
Q19904843,49579,The Finding of Moses,painting by Jacopo Tintoretto (Jacopo Robusti),Jacopo Tintoretto 002.jpg
Q490312,49580,Crucifixion,painting by Jacopo Tintoretto in the Scuola Grande di San Rocco,Jacopo Tintoretto 021.jpg
Q20268243,49583,The Decapitation of St John the Baptist,painting by Jacopo Bassano,Jacopo da Ponte 004.jpg
Q21600419,49588,The Adoration of the Kings,panel of the Arras Altarpiece,Jacques Daret 001.jpg
Q16978190,49589,The Four Evangelists,painting by Jacob Jordaens,Jakob Jordaens 002.jpg
Q29871341,49592,Bouquet,painting by Jan Breughel the Elder,Jan Brueghel (I) - Bouquet of Flowers.jpg
Q29871343,49594,Sea port with the lecture of Christ,painting by Jan Brueghel d. Ä.,Jan Bruegel d. Ä. 009.jpg
Q20177562,49595,Vase of Flowers,painting by Jan Davidsz de Heem,Jan Davidsz de Heem 002.jpg
Q3842479,49603,Madonna with the Child,painting by Giotto di Bondone,Giotto di Bondone 086.jpg
Q29172547,49605,Amnon and Tamar,painting by Jan Steen,Jan Steen 001.jpg
Q386453,49608,Woman with a Water Jug,painting by Johannes Vermeer,Jan Vermeer van Delft 019.jpg
Q1952284,49612,The Adoration of the Kings,painting by Jan Gossaert,Jan Gossaert 001.jpg
Q1516449,49613,Madonna of Chancellor Rolin,painting by Jan van Eyck,La Vierge du chancelier Rolin - Jan van Eyck - Musée du Louvre Peintures INV 1271.jpg
Q110561832,49616,"Arnolfini Wedding, detail",painting by Jan van Eyck,Jan van Eyck 004.jpg
Q19857229,49619,"Virgin and Child, with Saints and Donor",painting by Jan van Eyck,"Jan van Eyck - Virgin and Child, with Saints and Donor - 1441 - Frick Collection.jpg"
Q5477503,49631,Fractio Panis,Italian fresco,Agape feast 05.jpg
Q109422739,49636,Left side of a diptych leaf representing the Christ and two apostles,,Apostles Christ ivory Louvre OA3850.jpg
Q110561838,49939,Baptistery of Kelisa-e-Vank,architectural structure,Baptistère kelisa-e-vank esfahan.jpg
Q110561882,49944,Fresco-Catacomb of San Gennaro,fresco,Catacombe Di San Gennaro Fresco.jpg
Q110561857,49950,Christ with Beard,fresco,Christ with beard.jpg
Q110562001,49955,Three Youths in the Fiery Furnace,painting,Fiery furnace 01.jpg
Q110562353,49973,Guangzhou Church of the Sacred Heart,architectural structure,Sacré-Cœur de Shizhi.jpg
Q20771735,50177,The Ascension,painting by John Singleton Copley,Jesus ascending to heaven.jpg
Q33154335,50178,Study for the Head of the Virgin (in the Nativity),drawing by John Singleton Copley,Study for the Head of the Virgin (John Singleton Copley).jpg
Q84734235,50194,The Martyrdom of Saint Paul from 'The Life of Saint Peter',"tapestry in the Museum of Fine Arts, Boston (38.758)",The Martyrdom of Saint Paul from the series The Life of Saint Peter.jpg
Q19900658,50202,Expulsion from the Garden of Eden,painting by Thomas Cole,Cole Thomas Expulsion from the Garden of Eden 1828.jpg
Q20560505,50204,Virgin and Child with Four Angels,painting by Sano di Pietro,Sano di Pietro - Virgin and Child with Four Angels - WGA20782.jpg
Q28796609,50211,"The Archangel Raphael with Adam and Eve (Illustration to Milton's ""Paradise Lost"")",watercolor by William Blake,"William Blake - The Archangel Raphael with Adam and Eve (Illustration to Milton's ""Paradise Lost"") - Google Art Project.jpg"
Q28796678,50212,"The Temptation and Fall of Eve (Illustration to Milton's ""Paradise Lost"")",watercolor by William Blake,"William Blake - The Temptation and Fall of Eve (Illustration to Milton's ""Paradise Lost"") - Google Art Project.jpg"
Q79943055,50213,Paradise Lost:  Adam and Eve Driven out of Paradise,"print by John Martin (British, 1789-1854) (1989.80)",John Martin - Paradise Lost- Adam and Eve Driven out of Paradise - 1989.80 - Cleveland Museum of Art.tif
Q20536847,50247,Peasants Carousing in a Tavern,painting by Adriaen Brouwer,Adriaen Brouwer - Peasants Carousing in a Tavern.jpg
Q20774699,50250,Saint Catherine,painting by Mary Lizzie Macomber,Mary Lizzie Macomber - Saint Catherine - 98.622 - Museum of Fine Arts.jpg
Q20560212,50251,Virgin and Child with Saint John the Baptist,"painting by Sandro Botticelli, Museum of Fine Arts Boston","Botticelli - Virgin and Child with Saint John the Baptist, about 1500.jpg"
Q20776291,50252,Apples,painting by Thomas Worthington Whittredge,Thomas Worthington Whittredge - Apples - 48.490 - Museum of Fine Arts.jpg
Q20635142,50254,In the Woodshed,painting by James Goodwyn Clonney,James Goodwyn Clonney - In the Woodshed.jpg
Q20775687,50255,The Christmas Party,painting by Robert David Wilkie,Robert David Wilkie - The Christmas Party - 47.1214 - Museum of Fine Arts.jpg
Q20634224,50256,The Finding of Moses,painting by Alexander F. Loemans,Alexander F. Loemans - The Finding of Moses - 47.1231 - Museum of Fine Arts.jpg
Q20539257,50257,Kitchen Interior,painting by Emanuel de Witte,Emanuel de Witte - Keuken interior SC220941.jpg
Q20556632,50258,"Church of Saint Odulphus, Assendelft",painting by Pieter Jansz. Saenredam,Pieter Jansz Saenredam - Interior of Sint Odulphuskerk SC241531.jpg
Q20634641,50259,Libby Prison,painting by David Gilmour Blythe,"Libby Prison by David Gilmour Blythe, 1863.jpg"
Q6807011,50260,Meditation by the Sea,anonymous painting,Meditation by the Sea.jpg
Q20539093,50261,Parable of the Good Samaritan,painting by Domenico Fetti,Domenico Fetti - Parable of the Good Samaritan - 46.1145 - Museum of Fine Arts.jpg
Q20540285,50262,The Nativity,painting by Jacopo Tintoretto (Jacopo Robusti),Jacopo Tintoretto (Jacopo Robusti) - The Nativity - 46.1430 - Museum of Fine Arts.jpg
Q20774604,50263,April Showers,painting by Martin Johnson Heade,Martin Johnson Heade - April Showers - 47.1173 - Museum of Fine Arts.jpg
Q20776680,50264,Head of a Jew,painting by Washington Allston,Washington Allston - Head of a Jew - 41.291 - Museum of Fine Arts.jpg
Q20540397,50267,Village Street with a Rainbow,painting by Jean Charles Cazin,Jean Charles Cazin - Village Street with a Rainbow - 43.135 - Museum of Fine Arts.jpg
Q20555646,50268,Landscape with an Avenue of Trees,painting by Peter Paul Rubens,Peter Paul Rubens - Landscape with an Avenue of Trees - 43.1332 - Museum of Fine Arts.jpg
Q20548448,50269,Wheatfield (Noonday Rest),painting by Léon-Augustin Lhermitte,Léon-Augustin Lhermitte - Wheatfield (Noonday Rest) - 44.38 - Museum of Fine Arts.jpg
Q20557552,50270,Evangelist Writing,painting by Rembrandt Harmensz. van Rijn,Rembrandt - Portrait of an Evangelist Writing.jpg
Q20634532,50271,Clouds (Landscape near Cornish),painting by Charles Adams Platt,Charles Adams Platt - Clouds (Landscape near Cornish) - 37.1173 - Museum of Fine Arts.jpg
Q20540511,50272,Morning near Beauvais,painting by Jean-Baptiste-Camille Corot,Jean-Baptiste-Camille Corot - Morning at Beauvais - WGA5290.jpg
Q20538924,50273,"Rouen Cathedral, Façade",painting by Claude Monet,Rouen Cathedral Boston W1356.jpg
Q20539952,50274,Annunication; Crucifixion,painting by Giuliano di Simone,"Giuliano di Simone - Annunication, Crucifixion - 22.403 - Museum of Fine Arts.jpg"
Q5899057,50275,Hope,"painting by Edward Burne-Jones, musée des beaux-arts de Boston",Sir Edward Coley Burne-Jones - Hope - Google Art Project.jpg
Q20540973,50276,Saint Onophrius,painting by Jusepe de Ribera,Jusepe de Ribera - Saint Onophrius - 36.891 - Museum of Fine Arts.jpg
Q20771654,50277,Frieze of the Prophets,painting by John Singer Sargent,John Singer Sargent - Frieze of the Prophets - 37.45 - Museum of Fine Arts.jpg
Q20537301,50278,Virgin and Child,painting by Ambrogio Lorenzetti,Ambrogio Lorenzetti - Virgin and Child - 39.536 - Museum of Fine Arts.jpg
Q20538849,50280,"Morning on the Seine, near Giverny",painting by Claude Monet,"Monet - Morning on the Seine, near Giverny, 1896.jpg"
Q20536904,50281,Homer Dictating to Scribes,painting by Aert de Gelder,Aert de Gelder - Homer Dictating to Scribes - 39.45 - Museum of Fine Arts.jpg
Q20551904,50282,The Virgin and Child; Charity of Saint Nicholas; Crucifixion; Christ and the Samarian Woman,painting by Niccoló di Tommaso,Niccolò di Tommaso - Virgin and Child - WGA16559.jpg
Q3905873,50283,Artist in his studio,oil painting,Rembrandt The Artist in his studio.jpg
Q20539043,50285,The Descent From the Cross,painting by Cosimo Rosselli,Cosimo Rosselli - The Descent From the Cross - 22.651 - Museum of Fine Arts.jpg
Q20546286,50286,Virgin and Child with an Angel,painting by Luca Signorelli,Luca Signorelli - Virgin and Child with an Angel - 22.697 - Museum of Fine Arts.jpg
Q20777935,50299,The Sentinel,painting by William Rimmer,William Rimmer - The Sentinel - 23.183 - Museum of Fine Arts.jpg
Q20537858,50300,Journey of the Queen of Sheba,painting by Apollonio di Giovanni di Tomaso,Apollonio di Giovanni di Tomaso - Journey of the Queen of Sheba - 23.252 - Museum of Fine Arts.jpg
Q20540872,50301,At the Fountain,painting by Joseph Bail,Joseph Bail - At the Fountain - 23.465 - Museum of Fine Arts.jpg
Q20537129,50303,Young Beggars,painting by Alexandre Gabriel Decamps,Alexandre Gabriel Decamps - Young Beggars - 23.508 - Museum of Fine Arts.jpg
Q20537230,50304,Meditation,painting by Alfred Stevens,Alfred Stevens - Meditation - 23.528 - Museum of Fine Arts.jpg
Q20564598,50305,A Miser (study for Timon of Athens),painting by Thomas Couture,Thomas Couture - A Miser (study for Timon of Athens) - 23.570 - Museum of Fine Arts.jpg
Q20540504,50307,Turn in the Road,painting by Jean-Baptiste-Camille Corot,"Corot - Turn in the Road, about 1868–70.jpg"
Q20551737,50308,Flowers,painting by Narcisse Virgile Diaz de la Peña,Narcisse Virgile Diaz de la Peña - Flowers - 24.236 - Museum of Fine Arts.jpg
Q20550030,50316,Man of Sorrows,painting by Master of San Pietro in Sylvis (Pietro da Rimini ?),Pietro da Rimini - Man of Sorrows - 28.887 - Museum of Fine Arts.jpg
Q20540308,50318,Bandits Leading Prisoners,painting by Jan Both,Jan Both - Bandits Leading Prisoners - 34.239 - Museum of Fine Arts.jpg
Q20539192,50319,Monk in Prayer,painting by Edouard Manet,Édouard Manet - Un moine en prière.jpg
Q20537551,50321,Fruit and a Wineglass,painting by Antoine Vollon,Antoine Vollon - Fruit and a Wineglass - 17.3144 - Museum of Fine Arts.jpg
Q20550260,50322,Virgin and Child,painting by Master Of The Scandicci Lamentation,Master Of The Scandicci Lamentation - Virgin and Child - 17.3227 - Museum of Fine Arts.jpg
Q20540922,50323,The Day before Parting,painting by Jozef Israëls,Jozef Israëls - The Day before Parting - 18.278 - Museum of Fine Arts.jpg
Q20544979,50324,Rest on the Flight into Egypt,painting by Luc Olivier Merson,Merson Rest on the Flight into Egypt.jpg
Q20777638,50325,Abraham Lincoln,painting by William Morris Hunt,William Morris Hunt - Abraham Lincoln - 19.9 - Museum of Fine Arts.jpg
Q20540483,50326,Old Man Seated on a Trunk,painting by Jean-Baptiste-Camille Corot,"Corot - Old Man Seated on a Trunk, 1826.jpg"
Q20771698,50327,The Road,painting by John Singer Sargent,John Singer Sargent - The Road - 19.759 - Museum of Fine Arts.jpg
Q20540622,50328,Man Turning over the Soil,painting by Jean-François Millet,Jean-François Millet - Man Turning over the Soil - 17.1488 - Museum of Fine Arts.jpg
Q20540626,50329,Women Sewing by Lamplight (La Veillée),painting by Jean-François Millet,Jean-François Millet - Women Sewing by Lamplight (La Veillée) - 17.1492 - Museum of Fine Arts.jpg
Q20540629,50330,Woman Sewing beside her Sleeping Child,painting by Jean-François Millet,Jean-François Millet - Woman Sewing beside her Sleeping Child - 17.1493 - Museum of Fine Arts.jpg
Q20540566,50331,Potato Planters,painting by Jean-François Millet,Jean-François Millet - Potato Planters - Google Art Project.jpg
Q20778055,50332,Leisure,painting by William Worcester Churchill,William Worcester Churchill - Leisure - 12.325 - Museum of Fine Arts.jpg
Q20540336,50333,Judith with the Head of Holofernes,painting by Jan Massys,Jan Massijs - Judith with the Head of Holofernes SC234883.jpg
Q20556480,50334,Combat between Carnival and Lent,painting by the workshop of Pieter Bruegel the Elder,Pieter Bruegel de Oude - Bestrijden tussen Carnaval en Vasten (Boston).jpg
Q20771488,50335,Spring Hillside,painting by John Joseph Enneking,Anonymous - Spring Hillside - 13.474 - Museum of Fine Arts.jpg
Q20539565,50336,"Virgin and Child Enthroned with Saints Peter, Paul and George (?), Four Angels, and a Donor",painting by Fra Angelico,"Fra Angelico - Virgin and Child Enthroned with Saints Peter, Paul and George (^), Four Angels, and a Donor - 14.416 - Museum of Fine Arts.jpg"
Q20777602,50337,The Gleaner,painting by William Morris Hunt,William Morris Hunt - The Gleaner - 15.1 - Museum of Fine Arts.jpg
