bad_qid,bad_class,good_qid,bad_label,image
Q110561840,manuscript,Q744415,"Battle for soul at death, from the Grandes Heures de Rohan","Le Mort devant son juge, Maitre de Rohan.jpg"
Q4047,geopark,Q4047,Lushan Quaternary Glaciation National Geopark,庐山日出.JPG
Q7809947,tithe barn,Q7809947,Tithe Barn,Tithe Barn Pilton.jpg
Q110561893,manuscript,Q2346367,"Hannah, prophetess and mother of Samuel, thanking God",Anne BnF Grec 139 fol. 428v.jpg
Q4047,nature reserve,Q4047,Lushan Quaternary Glaciation National Geopark,庐山日出.JPG
Q14019,globular cluster,Q14019,Messier 79,A snowstorm of stars.jpg
Q110561956,fingerpost,Q2274548,Poste Camino de Santiago,Poste Camino de Santiago.jpg
Q22759025,Wikimedia template,Q22759025,Template:Japan-art-stub,The Great Wave off Kanagawa.jpg
Q79990099,manuscript,Q79990099,"The Adoration of the Shepherds, from a Mirror of Holiness (Mir’at al-quds) of Father Jerome Xavier (2005.145.6)","Northern India, Uttar Pradesh, Allahabad, Mughal period - The Adoration of the Shepherds, from a Mirror of Holiness (Mir'at al-quds) - 2005.145.6 - Cleveland Museum of Art.tif"
Q6779398,human,Q6779398,Mary Eliza Mahoney,Mary Eliza Mahoney.jpg
Q14019,astrophysical X-ray source,Q14019,Messier 79,A snowstorm of stars.jpg
Q29273401,prime version,Q29273401,The Burghers of Calais,Statue bourgeois calais rodin.jpg
Q7561125,prayer,Q7561125,Song of Hannah,Malnazar - Hannah before Eli the High Priest - Google Art Project.jpg
Q46715773,United Nations Security Council resolution,Q46715773,United Nations Security Council Resolution 2388,Map3.3Trafficking compressed.jpg
Q110561889,manuscript,Q6399196,Golden Triptych of Virgin Mary from the Khakhuli Monastery in Georgia,Georgia Khakhuli triptych.jpg
Q30594,human,Q30594,Konstantinos IX Monomachos,Byzantinischer Mosaizist um 1020 001.jpg
Q30594,human,Q30594,Konstantinos IX Monomachos,Emperor Constantine IX.jpg
Q9352871,polyptych,Q9352871,Last Judgement,Stefan Lochner - Last Judgement - circa 1435.jpg
Q44265,human,,Benedict of Nursia,Fra Angelico 031.jpg
Q17301597,reredos,Q17301597,Archangel Michael,Pedro García de Benabarre and workshop - Herod's Banquet - Google Art Project.jpg
Q17301597,reredos,Q17301597,Archangel Michael,Pere Garcia - Archangel Michael.jpg
Q11691365,limited series,Q11691365,Marvel Zombies vs. The Army of Darkness,Satansowing.JPG
Q43675,human biblical figure,Q43675,Philip the Apostle,Georges de La Tour 053.jpg
Q29134514,set of wall hangings,Q29134514,Parable of the Prodigal Son,Picnic tournai tapisserie.jpg
Q4047,geopark,Q4047,Lushan Quaternary Glaciation National Geopark,庐山含嶓口.jpg
Q4047,geopark,Q4047,Lushan Quaternary Glaciation National Geopark,Mount Lushan - fog.JPG
Q110561891,manuscript,Q7561125,Hannah before Eli the High Priest,Malnazar - Hannah before Eli the High Priest - Google Art Project.jpg
Q110561915,manuscript,Q37084,John VI Kantakouzenos,John VI Kantakouzenos.jpg
Q4047,nature reserve,Q4047,Lushan Quaternary Glaciation National Geopark,庐山含嶓口.jpg
Q4047,nature reserve,Q4047,Lushan Quaternary Glaciation National Geopark,Mount Lushan - fog.JPG
Q49377,religious denomination,Q49377,Oriental Orthodox Churches,Christ feeding the multitude.jpg
Q110561966,manuscript,Q20009111,Righteous Job,MARC538fol5.jpg
Q25152561,Wikimedia template,Q25152561,Template:Japan-church-stub,Church of Light.JPG
Q110561911,manuscript,Q2961394,"Jesus, the Gerasene, and the Unclean Spirits",Healing of the demon-possessed.jpg
Q58555,Catholic seminary,Q58555,Holy Spirit Seminary,Holy Spirit Seminary.JPG
Q110561707,manuscript,Q79990099,Adoration of the Shepherds,"Northern India, Uttar Pradesh, Allahabad, Mughal period - The Adoration of the Shepherds, from a Mirror of Holiness (Mir'at al-quds) - 2005.145.6 - Cleveland Museum of Art.tif"
Q110561913,manuscript,Q3867348,Job and His Friends,Kievskaya psaltir iov 02.jpg
Q52228237,icon,Q52228237,,"Christ the True Vine icon (Athens, 16th century).jpg"
Q110561923,manuscript,Q606424,Leaf from Codex Washingtonensis,Codex Washingtonensis W 032.JPG
Q110561968,manuscript,Q1106441,Rossano Gospels - Christ before Pilate,RossanoGospelsChristBeforePilate.jpg
Q29273401,sculptural group,Q29273401,The Burghers of Calais,Statue bourgeois calais rodin.jpg
Q41370,human biblical figure,Q41370,David,5201-king-david-in-prayer-pieter-de-grebber.jpg
Q110561618,clothing,Q46715773,2009 world map showing countries by prevalence of female trafficking,Map3.3Trafficking compressed.jpg
Q29134514,tapestry series,Q29134514,Parable of the Prodigal Son,Picnic tournai tapisserie.jpg
Q61852231,single entity of population,Q110561826,Baix a Mar (Torredembarra),Platja del Barri Marítim - panoramio.jpg
Q110561943,manuscript,Q1993082,"Patrobulus, Hermas, Linus, Caius, Philologus of the 70 Disciples","Patrobulus, Hermas, Linus, Caius, Philologus of 70 disciples (Menologion of Basil II).jpg"
Q17301597,cycle of paintings,Q17301597,Archangel Michael,Pedro García de Benabarre and workshop - Herod's Banquet - Google Art Project.jpg
Q17301597,cycle of paintings,Q17301597,Archangel Michael,Pere Garcia - Archangel Michael.jpg
Q110562007,carving,Q9352871,"Tree of Jesse, a Bavarian ivory panel",Tree of Jesse Louvre OA10428.jpg
Q87737739,liturgical comb,Q87737739,The Tree of Jesse,Tree of Jesse Louvre OA10428.jpg
Q671872,prophet of Islam,Q671872,Isaac,Sacrifice of Isaac-Caravaggio (c. 1603).jpg
Q3935981,Renaissance art,Q3935981,Parmesan Renaissance,Parma-cupola duomo.jpg
Q4224666,group of works,Q4224666,Books of Kings,Saabaghiberti.jpg
Q709209,human,Q4068319,Philemon,Philemon and Apphia.jpg
Q744415,notname,Q744415,Rohan Master,Meister von Heiligenkreuz 001.jpg
Q3900659,cartoon,Q936852,The Miraculous Draft of Fishes,Petri Fischzug Raffael.jpg
Q5891723,human biblical figure,Q5891723,,Fiery furnace 01.jpg
Q3663192,catacombs,Q3663192,Catacomb of Commodilla,Christ with beard.jpg
Q1316518,gospel choir,Q1316518,Sweet Honey in the Rock,Sweet Honey in the Rock.jpg
Q1398856,cathedral,Q1398856,Vank Cathedral,Baptistère kelisa-e-vank esfahan.jpg
Q3663206,catacombs,Q3663206,Catacombs of San Gennaro,Catacombe Di San Gennaro Fresco.jpg
Q663118,manuscript,Q663118,Bible of San Paolo fuori le Mura,Ingobertus 001.jpg
Q2558835,title of Jesus,Q2558835,Christ the King,Hubert van Eyck 023.jpg
Q1890012,human,Q1890012,Manfred Stumpf,Stumpf Mosaik 1.jpg
Q602530,painting series,Q602530,Baptism of Christ,"Doopsel van Christus, circa 1502 - circa 1508, Groeningemuseum, 0040009000.jpg"
Q3663192,archaeological site,Q3663192,Catacomb of Commodilla,Christ with beard.jpg
Q2961394,miracles of Jesus,Q2961394,Exorcism of the Gerasene demoniac,Healing of the demon-possessed.jpg
Q3663206,archaeological site,Q3663206,Catacombs of San Gennaro,Catacombe Di San Gennaro Fresco.jpg
Q744415,human,Q744415,Rohan Master,"Le Mort devant son juge, Maitre de Rohan.jpg"
Q282220,human biblical figure,Q282220,Judah,"Yehuda, son of Jacob.jpg"
Q671872,human biblical figure,Q671872,Isaac,Sacrifice of Isaac-Caravaggio (c. 1603).jpg
Q4224666,Wikimedia disambiguation page,Q4224666,Books of Kings,Saabaghiberti.jpg
Q554947,cultural property,Q554947,Tatev monastery,"Monasterio de Tatev, Armenia, 2016-10-01, DD 86-88 HDR.jpg"
Q2274548,historic grouping,Q2274548,French Way in Aragon,Poste Camino de Santiago.jpg
Q241156,biblical concept,Q241156,manna,Tissot The Gathering of the Manna (color).jpg
Q1993082,human,Q1993082,Philologus of Sinope,"Patrobulus, Hermas, Linus, Caius, Philologus of 70 disciples (Menologion of Basil II).jpg"
Q6533524,human,Q6533524,Lette Valeska,The Promised Land.jpg
Q184030,religious text,Q184030,Book of Hosea,Duccio di Buoninsegna 063.jpg
Q6254238,African-American museum,Q6254238,John Rankin House,Rankin house looking up path 2005.jpg
Q211246,human,Q211246,Caiaphas,"Mattias Stom, Christ before Caiaphas.jpg"
Q223385,cave with prehistoric art,Q223385,Cueva de las Manos,SantaCruz-CuevaManos-P2210651b.jpg
Q744415,notname,Q744415,Rohan Master,"Le Mort devant son juge, Maitre de Rohan.jpg"
Q320199,human,Q320199,Apollinaris of Ravenna,Saint Apollenaris.jpg
Q1873244,human biblical figure,Q1873244,Bithiah,The Finding of Moses.jpg
Q81240,book of the Bible,Q81240,Judges,Giovanni Antonio Pellegrini 001.jpg
Q3613127,reredos,Q3613127,Christ before Pilate,Meister Bertram von Minden 010.jpg
Q3613127,reredos,Q3613127,Christ before Pilate,Meister Bertram von Minden 011.jpg
Q4068319,human,Q4068319,Apphia,Philemon and Apphia.jpg
Q292242,human biblical figure,Q292242,Samaritan woman at the well,"Franceschini, Giacomo - Gesù e la Samaritana al pozzo.jpg"
Q292242,human biblical figure,Q292242,Samaritan woman at the well,Photina of Protat.JPG
Q4669651,human,Q4669651,Absalom Jones,Absalom-Jones Peale.jpg
Q2274548,pilgrims' way,Q2274548,French Way in Aragon,Poste Camino de Santiago.jpg
Q309736,human,Q309736,Michelozzo,Fra Angelico 074.jpg
Q1316518,a cappella group,Q1316518,Sweet Honey in the Rock,Sweet Honey in the Rock.jpg
