RecordNumber,actId,qid,filename,commons_uri,commons_page_url,actId_of_original,difference
57472,,,"Saint Paul Church (Yellow Springs, Ohio) - chancel, painting of the Holy Spirit.JPG",http://commons.wikimedia.org/wiki/Special:FilePath/Saint%20Paul%20Church%20%28Yellow%20Springs%2C%20Ohio%29%20-%20chancel%2C%20painting%20of%20the%20Holy%20Spirit.JPG,"https://commons.wikimedia.org/wiki/File:Saint_Paul_Church_(Yellow_Springs,_Ohio)_-_chancel,_painting_of_the_Holy_Spirit.JPG",58584,black and white
57705,,,The Fall of Satan Butts set.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Fall%20of%20Satan%20Butts%20set.jpg,https://commons.wikimedia.org/wiki/File:The_Fall_of_Satan_Butts_set.jpg,56204,image with white borders
58747,,,The Transfiguration - Google Art Project (715792).jpg,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Transfiguration%20-%20Google%20Art%20Project%20%28715792%29.jpg,https://commons.wikimedia.org/wiki/File:The_Transfiguration_-_Google_Art_Project_(715792).jpg,56416,image with the same resolution as Record #56416
56118,,,Trier 10 Jh Diptychon Moses Thomas.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Trier%2010%20Jh%20Diptychon%20Moses%20Thomas.jpg,https://commons.wikimedia.org/wiki/File:Trier_10_Jh_Diptychon_Moses_Thomas.jpg,58402,cropped 
56119,,,Trier 10 Jh Diptychon Moses Thomas.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Trier%2010%20Jh%20Diptychon%20Moses%20Thomas.jpg,https://commons.wikimedia.org/wiki/File:Trier_10_Jh_Diptychon_Moses_Thomas.jpg,58402,cropped 
57546,,,Ursula Malbin sculpture garden in Haifa 02.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Ursula%20Malbin%20sculpture%20garden%20in%20Haifa%2002.jpg,https://commons.wikimedia.org/wiki/File:Ursula_Malbin_sculpture_garden_in_Haifa_02.jpg,56996,black and white
58703,,,Христос у точилі. Кінець 17 ст.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%A5%D1%80%D0%B8%D1%81%D1%82%D0%BE%D1%81%20%D1%83%20%D1%82%D0%BE%D1%87%D0%B8%D0%BB%D1%96.%20%D0%9A%D1%96%D0%BD%D0%B5%D1%86%D1%8C%2017%20%D1%81%D1%82.jpg,https://commons.wikimedia.org/wiki/File:%D0%A5%D1%80%D0%B8%D1%81%D1%82%D0%BE%D1%81_%D1%83_%D1%82%D0%BE%D1%87%D0%B8%D0%BB%D1%96._%D0%9A%D1%96%D0%BD%D0%B5%D1%86%D1%8C_17_%D1%81%D1%82.jpg,58704,Image with same resolution as  Record # 58704
57455,,,"""Annunciation of the Angel to Mary"" - NARA - 558880.jpg",http://commons.wikimedia.org/wiki/Special:FilePath/%22Annunciation%20of%20the%20Angel%20to%20Mary%22%20-%20NARA%20-%20558880.jpg,https://commons.wikimedia.org/wiki/File:%22Annunciation_of_the_Angel_to_Mary%22_-_NARA_-_558880.jpg,56227,cropped 
57466,,,"Basilica of Saint Mary of the Immaculate Conception (Norfolk, Virginia), interior, wooden statue of the risen Christ, from Uganda.jpg",http://commons.wikimedia.org/wiki/Special:FilePath/Basilica%20of%20Saint%20Mary%20of%20the%20Immaculate%20Conception%20%28Norfolk%2C%20Virginia%29%2C%20interior%2C%20wooden%20statue%20of%20the%20risen%20Christ%2C%20from%20Uganda.jpg,"https://commons.wikimedia.org/wiki/File:Basilica_of_Saint_Mary_of_the_Immaculate_Conception_(Norfolk,_Virginia),_interior,_wooden_statue_of_the_risen_Christ,_from_Uganda.jpg",56869,cropped and black and white
57463,,,Biberach Spital Relief img04.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Biberach%20Spital%20Relief%20img04.jpg,https://commons.wikimedia.org/wiki/File:Biberach_Spital_Relief_img04.jpg,56724,black and white
57571,,,Biberach Spital Relief img04.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Biberach%20Spital%20Relief%20img04.jpg,https://commons.wikimedia.org/wiki/File:Biberach_Spital_Relief_img04.jpg,56724,cropped and black and white
57516,,,Chinese Orthodox communion bread seal.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Chinese%20Orthodox%20communion%20bread%20seal.jpg,https://commons.wikimedia.org/wiki/File:Chinese_Orthodox_communion_bread_seal.jpg,56592,black and white
57916,,,"Coffered ceiling by Zoltán Joó, Holy Spirit Church, 2019 Veresegyház.jpg",http://commons.wikimedia.org/wiki/Special:FilePath/Coffered%20ceiling%20by%20Zolt%C3%A1n%20Jo%C3%B3%2C%20Holy%20Spirit%20Church%2C%202019%20Veresegyh%C3%A1z.jpg,"https://commons.wikimedia.org/wiki/File:Coffered_ceiling_by_Zolt%C3%A1n_Jo%C3%B3,_Holy_Spirit_Church,_2019_Veresegyh%C3%A1z.jpg",57884,"cropped. Note: the ""original"" actually differs from the Commons file by being de-keystoned"
57523,,,Praying Hands - Albrecht Durer.png,http://commons.wikimedia.org/wiki/Special:FilePath/Praying%20Hands%20-%20Albrecht%20Durer.png,https://commons.wikimedia.org/wiki/File:Praying_Hands_-_Albrecht_Durer.png,56999,"this is a grayscale of the ""original"", but there is another Commons file of the work used by Wikidata added to list of ""to be added"" that are actually in Wikidata."
56492,,,"Singing Windows stained glass, designed by J&R Lamb, located in the University chapel at Tuskegee University, Tuskegee, Alabama LCCN2010637794.tif",http://commons.wikimedia.org/wiki/Special:FilePath/Singing%20Windows%20stained%20glass%2C%20designed%20by%20J%26R%20Lamb%2C%20located%20in%20the%20University%20chapel%20at%20Tuskegee%20University%2C%20Tuskegee%2C%20Alabama%20LCCN2010637794.tif,"https://commons.wikimedia.org/wiki/File:Singing_Windows_stained_glass,_designed_by_J%26R_Lamb,_located_in_the_University_chapel_at_Tuskegee_University,_Tuskegee,_Alabama_LCCN2010637794.tif",57021,cropped 
58670,,,The Creation of Light - John Martin.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Creation%20of%20Light%20-%20John%20Martin.jpg,https://commons.wikimedia.org/wiki/File:The_Creation_of_Light_-_John_Martin.jpg,58442,"just appears to be a duplicate, maybe some light adjustment"
56201,,,Tullow Church of the Most Holy Rosary South Transept Window Mysteries of Light and Pope John Paul II Detail Proclamation of the Kingdom of God 2013 09 06.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Tullow%20Church%20of%20the%20Most%20Holy%20Rosary%20South%20Transept%20Window%20Mysteries%20of%20Light%20and%20Pope%20John%20Paul%20II%20Detail%20Proclamation%20of%20the%20Kingdom%20of%20God%202013%2009%2006.jpg,https://commons.wikimedia.org/wiki/File:Tullow_Church_of_the_Most_Holy_Rosary_South_Transept_Window_Mysteries_of_Light_and_Pope_John_Paul_II_Detail_Proclamation_of_the_Kingdom_of_God_2013_09_06.jpg,58696,"smaller version, maybe cropped a little"
57545,,,"Christ Teaching the Disciples, 2, from Das Plenarium MET DP849939.jpg",http://commons.wikimedia.org/wiki/Special:FilePath/Christ%20Teaching%20the%20Disciples%2C%202%2C%20from%20Das%20Plenarium%20MET%20DP849939.jpg,"https://commons.wikimedia.org/wiki/File:Christ_Teaching_the_Disciples,_2,_from_Das_Plenarium_MET_DP849939.jpg",56624,black and white
48718,,,Hubert van Eyck 039.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Hubert%20van%20Eyck%20039.jpg,https://commons.wikimedia.org/wiki/File:Hubert_van_Eyck_039.jpg,48717,lower resolution
47775,,Q44265,Fra Angelico 031.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Fra%20Angelico%20031.jpg,https://commons.wikimedia.org/wiki/File:Fra_Angelico_031.jpg,none,"Q3005521 is an item that is a larger work that this is a crop of. However, there is no Q ID for the crop itself and I don't think we should create on. Probably link the ACT ID to the larger work, then the larger work to the smaller one on Commons."
47776,,Q379691,Fra Angelico 032.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Fra%20Angelico%20032.jpg,https://commons.wikimedia.org/wiki/File:Fra_Angelico_032.jpg,none,"Q3005521 is an item that is a larger work that this is a crop of. However, there is no Q ID for the crop itself and I don't think we should create on. Probably link the ACT ID to the larger work, then the larger work to the smaller one on Commons."
57515,,,Bread for 1st Communion mass.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Bread%20for%201st%20Communion%20mass.jpg,https://commons.wikimedia.org/wiki/File:Bread_for_1st_Communion_mass.jpg,56657,black and white
58821,,,Cappella Palatina (Palermo) 16 07 2019 09.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Cappella%20Palatina%20%28Palermo%29%2016%2007%202019%2009.jpg,https://commons.wikimedia.org/wiki/File:Cappella_Palatina_(Palermo)_16_07_2019_09.jpg,58820,"These seem to be the same, they are just described differently"
57471,,,Sarcophage de Drausin 03.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/Sarcophage%20de%20Drausin%2003.JPG,https://commons.wikimedia.org/wiki/File:Sarcophage_de_Drausin_03.JPG,49988,black and white
57482,,,Speculum Darmstadt 2505 25r.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Speculum%20Darmstadt%202505%2025r.jpg,https://commons.wikimedia.org/wiki/File:Speculum_Darmstadt_2505_25r.jpg,55734,"black and white, and cropped"
54318,,,Trinity College Chapel Mural (2).jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Trinity%20College%20Chapel%20Mural%20%282%29.jpg,https://commons.wikimedia.org/wiki/File:Trinity_College_Chapel_Mural_(2).jpg,57351,detail
