qid,act_id,dimension,type,label,creator,inception_val,inception_earliest_date_val,inception_latest_date_val,style_period,rights,media_url,status
Q113814896,51550,3D,relief sculpture,Jesus Teaching in the Temple,,1514,1508,1519,,NO KNOWN COPYRIGHT,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=51550,inception prior to copyright cutoff
Q113956653,51541,3D,relief sculpture,Marriage Feast at Cana,,1514,1508,1519,,NO KNOWN COPYRIGHT,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=51551,inception prior to copyright cutoff
