,accession_number,language,ratio,partial_ratio,sort_ratio,set_ratio,w_ratio
164,1972.017,und,17,33,17,17,30
165,1972.018,und,0,0,0,0,0
166,1972.019,und,0,0,0,0,0
167,1972.020,und,0,0,0,0,0
168,1972.021,und,4,33,4,4,20
169,1972.022,und,0,0,0,0,0
170,1972.023,und,0,0,0,0,0
171,1972.024,und,0,0,0,0,0
172,1972.025,und,0,0,6,6,20
173,1972.026,zh,0,0,0,0,0
174,1972.027,ja,0,0,0,0,0
175,1972.028,zh,0,0,0,0,0
176,1972.029,zh,0,0,7,7,12
177,1972.030,und,0,0,0,0,0
178,1972.031,und,10,33,10,10,30
179,1972.032,und,0,0,0,0,0
180,1972.033,und,0,0,0,0,0
181,1972.034,und,0,0,0,0,0
182,1972.035,en,0,0,18,18,30
183,1972.037,und,7,33,7,7,20
184,1972.038,und,4,33,5,5,20
185,1972.039,und,4,5,15,15,15
186,1972.040,und,0,0,21,21,60
187,1972.041,und,0,0,0,0,0
188,1972.042,und,0,0,0,0,0
189,1972.043,ja,0,0,0,0,0
190,1972.044,und,15,17,32,33,31
191,1972.045,ja,0,0,0,0,0
192,1972.046,zh,2,4,11,11,17
193,1972.047,und,0,0,14,14,30
194,1972.048,und,0,0,4,4,10
195,1972.052,ja,0,0,6,9,18
196,1972.053,und,11,19,28,33,37
197,1972.068,la,5,67,5,5,40
198,1972.069,fr,2,67,2,3,40
199,1972.071,la,27,35,36,36,36
200,1972.072,la,8,67,8,8,40
201,1972.073,it,27,32,42,42,38
202,1972.074,und,0,0,25,25,24
203,1972.075,und,14,29,23,24,42
204,1972.077,la,13,38,23,23,41
205,1972.080,fr,36,37,37,37,44
206,1972.081,fr,0,67,0,0,40
207,1972.082,nso,0,0,0,0,0
208,1972.083,la,23,35,31,31,38
209,1972.084,fr,3,33,3,3,38
210,1972.085,la,8,33,8,8,20
211,1972.086,it,14,33,14,14,20
212,1972.087,fr,6,33,6,6,20
213,1972.088,fr,22,41,29,29,43
214,1972.089,nl,27,31,39,41,39
